序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
1,"
                                                                                                    #阿坝政事#【四川省发文批准红原花海为国家4A级旅游景区】9月18日，据《四川省旅游景区质量等级评定委员会关于新评国家4A级旅游景区公告》获悉，经市州旅游景区质量等级评定委员会推荐，四川旅游标准评定委员会组织评定，宜宾市兴文县僰王山景区、阿坝州红原县红原花海景区达到国家4A级旅游景区标准的 ????????...展开全文c                                            ", 9月22日 14:11,1,1,赞,微博 weibo.com,FmZ82mxVJ,0
2,"
                                                                                                    #阿坝政事#【阿坝州福彩公益金482万元用于老龄事业】2017年，阿坝州福彩公益金482万余元，用于养老服务体系建设、购买老年人意外伤害保险和基层老年协会建设。其中：380万元用于马尔康、理县等7县（市）养老服务体系建设;35万余元用于7100余名具有阿坝州户籍且年龄在60周岁以上的城乡特困供养老年人和 ????????...展开全文c                                            ", 9月22日 14:10,转发,评论,1,微博 weibo.com,FmZ7Janeu,0
3,"
                                                                                                    #阿坝政事#【阿坝州评选十佳乡村教师10名】今年，阿坝州认真落实农村教师生活补助政策，惠及农村教师6500余人。为乡村从教满30年以上的1924名教师颁发了“乡村学校从教30年教师荣誉证书”。评选“阿坝州十佳乡村教师”10名，给予每人2万元奖励（州政府奖励5千元、李氏教育奖励促进会奖励1.5万元）。 ????????                                            ", 9月22日 11:30,转发,评论,1,微博 weibo.com,FmY4LjNxD,0
4,"
                                                                                                    #阿坝政事# 【刘作明调研双江口水电站重点工程建设和水电移民安置情况】9月14日，州委书记刘作明在马尔康市和金川县调研水电移民安置，督导脱贫攻坚工作，考察金川县新城建设、重大公共服务项目、生态环保设施推进情况。要求加快推进重点项目，着力培育特色优势产业，努力促进县域经济持续健康发展。 ????????                                            ", 9月20日 19:41,转发,1,赞,微博 weibo.com,FmIqSol6B,0
5,"
                                                                                                    #阿坝政事#【1-8月阿坝州清退城乡低保23549人】今年1至8月，阿坝州清退城乡低保23549人，目前共保障城乡低保对象13.54万人，发放低保金2.34亿元，城乡月人均补助水平分别达到265元、170元。 ????????                                            ", 9月20日 14:43,转发,评论,赞,微博 weibo.com,FmGu63q4c,0
6,"
                                                                                                    #阿坝政事#【阿坝州研究九寨沟地震对全州经济影响】9月13日至14日，州委副书记州长杨克宁主持召开十二届阿坝州人民政府第七次常务会议，研究《8.8九寨沟7.0级地震对全州经济的影响分析及对策建议报告》。阿坝州连续遭受多起自然灾害，要求坚持发展第一要务，迎难而上，打赢经济止滑回稳攻坚战。 ????????                                            ", 9月20日 14:38,转发,2,4,微博 weibo.com,FmGs6gi1X,1
7,"
                                                                                                    【阿坝州首个“净土阿坝”体验馆正式开馆】9月14日，首个“净土阿坝”农产品体验馆在阿坝州汶川县大禹农庄正式开馆。该体验馆以图文和实物的形式分区展示了阿坝州13县（市）及卧龙特区60余种200多款名优特色农产品，并采取线上线下相结合的方式，由大禹农庄和四川麦味网共同运营承销。开馆当天现场销售 ????????...展开全文c                                            ", 9月19日 19:52,转发,评论,1,微博 weibo.com,Fmz4QpB5z,0
8,"
                                                                                                    【“净土阿坝”农产品闪耀中西部畜博会】第二届中国中西部畜牧业博览会暨畜产品交易会9月15至17日在重庆市博览中心举行。阿坝州8家企业和专合社的30余种“三品一标”特色农产品参展。展会期间共现场销售“净土阿坝”系列农产品40万余元，产销项目签约300多万元。 ????????                                            ", 9月19日 14:52,转发,评论,赞,微博 weibo.com,Fmx74AxKi,0
9,"
                                                                                                    【1至8月阿坝州各A级旅游景区共接待海内外游客1120.62万人次】1至8月，阿坝州各A级旅游景区共接待海内外游客1120.62万人次，实现门票收入6.16亿元，较2016年同期分别下降9.89%和19.48%。其中，8月阿坝州各A级旅游景区共接待海内外游客106.97万人次，实现门票收入10669.83万元，较2016年同期分别下降59. ????????...展开全文c                                            ", 9月19日 13:52,2,3,1,微博 weibo.com,FmwIIzF1i,0
10,"
                                                                                                    【1至8月阿坝州机场旅客吞吐量53.55万人次】1至8月，九黄机场进出港航班4856架次，旅客吞吐量52.5万人次。其中，进港26.45万人次，出港26.05万人次；红原机场进出港航班156架次，旅客吞吐量1.05万人次。其中，进港0.53万人次，出港0.52万人次。 ????????                                            ", 9月19日 13:44,转发,评论,1,微博 weibo.com,FmwFstGb6,0
