序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
1,"
                                                                                                    #晚安成都#据说，长得好看的人名字第二字的第二个字母都是 i ，你同意吗？据@人民网 ????????                                            ", 9月30日 23:01,23,73,76,微博 weibo.com,Fog11nT8a,0
2,"
                                                                                                    #蓉平热点#【成都以校地企合作聚人才引资本强产业】借本地高校入选“双一流”之机，成都市以“利益共同体”的理念，将高校、企业和地方融进一盘城市发展的大棋局，高校出科研成果、地方搞配套服务、企业负责产业化，探索校地企合作的新局面，共同推动城市产业转型和兴盛。O网页链接 ????????                                            ", 9月30日 22:50,3,1,13,iPhone 6s Plus,FofWMpqmU,0
3,"
                                                                                                    #有奖转发#【领略优雅时尚的天府文化，送徐浩演唱会门票】#请你同游成都东南西北中#大假期间，怎能错过成都这么优雅时尚的城市，领略天府文化。跟帖留言，说一位和成都有关的明星，并@??两位好友。就有机会获得价值320元的徐浩演唱会门票1张，共10张。来来来~转起走。 ????????                                            ", 9月30日 21:40,43,61,43,微博 weibo.com,Fofu8tIVv,0
4,"
                                                                                                    【成都必打卡之串串店#美食成都#第十四届成都美食旅游节暨第七届国际慢食全球大会开幕式日前举行。成都又获得了一个新的城市名片：亚洲首个“慢食之都”。快来看看来成都必打卡串串店，你都去过几家喃？国庆节来成都走起~据@成都自由行 ????????                                            ", 9月30日 21:01,40,10,35,微博 weibo.com,FofejtH2S,0
5,"
                                                                                                    【成都大熊猫基地游玩全攻略】#请你同游成都东南西北中#要看四川国宝团子？怎么走？这份熊猫基地详细指南请收好~小心被萌哭！via@蚂蜂窝自由行?????? ????????                                            ", 9月30日 20:20,124,68,149,微博 weibo.com,FoeXFE4lG,0
6,"
                                                                                                    【同心筑梦 让新经济为城市发展注入新动能】#成都经济#如何进一步充分发挥教育、科技、人才等创新要素集聚优势，加速融入全球科技创新体系，迎接新经济时代的崭新挑战？成都的思路非常明确，不仅把高校科研院所作为城市最重要的战略性创新资源，努力提升产业话语权和影响力；同时，不断增强高新技术服 ????????...展开全文c                                            ", 9月30日 19:55,3,评论,3,微博 weibo.com,FoeNwv1sy,0
7,"
                                                                                                    【威武！大国逐梦，#习主席带领我们强军#】强国必须强军，军强才能国安。速览《强军》第一集《逐梦》→L人民日报的秒拍视频 ????????                                            ", 9月30日 19:30,8,评论,20,微博 weibo.com,FoeDnn7Kz,0
8,"
                                                                                                    【这个长假，关于自驾游准备，最全攻略你可拿住了】#请你同游成都东南西北中#这个长假，哪些要自驾游的？举个手，让我看看！自驾游已经成为了一种较为流行的旅游方式，越来越多的人出门旅游都选择了自驾游，接下来小编将介绍自驾游注意事项，这篇文章请你们务必转发收藏好！戳链接→→ ????????...展开全文c                                            ", 9月30日 18:55,5,3,12,微博 weibo.com,FoepawFsH,0
9,"
                                                                                                    经过铁路部门3个小时的紧张排查，【受青川县5.4级地震影响的成渝高铁、绵成乐客专、宝成铁路、内六铁路等多条线路已于17时57分全部恢复通车。】铁路部门提醒，受地震影响，部分列车将出现不同程度晚点，请关注@西南铁路、站车公告或致电铁路客服12306，掌握最新列车运行信息，以免耽误您的行程。                                            ", 9月30日 18:41,2,7,42,360安全浏览器,FoejDchtR,1
10,"
                                                                                                    【3分钟，教你画出12个不同的小女孩】#生活服务#超可爱的简笔画，马住教小朋友吧~via合家欢阿欢阿欢 L合家欢阿欢阿欢的秒拍视频 ????????                                            ", 9月30日 18:19,30,1,31,搜狗高速浏览器,FoeaTyLPU,0
11,"
                                                                                                    #连线四川#最新消息，除了宝成铁路仍在继续排查隐患外，受青川5.4级地震影响的其他铁路已经全部开通，列车运行秩序陆续恢复正常。                                            ", 9月30日 18:02,1,8,42,搜狗高速浏览器,Foe42kLHn,1
12,"
                                                                                                    【2分钟！教你做出水煮牛肉】#美食成都#想吃肉~想吃肉~想吃肉~香喷喷的水煮牛肉来啦~满足感瞬间爆棚。via@Miu的食光记????LMiu的食光记的秒拍视频 ????????                                            ", 9月30日 17:34,52,4,42,搜狗高速浏览器,FodSidsoy,0
13,"
                                                                                                    【缅怀先烈，不负英魂】#住在成都#9月30日，每个中国人都应该铭记的日子：全国烈士纪念日。今日上午10:00，成都市公安局在牧马山训练基地举行了“缅怀烈士功绩 弘扬忠诚警魂”祭奠公安英烈活动。每一次铭记，都是为了汲取精神动力；每一次回望，都是为了新的出发！他们，以生命捍卫生命，致敬热血、勇 ????????...展开全文c                                            ", 9月30日 17:07,3,4,44,搜狗高速浏览器,FodHk2u7p,0
14,"
                                                                                                    【数千面国旗招展掩映????看天府新区如此多娇】#住在成都#家住天府新区、经过天府大道的小伙伴有没有发现，从天府新区华府大道开始，整个天府大道两边挂满国旗。与此同时，在天府新区的地标如成都科学城、兴隆湖、西博城等地，也四处飘扬着国旗。在处处国旗的招展掩映之下，整个天府新区格外喜庆。 ????????...展开全文c                                            ", 9月30日 16:28,14,34,79,搜狗高速浏览器,FodrKmCbG,0
