序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【隔夜酒驾出事故 侥幸心理要不得】9月29日，紫阳县蒿汉路发生一起交通事故，一辆越野车与一辆货车发生刮蹭，无人员受伤，越野车驾驶人藩某满身酒气，疑似酒驾。经民警酒精检测，藩某属于酒后驾车。藩某承认，昨晚和朋友喝酒，没想到隔了一夜也能查出来。目前，该起交通事故正在处理中。 ????????                                            ", 9月29日 15:58,转发,2,2,搜狗高速浏览器,Fo3P05nED
2,"
                                                                                                    #最美女交警# 安康的女警骑着电动车去塌方现场疏导交通，不慎摔倒在淤泥中，她们没有花容失色，身上的淤泥也没有能够掩盖警服的威严。困难没能阻止她们前去疏堵保畅的步伐，用行动温暖人心，用操守鞭笞着发视频者的人性。@陕西公安 ????????                                            ", 9月28日 22:33,10,10,61,荣耀手机 勇敢做自己,FnWYF005H
3,"
                                                                                                    【雨天别怕，警察蜀黍在你身边】受恶劣天气影响，河水暴涨，田地泥泞，道路湿滑，安康石泉县公安局全警动员，积极投入到防汛工作中。道路上，民警们在危险路段设置警示牌，引导群众安全通过；村组里，民警们协助村干部将易发生灾害处的住户临时安置到安全地方，全力以赴确保全县人民生命财产安全。 ????????                                            ", 9月28日 08:45,1,评论,6,搜狗高速浏览器,FnRyQijCS
4,"
                                                                                                    #身边暖警#【黄金手镯“失”而复得】近日，石泉县饶峰镇王女士报警称：“自己放在保险柜里价值约1万余元的黄金手镯不见了，，怀疑被盗”。接到报警后，派出所民警立即赶赴现场开展调查，经仔细检查，在该保险柜底层一纸袋内内找到王某的手镯。见到失而复得的贵重首饰，王某对自己粗心大意感到惭愧。 ????????                                            ", 9月28日 08:44,转发,评论,1,搜狗高速浏览器,FnRyaCA3w
5,"
                                                                                                    #警方在行动#【小伙指认小偷竟遭殴打 西安警方：4嫌犯均被抓，奖励被打者】9日，在陕西西安，一个小伙子因在公交车上指认团伙作案的小偷，竟遭到对方四人殴打。经当地警方侦查追捕，12日晚，四名犯罪嫌疑人全部落网。L微博视频 ????????                                            ", 9月28日 08:16,转发,1,1,搜狗高速浏览器,FnRn3xN5B
6,"
                                                                                                    【中秋将至 警惕这些诈骗行为】①冒充“快递员”寄送月饼骗快递费②冒充“朋友”发送祝福短信诈骗③建立虚假购物网站，以“中秋节促销”为由诈骗④“航班取消”诈骗。切记：收快递前先验货再付款！短信里的不明链接别点！任何索要短信验证码的行为都是诈骗！看视频↓转发提醒你关心的TA！ ????????...展开全文c                                            ", 9月27日 10:36,转发,3,2,搜狗高速浏览器,FnIRfyzYe
7,"
                                                                                                    #抗洪抢险保平安#【洪水不退，我们不回】近日，岚皋县遭遇特大暴雨袭击，城区及各乡镇河流水位急剧上涨，均超过警戒水位，防汛形势极其严峻。汛情就是命令，岚皋县公安局民警集结一线，排险、清淤、巡查、撤离群众、疏导交通，为保障全县人民群众生命财产安全筑起一道坚实安全的防洪屏障。 ????????                                            ", 9月27日 10:34,2,1,16,搜狗高速浏览器,FnIQu30T5
8,"
                                                                                                    #迎接十九大 忠诚保平安#【紧急排险，保安全】9月26日，因连续大雨致使红椿镇盘龙村一组（小地名：垭子）一处水沟堵塞，大水漫过公路，并威胁附近两户居民的人身和财产安全，红椿派出所民警立即会同政府干部及红椿交警中队一起赶到现场排查险情，转移居民，疏通水流，防止灾害发生。 ????????                                            ", 9月27日 10:23,转发,评论,1,搜狗高速浏览器,FnIM681fl
9,"
                                                                                                    【防汛防滑，我们在行动】由于近日连续暴雨，9月26日，安康紫阳瓦庙派出所深入辖区加强对险情多发段、滑塌点的巡逻防控工作，对过往行人、车辆进行安全提醒，对危房、校舍及防汛防滑重点部位进行了隐患排查，积极向周边群众宣传汛期防范知识，做到早发现、早准备、早撤离，确保人民群众生命财产安全。 ????????                                            ", 9月27日 10:22,转发,2,3,搜狗高速浏览器,FnILyc6dy
10,"
                                                                                                    【小孩贪玩未归 民警帮其找回】9月25日22时，暂住在紫阳县城的刘某到城关派出所报警称：其6岁的女儿于当日下午与同学外出后一直未归，请帮忙寻找。接警后，民警通过查阅相关路段的视频监控，迅速锁定其搜寻范围，后在西关广场的公厕下将其找到。当看到女儿安然无恙时，刘某热泪盈眶并对民警表示感谢。 ????????                                            ", 9月27日 10:20,1,1,4,搜狗高速浏览器,FnIKXtGhp
11,"
                                                                                                    #身边暖警#【深夜救助走失儿童】9月22日晚上21时，汉阴蒲溪派出所接到群众报警称，在盘龙采石场遇到一名学生坐在路边，问他的家住哪儿及父母姓名，什么也不说，只在那里哭，请求救助。民警立即到达现场，经过耐心细致的询问，了解到儿童的本人情况和家庭住址后，最终将儿童安全送回家。 ????????                                            ", 9月27日 10:18,转发,2,2,搜狗高速浏览器,FnIKczKqK
12,"
                                                                                                    #身边暖警#【警民接力 救助突发疾病学生】9月22日，石泉县城区交警中队民警正在巡逻时，发现三个孩子向民警挥手，立即上前察看，经了解，原来是一名中学生突发疾病，口吐白沫全身抽搐，民警立即将该学生抬上警车，一边送往医院，一边联系医护人员做好急救准备，因抢救及时，目前，该学生已无大碍。 ????????                                            ", 9月27日 10:17,1,2,4,搜狗高速浏览器,FnIJvpINf
