序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #母婴健康# 新生儿生理性黄疸是怎么回事？ ????????                                            ",是,无, 2012-8-31 15:06,转发,评论,赞,微博 weibo.com,yzHUQc9we
2,"
                                                                                                    #母婴健康# 接种卡介苗后有哪些反应？ ????????                                            ",是,无, 2012-8-31 15:05,2,评论,赞,微博 weibo.com,yzHUul4PU
3,"
                                                                                                    家里养狗养猫的一定要注意了，狂犬病一旦发病，病死率几乎100%！因此做好狂犬病的预防至关重要。                                            ",否,"
                                                                                                    今年截至目前为止，北京又有7人被狂犬咬伤丧生。狂犬病一旦确诊，完全没救，死前痛苦不堪。养犬要按时给狗注射疫苗，人被咬伤，不知狗是否是健康（因为有些狗带狂犬病毒、并不表现狂犬症状），一定先用肥皂水、清水冲洗伤口，然后去打疫苗，切不可存侥幸心理。@新浪健康@首都健康 ????????                                                            ", 2012-8-31 13:58,转发,评论,赞,微博 weibo.com,yzHtgbEz4
4,"
                                                                                                    #母婴健康# 观察新生儿大便有何意义？ ????????                                            ",是,无, 2012-8-30 15:26,转发,评论,赞,微博 weibo.com,yzyCAxG1w
5,"
                                                                                                    #母婴健康# 为什么牙齿保健应从胚胎开始 ????????                                            ",是,无, 2012-8-30 10:29,转发,评论,赞,微博 weibo.com,yzwG4riiu
6,"
                                                                                                    #母婴健康# 警惕新生儿囟门异常 ????????                                            ",是,无, 2012-8-30 10:27,转发,评论,赞,微博 weibo.com,yzwFguQO2
7,"
                                                                                                    这些食物具有一定的抗癌作用，但“免死金牌”的说法值得商榷。不管是什么“癌”，一旦得了，手术、放疗、化疗为主要治疗手段，同时心理调节也至关重要，食物仅仅是辅助。                                            ",否,"
                                                                                                    【八大癌症“免死金牌”】1.胃癌“免死金牌”——大蒜。2.肝癌“免死金牌”——蘑菇。3.胰腺癌“免死金牌”——菜花。4.肺癌“免死金牌”——菠菜。5.肠癌“免死金牌”——茭白。6.乳腺癌免死金牌——海带。7.皮肤癌“免死金牌”——芦笋。8.宫颈癌“免死金牌”——黄豆。 ????????                                                            ", 2012-8-30 09:46,转发,评论,赞,微博 weibo.com,yzwoFAmKU
8,"
                                                                                                    #母婴健康#喂奶后给孩子拍气有什么技巧？ ????????                                            ",是,无, 2012-8-29 14:20,1,1,赞,微博 weibo.com,yzoLuwIOB
9,"
                                                                                                    #母婴健康# 宝宝边吃奶边睡觉，有何弊端？ ????????                                            ",是,无, 2012-8-29 10:29,转发,评论,赞,微博 weibo.com,yznfO4Vcd
10,"
                                                                                                    #母婴健康# 母乳喂养有什么优点？ ????????                                            ",是,无, 2012-8-29 10:28,转发,1,赞,微博 weibo.com,yznfkcSD8
11,"
                                                                                                    #孕婴健康#母乳喂养的正确姿势是什么？以舒服的姿势坐着或躺着，哺乳时用抱枕或被子来支撑自己或宝宝。宝宝脸贴妈妈乳房，鼻子正对着乳头，头、脖子与身体成一直线，宝宝肚子紧贴妈妈肚子。妈妈托着宝宝的头、肩膀及臀部。宝宝含住乳晕与乳头，慢慢、深深地吸吮，有吞咽声。喂完后，宝宝放松而饱足。 ????????                                            ",是,无, 2012-8-29 10:27,2,评论,赞,微博 weibo.com,yzneMdTnj
