序号,微博内容,是否原创,转发内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    传说中的豆腐块儿！~~~ ????????                                            ",是,无, 2012-8-31 10:39,17,45,2,微博 weibo.com,yzGaJzywR
2,"
                                                                                                    #消防员#告诉你大巴车发生事故，逃生自救方法！学起来！~~~                                            ",否,"
                                                                                                    近期旅游大巴车事故频发，延安特大事故导致36人死亡。事故中如何有效逃生？今天北京消防对大巴车内如何逃生进行了实验。如果发生紧急情况，前、后挡风玻璃非常坚固，大家就不要尝试敲碎挡风玻璃逃生了，边上的钢化玻璃四角和边缘是最薄弱的，可以用安全锤敲打，一旦出现裂痕再用力踹一下就可以了。 ????????                                                            ", 2012-8-31 10:35,3,评论,赞,微博 weibo.com,yzG9cqSPq
3,"
                                                                                                    向你老师致敬，走好！//@中国警察网: 李老师，一路走好//@陈士渠: 致敬/@中华小白豚: 真正的天使在人间，一路走好 //@陈晓楠:刚得知噩耗，8月27号，李小棚遭遇车祸不幸去世，年仅41岁。留下重病妻子和12岁的女儿。                                            ",否,"
                                                                                                    他捡了4000元，借30元路费物归原主。媒体报道他是常年不能转正的代课老师，家有精神病妻和数万元的外债，他收到4万元的捐款。接下来，他做了个人们觉得天方夜谭的决定，在大山深处建一座“奢侈”的免费幼儿园。DVD机，蹦蹦床，高学历老师。捐款花完，一切靠他装卸水泥卖苦力负担。O网页链接 ????????                                                            ", 2012-8-31 10:29,9,1,107,微博 weibo.com,yzG6FdGg5
4,"
                                                                                                    加油！加油！加油！~~~                                            ",否,"
                                                                                                    【伦敦残奥会首日精彩回顾】8月30日，伦敦残奥会进行了第一天的比赛，中国选手发挥出色，一共赢得6金6银3铜，高居奖牌榜首位。只要拥有勇敢的心灵，不懈的探索，残缺的身体依然可以焕发生命的美丽，一起欣赏残奥会的首日精彩回顾，一起为运动员们加油！ ????????                                                            ", 2012-8-31 10:13,1,评论,5,微博 weibo.com,yzG01jTMh
5,"
                                                                                                    输赢不重要，一开始你们就赢了，中国队加油//@文明北京: 输赢不重要，一开始你们就赢了，中国队加油                                            ",否,"
                                                                                                    【残奥会首日中国队收获6金6银3铜居榜首】水妹妹太激动了！！伦敦残奥会第一天的比赛，中国选手一共赢得6金6银3铜，高居奖牌榜首位~其中张翠平在女子R2－SH1级女子10米气步枪站姿比赛中折桂，拿下了本届残奥会的第一块金牌。我想说的还是那句话，输赢不重要，一开始你们就赢了！ ????????                                                            ", 2012-8-31 09:54,2,评论,赞,微博 weibo.com,yzFSA3ToF
6,"
                                                                                                    今天是中元节，中元节又称“七月节""或盂兰盆会""，为三大鬼节之一。""中元节与除夕、清明节、重阳节（除、清、九）等三节，都是中国传统节日里祭祖的四大节日。民间则多是在此节日怀念亲人，并对未来寄予美好的祝愿。#消防员#提示：大家在拜祭祖先时一定要注意消防安全哦！ ????????                                            ",是,无, 2012-8-31 09:33,5,1,赞,微博 weibo.com,yzFJTmFpp
7,"
                                                                                                    用笑容开启新的一天！早安！~~~ ????????                                            ",是,无, 2012-8-31 07:58,3,1,赞,iPhone客户端,yzF7mC7jH
8,"
                                                                                                    战火为何而燃，秋叶为何而落，天性不可夺，吾辈心中亦有惑。怒拳为谁握，护国安邦惩奸恶，道法自然除心魔。战无休而祸不息，吾辈何以？为战！ 这是暴雪公司 WOW 熊猫人片开场动画的 配音~~很浓的中国风 很有味道的旁白 ~中午休息咯 分享一下 ~哈哈 虽然 消防员没时间玩 ~O网页链接 ????????                                            ",是,无, 2012-8-30 11:31,转发,1,赞,微博 weibo.com,yzx5atM7K
9,"
                                                                                                    火灾逃生自救十二招，大家都来看看，多学习一点总是好的，大家可以[收藏]一下。 ????????                                            ",是,无, 2012-8-30 09:31,12,6,赞,微博 weibo.com,yzwiu6agg
10,"
                                                                                                    深受全中国广大观众喜爱的著名演员傅彪2005年8月30日因肝癌不治于北京逝世。傅彪演出的作品有《甲方乙方》、《没完没了》、《幸福时光》，《一声叹息》等热门电视剧，塑造的“面瓜”、“高宝生”等鲜活人物深受观众喜爱。2001年第21届获中国大陆金鸡奖最佳男配角。 ????????                                            ",是,无, 2012-8-30 09:25,17,7,赞,微博 weibo.com,yzwg7w01A
11,"
                                                                                                    //@陳嘉上Gordon:                                             ",否,"
                                                                                                    #消防员#和你一起看北京卫视《一号车组里的消防兵》，拍摄来自我们熟悉的《身边》栏目！里面的主人公来自俺们通州消防支队新华街中队英勇无敌的“一号车”！故事是从这里开始的！~~~ O网页链接 ????????                                                            ", 2012-8-29 17:45,5,3,赞,微博 weibo.com,yzq6tlyqb
12,"
                                                                                                    “重走青春”......带给我们的其实是一种精神，传递的是一种信念，突显的是改变与存在！如果你领悟了其中的深意，重走的又何止是青春，留下的又岂止是回忆！青春就是这样炼成的！有多少人青春的小火苗从这一刻起被重新点燃了呢？我要怒放的生命！~~~ ????????                                            ",是,无, 2012-8-29 16:52,3,2,赞,微博 weibo.com,yzpL2zQLl
13,"
                                                                                                    #消防员#和你一起看北京卫视《一号车组里的消防兵》，拍摄来自我们熟悉的《身边》栏目！里面的主人公来自俺们通州消防支队新华街中队英勇无敌的“一号车”！故事是从这里开始的！~~~ O网页链接 ????????                                            ",是,无, 2012-8-29 14:09,34,16,赞,-1,yzoGVeuXa
14,"
                                                                                                    “小青”出洞，注意防范！~~~                                            ",否,"
                                                                                                    [lb咦]近日位于朝阳区望京西园三区一住户家中出现小青蛇，消防员接到报警后赶到现场，经过“地毯式”搜索后，消防员在花盆土壤中发现了8颗空蛇卵消防员找到了四条蛇后，确定家中没有其他小青蛇后返回。这里提示大家如果家中绿植里出现了小青蛇，可购买一些药剂置于蛇曾出没的地方，或打119救助。 ????????                                                            ", 2012-8-29 14:05,6,4,赞,微博 weibo.com,yzoFr1JeN
15,"
                                                                                                    [群体围观]#每日火情#大家来看看！                                            ",否,"
                                                                                                    #每日火情# ????????                                                            ", 2012-8-29 09:16,2,1,赞,微博 weibo.com,yzmLYBxqo
16,"
                                                                                                    1955年8月29日我国现代话剧和电影的奠基人之一的洪深在北京逝世，终年61岁。洪深学名洪达，字伯骏，号潜斋，别号浅哉，他从中国话剧和电影的草创时期开始，就进行了编剧、导演、表演等全面的实践和理论探索，在戏剧理论方面，造诣很深，成绩卓著，是现代文学史上屈指可数的戏剧理论家。 ????????                                            ",是,无, 2012-8-29 09:13,转发,评论,赞,微博 weibo.com,yzmKIjjAi
17,"
                                                                                                    为战友顶一个！！！                                            ",否,"
                                                                                                    大家好！我是冈华！一名普通的消防战士！敬请大家在8月29日星期三晚8点，中央电视台三套《星光大道》5号选手:冈华！谢谢大家关注！谢谢啦！ O网页链接 (chang.weibo.com) ????????                                                            ", 2012-8-29 06:10,1,3,1,iPhone客户端,yzlyGoqLX
18,"
                                                                                                    回复@冰雪未溶: //@冰雪未溶:刚看完北京卫视，你们太可爱了～被磕掉门牙的哥们儿，乖～你的牙是在训练时光荣牺牲的……（看你们穿那套衣服都觉得热……辛苦了，兵哥哥们）                                            ",否,"
                                                                                                    立陶宛的陆军孩子不适合当消防员啊~~~ 剖门救人的速度 不太快~~~ ????????                                                            ", 2012-8-28 23:44,1,评论,赞,iPhone客户端,yzj1Nnpir
19,"
                                                                                                     //@铁公鸡大师之友:刚刚看了北京卫视的节目才算是真正理解了初中学的那篇文章《谁是最可爱的人》，深深的印在我脑海里“他们的品质是那样的纯洁和高尚，他们的意志是那样的坚韧和刚强，他们的气质是那样的淳朴和谦逊，他们的胸怀是那样的美丽和宽广！”祝我们的消防战士们及您的家人幸福平安                                            ",否,"
                                                                                                    立陶宛的陆军孩子不适合当消防员啊~~~ 剖门救人的速度 不太快~~~ ????????                                                            ", 2012-8-28 23:40,转发,评论,赞,iPhone客户端,yzj03x2nM
20,"
                                                                                                    立陶宛的陆军孩子不适合当消防员啊~~~ 剖门救人的速度 不太快~~~ ????????                                            ",是,无, 2012-8-28 17:43,9,7,赞,微博 weibo.com,yzgFlegV3
21,"
                                                                                                    //@屈灵合: 喜极生悲//@胡诹白咧: 家教之过啊！ //@毛头老怪:乐极生悲！                                            ",否,微博已被原作者删除, 2012-8-28 09:42,-1,1,赞,微博 weibo.com,yzdvY8ARC
22,"
                                                                                                    [群体围观]#每日火情#大家来看看！                                            ",否,"
                                                                                                    #每日火情# ????????                                                            ", 2012-8-28 09:19,转发,评论,赞,微博 weibo.com,yzdmF2NQt
