序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【每日一书??《打工女孩》】#灯下夜读#面对一个打工女孩，洗头的、做脸的，或者小保姆、营业员，你会“居高临下”地关心她哪些方面？她们是勇敢的一代，远离家乡，奔赴经济前沿地区淘金，继而开始最功利也是最务实的学习。她们出来了，便回不去了。@上海译文 ????????                                            ", 2013-4-30 21:32,87,40,10,专业版微博,zuApFofbD
2,"
                                                                                                    【怎样骑车才减肥?】#爱体育#说走就走，想停就停，无拘无束的""骑行""运动现在是一种时尚。如果想减肥，@965365上海体育发布 建议，以中等速度骑车(心率100-140次/分)，连续骑行40分钟以上，否则消耗不了更多脂肪！想提高肌力或增加心血管功能，也有对应的骑车健身法。看长微博，选择最适合的[自行车] ????????                                            ", 2013-4-30 20:01,702,125,24,专业版微博,zuzOPfedP
3,"
                                                                                                    【警惕日常饮水的4大误区】#便民提示#你每天喝几杯水？不要以为喝的水不少，就OK咯！@全国卫生12320 说，喝水有四大误区之~~①饮水机从来不洗；②自来水一烧开就喝；③不渴不喝水；④用饮料代替水……你占了几条呢？ ????????                                            ", 2013-4-30 19:03,255,98,9,专业版微博,zuzr4egOg
4,"
                                                                                                    【明天多云到晴，12-21度】#天气预报#有个人，365天给你温暖，从来不说辛苦；有个人，全天候为你守护，从来不抱怨！我们身边都有这样的“劳模”，不管我们看见，还是没看见，TA都在那里，TA的名字叫“太阳”！[阳光]天上有一个，你的身边也有一个。明天劳动节，TA依旧“上班”，谢谢TA！ ????????                                            ", 2013-4-30 17:30,120,31,14,专业版微博,zuyPnahLh
5,"
                                                                                                    【本市今天无新增人感染H7N9禽流感病例】#最新#上海市卫生和计划生育委员会今天17时通报，本市今天没有新增人感染H7N9禽流感确诊病例。 ????????                                            ", 2013-4-30 17:09,66,30,17,专业版微博,zuyGKAs8s
6,"
                                                                                                    【最后一道菜可以不放盐[不要]】#便民提示#""盐""多必失，@全国卫生12320 说，一人一天饭菜用盐应约4克。什么概念？4克盐相当于把一个普通啤酒瓶盖铺平的量。大家不需要所有菜都放盐，最后一道可以不放，因为口腔里咸味是累积的，最后吃菜或者喝汤的时候，即使不放盐，味道也不错。快@ 那谁，晚饭尝试下~ ????????                                            ", 2013-4-30 16:30,683,162,30,专业版微博,zuyraEaov
7,"
                                                                                                    【浦东老八样】#上海记忆#老早，伲浦东乡下头办酒水，“老八样”板要有额！扣三丝、扣白斩鸡、扣咸肉、扣红烧鱼、扣蛋卷、扣三鲜、扣走油肉、肉皮汤，热腾腾、香喷喷。现在要吃到正宗“老八样”不容易额，特别只肉皮，味道对路额不大有啊的！PS:这段本地话还可以挖？ O网页链接 ????????                                            ", 2013-4-30 15:59,585,179,22,专业版微博,zuyehliUT
8,"
                                                                                                    【更正：独脚戏《宁波音乐家》视频来啦！】小布今天英语、音乐傻傻分不清楚，这记视频是正宗《宁波音乐家》了！O网页链接                                            ", 2013-4-30 15:19,97,28,13,专业版微博,zuxYk2ecn
9,"
                                                                                                    【假期来听独脚戏??宁波音乐家】7个音符能谱写出各种动人的旋律，但你有么有思考过一个严肃的问题：到底是啥人发明了音乐？是贝多芬、肖邦、莫扎特？不对不对！[不要]姚慕双、周柏春告诉你是宁波人发明了音乐哦！不相信？那就来听听经典独脚戏《宁波音乐家》吧~ O网页链接 ????????                                            ", 2013-4-30 14:41,345,68,13,专业版微博,zuxILxfQz
10,"
                                                                                                    【马勒别墅】#上海记忆#它座落在陕西南路30号,有如童话里梦幻宫殿一般。房主原是来上海淘金的犹太人马勒，由于他致富靠航运,所以建筑随处可见船的痕迹~内部像邮船，每层楼梯口都有圆形窗，是仿密封船设计。据说,房子源自马勒女儿的梦，马勒根据女儿梦中所见的样式造了这座别致住宅O网页链接 ????????                                            ", 2013-4-30 13:52,3268,235,51,专业版微博,zuxp09bns
11,"
                                                                                                    【上海车展落幕，2015再相见！】#上海新闻#2013上海车展昨天落下帷幕，接待参观者达到创纪录的81.3万人。你也是其中一分子吗？今年车展哪些给你留下最深的印象？是百闻一见的阿斯顿马丁、布加迪，抑或引领未来的概念车、新能源车，还是一站体验所有心中的候选车型……意犹未尽？两年后再见吧[汽车] ????????                                            ", 2013-4-30 12:59,349,63,18,专业版微博,zux3hzXey
12,"
                                                                                                    【@上海音乐厅 5月音乐午茶节目单来啦！】#午间时光#[咖啡] 春末夏初的五月，“音乐午茶”满300期了，8至10日/300期有特别企划系列；各地主题音乐别有一番风情： 14日/弦乐四重奏呈现亚美尼亚风情；16日/和古典吉他跳一支西班牙舞曲；21日/听长笛、大提、钢琴吟唱宝岛民谣！预约：63868922，票价10元 ????????                                            ", 2013-4-30 12:30,192,32,15,专业版微博,zuwRyEuAq
13,"
                                                                                                    【金山农家菜，哪一道最赞？】#探索上海#香猪烧鳝筒、小米粥煲甲鱼、红烧羊肉、米鱼踏青、雪菜鲜笋馅饼…@金山传播 说，赏田野风光景，品幸福农家菜活动，14家农家乐饭店呈现24道特色菜、招牌菜及各种美味点心，为食客带来饕餮大餐。点大图，看评选结果，哪一样是你的“最爱”？ ????????                                            ", 2013-4-30 12:00,125,36,14,专业版微博,zuwFlCnmq
