ID,微博内容
1,#敬请关注#【我省新增1例人感染H7N9禽流感确诊病例】今天，我省确诊1例人感染H7N9禽流感病例。患者王某，男，91岁，滁州天长市人，目前病情较重。浙江新增2例人感染H7N9禽流感病例，1例死亡病例。山东确诊首例人感染禽流感。目前，全国共报告108例，死亡22人。@央视新闻 ????????
2,#民生连线#【我省H7N9医疗费纳入大病保险】近日，我省将治疗人感染H7N9禽流感部分药物纳入城镇基本医疗保险支付范围，城镇基本医保参保人员感染H7N9禽流感，所有治疗费用可通过相关医保即时报销。同时，安徽保监局将密切关注大病保险承保公司对H7N9患者治疗费用赔付情况，确保被保险患者得到有效治疗。 ????????
3,【H7N9禽流感全国确诊96例 新增5例】国家卫生计生委20日通报，截至20日16时，全国共报告人感染H7N9禽流感确诊病例96例。其中死亡18人，康复9人，其余69人正在各定点医疗单位接受救治。据通报，19日16时至20日16时，全国报告新增人感染H7N9禽流感病例5例。其中，上海市1例，江苏省1例，浙江省3例。 ????????
4,#微播江淮#【我省亳州H7N9禽流感患者康复出院】昨日，我省人感染H7N9禽流感的亳州患者李某康复，正式出院。据悉，这次治病，李某一共花了76604.09元，按照新农合报销比例，他可以报销59787.47元。李某出院后，医院还将对他的康复情况跟踪随访，并免去其未来一年内所有相关检查费用。 ????????
5,#敬请关注#【浙江新增3例 江苏新增1例人感染H7N9禽流感病例 两例H7N9患者康复出院】浙江省卫生厅4月19日通报，浙江省新增3例人感染H7N9禽流感病例。此前1例确诊患者今天已治愈出院。江苏省卫生厅19日通报，江苏新确诊1例人感染H7N9禽流感病例。另外，我省亳州市1例确诊患者也已于今天治愈出院。 ????????
6,#敬请关注#【我省各中小学将建晨检制度】省卫生厅昨日发布《安徽省人感染H7N9禽流感防控健康教育活动实施方案》，将在各中小学校开设预防人感染H7N9禽流感健康教育课，并通过“小手牵大手”，普及防控知识，并在各学校建立晨检制度，如发现有发热、咳嗽学童，应立即通知家长，尽快就医。 ????????
7,#微播江淮#【我省筹集1.3亿元稳定禽业生产 其中税费减免近1400万元】近期由于人感染禽流感病例持续增加，家禽消费大幅下降，安徽省禽业生产受到严重影响。为此，我省通过财政补贴、税费减免等措施，共筹集资金1.3亿元，支持稳定禽业生产，减少养殖户损失，其中财政投入1.18亿元，税费减免1397万元。 ????????
8,#敬请关注#【亳州禽流感患者病情好转 已转入普通病房】省卫生厅4月17日通报，我省亳州市1例人感染H7N9禽流感病例经积极治疗，目前病情好转，已经从重症监护病房转至普通病房继续治疗。患者李某4月1日入院治疗，4月7日被确诊为感染病例。目前，医院正密切观察患者的病情变化，继续对患者进行康复治疗。 ????????
9,#微播江淮#【我省出台措施稳定家禽业发展】鉴于禽流感对养殖业造成的严重影响，我省近日出台系列举措，自今年4月10日至7月10日，对涉禽龙头企业提供50%贷款贴息，对家禽养殖、加工企业推出税收减免等扶持政策，推动龙头企业和养殖户产销对接，扶持养殖和加工企业，稳定禽业发展。 ????????
10,#微播江淮#【我省将H7N9禽流感患者部分使用药品纳入医保】奥司他韦、扎那米韦等符合卫生和计划生育委员会公布的《人感染H7N9禽流感诊疗方案(2013年第2版)》的药品将纳入我省城镇基本医疗保险基金支付范围。已参保的H7N9禽流感患者发生的医疗救治费用，可通过有关规定予以即时结报。 ????????
11,#敬请关注#【我省新增一例人感染H7N9 病情危重】 安徽省卫生厅今晚通报，安徽新确诊1例人感染H7N9病例。患者陈某，男，60岁，天长市人，退休人员，在当地某公司做门卫。目前患者病情危重。其密切接触者共有25人，截止目前均未发现异常。至此，全国共63例人感染H7N9禽流感，死亡14例。 ????????
12,#敬请关注#【江苏、浙江各新增1例人感染H7N9禽流感病例 全国62例14死】江苏省卫生厅和浙江省卫生厅今日分别通报，两省各新增1例人感染H7N9禽流感病例。截至15日晚18时，全国共通报确诊人感染H7N9禽流感病例62例，其中北京1例；河南2例；上海24例9死；江苏17例2死；浙江16例2死；安徽2例1死。@人民日报 ????????
13,#敬请关注#【全国已确诊H7N9禽流感病例60例 今天已增11例】截止今日18:00，今天全国已新确诊11例H7N9禽流感病例，为历日来最高。上海有2例之前确诊患者，经全力抢救无效死亡。迄今全国已有13例患者死亡。 ????????
