序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【寒假书单??动手动脚的阅读】#灯下夜读#孩子们生性好动，如果有让孩子边看边动手的书该有多好呢？《莫娜创意绘画》是畅销美国30年的绘画教材，循序渐进地帮助孩子建立空间观念；《4D绘本》让AR技术与涂色游戏相结合，超越传统填色游戏，让孩子创造属于他们自己的三维动画。更多图书↓@百道网 ????????                                            ", 2015-1-31 21:30,70,7,43,专业版微博,C2aYbzfjw
2,"
                                                                                                    【趁热吃，不对！】#便民提示#@全国卫生12320 说，虽然食物趁热吃味道更香，但长期过热饮食会诱发食道癌等多种消化道疾病。我们的食道壁非常娇嫩，只能耐受50~60℃的食物，超过温度，食道黏膜就会被烫伤。反复如此，可能引起质的变化，可能发展为肿瘤。因此，最合适的食物温度是不凉也不热，在40℃左右 ????????                                            ", 2015-1-31 19:48,163,43,48,专业版微博,C2aiPAmQO
3,"
                                                                                                    【2015春运自驾出行攻略出炉！】#最新#2015春运马上来临，这个春节要自驾外出游玩的筒子注意了，市交警总队针对春运期间道路预计拥堵情况，发布2015年春运自驾出行攻略：包括上海至南京、苏州、无锡、南通等往江苏方向和上海至湖州、嘉兴、杭州、宁波等往浙江方向的常规线路和推荐线路，有需要的收藏吧 ????????                                            ", 2015-1-31 18:53,156,25,63,360安全浏览器,C29Wc2iUI
4,"
                                                                                                    【中小学寒假开始啦，还记得自己当年的happy假期吗？】今天是中小学寒假第1天，又到了喜羊羊与灰太狼斗智斗勇、大头儿子与小头爸爸相亲相爱的快乐日子了，小朋友们打算如何欢度这段时光呢？各位大童鞋们，还记得当年的happy寒假吗？是电视里的小燕子、白娘子，还是过年时的大餐、压岁钱？一起回忆吧 ????????                                            ", 2015-1-31 17:25,143,27,57,360安全浏览器,C29mGio4N
5,"
                                                                                                    【明天阴到多云，傍晚转阴有小雨，3-7℃】#天气预报#今早的蓝天白云是否让你心情很灿烂？不过从明天傍晚起一直到下周前期，受冷暖空气共同影响，上海又将是多阴雨天气。气温虽略有回升但依然寒冷，明天最低3度，下周一最低5度。好消息是，明天空气质量不错，等级是优哦 ????????                                            ", 2015-1-31 17:09,36,12,24,360安全浏览器,C29g6eg54
6,"
                                                                                                    【咸肉】#滋味#上海人对咸肉是非常钟情的。在许多小菜、汤水中都要放一点咸肉，一来是过过“肉瘾”，二来是调味提鲜。咸肉味道浓郁醇厚，但又不刺激招摇，放在汤水里让口感也变得厚重起来，如腌笃鲜、咸肉冬瓜汤。而当其放在饭粥中，做成咸肉菜饭、咸肉菜泡饭，又让这“一锅端”的主食添了几分层次。 ????????                                            ", 2015-1-31 16:04,289,72,200,专业版微博,C28PJz7T0
7,"
                                                                                                    【轨交龙阳路站2号口明起投入使用】#便民提示#经常出入龙阳路站的童鞋请注意，@上海地铁shmetro 说，从明天起(2月1日)，轨交2号线龙阳路站2号出入口将投入使用，该出入口可直接通往龙阳广场内，也可以从龙阳广场穿出去到达龙阳路，请途经的乘客留意！ ????????                                            ", 2015-1-31 14:56,27,5,25,微博 weibo.com,C28omgIqb
8,"
                                                                                                    【浦东机场博物馆正在举办瓶中船展览】#海上博物馆#看个展览再飞吧！你知道吗？在浦东机场2号航站楼国际出发候机大厅有个常年免费开放的博物馆，现在正在展出的是@中国航海博物馆微博 收藏的32件瓶中船及4条中小型船模，其中，既包括传统的中式木帆船，也包括自古埃及时期起的西洋木帆船，非常精美。 ????????                                            ", 2015-1-31 13:46,59,10,35,专业版微博,C27VOgucM
9,"
                                                                                                    【2月上海艺术展览不完全表单，25个免费展览等你来哟】#午间时光#@喜玛拉雅美术馆 《此时》是英国当代艺术家迈克尔??克雷格-马丁的中国巡展，从对最生活的物件的演绎，讲述关于当代生活的故事；羊年快到了，带小朋友去@上海虹桥当代艺术馆 参观少儿生肖绘画展《喜气洋洋画吉羊》吧。详情↓ ????????                                            ", 2015-1-31 11:59,198,31,48,专业版微博,C27en8JGE
10,"
                                                                                                    【一张图看懂上海市餐饮服务食品安全违法行为记分管理暂行办法】                                            ", 2015-1-31 11:01,38,9,5,360安全浏览器,C26QQAofx
11,"
                                                                                                    【上海建桥学院2014届就业质量报告：税后月薪多集中在2500-5000元】#教育新知#@上海建桥学院 2014毕业生就业质量报告出炉：毕业生共3196人，本科生2273人，专科生923人，男女比1:1.38，就业率99.6%。共2168 人到中小企业就业，为学校毕业生主要就业渠道。毕业生税后月薪相对集中分布在2500~5000元 ????????                                            ", 2015-1-31 09:59,62,60,31,360安全浏览器,C26rECkSR
12,"
                                                                                                    【本市开展校园足球特色校申报遴选工作，足球或成为必修课】#教育新知#足球运动要从青少年抓起~@上海教育 说，本市中小学和区县正开展全国青少年校园足球特色学校及试点县(区)申报及遴选工作。申报特色学校需符合条件：配齐配强体育师资、场地设施建设完备、开发足球课程资源、成立足球组织等，详↓ ????????                                            ", 2015-1-31 08:59,64,31,19,专业版微博,C263bfwol
13,"
                                                                                                    【今早空气质量良，实时指数82】#空气质量#一起看下今早的空气质量。早7时，全市PM2.5平均浓度60.2，最高的青浦淀山湖（淀峰渔民村1号）69，最低的浦东张江（祖冲之路295号）和杨浦四漂（平凉路1398号），均为53，实时空气质量指数82，良。逐小时更新数据请点O上海市空气质量实时发布系统 ????????                                            ", 2015-1-31 07:29,26,5,11,微博 weibo.com,C25sSuwsC
14,"
                                                                                                    【今日雨歇，风力仍较大，气温2-6℃】#早安上海#昨日雨疏风骤，今日雨停风依旧。本周末的第一天多云，夜里转阴天，明天傍晚前后转阴有时有小雨。西北风4-5级阵风6级，长江口区阵风有6-7级，气温最低气温2℃，最高气温6℃。若问穿衣指数，知否知否，还是能厚则厚 ????????                                            ", 2015-1-31 06:51,86,18,46,微博 weibo.com,C25dphXE6
15,"
                                                                                                    【寒假书单??动物星球】#灯下夜读#水族缸的鱼让人心态平和，猫和狗让人感悟接触与关心的需要，马则让人有机会学习身体操控与灵性的奔驰。不妨让孩子们通过书籍来了解一下动物世界，《导盲犬迪克》《蚂蚁帝国》《黑猫尼诺》《逝者如渡渡》《狗武士》......推荐56本有关动物的好书。@百道网 ????????                                            ", 2015-1-30 21:57,42,5,31,搜狗高速浏览器,C21IE4f9n
16,"
                                                                                                    【起床之后别立即进食】#便民提示#@全国卫生12320 说，经过一夜的睡眠，胃在清晨也还处于“半梦半醒”的状态，早上唾液和胃液分泌量相对较少，如果立即进食，尤其是吃一些难消化的食物(如肉类等)，易导致消化不良。晨起后最好先喝一杯水再进食，不仅能补充水分，增加消化液的分泌，还可以促进血液循环 ????????                                            ", 2015-1-30 19:41,75,14,51,微博 weibo.com,C20Pw5aFu
17,"
                                                                                                    【2015年上海公务员考试职位报名今天结束，不同职位冷热不均】#最新#报考上海公考的筒子，你报的职位热门吗？小布统计第1轮岗位A类报名情况：截至今天17:00，市外办西班牙语岗位科员等65个职位暂无人申报；市委办公厅等43个职位的录取比率低于1:20，其中闸北区委组织部办公室科员录取比例为1:41，详↓ ????????                                            ", 2015-1-30 18:48,71,31,49,微博 weibo.com,C20tSwluB
18,"
                                                                                                    【下月7日拍牌：个人额度7653辆，警示价仍为73700元】#最新#国拍公司今天公告，2月份车牌拍卖将于2月7日举行，个人额度7653辆，比1月份7990辆的额度有所降低。警示价仍为73700元。PS：1月车牌最低成交价74000元，平均成交价为74216元，中标率8.1%。 ????????                                            ", 2015-1-30 18:17,71,41,23,微博 weibo.com,C20hftGs6
19,"
                                                                                                    【别往下水道里扔鞭炮】#交通快讯#@警民直通车-徐汇站 说快过年了，提醒孩子们注意安全，千万别往下水道扔鞭炮。@乐行上海 说南北东侧延东立交至共和立交；内环外侧大柏树至广中路，内侧吴中路至武夷路；延安南侧江苏路至西藏南路，北侧江苏路至虹许路；中环内侧上中西路至吴中路等路段拥挤。 ????????                                            ", 2015-1-30 17:50,285,82,67,微博 weibo.com,C206fe9V6
20,"
                                                                                                    【明天多云转阴，后天起连续三日阴雨天气】#天气预报#前阵子都说今年冬天干燥，这阵子雨水就过来“别苗头”。告别了这周工作日的阴雨雪交加，周末两天依然“脸色难看”。明天暂时摆脱雨水，为阴到多云，而后天起将有小雨天气来袭，下周初两天也将连续有雨。年度“雨戏”没完没了，观光团请自备雨具 ????????                                            ", 2015-1-30 17:18,44,14,27,360安全浏览器,C1ZTptH8x
21,"
                                                                                                    【地铁火灾该如何逃生？】#便民提示#@上海地铁shmetro 提醒，坐地铁时遇上火险，最危险的是烟气扩散。请牢记往上风口跑。如车辆在隧道行驶中发生火灾，请勿擅自拉下紧急拉手，而应尽量靠站台处置，或待列车停稳后，通过车两头逃生门或车门疏散。 ????????                                            ", 2015-1-30 16:37,30,13,20,360安全浏览器,C1ZCEdNrF
22,"
                                                                                                    【你不知道的提篮桥十宗”最”】#探索上海#说到提篮桥，不少筒子会不由自主地想到监狱。其实，那里还有许多故事呢。@乐游上海 整理了提篮桥十宗“最”:除了最靠近市区的监狱，还有本市最早的土木工程学院、全市最大的犹太社团活动地以及未来备受瞩目的北外滩国际航运中心等。快戳图看看 ????????                                            ", 2015-1-30 16:10,114,20,77,360安全浏览器,C1ZrKoVei
23,"
                                                                                                    【一条地铁11号线带你游遍嘉定那些古今景点】#探索上海#除古猗园、南翔老街等著名景点，嘉定还有哪些好玩的？@乐游上海 说，上至宋代古迹下至现代景区，大部分嘉定景点都能坐地铁11号线换乘公交到达，如宋代古迹有法华塔、州桥，现代景区有保利大剧院、上海汽车博物馆，戳图看30多处嘉定古今景点~ ????????                                            ", 2015-1-30 15:31,251,31,70,360安全浏览器,C1ZbVDS7B
24,"
                                                                                                    【静安区6家文史馆长期招募文化讲解志愿者】#连线区县#对历史感兴趣?想不想做讲解员?@上海静安 说，毛泽东上海旧居、刘长胜故居和蔡元培故居等6家革命历史纪念馆新一轮文化讲解志愿者招募开始，15-60周岁、普通话流利的市民均可报名，可在各馆领取报名表，也可戳O网页链接 报名，详见↓ ????????                                            ", 2015-1-30 15:05,51,25,22,微博 weibo.com,C1Z1ceoG4
25,"
                                                                                                    【你问我答：酒类能否带上列车?】网友@七月小季风 问，酒类可以带上列车么?@上铁资讯 说，列车上可携带酒类，品种也无限制，但白酒只限原包装。这是因为酒精属于列车限量携带物品范列，而散装白酒与酒精不易区别，所以只能携带未开封的、原包装的白酒。同时请注意:随身携带上车的行李物品请勿超过20kg ????????                                            ", 2015-1-30 14:40,43,10,17,微博 weibo.com,C1YQZxtcI
26,"
                                                                                                    【嘉定区政协副主席严菊明严重违纪被撤销职务降低职级】#最新#市纪委发布，嘉定区政协副主席严菊明严重违犯党的纪律。经市纪委审议并报市委批准，决定撤销严菊明嘉定区委委员、区政协党组成员的职务；按照政协章程，撤销其嘉定区政协副主席的职务和政协常委、委员的资格；职级从副局级降至正处级。 ????????                                            ", 2015-1-30 14:12,170,142,38,微博 weibo.com,C1YFQoeFA
27,"
                                                                                                    【@上海大剧院 艺术课堂第二阶段4个系列讲座票周六发售】#午间时光#[咖啡]有喜欢现代舞和歌剧的童鞋吗？艺术课堂第二阶段讲座又来了！“世界著名歌剧院巡礼”讲座带你欣赏巴黎、维也纳、伦敦等地著名剧院的建筑文化，一同见证世界顶级大剧院的盛世辉煌；现代舞系列讲座，告诉你如何解读现代舞精髓。 ????????                                            ", 2015-1-30 13:08,12,8,17,微博 weibo.com,C1YfOq8L5
28,"
                                                                                                    【谨防“社保电话”诈骗】#便民提示#针对不法分子近期冒用962218热线盗取信息及套用医保卡资金等行为，@上海12333 提醒广大市民妥善保管个人社保(医保)卡，切勿向陌生人泄露信息。市民每次致电社保中心热线都不会收取任何费用，且会要求密码验证后再提供服务。如遇可疑情况，请及时报警。 ????????                                            ", 2015-1-30 12:00,66,13,9,微博 weibo.com,C1XO227pV
29,"
                                                                                                    【曹家渡商圈楼宇将通过天桥及地下空间连通】#连线区县#在曹家渡上班的筒子们看过来，@上海规土发布 说，《曹家渡地区楼宇连通总体布局方案》已获批，这个横跨静安、长宁和普陀三区的地标性商圈今后将设置天桥并连通局部地下空间，加强区域内各商业体之间的联系。今后在曹家渡商圈穿行更方便啦! ????????                                            ", 2015-1-30 11:31,38,13,9,微博 weibo.com,C1XCitYJy
30,"
                                                                                                    【”55度杯”材质安全评估：3批次杯身脱色、1批次内胆焊接处渗漏】#质量安全#你用过最近很火的”55度杯”吗?@上海质监发布 对5家电商48家网店的73批次“55度杯”及类似产品的材质进行安全评估，有3批次产品的聚丙烯材质杯身脱色试验不合格，1批次内胆焊接处渗漏，夹层中液体进入内胆中。详见长微博 ????????                                            ", 2015-1-30 11:00,69,21,13,微博 weibo.com,C1XpGlCRc
31,"
                                                                                                    【松江区拟新建东港路(辰花公路-广富林路)】#城市规划#经常往返松江大学城的朋友请注意，松江区东港路(辰花公路-广富林路)段道路工程即日起进行环评公示。该道路工程南起广富林路，北至辰花公路，道路全长1104.88米，拟设计为双向两车道，设计车速为30公里/小时。工程还将涉及新建桥梁、绿化等设施。 ????????                                            ", 2015-1-30 10:31,27,21,9,微博 weibo.com,C1XegE3gp
32,"
                                                                                                    【2015年本市一次性塑料餐饮具质量抽检，115批次全部合格】#质量安全#餐具质量必须严格把关。@上海质监发布 于近期对本市生产的一次性塑料餐饮具进行了专项监督抽查，共计抽产品115批次。经感官、蒸发、重金属等多个项目探测检验，实物质量115批次全部合格，抽查名单和结果见长微博 ????????                                            ", 2015-1-30 10:00,56,10,18,微博 weibo.com,C1X1lgFBR
33,"
                                                                                                    【2015本市食品安全有奖知识竞赛将于2.3开启】#上海新闻#@上海食药监 说，2015年上海市食品安全有奖知识竞赛即将于2.3正式开始。从2.3-2.28，年满16周岁的市民可通过市食品安全网O网页链接 登陆答题或通过 2月3日当天相关报纸、IPTV电视进行答题。中奖名单计划于4月7日公布，详见长微博 ????????                                            ", 2015-1-30 09:32,57,14,16,微博 weibo.com,C1WQfDp3O
34,"
                                                                                                    【2015年上海市高等教育自学考试工作日程安排出炉】#教育新知#准备报名参加自学考试的童鞋们请留意，@上海国子监 说，2015年，第66、67次高等教育自学考试时间分别安排在4月的11、12、18、19日及10月的17、18、24、25日，详见长微博 ????????                                            ", 2015-1-30 09:10,73,13,19,微博 weibo.com,C1WHbnkFE
35,"
                                                                                                    【今早空气质量良，实时指数65】#空气质量#来看下今早的空气质量。早7时，全市PM2.5平均浓度46.6，最高的青浦淀山湖（淀峰渔民村1号）87，最低的浦东川沙（川环南路319号）36，实时空气质量指数65，良。逐小时更新数据请点O上海市空气质量实时发布系统 ????????                                            ", 2015-1-30 07:29,43,8,10,专业版微博,C1W2bxNkH
36,"
                                                                                                    【早高峰路况：南北西侧共江路、内环外侧大柏树等拥堵】#交通资讯#@乐行上海 说，7：15快速路拥挤路段有：南北西侧共江路至汶水路、广中西路至永兴路；延安南侧虹许路至延西立交；内环外侧大柏树至广中路；沪闵东侧柳州路至漕宝路。 ????????                                            ", 2015-1-30 07:18,18,5,15,专业版微博,C1VXDEjdX
37,"
                                                                                                    【今天多云到阴、局部零星小雨或雨夹雪，周日再有小雨】#早安上海#终于又到福来day，而且离春节还有20天，想到这些，是不是起床有点动力了？今天天气仍然阴沉，局部还有零星小雨或雨夹雪，气温也维持在2-6度的低位。周六继续阴到多云，周日渐转小雨，气温略有回升。筒子们摒摒牢，羊年越来越近啦 ????????                                            ", 2015-1-30 06:58,141,29,32,微博 weibo.com,C1VPsxkZl
38,"
                                                                                                    【每日一书??《美好古董衣店》】#灯下夜读#复古风来袭！美国2013年最佳女性小说献给每一个追求自我的女人。一件古董衣，把生活时代相隔100年的两个女人的命运交织在一起。一件出售的物品将泄露一段失落的历史，揭开一个深埋的秘密。这个秘密属于一个生活在100年前的纽约的女人。@中信出版社 ????????                                            ", 2015-1-29 21:32,22,6,34,搜狗高速浏览器,C1S7T1TEX
39,"
                                                                                                    【2015年度上海养老保险个人账户记账利率确定】#最新#市人社局发布，2015年度本市城镇职工基本养老保险个人账户、城乡居民基本养老保险个人账户的记账利率为2.75%。个人账户储存额存满全年的，根据年度记账利率计算年利息；未存满全年的，根据实际存储的月份数乘以年记账利率的1/12计算利息。 ????????                                            ", 2015-1-29 20:14,101,31,20,微博 weibo.com,C1RC4herz
40,"
                                                                                                    【牛奶最好隔水加热】#便民提示#@全国卫生12320 说，加热牛奶时别破坏牛奶的营养成分。若把牛奶加热至沸腾，牛奶中的乳糖会在高温下分解。沸腾时间越长、温度越高，乳糖破坏越多。当牛奶加热至80℃，牛奶中的磷酸可和钙结合，形成不溶物，进而导致牛奶中的钙含量降低。牛奶加热最好的方式是隔水加热。 ????????                                            ", 2015-1-29 19:40,130,30,46,搜狗高速浏览器,C1Rosp6qQ
41,"
                                                                                                    【未来4-5天申城阴雨相间，气温碎步回升】#天气预报#今日申城天气阴沉，绵绵阴雨让人不得不苟头缩颈~预计明天起到本周末，天气仍然不给力，将以阴雨为主。今天上半夜起阴有小雨或小雨夹雪，明天阴到多云，白天局部有短时小雨或小雨夹雪，周六阴到多云，周日再迎小雨。气温则每天升1度，慢慢回温。 ????????                                            ", 2015-1-29 19:11,62,11,25,微博 weibo.com,C1RcP5fWL
42,"
                                                                                                    【微直播到此结束，谢谢各位网友】市政府今天下午举行记者招待会。近2小时时间内，杨雄市长回答中外记者十多个问题，涉及自贸区、迪士尼、房地产调控、交通出行、医疗改革等热点问题。现在微直播已经结束，感谢各位网友的围观。希望继续关注小布的其他内容。 ????????                                            ", 2015-1-29 18:43,17,15,24,微博 weibo.com,C1R1u76QC
