序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag
1,"
                                                                                                    #广元青川5.4级地震#【四川省地震局】地震台网正式(CC)测定：17年09月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13公里。目前经过初步核实，广元电网坚挺！经受过5.12考验，国家电网应急救灾、救援工作正在有序开展。 ????????                                            ", 9月30日 14:40,4,1,3,360安全浏览器,FocJN3UzH,0
2,"
                                                                                                    #江油5.4级地震#中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震。国网四川绵阳供电公司迅速核实，电力设施和员工未接到受损及伤亡报告，坚强智能电网经受住了考验。同时，绵阳供电公司迅速启动应急预案，为抗击灾害提供电力保障。 ????????...展开全文c                                            ", 9月30日 14:34,2,1,4,360安全浏览器,FocHt91Tj,0
3,"
                                                                                                    【南充：张思德电力为民服务队，节前服务再行动】9月21日，张思德电力为民服务队南部分队到三官镇红岩村李勇老幼托管中心，送去牛奶、点心、月饼等慰问品，并免费检修室内线路；9月22日，张思德电力为民服务队三新分队前往高坪区安康路打铁垭为贫困户杨雷免费安装线路；9月24日，又前往青莲5村五保 ????????...展开全文c                                            ", 9月25日 16:44,1,1,4,搜狗高速浏览器,Fnspvf5wt,0
4,"
                                                                                                    【眉山：开展用电知识宣传】9月22日，国网眉山供电公司输变电分公司党员志愿者走进结对共建社区开展用电知识宣讲，“小红帽”们向社区居民发放电力设施保护、安全用电画册、宣传海报，为党的十九大顺利召开做好保电服务及宣传工作。 ????????                                            ", 9月25日 16:32,转发,评论,1,搜狗高速浏览器,FnskJ7HVB,0
5,"
                                                                                                    【成都市本周公益电影——《建军大业》】成都市“公益电影进影院”9月27日、10月1日放映公益场影片为《#建军大业#》。放映时间为上午10点半，市民和外来人员均可凭身份证（或老年证）直接到38家指定影院现场免费办理电影票后观影。（@成都市政府门户网站 ）详见：O网页链接 ????????                                            ", 9月25日 16:30,转发,评论,赞,微博 weibo.com,FnsjPzc8X,0
6,"
                                                                                                    【月入2万以上出国旅游者42.8%会携带方便面】近年来,外卖兴起、高铁普及、消费升级等诸多因素一直压缩着方便面的应用场景及增长空间。面对困境,方便面行业开始推出5元以上高品质面,迎合消费升级。凯度消费者指数显示,月收入2万以上的出国旅游者中,42.8%会携带方便面。你出国带方便面吗？（ ????????...展开全文c                                            ", 9月25日 15:30,转发,1,赞,微博 weibo.com,FnrVtzvUV,0
7,"
                                                                                                    【原创诗歌】#电力人原创#（国网乐山供电公司 胡伯清） ????????                                            ", 9月25日 15:00,转发,评论,1,微博 weibo.com,FnrJiAAGU,0
8,"
                                                                                                    【16万能买些啥？】不同需求不同回答。对于购房者，仅是北京五环外一个“厕所间”；对于购物狂，刚好一次清空购物车中10个名牌包。统计局显示，2017年上半年全国居民人均可支配收入12932元，可见16万在当今中国依旧是一笔“巨款”。但如果你的16万发霉了？扎心后，只有工行老铁能给你答案。 （@头条新 ????????...展开全文c                                            ", 9月25日 14:30,转发,评论,赞,微博 weibo.com,Fnrx7CnOu,0
9,"
                                                                                                    【乐山：上门开展用电服务】太平豆腐干是乐山的名小吃，因豆腐干制作工艺的要求，对电力可靠供应的需求较高。9月21日，四川乐山供电公司太平供电所的工作人员主动上门，帮助豆腐干作坊排查用电安全隐患，尽量减少因电力设备故障带来的经济损失。 ????????                                            ", 9月25日 14:00,转发,评论,赞,微博 weibo.com,FnrkWDREl,0
10,"
                                                                                                    【成都：提前打响十九大保电战】9月22日，国网成都简州供电公司组织对简阳电网设备进行全面排查。辖区供电所、输电线路班等班组人员对35千伏、10千伏线路设备进行特巡，同时对查出的安全隐患进行消缺处理，确保十九大期间简阳电网安全可靠运行。（陈翔） ????????                                            ", 9月25日 12:00,1,1,1,微博 weibo.com,Fnqyeofgv,0
11,"
                                                                                                    【立秋时节 适合吃藕】立秋之后，正逢莲藕上市，此时天气变得干燥，吃藕，能起到养阴清热、润燥止渴、清心安神的作用。顺便教您怎样区分脆藕和耙藕－耙藕：七孔藕（又称红花藕），粉含量较高，水分少，糯而不脆；脆藕：九孔藕（又称白花藕），水分含量高，脆嫩、汁多。（@生命时报 ） ????????                                            ", 9月25日 11:30,转发,评论,3,微博 weibo.com,Fnqm3pcGI,0
12,"
                                                                                                    【泸州：应急救援演练，防患于未然】9月21日，四川泸州供电公司开展高层建筑消防安全综合应急演练，以提高电力抢险队员应对高层建筑火灾的处置能力。演练模拟泸县龙禹华冠小区发生火灾，导致大量人员被困。供电应急队员迅速对龙禹华冠小区进行停电，随即排查现场是否存在漏电、静电等情况，检查小区应 ????????...展开全文c                                            ", 9月25日 11:00,1,评论,赞,微博 weibo.com,Fnq9T34X0,0
13,"
                                                                                                    魔性的笑声~~                                            ", 9月25日 10:41,转发,评论,7532,搜狗高速浏览器,Fnq2lkwn4,-1
14,"
                                                                                                    转发微博                                            ", 9月25日 10:31,转发,评论,22036,搜狗高速浏览器,FnpYmipuy,-1
