序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,dcID,DataSource
12,#阿坝依然美丽#国旗在藏区上空飘扬 ?????? ????????, 9月28日 11:22,1,1,15,iPhone 6s,FnSAsd2Ov,-1,12,1,1
13,#阿坝这五年# #马尔康锅庄节#, 9月28日 08:59,1,1,2,iPhone 6s,FnREtgOfw,-1,13,2,1
17,#阿坝这五年# //@光影相随:回复@叫我悅人 的赞:, 9月27日 16:03,2,评论,7,iPhone 6s,FnKZYsHUQ,-1,17,3,1
20,#阿坝这五年#, 9月27日 11:34,2,1,9,iPhone 6s,FnJeZ75dk,-1,20,4,1
21,#阿坝这五年#, 9月27日 11:34,3,评论,12,iPhone 6s,FnJeU5ot8,-1,21,5,1
22,#阿坝这五年#, 9月27日 11:34,2,评论,11,iPhone 6s,FnJeLeB8N,-1,22,6,1
23,#阿坝这五年#, 9月27日 11:34,2,评论,8,iPhone 6s,FnJeHnO6X,-1,23,7,1
24,#阿坝这五年#, 9月27日 11:33,转发,评论,23,iPhone 6s,FnJeB9Wel,-1,24,8,1
25,#阿坝这五年#, 9月27日 11:33,1,评论,7,iPhone 6s,FnJeyeLdV,-1,25,9,1
26,#阿坝这五年#, 9月27日 11:33,1,评论,8,iPhone 6s,FnJeroHo5,-1,26,10,1
27,#阿坝这五年#, 9月27日 11:33,1,评论,5,iPhone 6s,FnJej905Y,-1,27,11,1
28,#阿坝这五年#, 9月27日 11:32,1,评论,6,iPhone 6s,FnJefjZKE,-1,28,12,1
29,#阿坝这五年#, 9月27日 11:32,转发,评论,9,iPhone 6s,FnJec6uKA,-1,29,13,1
30,#阿坝这五年#, 9月27日 11:32,转发,评论,6,iPhone 6s,FnJe8v0f6,-1,30,14,1
31,#阿坝这五年#, 9月27日 11:32,2,评论,19,iPhone 6s,FnJe46Mog,-1,31,15,1
32,#阿坝这五年#, 9月27日 11:32,4,评论,10,iPhone 6s,FnJdXBBPa,-1,32,16,1
33,#阿坝这五年#, 9月27日 11:32,转发,评论,6,iPhone 6s,FnJdUiPXZ,-1,33,17,1
34,#阿坝这五年#, 9月27日 11:31,转发,评论,21,iPhone 6s,FnJdCDkh4,-1,34,18,1
35,#阿坝这五年#, 9月27日 11:31,1,评论,22,iPhone 6s,FnJdzjUwU,-1,35,19,1
60,#你为何选择或不选四川#说走就走的旅行在这里——天府四川·熊猫故乡O网页链接 ????????, 9月20日 10:32,转发,评论,赞,微博 weibo.com,FmEQjdpYs,-1,60,20,1
87,#你为何选择四川或不选四川#天赋四川·熊猫故乡 O网页链接 ????????, 9月15日 11:01,转发,评论,1,iPhone 6s,FlTTFierp,-1,87,21,1
125,#美丽阿坝·处处是景点#, 9月8日 17:55,4,评论,116,iPhone 6s,FkSBYo4XP,-1,125,22,1
126,#美丽阿坝·处处是景点#, 9月8日 17:55,转发,1,110,iPhone 6s,FkSBUybHq,-1,126,23,1
127,#美丽阿坝·处处是景点#, 9月8日 17:54,1,评论,118,iPhone 6s,FkSBRgIJb,-1,127,24,1
128,#美丽阿坝·处处是景点#, 9月8日 17:54,转发,评论,111,iPhone 6s,FkSBNdstL,-1,128,25,1
129,#美丽阿坝·处处是景点#, 9月8日 17:54,转发,评论,1,iPhone 6s,FkSByEQ8C,-1,129,26,1
130,#美丽阿坝·处处是景点#, 9月8日 17:53,转发,评论,5,iPhone 6s,FkSBabR43,-1,130,27,1
131,#美丽阿坝·处处是景点#, 9月5日 22:48,1,1,22,iPhone 6s,FksfjkVR6,-1,131,28,1
132,#美丽阿坝·处处是景点#, 9月5日 22:47,1,评论,5,iPhone 6s,FkseZyKRS,-1,132,29,1
133,#美丽阿坝·处处是景点#, 9月5日 22:47,1,评论,4,iPhone 6s,FkseVq3oN,-1,133,30,1
134,#美丽阿坝·处处是景点#, 9月5日 08:28,转发,评论,5,iPhone 6s,FkmCvaUSA,-1,134,31,1
220,发布了头条文章：《【荐读】九寨依然美丽（一）》 °【荐读】九寨依然美丽（一） ????????, 8月13日 21:06,2,1,12,微博 weibo.com,FgWKCDfGU,-1,220,32,1
221,发布了头条文章：《微笑守护》 °微笑守护 ????????, 8月13日 18:39,2,评论,10,微博 weibo.com,FgVNd1tpX,-1,221,33,1
231,@人民日报 @央视新闻 @新浪四川 @四川日报, 8月12日 22:48,5,1,64,iPhone 6s,FgNZtufZB,-1,231,34,1
244,发布了头条文章：《【细致认真做好群众工作 科学规划景区恢复重建】》 °【细致认真做好群众工作 科学规划景区恢复重... ????????, 8月12日 12:21,1,评论,3,微博 weibo.com,FgJSVyIvq,-1,244,35,1
275,【阿坝州公安机关依法查处一起借“九寨沟地震灾情”欺诈游客钱财的案件】O网页链接 ????????, 8月10日 22:38,1,评论,12,iPhone 6s,Fgv4qAKYn,-1,275,36,1
276,【辟谣！九寨沟长海溃坝为谣言】O网页链接 ????????, 8月10日 21:45,2,评论,2,iPhone 6s,FguJ0mDcx,-1,276,37,1
283,#路况# 国道213线茂县石大关旧关楼坍方处抢通，但目前不准社会车辆通行！ ????????, 8月10日 17:01,2,2,4,iPhone 6s,FgsRJkRbN,-1,283,38,1
357,#九寨沟7.0级地震#, 8月8日 23:42,4,评论,14,iPhone 6s,FgcDDv3Jj,-1,357,39,1
358,#九寨沟7.0级地震#, 8月8日 23:42,1,1,20,iPhone 6s,FgcDz51ZV,-1,358,40,1
359,#九寨沟7.0级地震#, 8月8日 23:42,2,评论,29,iPhone 6s,FgcDqtMou,-1,359,41,1
360,此图不是九寨沟地震现场，请大家不要信谣传谣。 ????????, 8月8日 23:40,6,5,29,iPhone 6s,FgcCCzBv0,-1,360,42,1
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,dcID,DataSource
1529,#晚安成都#要坚信。 ??????据@思想聚焦 ????????, 8月11日 23:31,9,9,70,iPhone 6s,FgEQxwKwj,-1,2062,43,2
﻿序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,dcID,DataSource
1,转发微博,9月30日 14:30,1,评论,12,iPhone 6s,FocFMuF5Z,-1,3413,44,4
3,转发微博,9月30日 12:09,3,1,115,iPhone 6s,FobKuq0YJ,-1,3415,45,4
7,转发微博,9月29日 22:15,3,评论,6363,iPhone 6s,Fo6i4oEMh,-1,3419,46,4
20,转发微博,9月27日 17:26,转发,评论,69,iPhone 6s,FnLxO7HBI,-1,3432,47,4
21,转发微博,9月27日 17:25,12,1,7,iPhone 6s,FnLx8qdgM,-1,3433,48,4
34,转发微博,9月25日 09:26,1,评论,7120,iPhone 6s,Fnpy6qRzN,-1,3446,49,4
39,转发微博,9月24日 10:38,2,评论,7,iPhone 6s,FngANa9H7,-1,3451,50,4
40,,9月23日 13:04,转发,评论,11,iPhone 6s,Fn87fz0fY,-1,3452,51,4
50,转发微博,9月21日 15:50,2,评论,74,iPhone客户端,FmQlMljqY,-1,3462,52,4
61,,9月19日 20:11,4,1,762,iPhone 7,FmzcQekfM,-1,3473,53,4
64,转发微博,9月19日 14:50,1,评论,赞,360安全浏览器,Fmx6tEujJ,-1,3476,54,4
72,转发微博,9月17日 23:35,3,1,14,iPhone 7,FmhGpE31F,-1,3484,55,4
79,转发微博,9月16日 23:04,1,评论,12,iPhone 7,Fm83x6mOn,-1,3491,56,4
103,,9月11日 22:48,4,评论,450,iPhone 7,FlmOsdOWc,-1,3515,57,4
104,转发微博,9月11日 22:47,3,评论,5,iPhone 7,FlmO8pB1u,-1,3516,58,4
110,转发微博,9月10日 20:14,1,评论,4,iPhone 7,FlcnDdBo2,-1,3522,59,4
113,转发微博,9月10日 18:56,1,评论,42,iPhone 7,FlbRHETjK,-1,3525,60,4
114,转发微博,9月9日 22:08,1,评论,1,iPhone 7,Fl3Hhk6XJ,-1,3526,61,4
