序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID,flag,dataID,FeatureID,DataSource
4,【九寨沟县地震灾后首个校园应急示范站成立】“高新九寨心连心，震后九寨更美丽。”9月28日下午，由成都高新区志愿者协会党支部、成都市义工联合会党支部联合主办的“支援九寨沟县第四小学应急示范站建设暨校园信息建设项目”捐赠仪式在九寨沟县第四小学举行。捐赠活动上，由成都高新区志愿者协会援建 ????????...展开全文c, 9月30日 11:09,转发,评论,3,微博 weibo.com,FobmfxW0e,1,4,1,1
6,【四川表彰九寨沟地震及茂县山体滑坡抢险救灾先进典型丨全名单】“8·8”九寨沟地震及“6·24”茂县特大山体滑坡灾害发生后，在党中央、国务院和四川省委、省政府的坚强领导下，四川省各级党组织和广大共产党员勇于担当、冲锋在前，为抗震抢险救灾作出了重要贡献，涌现出一大批先进典型。9月28日上午9点 ????????...展开全文c, 9月29日 10:36,1,1,12,微博 weibo.com,Fo1Ib9vdI,1,6,2,1
101,【36名优秀选调生赴九寨沟协助灾后重建】为切实加强九寨沟“8??8”地震灾后重建工作，省委组织部从全省集中选派了36名具有相关专业背景的优秀选调生赴九寨沟地震灾区挂职一年，协助开展灾后重建、脱贫攻坚、旅游发展等相关工作。据悉，此次选派的36名选调生，来自省直部门和成都、自贡、攀枝花、德阳等 ????????...展开全文c, 9月14日 16:36,2,2,5,微博 weibo.com,FlMETpLoy,1,101,3,1
110,【九寨沟地震灾后重建进行时】9月12日，记者沿省道301进入九寨沟县。一路上记者所见边坡防护、通讯保障、河道清阻等灾后重建施工正如火如荼地有序开展。 ????????, 9月13日 16:20,转发,评论,9,微博 weibo.com,FlD84uahS,1,110,4,1
113,【九寨沟县首辆汽车客运班线复班】9月9日7时30分，九寨沟县汽车站，震后首辆客运班车满载47名乘客开往成都。经过为期一个月的应急运输，汽车站客运班线当日复班。据了解，由于绵阳市平武县的道路目前尚不具备大型客运车辆通行条件，开往成都、绵阳等地的客运班车需临时绕道省道301线、国道212线运行。 ????????...展开全文c, 9月13日 10:18,1,2,2,微博 weibo.com,FlAKZjxKF,1,113,5,1
156,【九寨沟县灾区组建33个帐篷警务室服务灾区群众】九寨沟县地震发生后，九寨沟县公安局迅速设立帐篷警务室33个，投入警力146名，共接待群众6025人次，办理各类证件167个，开展治安巡逻1112次，排查安全隐患点726处，发放法制宣传资料1800余份，协助全县各乡镇设置临时应急避险点301个，协助发放救灾物资 ????????...展开全文c, 8月21日 16:42,2,1,3,微博 weibo.com,Fi8rGmQcc,1,156,6,1
160,【九寨沟地震灾区内所有道路均成功抢通】截至目前，通往灾区道路S205线黄土梁至县城、S301线弓杠岭至漳扎镇路段和灾区内道路漳扎镇至神仙池、S301线双河至漳扎镇路段均成功抢通并能正常通行。 ????????, 8月21日 10:35,1,1,6,微博 weibo.com,Fi62ItW0R,1,160,7,1
161,【九寨沟震后新增隐患点238处】截至目前，九寨沟县境内共排查地灾隐患点701处，复核原有地灾隐患点463处，发现地震后新增隐患点238处。 ????????, 8月21日 10:35,1,评论,1,微博 weibo.com,Fi62q9i5q,1,161,8,1
162,【九寨沟县全力保障灾区群众用水安全】九寨沟县地震发生后，全力开展灾区应急供水抢险工作。截至目前，共安装取水装置33个、供水管道4250米，解决6个临时安置点、8239余人的供水问题，该县在灾区的饮水保畅工作已全面完成。 ????????, 8月21日 10:34,转发,评论,赞,微博 weibo.com,Fi61XuRdd,1,162,9,1
165,【九寨沟震后 阿坝州多个景点实行优惠政策】8月19日，九寨沟地震发生第12天，省旅发委发布了一系列旅游优惠政策，其中涉及阿坝州的多个景点。如：牟泥沟景区门票实行“十免一”优惠政策；卓克基官寨景区对散客实行“五免一”门票优惠政策、对签约旅行社实行门票半价；四姑娘山景区对旅行社、川西环线联 ????????...展开全文c, 8月20日 11:03,1,1,7,iPhone 6s,FhWNnmyAf,1,165,10,1
168,#九寨沟7.0级地震# 【众志成城 加快重建新九寨】8月16日下午，省抗震救灾指挥部第五次会议在九寨沟县召开，会议指出“8·8”九寨沟地震抢险救援和应急安置阶段任务总体完成。这意味着，从16日开始，九寨沟震区进入到过渡安置和灾后恢复重建阶段。修复山川，重建家园，升级产业，震区站上加快建设美丽繁 ????????...展开全文c, 8月18日 17:36,4,4,3,微博 weibo.com,FhGw6uRnT,1,168,11,1
180,#九寨沟7.0级地震# 【刘作明：确保地震受灾学校学生如期正常开学】秋季开学在即，地震中受损校舍重建加固及开学准备工作如何？带着牵挂，8月15日上午，州委书记刘作明先后深入九寨沟县九寨沟中学、七一南坪中学和九寨沟县第三小学，实地察看学校基础设施受损情况，详细了解秋季开学准备情况。他强调， ????????...展开全文c, 8月17日 09:49,2,1,赞,微博 weibo.com,Fhu22b4By,1,180,12,1
183,"【州防震减灾系统到灾区科普防震知识】8月15日,，防震减灾系统九寨沟7.0级地震州县工作组深入九寨沟县漳扎镇开展防震减灾科普知识宣传。工作组先后来到上四寨村、郎寨村、永竹村等15个灾民安置点发放《防震减灾基本知识手册》、《地震来了怎么办》等宣传资料，接受群众现场咨询。通过宣传，让受灾群众 ????????...展开全文c", 8月16日 17:50,1,1,1,微博 weibo.com,FhnKJan44,1,183,13,1
186,——国务院抗震救灾指挥部、中国地震局九寨沟7.0级地震救灾侧记心系震区九寨沟 千里驰援阿坝州8月8日21时19分，四川九寨沟7.0级地震发生后，国务院抗震救灾指挥部、中国地震局迅速启动国家Ⅱ级地震应急响应，指派四川省地震局组成地震现场工作队，星夜兼程驰援地震灾区。根据统一部署和区域地震 ????????...展开全文c, 8月16日 17:45,转发,评论,8,微博 weibo.com,FhnIDqH6L,1,186,14,1
187,【加强安全防范 努力生产自救 加强劳务输出 让受灾群众 受灾不减产大难不减收】8月14日，州委副书记、州长杨克宁来到郭元乡、勿角乡调研受灾群众过渡安置情况。调研中他强调，要加强过渡安置点用电、防火、防盗、防震等安全防范工作，加强群众就业培训，多渠道为受灾群众增添增收门路。在郭元乡二 ????????...展开全文c, 8月16日 17:44,转发,评论,2,微博 weibo.com,FhnInubQC,1,187,15,1
188,发布了头条文章：《一手抓灾后恢复重建 一手抓发展民生稳定 有力有序有效推进各项工作》 °一手抓灾后恢复重建 一手抓发展民生稳定 有力... ????????, 8月16日 17:42,转发,评论,1,微博 weibo.com,FhnHfsQNO,1,188,16,1
189,发布了头条文章：《车被砸、房受损，奔忙抢险中的最大愿望： 我想入党！》 °车被砸、房受损，奔忙抢险中的最大愿望： 我... ????????, 8月16日 17:38,转发,评论,3,微博 weibo.com,FhnFN48rX,1,189,17,1
193,【截至8月15日17时阿坝州慈善会和红十字会接受九寨沟地震捐款1500余万元】截至2017年8月15日17时，我州慈善会、红十字会累计接收“8.8”九寨沟地震捐赠资金15729649.03元。 ????????, 8月16日 11:02,转发,3,2,微博 weibo.com,Fhl4P6HiD,1,193,18,1
196,【九寨沟举行公祭活动 沉痛悼念地震遇难者】脱帽，肃立，默哀，鸣笛，敬献白花……为表达对九寨沟7.0级地震遇难人员的深切哀悼，8月15日上午10时，九寨沟县在文化广场，举行遇难同胞公祭活动。千余名干部群众，解放军和武警官兵等参加公祭！沉痛悼念遇难同胞，愿逝者安息，生者坚强！ ?????? ????????, 8月15日 11:17,31,10,29,iPhone 6s,FhbKzCKGJ,1,196,19,1
197,发布了头条文章：《加强过渡安置点安全防范 保障群众生命财产安全》 °加强过渡安置点安全防范 保障群众生命财产安全 ????????, 8月15日 11:05,4,评论,1,微博 weibo.com,FhbFEpAzU,1,197,20,1
198,发布了头条文章：《强化自我管理能力 积极开展生产自救 努力让受灾群众早日过上幸福美好》 °强化自我管理能力 积极开展生产自救 努力让受... ????????, 8月15日 11:03,4,评论,3,微博 weibo.com,FhbER1Q57,1,198,21,1
199,【强化自我管理能力 积极开展生产自救努力让受灾群众早日过上幸福美好的新生活】??????????????地震灾害没有击垮九寨沟人民的意志，灾后的九寨沟处处可见万众一心、重建家园的繁忙景象。8月13日，州委书记刘作明轻车简从，前往九寨沟县部分受灾乡镇和企业，进村入户，深入田间地头、避险安置点和企业亲自 ????????...展开全文c, 8月15日 10:31,1,3,5,微博 weibo.com,FhbrMtqqT,1,199,22,1
