ID,微博内容
1,#民生西城#张一元的茶叶、六必居的酱菜、门框二锅头酒、祥义号的丝巾……昨天，西城区大栅栏街道带领同仁堂、张一元、内联升、汲古阁等12家地区老字号的代表来到房山区河北镇，老字号代表提着自家的产品像串亲戚一样走进“7.21”特大暴雨受灾居民家中进行慰问。 ????????
2,#西城榜样#【新华社：暴雨山洪中，师德照亮生命通道】北京育才学校９名体育老师率１０４名小学生脱险追访纪实：O网页链接 ????????
3,#西城发布#22日11时35分左右，西城区昨日因暴雨被困房山的全体师生已经平安抵达学校，陆续回到家中。北京西城在此感谢各位关心孩子们安全的朋友们，特别感谢房山一线抢险同志们的辛苦努力。孩子们平安回家了，大家放心吧！@北京发布 @Funhill房山 ????????
4,灾后也要注意防病，请看视频《水灾过后防病小提示》O网页链接北京怀柔健康教育: 暴雨洪水时自救图示
5,#汛期预防传染病温馨提示#受灾地区的市民特别要注意【饮水卫生安全】，建议应饮用开水或瓶装水，不要饮用生水或地表水；以防水源水被污染造成的疾病传播。由于暴雨期间一些居民经常接触到雨水，建议【接触雨水后要用清水充分清洗干净】，以免引发各种皮肤炎症。 ????????
6,#汛期预防传染病温馨提示#目前我市已经进入主汛期，未来还将发生暴雨等降雨天气，除对广大市民出行和生活造成困难外，更对传染病流行创造了有利条件。在此提醒广大市民朋友，特别是受水灾影响较大地区的市民朋友除做好防汛和出行安全之外，还要注意预防传染病，特别是痢疾、感染性腹泻等肠道传染病。 ????????
7,//@首都健康: 暴雨过后，北京市疾控中心提八点建议预防汛期传染病
8,这就是北京精神//@猫又_帆:大北京的大暴雨，十万人战斗在第一线，还有无数的热心市民，你们最棒！给力！//@一米阳光-潇://@喜多cici: //@有荣乃幸: 大北京，北京人，局气 //@交通路况:转发微博
9,冒着危险通下水道的环卫工人非常辛苦，向暴雨中奋战的环卫工人致敬！//@文明北京: //@北京朝阳: 致敬！
10,暴雨天气，您了解吗？ ????????
11,【北京打工的山西小伙儿郭尧塾暴雨中看护无盖井2小时至腿抽筋】北京暴雨期间，一名饭馆工作的男孩一直站在没过膝盖的水里，提醒过往路人：“有个井盖被顶起来了靠边走。谢谢”。不到20岁的郭尧塾老家山西，来北京两年了，“其实我也没做什么，就是怕人掉下去”。 ????????
12,【触电时的自救与逃生】暴雨过后，有些路段会出现积水。此时最好不要趟水，要随时观察所通过的路段附近有没有电线断落在积水中。一旦发现有人在水中触电倒地，千万不要急于靠近搀扶，必须要在采取应急措施后才能对触电者进行抢救。同时应提前让电力部门关闭电源，用绝缘体将触电者与积水分开。 ????????
13,[霹雳]暴雨天气，您了解吗？ ????????
14,今天白天阵雨转大雨，东部暴雨并伴有雷电，夜间雷雨转多云，朋友们尽量减少出行。
15,暴雨预警信号分四级，分别以蓝色、黄色、橙色、红色表示。PS：7.21是暴雨橙色预警；今天是暴雨蓝色预警[呵呵]。大家学习学习！ ????????
16,【面对大雨 我们已做好准备】北京市气象台今天11时50分发布暴雨蓝色预警信号：预计今天傍晚至夜间，本市东部将有暴雨。北京消防提醒您：应尽早做好防雨防雷及预防次生灾害准备；注意防范山洪泥石流及城市积涝。面对可能的大雨，北京消防已经全面做好准备！ ????????
17,【黄色预警】因三天前大暴雨的影响，很多地方的土壤含水量处于饱和状态，此次降水可能造成山洪、泥石流的发生。如果本次降水落在山区，或者落在已经出现过大量降水的区域，更容易形成雨水汇流，从而引发地质灾害。
18,【7·21特大暴雨城市道路积水分布点】十里河桥下 万泉河桥北 窑洼湖桥下 西站北广场隧道 会城门桥南铁道桥下 科丰桥下 杜家坎西侧 岳各庄桥南北向南主路 东便门桥下 石门路高井路口 西六环白庄子桥下 安立路立军路口 大灰厂路杜家坎环岛 阀东桥下 丽泽桥南 东直门桥下 安定门桥下 公主坟桥西(3/3) ????????
