序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #转发微博#这世界无处不美!晚安,通心粉们!                                            ", 2012-8-31 23:05,4,评论,5,微博 weibo.com,yzL3A0lxq
2,"
                                                                                                    #in语微话#幸福，不是长生不老，不是大鱼大肉，不是权倾朝野。[彩虹]幸福是每一个微小的生活愿望达成。当你想吃的时候有得吃，想被爱的时候有人来爱你。 ????????                                            ", 2012-8-31 22:27,9,评论,赞,微博 weibo.com,yzKO8AjaA
3,"
                                                                                                    #转发微博#转给乘飞机出行的朋友们!                                            ", 2012-8-31 21:08,7,5,赞,专业版微博,yzKi8n2vO
4,"
                                                                                                    #交通资讯#[叶子]【“路政杯”行业技能竞赛】北京市交通路政行业“路政杯”技能竞赛每2年举办1次。竞赛活动旨在为北京交通路政行业优秀技术能手提供一个相互学习、相互交流、展示技能的机会和平台，鼓励更多的优秀技术能手不断成长进步，进而推动和提升“技术能手”人才队伍建设。 ????????                                            ", 2012-8-31 20:19,2,2,赞,微博 weibo.com,yzJY9mp8u
5,"
                                                                                                    #交通天气#[阴天]今天夜间，阴，有雾[雾]，最低气温[2][4]度；明天白天，雷阵雨转暴雨，最高气温[2][9]度。周末有雨，通心粉们，明天还是尽量减少外出，要是需外出，避开低洼积水路段，早去早回呦。 ????????                                            ", 2012-8-31 19:27,28,5,赞,微博 weibo.com,yzJCQeIOR
6,"
                                                                                                    #交通资讯#【“路政杯”行业技能竞赛】昨日，第二届“路政杯”北京市交通路政行业职业技能竞赛决赛在通州拉开战幕，赛事历时3天。来自20家企业的88名选手将在公路试验检测、补坑槽机械操作、压路机操作等三个项目中一决高下。届时，每个竞赛项目的前5名将由交通运输部授予“全国交通技术能手”称号。 ????????                                            ", 2012-8-31 18:40,3,4,赞,微博 weibo.com,yzJjRhsg8
7,"
                                                                                                    #路况播报#现在播报17:50至17:55的路况：全路网轻度拥堵，交通指数5.2，平均速度：24.0公里/小时。其中：二环内严重拥堵，二环至三环路中度拥堵，三环至四环间轻度拥堵，四环至五环间基本畅通。查询实时路况、驾车路线规划、公交地铁换乘，免费下载路况交通眼软件，请点击：O网页链接 。 ????????                                            ", 2012-8-31 18:00,转发,2,赞,微博 weibo.com,yzJ3IreLe
8,"
                                                                                                    #公交服务#【开学啦】为缓解二里庄站早高峰城市学院学生较多现象，由二里庄至西便门的26路周一至周五每天早7：10至7：30加车4部，由二里庄发出一站至城市学院的大站快车。715路、750路增换了通道铰接车用以增加运力。327路、505路、616路、662路等多条公交线路将在早晚高峰时段增发区间车运营。[大巴] ????????                                            ", 2012-8-31 17:42,68,13,2,微博 weibo.com,yzIWkqsFr
9,"
                                                                                                    #公交服务# 【开学啦】对于各条郊区进城、途经各大居民区及各学校周边的公交线路，早高峰时间将提前，从早晨6：30左右缩短发车间隔，确保在7：00前将早高峰运力加齐。并且密切关注四惠、六里桥、北京西站等大型客流集散点、公交枢纽站的客流变化情况，将晚高峰时间由19:00延长至19:30。[给劲] ????????                                            ", 2012-8-31 17:20,5,3,赞,微博 weibo.com,yzINkfaHs
10,"
                                                                                                    #路况播报#现在播报16:50至16:55的路况：全路网基本畅通，交通指数4.0，平均速度：26.5公里/小时。其中：二环内中度拥堵，二环至三环路轻度拥堵，三环至五环间基本畅通。查询实时路况、驾车路线规划、公交地铁换乘，免费下载路况交通眼软件，请点击：O网页链接 。 ????????                                            ", 2012-8-31 16:59,3,评论,赞,微博 weibo.com,yzIEV0eOL
11,"
                                                                                                    #公交服务# 【开学啦】9月3日是本市中小学正式开学第一天，针对新学期开学后的客流变化情况，从9月3日开始，公交集团将启用新时刻表，全天共计加车5073车次，新时刻表着重增加了早晚高峰和学校周边线路的运力投入，最大限度满足市民早晚高峰的通勤需求，方便市民出行。 ????????                                            ", 2012-8-31 16:29,12,3,赞,微博 weibo.com,yzIsMEWBu
12,"
                                                                                                    #微直播#【预告】明天上午9时,文明出行、绿色交通""开学第一课""活动将在北京十四中学举行,同时标志着全市""畅通北京 绿色出行""活动全面启动.活动中,还将推出本市文明出行、绿色交通的卡通形象大使,名字很""萌""、形象很""Q""哦![萌翻]想知道他长得什么样子吗?请关注@交通北京 明天上午8：30开始的微直播吧! ????????                                            ", 2012-8-31 15:52,16,12,赞,微博 weibo.com,yzIdQAHmL
13,"
                                                                                                    #出行提示# 为保证【故宫筒子河】的交通安全与畅通，8月31日起，故宫筒子河(东华门至西华门)由8时至18时禁止机动车通行，调整为全天禁止机动车通行。 ????????                                            ", 2012-8-31 15:37,7,1,赞,微博 weibo.com,yzI7D1b61
14,"
                                                                                                    #客运服务# 2012年中秋节与国庆节相连，假期共8天，可能会吸引更多的游客来京旅游。为做好节日期间旅游客运服务工作，北汽集团提前部署，重点加强驾驶员思想教育、运营管控和检查监督等，已保证中秋国庆期间的旅游客运服务质量。 ????????                                            ", 2012-8-31 15:10,3,评论,赞,微博 weibo.com,yzHWEspC8
15,"
                                                                                                    #转发微博# 8月31日20时至9月1日20时，市公安交管局对外办公服务窗口暂停办理业务一天。请大家注意。                                            ", 2012-8-31 14:46,4,2,赞,政府版微博,yzHN1B7HV
16,"
                                                                                                    #交通资讯#【畅通北京 绿色出行】为减少“畅通北京 绿色出行月”期间道路交通压力，小编建议出行的通心粉们尽量选择公共交通出行。[大巴]在9月21日（星期五）、26日（星期三机动车尾号4、9限行）、28日（星期五）等重点工作日及晚高峰降雨特殊天气，企事业单位上下班可考虑采取弹性工作时间哦！ ????????                                            ", 2012-8-31 14:21,9,4,赞,微博 weibo.com,yzHCV8ImX
17,"
                                                                                                    #过往寻踪# 1959年8月31日北京工人体育场建成。[拍手]它是50年代北京著名的十大建筑之一。北京工人体育场是我国最大的一座综合性体育场，占地35公顷，建筑面积8万多平方米。中心运动场能容纳8万观众。北京工人体育场建成一个多月以后，1959年10月13日，第一届全国运动会在这里举行。 ????????                                            ", 2012-8-31 13:37,15,6,赞,微博 weibo.com,yzHkPqNtg
18,"
                                                                                                    #交通微笑# 5岁的女儿让老爸帮她做事。老爸说：“爸爸很累啦，你夸我两句吧，你夸我两句我就又有劲儿了。”女儿答：“你家妞妞长得可真漂亮啊……[xb照镜][c无语] ????????                                            ", 2012-8-31 12:37,52,10,赞,微博 weibo.com,yzGWFBlt1
19,"
                                                                                                    #出行提示# 今日11时，@气象北京 继续发布大雾黄色预警信号。[雾]目前，本市大部分路段能见度都在2公里左右，下午依然有雾，能见度不会有明显好转，请驾车的朋友减速慢行，注意雾天出行安全。 ????????                                            ", 2012-8-31 11:51,6,7,赞,微博 weibo.com,yzGDXvKoc
20,"
                                                                                                    #交通资讯#8月24日，地铁9号线（北段）工程完成运营设施预验收。验收组由建设、设计、监理、施工、运营单位组成，验收内容包括轨道工程、接触轨、人行平台三项内容。地铁9号线（北段）工程于2011年12月5日开工，北段线路全长5.353km，全部为地下线，计划于2012年年底开通。 ????????                                            ", 2012-8-31 11:22,8,12,赞,微博 weibo.com,yzGrZv0L9
21,"
                                                                                                    #出行提示#【开学之购物】随着大中小学相继开学，去往小商品批发市场选购学习用品的客流也增加了不少。其中车公庄大街和阜外大街因临近小商品市场，易出行车流集中的情况。此时，您可选择百万庄大街、增光路行驶或是西外大街和西长安街等周边路网通行。小编建议您尽量选择公共交通出行。[大巴] ????????                                            ", 2012-8-31 10:44,2,3,赞,微博 weibo.com,yzGczkeki
22,"
                                                                                                    #交通资讯#[din说话]【四元桥】桥区范围内桥梁共计26座,是一座四层全互通式大型立交，涉及道路包括机场路、京顺路和四环路，此外还有12条匝道和8条辅路。 ????????                                            ", 2012-8-31 09:48,17,13,赞,微博 weibo.com,yzFPNsuSI
23,"
                                                                                                    #交通资讯#【四元桥大修】施工全部在夜间进行。本次大修主要内容包括：四环路1号桥、四环路2号桥、四环路4号桥的桥面铺装更新、更换伸缩缝、改造中央隔离带、主梁修补；10号匝道桥、12号匝道桥墩柱改造加固、桥面系维修；四元桥范围内检修步道栏杆更换和部分接顺道路维修等。 ????????                                            ", 2012-8-31 09:00,25,5,赞,微博 weibo.com,yzFwodv5q
