ID,微博内容
1,#人文朝阳#日前，八里庄街道华贸中心社区举办“我喜欢我就画 北京精神代代相传”儿童绘画活动。活动中，共收到绘画作品30余幅，最让人感动的是有小朋友将“7??21”暴雨中自己看到的互帮互助的情景画了出来，也有小朋友画出了北京受灾未来更美好的家园，并祝愿灾区的小朋友平安健康。（赵元 摄） ????????
2,#从身边做起 弘扬道德新风#在近日北京遭遇61年来最大暴雨时，一群网友自发前往首都机场免费接送滞留旅客回家的“正能量双闪行动”让许多人竖起大拇指，在暴雨夜令人倍感温暖。据“望京网”管理员统计，当晚共有300多辆私家车前往，接走旅客500多名，其中望京地区出车超过100辆。 ????????
3,#暴雨中的感动#74岁的付大妈在7月21日暴雨之夜因丹毒复，高烧不退，救护车却被堵在路上过不来。关键时刻，团结湖派出所的一位好民警冒雨将付大妈送到朝阳医院治疗，但是付大妈却不知道这位民警叫什么。经过《北京晚报》记者多方查找，终于找到了这位不留名的好民警，他就是今年28岁的韩鹤飞。 ????????
4,#暴雨中的感动#在突如其来的暴雨中，不管是下水道井盖旁甘当人体“警示牌”的环卫工人，还是指挥疏导车辆的交警；不管是抢险救急的电力职工，还是坚守岗位的社区工作者；不管是免费接人的“爱心车队”，还是主动提供住处给被困群众的网友……朝阳人用行动传递人间真情，用真心诠释“北京精神”。 ????????
5,#暴雨中的感动#【凌晨四点环卫工人全部上岗】7月21日下午至22日凌晨，北京遭遇强降雨。暴风骤雨过后，各条街道、小巷上，果皮箱翻倒、树枝、落叶、杂物、泥土……满地皆是。7月22日凌晨4点，环卫中心道路清扫职工全部上岗，开展暴雨后推水及道路清理恢复作业恢复了以往亮丽的环境。 ????????
6,#给您提个醒#【今晚京城或再迎强降水】在61年最大的强降水袭京仅4天后，北京今晚或将再受“暴雨”考验。市气象局的监测显示，25日至28日，京城将进入降水多发时段，其中今明两天将迎来一次大范围对流天气，个别地区、特别是京东北部出现暴雨的可能性较大。大家做好防雨准备。 ????????
7,#共同关注#【购买涉水险须注意赔偿条件】7月21日，北京遭遇61年来最强暴雨，不少市民的财产都遭到了损失，尤其是在水中“趴窝”的汽车，这让“涉水险”再一次成为车主们热议的话题。“涉水险”怎么上，怎么赔，这其中还是有不少值得车主们注意的。 ????????
8,#暴风雨中闪亮的“北京精神”#【朝阳区各部门迅速行动齐心协力抢险救灾】（4/4）22日凌晨4时区环卫中心道路清扫职工全部提前上岗，开展暴雨后推水及道路清理恢复作业。更换修复损坏的果皮箱，检查维护公厕、垃圾楼等环卫设施下水管线。截止22日14时，区环卫中心共出动作业人员2468人，车辆192车次。 ????????
9,#大雨无情 京城有爱#突如其来的暴雨让我们措手不及，但正是每一个普通人默默的奉献让此刻的北京更安宁、更温暖。昨晚朝阳左家庄的@如刀岁月27 发布微博邀请被困附近的朋友可以到他公司办公室避难，3万多网友转发。最终有两位网友借宿了一晚。@如刀岁月27 说“我相信大雨冷不了人心！”的确！他做到了！ ????????
10,中央气象台今天10时将暴雨预警升级为黄色，预计今天到明天，北京西部和北部的局部地区有大暴雨。[闪电]
11,【暴雨受灾电梯已全修好】本市在“7·21”特大自然在灾害中受损的255台电梯已经全部完成修复工作，恢复运行。这些电梯大多数位于房山区，市质监局在接到电梯受损停运的信息后，迅速展开排查，并派技术专家组赴现场；同时制定了《北京市突发自然灾害电梯应急救援预案》，防止次生灾害发生。 ????????
12,【城市雨水找到多条“通道”】#聚焦北京#近日已经正式发布的城市多目标新型雨水系统研究显示，在城市许多区域可考虑结合球场、公园等设施，通过调整高程设计等实现暴雨期应急调蓄雨水，并可以结合绿地或其他开放空间设置一些低凹地作为雨水分散滞留或超过排放标准处置的场所。 ????????
13,【防倒灌列入人防工程审核内容】#聚焦北京#全市包括地下停车场、超市、旅馆和物资储备库等在内，有上万处人防工程。“7??21”特大暴雨过后，共有278处进水。市民防局就提升极端气象条件下北京人防工程的抗灾能力举行研讨会，与会专家建议今后把防倒灌措施列入审核人防工程图纸的重要内容。 ????????
14,【北京着手处理下水道】#聚焦北京#暴雨过后，北京开始着手处理地下水道。8月初，北京火车西站旁著名“淹点”莲花桥，开始用直径500毫米的下水管道替换原有的直径200毫米管道。北京市水务局承诺，争取在5年时间内，增加投入，使中心城排水管线全部得到更新改造。 ????????
15,【通信有保证】#聚焦北京#从三大运营商处获悉，移动、联通、电信在本市的通讯信号均已恢复暴雨前水平，受损基站已基本恢复完毕。北京电信相关负责人称，已修复1262个基站，剩下九渡基站因施工难度大，仍在抢修。北京联通基站目前已全部修好、恢复通讯。 ????????
16,【北京市防汛抗旱指挥部办公室8月5日下午发布7??21特大暴雨山洪泥石流灾害遇难人员情况补充公告】经过相关区县政府和公安部门排查核实，在未确定身份的11名遇难者中，又有2名遇难者身份得到确认。又新发现遇难者1名，身份也得到确认。附：北京7.21特大暴雨山洪泥石流灾害遇难人员名单（补充） ????????
17,【市保监局紧急通知灾后理赔政策从宽】在“7·21”灾后保险理赔中，一些车主认为，保险公司在销售时并没有告知“全险”中不包括“涉水险”，因此这成为了暴雨后理赔纠纷的焦点之一。昨日，北京保监局就理赔纠纷下发紧急通知，要求保险公司执行宽松的理赔政策，在保险合同范围内应赔尽赔、足额赔付。 ????????
18,【灾后疫情千万小心】#聚焦北京#北京市卫生局再次提醒，由于雨情态势有很大的不确定性，特大暴雨灾后出现疫情机率增加，市卫生部门将做好防疫的各项工作。小布也多次提醒大家了，最简单的做法就是勤洗手，勤打扫环境卫生，不吃路边摊。那些每天都想着拿麻辣烫当饭的同学，自动去面壁去！[bobo纠结] ????????
19,【山区查出712处道路隐患点】9号和10号台风开始登陆，可能会给北京带来新一轮较大降雨。为避免灾害损失，7??21特大暴雨之后，本市已经完成478处地质灾害隐患点的排除，目前正对10个山区县村级以上道路沿线进行地质灾害隐患排查，截至8月1日24时，查出712处崩（滑）塌隐患，力争本周内完成排查。 ????????
20,【卫生局：房山灾区无疫情发生】北京市卫生局昨日也发布消息称，截至目前，全市无爆发疫情和突发公共卫生事件报告，疫情态势总体平稳。来自北京市卫生局的数据显示，暴雨发生至今，卫生专业人员累计监测饮用水水源850个，覆盖人口200余万人；调拨消毒灭虫等药剂70余万公斤。 ????????
21,【“7??21”暴雨及洪水调查启动】昨天，市水务局网站发布消息，已部署“7??21”暴雨及洪水的调查工作，分析成灾原因。调查包括全市水务基本情况；历史暴雨洪水情况；“7??21”暴雨洪水调查、计算分析、评价、成灾原因分析；暴雨移植分析；与“63??8”（1963年8月北京遭遇的特大暴雨）对比分析。 ????????
22,【北京市防汛抗旱指挥部办公室发布7??21特大暴雨山洪泥石流灾害遇难人员情况补充公告】相关区县政府和公安部门排查核实，在未确定身份的11名遇难者中，有1名遇难者身份得到确认。又新发现遇难者1名，身份已得到确认，现将有关情况予以公告。附：北京7.21特大暴雨山洪泥石流灾害遇难人员名单（补充） ????????
23,回复@厕所的灯:谢谢您的提醒，北京正按照“一桥一策”的原则，对全市立交桥特别是易积水桥区全面进行排查、整改，既确保主汛期安全，又要长远解决问题。 //@厕所的灯:北四环主路，中关村附近，大概2-3公里深槽路段，在北京21号暴雨时没有积水，汽车飕飕的开，应该去考察一下排水的设计
24,【郭金龙称基础设施是城市运行的生命线】北京市委书记郭金龙2日到暴雨积水严重立交桥区调研时强调，基础设施是城市运行的生命线和重要公益性事业。要不断提高城市基础设施规划建设管理和应急水平。深入研究城市防洪排涝设施方面还存在的问题，坚持疏堵结合，排蓄结合，地上地下结合，逐一解决和突破。 ????????
25,【北京市委书记现场查看立交桥汛期应急工作】2日上午，北京市委书记郭金龙到暴雨天易发严重积水的立交桥区调研，先后赴左安门桥、莲花桥察看汛期应急准备措施。他要求深刻认识防洪排涝、雨洪利用体系建设的重要性，把城市基础设施系统工程建设好。在主汛期着力提高应急处置能力，确保不泡车、不伤人。 ????????
26,【中组部下拨党费1000万元支持北京等地防汛抗洪抢险救灾】#聚焦北京#为支持遭遇暴雨洪涝灾害的北京等省（区、市）做好防汛抗洪抢险救灾工作，日前中央组织部从代中央管理的党费中向北京、河北等9省（区、市）下拨党费1000万元，用于帮助灾区党员群众防汛抗洪抢险救灾，解决生产生活困难。 ????????
27,【北京书画界进军营慰问救灾官兵】#聚焦北京#8月1日建军节，“中国名家书画笔会慰问团”50余人，慰问救灾归来的北京军区某部坦克22团官兵英雄们。许多著名书画家现场绘制国画，赠送救灾部队官兵。“7.21”特大暴雨以来，该部队集团军紧急出动，共解救转移民众1000余人。 ????????
28,【房山应急供水管线将启动建设】由于“7·21”特大暴雨造成房山多条供水管线无法使用，北京将启动房山水峪村、南窖村、北窖村、大石河、夹括河、周口店河、东沙河和张坊应急供水管线工程的建设。如发现灾区内水质异常，请向当地区县卫生部门汇报，市水务局将以最快速度采取消毒治理、应急供水等措施。 ????????
29,针对今年第9号台风和第10号强热带风暴正逼近我国东南沿海的情况，北京市委常委会要求高度重视暴雨和台风可能带来的叠加影响，迅速做好灾害预报预警工作，提醒市民避险避灾。继续加强隐患排查，防止次生灾害，加快河道疏浚，提高泄洪能力，必要时坚决转移安置居民，确保不发生意外伤亡事故。 ????????
30,【7月降雨量17年来最多】昨天，市气候中心统计，今年7月全市平均降水量为312.9毫米，比常年偏多近9成，是1995年以来同期雨水最多的一年。其中，7月21日那场大暴雨占据了7月降水量的一半以上。此前，1994年7月的降水量是380毫米。从6月入汛以来，全国、北京的降水量都刷新了1999年以来同期雨量的纪录。 ????????
31,【不执行应急预案单位将被追责】北京市防汛办日前透露，预警一旦发布后，全市各级部门必须按预案严格执行到位，否则将严肃追究有关部门的责任。25日11时50分，本市先后发布了暴雨蓝色预警信号、蓝色汛情预警和三级地质灾害预警。尽管暴雨没有如约而至，却考验了城市的应急反应能力。 ????????
32,【北京市连夜部署防汛工作】从房山防汛一线赶回市应急指挥中心的郭金龙、王安顺等连夜召开会议，通过视频系统向有关部门、区县总结检查情况，部署防汛工作。郭金龙说，同志们连日奋战，十分辛苦，我们一定要经受住这场暴雨的考验。 ????????
33,【北京市领导向暴雨灾害罹难同胞致哀】7月27日上午，正在房山区看望受灾群众并检查指导救灾善后及防汛工作落实情况的北京市领导来到房山区十渡镇前头港村，为“7·21”特大自然灾害遇难者致哀。 ????????
34,//@北京晚报: 对，难以承受失去的痛苦 //@任志强: 最好不要再发生这种灾难。 //@封新城://@刘春://@罗昌平: //@摘星手010: 66位京城暴雨死难者，姓名和身份，登上人民日报，中央机关报创刊64年来头一遭。
35,【北京市召开防汛工作紧急部署会】市政府日前召开全市防汛工作紧急部署会。市委常委牛有成、副市长夏占义出席会议。会议指出，目前本市已进入暴雨多发季节，发生局部地区强降雨天气和流域性大洪水几率较大。要求各区县、各部门、各单位要切实加强隐患排查，一旦出现隐患及时整改，防范灾害发生。 ????????
36,回复@董-玲玲:截止7月26日，共77名遇难者，已经确认身份的66名，11人身份正在确认。66人中，因公殉职的基层干部5人，普通民众61名。 //@董-玲玲:@头条新闻：央视最新消息，北京市政府正在就7月21日暴雨灾情举行第三次新闻发布会，截至今日，死亡人数为77人，其中66人确认身份。到底多少人呢？
37,【搜寻工作还在继续】北京市防汛抗旱指挥部新闻发言人说，由于暴雨引发山洪泥石流，给遇难者搜寻工作带来极大困难，遇难者身份确认也需要经过反复调查、核实。到目前为止，有关部门仍在开展搜寻工作。 ????????
38,【社会各界已向北京暴雨灾情捐款超过6000万元】市民政局昨晚统计，7月24-25日，首都慈善公益组织联合会会员单位共募集善款2085.32935万元；北京市接受救灾捐赠事务管理中心及区县捐赠中心共接受善款2034.30122万元。以上共计4119.63057万。首都71家文化企业、35位著名艺术家等为灾害救灾捐款2208万元。 ????????
39,//@创新创业中关村: 【请记住，北京遭遇暴雨躲开30处积水区】 #转发#
40,【北京卫戍区3000精兵参与救灾】暴雨发生后，北京卫戍区3000余名官兵、100余台车辆分五路进到房山区、通州区等5个受灾严重的乡镇，参与救灾工作。经奋力抢险，目前共疏通河道10公里、筑坝100米，清理垃圾3800立方米，清理路面30公里，卸载救灾物资100余吨，清理居民院落420户，为700人看病、送药等。 ????????
41,【北京红会为灾区送去200个家庭救助箱】23日下午北京市红十字会为北京市门头沟区西辛房中学安置点的受灾群众送去50个家庭救助箱及方便面和矿泉水等物资，至此北京市红十字会已累计为北京“7??21”特大暴雨灾情最重的房山、通州、门头沟地区的受灾群众送去200个家庭救助箱。 ????????
42,【北京启动接收捐赠应急机制】据北京市民政局消息，针对暴雨造成的重大损失，目前，北京市各区县捐赠中心已启动接收捐赠应急机制，辖区各街乡、社区捐赠站点全部向社会开放，随时接受党政机关、企事业单位及市民捐赠。????bj.people.com.cn/n/2012/0724/c82840-17277204.html????????????
43,【16万余人参加抢险救援】“7·21”特大暴雨发生后，北京市防汛、气象、排水、交通、国土、电力等部门迅速启动高级别应急预案，全力保障民生，据市防汛指挥部统计，共计16万余人参加抢险应急工作。至23日，北京市基础设施运行基本正常，水利设施未发生垮坝、倒闸等险情。 ????????
44,【暴雨不会入供水管道 市民放心饮用】#聚焦北京#近日，个别人在微博上散布谣言称，降雨可能影响自来水水质。市自来水集团表示，本市市政供水管线从水厂到用户家的水龙头全都是封闭的，雨水不会进入管道，造成污染。市政供水安全可靠，市民可以放心饮用。 ????????
45,【车险报案无需提供天气证明】#聚焦北京#暴雨后本市商业车险报案量激增，车辆进水、熄火成为报案主要原因。多家保险公司表示，此次车险受理过程中无需车主提供气象证明。只需持身份证、驾驶证、行驶证等，根据车辆受损情况，选择拨打保险客服电话或先行将车辆送到修理厂，再经由正常的理赔程序即可。 ????????
46,中国工程院院士、水利专家王浩认为7·21暴雨的降雨量为1939年以来最大（460mm），天气预报对此次降雨的强度、历时、总量预报是准确的。北京市的防汛、排水预案实施的及时，动用16万人参与救灾，尽了最大努力降低灾难带来的损失。 ????????
47,【受损车辆理赔有序展开】#聚焦北京#北京保监局23日数据显示，暴雨造成本市近2万辆汽车受损，估损金额近亿元人民币。对此，保险监管部门已下发紧急通知，要求保险公司“主动、迅速、准确、合理”的进行理赔工作。对于灾情严重的地区，立即启动预估预赔程序。保险机构已于22日启动理赔工作应急预案。 ????????
48,【密云水库“喝进”14个昆明湖】#聚焦北京#截至22日19时，“7??21”暴雨为密云水库带来2822万立方米雨水，相当于14个昆明湖，这是密云水库15年来入水最多的一天。这场大暴雨，不仅让密云水库饱饮了一顿，也为全市水库、河湖带来了充沛的水量。经初步测算，本次降雨形成可利用水资源量15亿立方米。 ????????
49,【北京部分供电设备因暴雨受损采取应急措施】#聚焦北京#截至２２日２１时，房山磁家务１１０千伏站、角湾配电室被水淹没，一度造成磁家务地区停电，经过供电公司抢修队伍抢修，已经有发电车在以上地区提供应急用电，基本可以满足居民应急需求。但是受暴雨影响，供电设备的正常运行时间暂时无法确定。 ????????
50,【北海团城无一例积水报告】#聚焦北京#京城遭遇了61年来最大的暴雨，但身处暴雨中心的北海团城无一例积水报告。市文物局也透露，“故宫、天坛、颐和园等重要文物保护单位由于巡查到位，并未因雨受损”。目前，部分遗址类文物保护单位因雨受微损，长城目前情况是，部分墙体出现了‘鼓包’。 ????????
51,【暴雨事故车辆要第一时间施救并送修】#提示#北京保险行业协会提示大家，因本次暴雨造成出险车辆较多，救援公司不能保证及时施救，在保险公司无法及时查勘现场的情况下，经保险公司同意，消费者可以使用手机或照相机拍下现场照片，然后直接与修理厂联系，之后再通知保险公司对事故车辆进行查勘定损。 ????????
