ID,微博内容
1,关注周末天气
2,#共同关注##2012《开学第一课》教孩子发现美#最美教师张丽莉、最美司机吴斌、最美战士高铁成……《开学第一课》中不断涌现的中国“最美人物”将引领同学们发现身边之美、人格之美、社会之美。今年《开学第一课》将于9月2日晚8时在中央电视台一套首播，家长与孩子一起收看吧。 ????????
3,#温馨提示##朝阳医院明起医药分开#朝阳医院明天零时起将正式实施医药分开试点，即取消药品加成政策，取消挂号费和诊疗费，设立医事服务费。昨天，朝阳医院表示，预约了9月及以后号源者就医时不再交挂号费和诊疗费，但须补缴医事服务费。 ????????
4,#人文朝阳##“百位盲人水立方竞技#日前，在曾经的奥运场馆水立方，朝阳区青年志愿者协会、红丹丹教育文化交流中心共同举办第四届盲人运动会，回首北京奥运，遥祝伦敦残奥，共享运动快乐，本次活动共有近100位盲人运动员参加比赛，来自朝阳区青年志愿者协会等单位的近200名志愿者热心参与。 ????????
5,#商务朝阳##全市一半国际会议朝阳举办#打开朝阳区地图，国家会议中心、盘古七星酒店、中国国际展览中心、全国农业展览馆、国贸中心等，一个个设施先进的大型会议中心和展馆星罗棋布，目前，本市70%的国际展览和54%的国际会议都定在朝阳区，朝阳已成为国际知名的高端商务会展地。 ????????
6,#朝阳动态#如果你是具有真才实学的留学人员，请关注朝阳“凤凰计划”。朝阳区将在CBD、电子城、奥运等重点功能区和储备区，聚集一批由科技领军人才领衔的高科技创业团队；引进并有重点地支持100名左右海外高层次人才来朝阳创新创业。“凤凰计划”人才认定正在申报，详情登陆O网页链接 ????????
7,#温馨提示#随着学生陆续返校准备开学，本周早高峰中小学周边地区车流较集中。伴随着暑期的结束，高校周边、交通场站、眼镜城、小商品批发市场将成为本周交通热点区域。请大家合理安排时间避开拥堵路段，尽量选择公共交通出行，注意孩子安全。 ????????
8,为了家庭幸福
9,培养孩子交通安全意识很重要????//@北京发布:公交加车加运力， 乘坐方便请选择。 私家车辆送学生， 学校门口成堵点。 高年级生停即走， 低年级生稍远停。 家长守序行方便， 孩子从小知公德。
10,无线上网，随时联通
11,#温馨提示##开学前先收心#暑假即将结束，很多家长都遇上了一个难题：孩子仍然每天很晚才起床，白天看电视上网，晚上睡的很晚。家长们担心开学后还能否跟上学校的学习节奏。对此，专家建议，为了使孩子能以良好的状态进入新学期，应注意以下几点。 ????????
12,#人文朝阳##健康口腔 幸福家庭# 由国家卫生部疾病预防控制局开展的“健康口腔，幸福家庭”项目近日在全国启动，朝阳区团结湖街道被确定为全国13个项目试点地区之一。今后，团结湖街道将通过一系列在志愿者家庭内开展的口腔健康促进行为，探索依托社区，根植家庭的口腔健康行为干预的最佳模式。 ????????
13,#人文朝阳##“志愿朝阳”网站正式开通运行#日前，志愿朝阳网（www.zycy.org）正式开通，面向各基层团组织、社会公益组织开展志愿者注册、志愿团体注册、志愿项目发布及活动信息上报等工作，为志愿者参与志愿服务搭建网络平台，并实现志愿服务资源与弱势群体需求的有效对接。 ????????
14,#朝阳动态##奥林匹克公园将办第三届发展高峰论坛#主题为打造“国际活动聚集之都示范区”的第三届北京奥林匹克公园发展高峰论坛将于8月31日在北京国家会议中心举办。本届论坛由体育场圆桌沙龙、开幕式暨主论坛、奥林匹克公园大型活动资源商务推介活动、北京奥林匹克公园成果图片展四部分组成。 ????????
15,#人文朝阳#为全市60岁以上全口无牙低保老年人免费镶牙，是北京市新医改方案中的重大公共卫生服务项目之一，近日，我区出台为辖区60岁以上高龄低保老年人免费镶牙政策，全口丧失咀嚼功能、符合政策条件老人将免费安装义齿，有需求的市民请携带相关证明，到就近的社区卫生服务中心进行筛查与登记。 ????????
16,有需求的网友请关注
17,出门路况早知道
18,传递身边感动，寻找身边好人
19,#人文朝阳#日前，朝阳区在CBD核心区启动“午间法律服务一小时”活动，由10余家律师事务所的党员律师组成的法律服务队为白领和居民提供免费法律咨询服务。作为让百姓接受普法教育的一项公益活动，今后，该活动将每月至少举行一次，并根据居民需求增加场次和服务地点。 ????????
20,#朝阳动态##朝阳区斥资6亿成立多项产业引导资金#（2/2）6000万元文化创意产业发展引导资金，重点支持文化传媒、广告会展、旅游休闲、设计创意、艺术品交易等领域；6000万元高新技术产业发展引导资金，重点支持新一代信息技术、新生物医药、新能源、信息服务等战略性新兴产业发展。 ????????
21,#朝阳动态##朝阳区斥资6亿成立多项产业引导资金#（1/2）从今年起，朝阳区每年将安排6亿元成立多项产业发展引导资金，主要包括：每年安排1.2亿元总部经济和现代服务业发展引导资金，重点支持总部经济、要素市场、高端商务服务业、会展产业发展；1.3亿元金融产业发展引导资金，重点吸引金融机构入驻。 ????????
22,#服务信息##63家图书馆同城通借通还#首都图书馆及下属各区县图书馆和部分街道图书馆共63家，已能满足读者凭借“一卡通”实现同城通借通还。也就是说，读者凭一张“一卡通”读者卡可以在63家图书馆中的任一家借书，要还书的时候，无论走到哪里，就近还书就可以了。????O网页链接 ????????
23,选择公共交通，绿色出行 //@北京发布:#转发发布厅#北京地铁14号线从张郭庄站至善各庄站，途径丽泽商务区、永定门、南八里庄、大望路、朝阳公园、望京等地。住在这附近的朋友，今后又多了一个出行的选择。
24,科技助力交通
25,#人文朝阳##亚运村安南社区“小小志愿者”#近日，安南社区组织辖区青少年开展“倡导绿色生活 保护生态环境”“小小志愿者”主题实践活动。参加活动的30余名青少年分工协作，有的捡拾白色垃圾，有的清洗宣传橱窗，有的打扫地面卫生。小朋友们不怕脏不怕累，学习从自己做起，从小事做起。 ????????
26,#宜居朝阳#倡导绿色生活使用公共自行车#朝阳区公共自行车服务系统一期工程29个服务站点1000辆自行车已于6月16日正式投入试运营。截至目前，开通一卡通卡实名制租车功能2059张，市民租还车辆近3.2万次。现二期工程已全面启动，137个站点已完成核勘，正在商洽取电事宜，力争国庆节前投入运营。 ????????
27,#朝阳动态##朝阳出台推动企业上市工作办法#（2/2）4、加强资金支持，从时间节点上明确补助专项资金额度。完成股份有限公司改制后，当年给予50万元补助；完成上市辅导后，当年给予100万元补助；对首次公开发行股票上市的企业，当年一次性给予200万元补助。 ????????
28,#朝阳动态##朝阳出台推动企业上市工作办法#（1/2）1、成立区推动企业上市协调领导小组，统筹协调推动全区企业上市工作。2、建立上市培育期企业数据库，实行动态管理，及时追踪企业上市进展情况。3、建立服务体系，从加强分类指导、完善企业上市金融服务体系和建立“绿色通道”三方面推动企业上市。 ????????
29,机会难得，赶紧报名
30,爱心接力，感谢有你！ //@北京发布:#转发发布厅#今晨地铁里的感人一幕，让雨中的北京城多了一份温暖的力量。//@北京地铁: #爱心接力棒# 目前乘客已被送往急救中心。小编在此也提示大家：如果您在地铁内感到身体不适时请及时联系地铁工作人员，当身边有人需要您帮助时，也希望大家能够帮一把、扶一下。
31,#宜居朝阳##为老服务品牌化#修脚、订报、配花镜、陪老人去医院看病，一项项居家养老服务送到老人们身边，为的是让老年人的生活更方便，更舒心。近日，120家服务企业成为区级签约服务商，涵盖了老年人生活照料、康复护理、家政保洁、精神慰藉、医疗康复、老年教育、文化体育、养老机构等十方面。 ????????
32,#人文朝阳##和谐家庭教育指导服务项目全区推广#日前，区妇联、区文明办与区教委共同为全区43个街乡级“和谐家庭指导站”服务基地和街道系统的229个社区“和谐家庭指导站”代表授牌，209名和谐家庭指导员、133名和谐家庭志愿者持证上岗，为地区家庭提供一对一的指导服务。 ????????
33,#朝阳动态##1—7月朝阳多渠道开发8.4万个就业岗位#围绕“重点经济项目带动就业、优化城乡就业结构”的整体思路，通过落实企业用工联盟、监控区域重点项目、开展企业用工需求调查，截至7月底，朝阳区公共职介机构开发岗位84387个，举办各类招聘会135场，求职登记12629人，推荐13597人次，成功8448人。 ????????
34,#人文朝阳##朝阳区政府为民服务热线开通运行#朝阳区81890为民服务中心日前正式成立并运行。该中心通过7×24小时朝阳区政府为民服务热线81890000和www.81890000.gov.cn社区服务网及覆盖整个朝阳的便民服务企业加盟网点和志愿者队伍，以统一的标准和统一的管理为广大居民提供服务。 ????????
35,#朝阳动态##朝阳24个房地产开发项目配套设施情况公示#近日，包括曾为北京“地王”的广渠路15号在内的24个项目配套设施情况面向社会公示。公示配套项目合计366处，包括学校3处、幼儿园11处、菜市场（社区菜站）7处、社区卫生服务站21处。该批公示配套设施交付使用后，将极大方便居民的日常生活。 ????????
36,仔细看看下面缓解嗓子痛的9种食物哦！
37,带着熊猫眼的你，今晚，是否决定早睡呢？
38,#温馨提示#后半夜转阵雨，明日气温略有下降。
39,2号航站楼改造停车楼。
40,暑期返京高峰来临，明儿又是周一，为避免上班迟到，大家不妨早出发几分钟哦！
41,明儿适合出行，你打算去哪儿逛逛呢？在751时尚设计广场展出的幻视3D展是个不错的选择哦！751时尚设计广场位于朝阳区酒仙桥路4号，毗邻798艺术区。
42,26条无灯路年底“亮”起来！
43,#活动预告#【朝阳区第四届“档案馆日”活动即将举行】朝阳区档案馆将于9月5日举办主题为“探求朝阳发展真迹，体验档案文化氛围”的第四届“档案馆日”活动，活动当天将在档案馆主会场及太阳宫乡分会场开展馆舍开放、查阅体验、档案法规有奖问答、展览参观、交流会、档案文化体验与社区历史追踪等活动。 ????????
44,#人文朝阳#【社区举办“童心集市”】在暑假即将过去之际，朝阳丽都社区在其“安徒生花园广场”举办了一场“童心集市”活动。小朋友将自己的物品展示，孩子若看上了某件东西，在协商成功后就可以拿着自己的物品去交换。小朋友还可以把没有交换出去的物品通过主办方捐赠给云南贫困地区的小朋友。????????????
45,#共同关注#【下月起非京户籍人员可在京办出入境证件】好消息！从公安部网站获悉，公安部推出便民利民新举措，决定自2012年9月1日起，在北京、天津、上海、重庆、广州、深圳等6个流动人口较多的城市实施允许非本市户籍就业人员和高等院校的在读大学生异地提交出入境证件申请的便利措施。????????????
46,公共文明引导员开始招募啦！ 朝阳区的报名地点是日坛北街33号，电话：65099464。
47,【更正】幻视3D展的展出地址是751时尚设计广场，位于朝阳区酒仙桥路4号，毗邻798艺术区。????谢谢广大网友的热情提醒。
48,#朝阳动态#【首批“人大代表工作室”揭牌】近日，安贞街道安华里社区和来广营地区来广营村“人大代表工作室”揭牌。这是朝阳区首批成立“人大代表工作室”的试点街乡，在全市乃至全国也尚属首例。这为选民通过人大代表反映自己的意愿和人大代表面对面地听取选民的意见建议建立一个新的渠道。 ????????
49,太纠结啦！ 今儿您打算吃点啥？
50,细心的朋友们发现地铁自动扶梯加装了围裙板防夹装置没？
51,#共同关注#【2012“动漫北京”今日开幕】2012“动漫北京”系列活动8月23号到26号在农展馆举行。现场将展示“首届原创民族动漫形象大赛优秀作品”，还有动漫爱好者互动、TOP COSPLAY大赛、I DO动漫主题婚礼、动漫歌曲音乐会、漫画名家及明星COSER签售、漫画家讲座、动漫游戏角色体验SHOW等活动哦！ ????????
52,#魅力朝阳#【幻视3D展亮相798】近日，为纪念中韩建交20周年举行的“惊天幻视3D艺术展”在798艺术区举行。展览共展出80余件作品，分为脑力激荡、立体魔幻、森林探险、名画KUSO及海底冒险五大主题。展览将持续到9月9日，大家去现场感受一下身在画中的感觉吧！图为两名女观众与作品《匹诺曹》互动。 ????????
53,#魅力朝阳#【朝阳区举办全国休闲农业创意精品推介活动暨朝阳乡村文化节】近日，全国休闲农业创意精品华北东北区推介活动暨朝阳乡村文化节活动在蟹岛绿色生态度假村举办。本届文化节活动主题是“都市生活大美田园”、“根植沃土多彩生活”，展示了朝阳区在“三农”建设进程中的成果和精品。（牛荣 摄） ????????
54,"燃放孔明灯隐患重重,????追求浪漫时勿忘危险。"
55,包括工体北路、三环辅路（安贞桥-太阳宫桥）在内的2012年第二批道路大修工程已全部开工。
56,北京电信3G信号覆盖10条地铁线！
57,“公德接力”微活动将延长时间至9月7日，大家赶紧参与吧！
58,#魅力朝阳#【“最美朝阳”摄影大赛】摄影爱好者们，“最美朝阳”摄影大赛正在举办，不要错过哦！只要您的作品能展现朝阳区特色景观、特色街区和精彩瞬间，充分展现丰富多彩的朝阳生活，就赶紧投稿吧！投稿截止日期为8月31日，投稿邮箱：zuimeichaoyang@126.com 。详情点击：O网页链接 ????????
59,#人文朝阳#【三里屯小居民办跳蚤市场】为锻炼孩子们的沟通能力，增强他们的环保意识，近日，朝阳区三里屯街道举办闲置物品交换活动。毛绒玩偶、漫画书、变形金刚、小饰品……活动中，30多位社区小居民聚集在世茂百货南广场，布置好摊位，当起了“小老板”。 ????????
60,即日起至10月31日，公安部将开展机动车涉牌涉证违法集中整治。
61,#共同关注#【大学生招聘周提供百万岗位】从昨天起至本月26日，“2012年高校毕业生就业服务网络招聘周”举行。通过全国招聘信息公共服务网（www.cjob.gov.cn），可以查询到全国30个省（区、市）近4万家用人单位的100多万个就业岗位信息，其中专门针对应届高校毕业生的招聘岗位达50万个。 ????????
