序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    他强调，要改进金融机构的考核机制，健全信用评价机制，并且要继续清理规范非融资担保公司。“现在一些非融资担保公司，打着融资担保的旗号，干的却是非法集资，可以说是鱼龙混杂。”李克强说，“我们研究出台融资担保新的政策，就是在这一领域‘开正门、堵偏门’。”                                            ", 2015-7-31 21:38,39,评论,39,360安全浏览器,CtHn4gJgR
2,"
                                                                                                    “当前，经济下行压力仍然不小，就业问题须臾不能忽视。促进创业就业，解决小微企业和‘三农’融资难融资贵的问题，非常关键。”他说，“要坚持市场主导和政策扶持相结合，有针对性地加快发展融资担保行业。”                                            ", 2015-7-31 21:37,27,评论,39,360安全浏览器,CtHmUenue
3,"
                                                                                                    【李克强：加快融资担保破解“小微”“三农”融资难题】在7月31日召开的国务院常务会议上，李克强总理把融资担保比喻为破解小微企业和“三农”融资难题、促进大众创业万众创新的“金钥匙”。O李克强：加快融资担保破解“小微”“三农”融资难... ​​​​                                            ", 2015-7-31 21:37,102,评论,39,360安全浏览器,CtHmBiv3h
4,"
                                                                                                    “我们有些政策出台的本意是好的，但在推进过程中把握不好，让老百姓跑不少腿不说，还要花钱换证。这种现象这次要坚决避免。”总理说，“我们整合建立公共资源交易平台，主要靠电子信息整合，也借鉴了发达国家一些成熟的经验。在推动实施过程中，各部门、各地方要确保严循规则，不得‘走样’。”                                            ", 2015-7-31 21:33,22,评论,32,360安全浏览器,CtHletW1x
5,"
                                                                                                    【国务院整合公共资源交易平台：推动行政权力“阳光化”】李克强为整合建立统一的公共资源交易平台画出“路线图”：“我们要把各项公共资源逐步都纳入到统一的平台上,实现‘平台之外无交易’。这既可以降低交易成本,也能消除寻租行为,推动行政权力‘阳光化’,用制度遏制腐败。” O国务院整合公共资源交易平台：推动行政权力“... ​​​​                                            ", 2015-7-31 21:32,52,评论,32,360安全浏览器,CtHkXlDbh
6,"
                                                                                                    北京! 北京！结果出来了，巴赫宣布：北京获得2022年冬奥会举办权！ ​​​​                                            ", 2015-7-31 17:59,774,评论,686,专业版微博,CtFWmgs8V
7,"
                                                                                                    会议决定，在不增加企业和群众负担的前提下，整合分散设立的工程建设项目招投标、土地使用权和矿业权出让、国有产权交易、政府采购等公共资源交易市场，2016年6月底前，地方各级政府基本完成整合工作，2017年6月底前，在全国范围形成规则统一、公开透明、服务高效、监督规范的公共资源交易平台体系。                                            ", 2015-7-31 17:57,25,评论,71,微博 weibo.com,CtFVD4uYh
8,"
                                                                                                    四要加大财政支持，落实对融资担保机构免征营业税和准备金税前扣除等政策，依法为其开展抵（质）押登记，提供债权保护和追偿协助，维护合法权益。五要对政府性融资担保和再担保机构减少或取消盈利要求，适当提高对小微企业和“三农”担保贷款的风险容忍度，推动降低担保业务收费标准。                                            ", 2015-7-31 17:56,23,评论,71,微博 weibo.com,CtFV04wGH
9,"
                                                                                                    三要以省级、地市级为重点,以政府出资为主,发展一批经营规范、信誉较好、聚焦主业服务小微企业和“三农”的政府性融资担保机构。支持融资担保机构兼并重组,做优做强。                                            ", 2015-7-31 17:55,11,评论,71,微博 weibo.com,CtFUv2wIk
10,"
                                                                                                    一要探索建立政府、银行和融资担保机构共同参与,共担风险机制和可持续的合作模式,鼓励有条件的地方设立政府性担保基金,对银行业金融机构担保贷款发生的风险给予合理补偿。二要设立国家融资担保基金,推动政府主导的省级再担保机构在3年内实现基本全覆盖,与融资担保机构一起,层层分散融资担保业务风险。                                            ", 2015-7-31 17:53,9,评论,71,微博 weibo.com,CtFTMnSra
11,"
                                                                                                    会议指出，坚持市场主导和政策扶持相结合，有针对性地加快发展融资担保行业，深化金融改革，破解小微企业和“三农”融资难题，是完善定向调控的重要举措，有利于推动大众创业、万众创新，支持“三农”以增强实体经济“细胞”活力，夯实国民经济基础。                                            ", 2015-7-31 17:48,18,评论,71,微博 weibo.com,CtFS15FT2
12,"
                                                                                                    #国务院常务会议#【李克强主持召开国务院常务会议】国务院总理李克强7月31日主持召开国务院常务会议，部署加快融资担保行业改革发展，更好发挥金融支持实体经济作用；决定整合建立统一的公共资源交易平台，以管理创新促进资源配置高效透明。 ​​​​                                            ", 2015-7-31 17:45,371,1,71,专业版微博,CtFQG3ZgW
13,"
                                                                                                    【图表：2014年共有1294.73万随迁子女进城就读】O图表：2014年共有1294.73万随迁子女进城就读 ​​​​                                            ", 2015-7-31 15:59,17,评论,26,政务直通車,CtF9vsSuu
14,"
                                                                                                    【工商总局：着力构建事中事后监管新机制】为了切实维护良好的市场秩序，工商总局将从五个方面构建事中事后监管新机制：继续做好企业信息公示工作；充分运用大数据资源，提高监管效能；完善经营异常名录、黑名单等信用监管制度；加强联合惩戒；认真履行监管职责。  O工商总局：着力构建事中事后监管新机制 ​​​​                                            ", 2015-7-31 15:19,20,评论,21,政务直通車,CtETj6tKl
15,"
                                                                                                    【上半年我国游戏市场销售收入超600亿】上半年，我国游戏产业市场实际销售收入超过600亿元，超越2014年同期水平，增长速度比2014年虽然有所下降，但仍处于平稳增长态势。游戏行业资本运作从狂热向理性回归，上市、收购、并购趋于谨慎，游戏企业估值趋于客观。  O上半年我国游戏市场销售收入超600亿 ​​​​                                            ", 2015-7-31 12:39,37,评论,34,政务直通車,CtDQgezvn
16,"
                                                                                                    【我国已成为马铃薯生产和消费第一大国】目前我国马铃薯生产面积和产量均占世界约1／4，已成为马铃薯生产和消费第一大国。去年我国粮食生产实现“十一连增”，达到创纪录的60710万吨。马铃薯是世界上继水稻、小麦、玉米之后的第四大粮食作物，也是我国的第四大粮食作物。   O网页链接 ​​​​                                            ", 2015-7-31 11:59,67,评论,53,政务直通車,CtDA3fkRK
17,"
                                                                                                    【二季度工业运行趋稳 动力日渐强劲】2015年二季度中经产业景气指数近日发布，中经工业景气指数为92.9，比一季度降0.4点，降幅有所收窄，行业间走势分化加剧，发展新动力、新亮点日益显现。下半年，一系列稳增长措施的积极效应将继续显现，工业经济有望呈平稳走势。@经济日报   O中国政府网 ​​​​                                            ", 2015-7-31 11:19,21,评论,24,政务直通車,CtDjQ0CB8
18,"
                                                                                                    【简政放权如何扫除创新创业“拦路虎”？】“互联网＋”、新能源、生物医药……对于市场经济这些新业态，新一轮简政放权让它们放开了手脚，焕发了生机。政府对创新创业最大的扶持就是“适当地放手，培育公平环境”，更宽容地尊重专业意见，让企业有更多精力关注产品和市场。  O简政放权如何扫除创新创业“拦路虎”？ ​​​​                                            ", 2015-7-31 10:39,36,评论,31,政务直通車,CtD3zaNju
19,"
                                                                                                    【我国将全面实施旅游企业“黑名单”制度】为加大对旅游行业违法失信行为的惩处力度，我国将全面实施旅游企业“黑名单”制度。对纳入“黑名单”的企业和从业人员采取检查、暗访等措施实施有效监管。对旅游行政管理部门延迟报送、玩忽职守的，将对相关责任人员予以行政处分。  O我国将全面实施旅游企业“黑名单”制度 ​​​​                                            ", 2015-7-31 09:59,43,评论,44,政务直通車,CtCNmdgjt
20,"
                                                                                                    【人社部、财政部：10月1日起调整现行工伤保险费率政策】明确将行业工伤风险类别划分为八类。明确了行业差别费率及其档次。明确了单位费率确定与浮动办法。明确了费率的报备制度。初步测算，工伤保险费率调整，全国一年可减轻企业负担150亿元。  O两部门通知10月1日起调整现行工伤保险费率政策 ​​​​                                            ", 2015-7-31 09:19,71,评论,35,政务直通車,CtCx5FpU9
21,"
                                                                                                    转发微博                                            ", 2015-7-31 09:12,25,评论,609,360安全浏览器,CtCupC04X
22,"
                                                                                                    【农业部实施推进农民创业创新行动计划】支持返乡农民工、普通中高等学校毕业生、退役士兵、大学生村官、农村能人等创办领办家庭农场、农民合作社和小微企业等市场主体,发展农村一二三产业，通过三年努力，形成农民创业创新新格局，为推进农业强、农村美、农民富提供有力支撑。  O网页链接 ​​​​                                            ", 2015-7-31 08:51,69,评论,32,政务直通車,CtClP9Bm7
23,"
                                                                                                    【公安部：全力推进跨省异地缴纳交通罚款等改革试点】公安部29日的视频会部署了年内重点工作。其中一个重点，就是进一步落实深化公安改革措施，做好互联网交通安全综合服务管理平台、跨省异地缴纳交通违法罚款等改革试点工作，让群众分享到互联网＋交通管理创新的改革成果。   O公安部：全力推进跨省异地缴纳交通罚款等改革... ​​​​                                            ", 2015-7-31 08:49,41,评论,20,政务直通車,CtCl1vks3
24,"
                                                                                                    【投资和产能合作——中国为世界经济增长提供新动力】全球金融危机以来，“增长”已成为世界经济的稀缺品。尽管增速有所回调，但中国通过引领推动区域经济发展、促进国际产能合作，以及筹建一系列多边投资机构等新举措，正在给全球经济注入活力，打造带动全球增长的“新势头”。O投资和产能合作——中国为世界经济增长提供新动... ​​​​                                            ", 2015-7-30 19:51,37,评论,51,360安全浏览器,Ctxfd23pq
25,"
                                                                                                    【激发最初的梦想，让“双创”成为时代潮流】7月30日，《发现双创之星》安徽站正式启动。《发现双创之星》系列活动的持续开展，受到了越来越多的创客们的关注，尤其是通过“创客说”讲述出来的“双创”好故事，更是激发了无数创新创业者们的热情。 O网页链接 ​​​​                                            ", 2015-7-30 18:08,24,评论,39,360安全浏览器,CtwzuzSRs
