序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #寻找石城街巷美食#没有冰淇淋的夏天是不完整的！                                            ", 2015-7-31 22:11,60,19,130,iPhone 6,CtHADeath
2,"
                                                                                                    还有谁？ //@丧心病狂的小祺儿:没错这就是我 //@哈密瓜_mvB:仿佛看到了自己                                            ", 2015-7-31 21:06,86,20,91,iPhone 6,CtHaalpPx
3,"
                                                                                                    【这些即将发生的大事，都会改变你我的生活】8月份，南京将有一批新规跟你息息相关，包括交通出行、养老保障等。无论是哪一项，总之，都是好消息在南京，你的生活会因为新规而不断变得更好！！ ​​​​                                            ", 2015-7-31 20:13,37,9,26,360安全浏览器,CtGOx7thv
4,"
                                                                                                     //@南京邮政:今晚8点，南京市玄武区龙蟠路121号金陵集藏，欢迎抢购为庆祝北京申办2022年冬季奥运会成功，中国邮政于2015年7月31日特别发行《北京申办2022年冬奥会成功纪念》邮票1套1枚。 //@南京邮政:                                            ", 2015-7-31 18:53,14,10,38,iPhone 6,CtGi57sjT
5,"
                                                                                                    今天，只有一件事情不开心。2022年，你多大了 ​​​​                                            ", 2015-7-31 18:11,114,125,68,iPhone 6,CtG1hdiaf
6,"
                                                                                                    这一刻，你最想说的一句话是什么快告诉我                                            ", 2015-7-31 18:04,41,116,85,360安全浏览器,CtFYrFwrW
7,"
                                                                                                    结果出来了！！！巴赫刚宣布了，中国办！好激动！                                            ", 2015-7-31 17:58,34,28,85,360安全浏览器,CtFW58hy9
8,"
                                                                                                    2022冬奥会！中国办！ ​​​​                                            ", 2015-7-31 17:58,117,27,85,360安全浏览器,CtFVKauFb
9,"
                                                                                                                                                ", 2015-7-31 17:51,7,15,507,iPhone 6,CtFT73vQi
10,"
                                                                                                    还有10分钟。你觉得中国能申办成功吗我看行！ ​​​​                                            ", 2015-7-31 17:27,28,80,93,iPhone 6,CtFJc7egE
11,"
                                                                                                    今晚一起来看“蓝月亮”啊#严肃点，这不是一贴广告#                                            ", 2015-7-31 17:13,20,5,63,微博 weibo.com,CtFDI1AzB
12,"
                                                                                                    无题 ​​​​                                            ", 2015-7-31 16:41,159,97,91,iPhone 6,CtFqwEQqo
13,"
                                                                                                    老南京城南夏天！满满的回忆！                                            ", 2015-7-31 15:40,5,1,18,微博 weibo.com,CtF1MaYIs
14,"
                                                                                                    【江苏省人医两专家自导自演“广场舞版”急救法】专家不“严肃”，急救不难学，江苏省人民医院的专家们“捣鼓”出了一部医学急救方法的说唱大片，在网上走红“导演”秦超是省人民医院泌尿外科专家，同时也是一名歌手，还出过专辑呢！你来看看啊L白金十分钟+字幕版 ​​​​                                            ", 2015-7-31 14:58,43,12,22,微博 weibo.com,CtEKWciE1
15,"
                                                                                                    冬奥会会不会在中国举办呢                                            ", 2015-7-31 14:00,23,25,68,iPhone 6,CtEnsjgzt
16,"
                                                                                                                                                ", 2015-7-31 12:34,26,15,16,微博 weibo.com,CtDOcxM8O
17,"
                                                                                                    【再见，86岁的大校场机场】本月，位于六合的空军南京新机场已建成投运，原机场于昨天凌晨正式关闭。再见 ​​​​                                            ", 2015-7-31 12:30,268,81,124,微博 weibo.com,CtDMS90I0
18,"
                                                                                                    赶飞机的早点到哦~                                            ", 2015-7-31 11:17,45,24,47,微博 weibo.com,CtDjjcXMF
19,"
                                                                                                    不看图3真的看不出来过安检要小心啊~                                            ", 2015-7-31 10:52,15,11,117,微博 weibo.com,CtD8Z9DZ3
20,"
                                                                                                    继续高温黄色预警                                            ", 2015-7-31 10:38,11,2,5,微博 weibo.com,CtD3iCoEm
21,"
                                                                                                    【江宁出租车起步价今起9块，早晚“双计费”】据江宁区物价局：江宁区出租汽车客运价格调整方案确定，自7月31日起施行。今天起，南京江宁出租车起步价从6元/2公里调整至9元/3公里，与市区出租车一样，早晚高峰期采取“双计费”。3公里以外每公里运价2.30元不变。 ​​​​                                            ", 2015-7-31 09:46,76,54,23,微博 weibo.com,CtCIa84LJ
22,"
                                                                                                    你去过几个呢？ O南京七大高颜值博物馆推荐 ​​​​                                            ", 2015-7-31 09:28,36,16,19,iPhone 6,CtCB6cCa7
23,"
                                                                                                    给身边的毕业生！                                            ", 2015-7-31 09:15,29,7,4566,微博 weibo.com,CtCvOdouX
24,"
                                                                                                    【南京·安】月半的月光！ ​​​​                                            ", 2015-7-30 23:34,17,45,60,iPhone 6,CtyHB2d5x
25,"
                                                                                                    【吃货福音：南京市场龙虾抽检全部合格】今年，市食药监局委托国家轻工业食品质量监督检测南京站，对市场上龙虾的菊酯类农药残留开展了两次快速检测，100批次全部合格当然到大农贸市场或专营水产店买更放心哦！十三香、蒜泥、焗蛋黄、清水、麻辣......饿！来数数龙虾你吃过哪些口味? ​​​​                                            ", 2015-7-30 21:30,51,14,33,微博 weibo.com,CtxThvYJD
26,"
                                                                                                    【浦口“林公堤”商业街林高清图来了】近日，江北首个民国风情主题街区——“林公堤”正式开街。该街区依城南河而建，按民国风情打造了10栋洋房，高清图送上（自@南京日报 ）↓↓↓地铁10号线文德路站下，吃喝玩乐新去处，快带TA去赏“民国风”咯！考考你，林公堤的“林公”是谁？ ​​​​                                            ", 2015-7-30 20:20,77,58,33,微博 weibo.com,CtxqS69U7
27,"
                                                                                                    晚上听天气预报：高温至少还得有一周                                            ", 2015-7-30 19:52,8,4,5,iPhone 6,CtxfL1dQS
28,"
                                                                                                    【六合发现“人脸石”】六合区方山国家地质公园发现一块“人脸石”，高约4米，直径约2米。远远望去，像一位老人微微地张开嘴去亲吻面前的小石头，鼻梁和小石头触碰在一起，老人眼窝深陷，双眼深情注目着小石头↓↓↓ 你看，像么？ ​​​​                                            ", 2015-7-30 18:30,17,29,58,微博 weibo.com,CtwIdBL1a
29,"
                                                                                                    【先睹为快：《黑猫警长》电影版出预告片啦！】“啊啊啊，啊啊啊黑猫警长！”31 年后，《黑猫警长》推出电影版，定档8月7号上映。从森林转移到宇宙飞船，这是不是你记忆中的黑猫警长和一只耳？《黑猫警长》终极预告震撼出击 L《黑猫警长》终极预告震撼出击 正邪大战一触... 正邪大战一触即发你要看吗？ ​​​​                                            ", 2015-7-30 17:33,75,13,18,微博 weibo.com,Ctwl6bUue
30,"
                                                                                                    【溧水白马回峰山的向日葵花海】有一种花，它盛开在这酷夏里，它是梵高的最爱，它那“熊熊燃烧”的黄色能将天际点燃！它就是——向日葵最近，溧水白马回峰山的向日葵花海就这样任性的开了，你看你看，简直美爆了！@溧水发布 ​​​​                                            ", 2015-7-30 16:49,42,18,26,微博 weibo.com,Ctw3r9TZm
31,"
                                                                                                    #恩正南京人#                                            ", 2015-7-30 15:56,-1,7,34,微博 weibo.com,CtvHSBxYI
32,"
                                                                                                    【南京有一群人在进行真正的“极限挑战”】当你在空调房里，被毒辣的阳光吓得不敢出门时，是否想起了这样一群人？当你为明星在35℃+的室外录制节目的敬业点赞时，是否也看见了挥汗如雨的他们？他们是这座城市的守护者听一听他们是如何在35℃下坚守10小时 ​​​​                                            ", 2015-7-30 14:00,248,51,536,微博 weibo.com,CtuWD781S
33,"
                                                                                                    教练，我赫怕！                                            ", 2015-7-30 12:48,147,39,413,微博 weibo.com,CtutHbYX4
34,"
                                                                                                    【白马公园有“梦幻水乐园”啦】这个夏天，家门口又多了一处玩水好去处即日起至9月，@南京钟山风景名胜区 白马公园“梦幻水乐园”开园背靠紫金山，前临玄武湖，在森林氧吧中嬉水纳凉，夜晚彩灯闪烁，映衬湖光山色，简直就是童话世界↓↓↓还有多彩的文艺演出和各类美食小吃哦走！ ​​​​                                            ", 2015-7-30 11:20,135,43,33,微博 weibo.com,CttTGrhGQ
35,"
                                                                                                    ↓↓↓戳视频胆真肥！                                            ", 2015-7-30 10:24,33,32,67,微博 weibo.com,CttwXggUu
36,"
                                                                                                    【以后去餐馆认准餐具“1122”标识！】你去餐馆吃饭，会担心餐具不卫生，在拆封后用开水烫涮一下？据@南京政务服务 ：8月1日起，南京市内各正规消毒餐具生产企业将统一使用“1122”标识的消毒餐具包装，以后认准餐具外包装膜上有“1122”标识，就可放心使用。如果没有，可拨打12315投诉。 ​​​​                                            ", 2015-7-30 09:39,156,31,20,微博 weibo.com,CtteZxMJc
37,"
                                                                                                    六朝探""鲜""之旅夏令营<第二期>今天上午9：00开始报名，名额有限，报名从速哦                                            ", 2015-7-30 09:23,6,6,4,微博 weibo.com,Ctt8ct5wm
38,"
                                                                                                    说的好像今天没有昨天热一样//@小二哥alex：这是昨天的                                            ", 2015-7-30 08:03,63,19,168,iPhone 6,CtsBYClJL
39,"
                                                                                                    今日天气预报，看图就知道 ​​​​                                            ", 2015-7-30 07:42,157,61,168,iPhone 6,Ctstf13ZM
40,"
                                                                                                    【南京·安】                                            ", 2015-7-29 22:24,59,14,31,iPhone 6,CtoOK3ivh
