序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【成功者共同的9种素质】①不抱怨，牢骚满腹只显无能；②自制，控制自己才能控制压力；③独处，给自己空间思考；④不惧压力，很多成就常实现于逆境；⑤变化，以变应变才有出路；⑥自信；⑦学习，不停止自我增值；⑧专注：一次只做一件事；⑨理智：保持冷静、有条理。改进，每天离成功更进一步。 ​​​​                                            ", 2015-7-31 23:09,3,2,1,皮皮时光机,CtHXYyg51
2,"
                                                                                                     说说看这些照片都是哪里？                                            ", 2015-7-31 21:39,3,5,12,南京旅游网站群,CtHnscjhv
3,"
                                                                                                    #光影南京#玄武湖日出...@博澜视觉  ​​​​                                            ", 2015-7-31 20:54,1,1,2,皮皮时光机,CtH5bicIA
4,"
                                                                                                    #美食南京#正宗老南京早茶与下午茶：①茶糕；②粥与小菜；③乌饭；④豆浆油条；⑤小馄饨；⑥萝卜丝饼；⑦老卤面；⑧小笼包；⑨蒸儿糕；⑩牛肉锅贴及猪肉锅贴；⑾桂花酒粮赤豆小元宵与桂花糖芋苗；⑿豆腐涝；⒀酥烧饼。这些美食你一定都已经全部吃过 @重读南京寻访团 ​​​​                                            ", 2015-7-31 20:09,3,1,7,南京旅游网站群,CtGMUEBF9
5,"
                                                                                                    #抗战胜利70周年#近日，日本731部队的焚烧灰坑在考古中被发现。坑里清理出上百个带液体的溶液瓶，上面用日文写着“毒”字，液体成分需进一步化验。据测算，“731”部队一年生产的细菌武器足以毁灭人类转起，真相不容否认，历史不容忘却！（央视新闻） ​​​​                                            ", 2015-7-31 19:15,1,评论,赞,皮皮时光机,CtGr00rD8
6,"
                                                                                                    南京机场安检升级，请提前两小时抵达机场！                                            ", 2015-7-31 18:24,7,5,1,南京旅游网站群,CtG6htWBz
7,"
                                                                                                    恭喜北京！                                            ", 2015-7-31 18:00,7,1,265899,微博 weibo.com,CtFWV96qs
8,"
                                                                                                    #网罗天下#告诉你身上的7个止疼开关：头疼、牙疼、肩疼、后背疼，生活中我们经常会遇到一些疼痛，有的与疾病有关，有的与生活习惯有关。其实人身上就有许多“止疼开关”，可以通过按压等方式，将疼痛感“关掉”。哪里疼痛按哪里？赶紧戳图学习↓↓↓ ​​​​                                            ", 2015-7-31 17:54,6,评论,赞,皮皮时光机,CtFU76kC4
9,"
                                                                                                    大校场机场再见了                                            ", 2015-7-31 17:46,6,3,124,微博 weibo.com,CtFQQ5LkH
10,"
                                                                                                                                                ", 2015-7-31 17:39,11,1,4069,iPhone 6 Plus,CtFOiip0u
11,"
                                                                                                    [呵呵]神器                                            ", 2015-7-31 17:37,2,3,466,iPhone 6 Plus,CtFNeFMlU
12,"
                                                                                                    #轻松一刻#如果你看不懂这张图，说明你累了   ​​​​                                            ", 2015-7-31 17:09,3,2,2,南京旅游网站群,CtFBPAvIt
13,"
                                                                                                    来篇新西游记                                            ", 2015-7-31 16:35,1,2,赞,iPhone 6 Plus,CtFo1gq3F
14,"
                                                                                                    #光影南京#万景园东临扬子江大道，西至长江夹江，南至绿博园，北至涵碧楼，全长1.7公里，面积约为32万平米。自北向南依次设有西亚树林区、观江风情区、意式台地、法式乡村风情区和运动场。@博澜视觉 ​​​​                                            ", 2015-7-31 16:24,转发,评论,1,皮皮时光机,CtFjBBEGq
