序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【今天，发条微博告别七月】#四川晚安#手捧通知书的你，满足或遗憾，又忙着整理行囊再出发；刚入职场的你，来不及紧张，马不停蹄为新生活打拼…就这样，拼搏，收获，告别，起航。七月最后一天，发条微博，为自己摇旗呐喊：不沉湎过去，不畏惧开始，梦想，努力就是了。 ​​​​                                            ", 2015-7-31 23:00,3,评论,6,微博 weibo.com,CtHUjk2Lu
2,"
                                                                                                    【原三圣乡花卉市场拆迁后的用地规划→】#你问我答#网友""丁丁爱小鱼儿""：大家常去的成都三圣乡花卉市场最近搬走了，我想知道这里拆迁后这块地咋个规划？@锦江服务：您好，搬迁后的花卉市场用地将规划为两部分，一部分为医疗用地，将建设为市血液中心，一部分为文化产业用地，目前尚未确定公司。 ​​​​                                            ", 2015-7-31 22:20,3,5,4,四川发布政务平台,CtHE59JMm
3,"
                                                                                                    【成都市部分公证机构联系方式 转发收藏！】#四川服务#老人为防止百年后子女争财产该怎么办？离婚后，女子婚前所买房屋被前夫擅自卖掉怎么办……如今，公证案件数量逐年增多。当您第一次遇到公证案件，去哪里办理？以下是在成都市范围内，收集归纳到的部分公证机构联系方式↓[推荐]据四川日报 ​​​​                                            ", 2015-7-31 21:39,11,1,6,四川发布政务平台,CtHnr2o9K
4,"
                                                                                                    【明起 四川村镇水厂免收5种税】#天府民生#8月1日起，我省村镇自来水厂在建设、运营过程中，免收契税、印花税、房产税、城镇土地使用税和增值税，前三年免收企业所得税。此外，鼓励各地对水厂用电采用农排电价，电价从0.53元/度降至0.23元/度。在此背景下，我省农村自来水价有望下跌。 ​​​​                                            ", 2015-7-31 20:57,9,3,9,四川发布政务平台,CtH6o44dr
5,"
                                                                                                    【离开家乡后,你还讲方言吗?】#每日一问#一项在线调查显示:①离开家乡后,23.6%受访者经常讲方言，50.7%受访者只偶尔讲;②仅有21.7%的受访者认为自己方言讲得非常地道,3.6%受访者听说家乡方言都很吃力;③58.0%受访者认为年轻人应了解方言的意义和价值。你还讲方言吗?请用方言说出""你吃了吗?"" ​​​​                                            ", 2015-7-31 20:20,4,13,14,四川发布政务平台,CtGRmDxfm
6,"
                                                                                                    【四川本科录取工作结束 考试院公布8种招生诈骗行为】#2015高考#童鞋们，目前四川省普通高校招生本科段录取工作已经结束啦。特别提醒各位考生和家长，在这个阶段极易出现一些不法分子坑蒙诈骗考生家长钱财的事件,扰乱正常的招生秩序。省教育考试院公布了8种招生诈骗行为，戳图了解↓ ​​​​                                            ", 2015-7-31 20:00,4,评论,5,四川发布政务平台,CtGJg2gDG
7,"
                                                                                                    【PM10不降反升 达州、广安、内江、南充4市被点名】#天府聚焦#8-12月，省大气办将就省政府向各市（州）政府下达的2015年环境空气质量政府年度责任目标推进情况。同时，今年8月，将专门对2014年PM10年均浓度不降反升的达州、广安、内江、南充4市和国控重点城市成都市，开展专项考核。 ​​​​                                            ", 2015-7-31 19:39,5,12,8,四川发布政务平台,CtGAJ6D8A
8,"
                                                                                                    #地震快讯#中国地震台网正式测定：07月31日19时17分在四川省阿坝藏族羌族自治州汶川县（北纬31.3度，东经103.3度）发生3.0级地震，震源深度4千米。（ @中国地震台网速报 ） ​​​​                                            ", 2015-7-31 19:26,10,7,4,国家地震台网,CtGvFhvBu
9,"
                                                                                                    #地震快讯#中国地震台网自动测定：07月31日19时17分在四川省阿坝藏族羌族自治州汶川县附近（北纬31.3度，东经103.4度）发生3.1级左右地震，最终结果以正式速报为准。（ @中国地震台网速报 ） ​​​​                                            ", 2015-7-31 19:19,4,2,3,国家地震台网,CtGsLkEoC
10,"
                                                                                                    【关于驾照从外地转入雅安的咨询 】#你问我答#网友""疯叶子"":我现在的户口在雅安市芦山县，驾照是成都市的。想咨询一下驾照迁转到雅安市和有效期满换证的相关办理程序。雅安市公安局交警支队:可以先带上身份证、驾驶证和两张一寸白底彩色照片到雅安车管所办理驾驶证转入业务，转入业务无需考试。 ​​​​                                            ", 2015-7-31 19:00,3,评论,1,四川发布政务平台,CtGkTrFrS
