序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #微提示#【号牌不清请及时更换，切莫投机取巧】                                            ", 2015-7-31 17:14,2,评论,25,微博 weibo.com,CtFE0B3tz
2,"
                                                                                                    //@一叶知秋微直播: 【湖北省交管局部署开展集中整治交通违法统一行动】                                            ", 2015-7-31 16:09,3,1,6,微博 weibo.com,CtFdGkZq4
3,"
                                                                                                    #统一行动#【湖北省交管局部署开展集中整治交通违法统一行动】@公安部交通安全微发布 @一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 16:03,18,1,6,微博 weibo.com,CtFb2jNzt
4,"
                                                                                                    #统一行动#【湖北省交管局部署开展集中整治交通违法统一行动】为贯彻落实国务院安委会关于深入推进“打非治违”专项行动的要求和公安部党委决策部署，保障全国道路交通安全形势稳定，坚决遏制重特大交通事故的发生，省交管局决定从8月1日至9月27日，组织开展整治交通违法行为全省统一行动。 ​​​​                                            ", 2015-7-31 16:02,41,6,6,微博 weibo.com,CtFaP3gJR
5,"
                                                                                                    #烈日下的交警蜀黍# 为保证BRT试运行期间道路畅通，伍家大队民警在骄阳似火的天气里顶热浪、战酷暑在一线指挥交通。                                            ", 2015-7-31 14:54,1,评论,7,微博 weibo.com,CtEJjrekF
6,"
                                                                                                    //@中国警察网: 焦警，浇警，交警！                                            ", 2015-7-31 11:35,3,1,13,微博 weibo.com,CtDqBAt9m
7,"
                                                                                                    #月末物语#交警在烈阳和暴雨的交替中，七月就要过去了~~                                            ", 2015-7-31 11:11,2,2,13,微博 weibo.com,CtDgFutdf
8,"
                                                                                                    【有一种警察，叫”焦警“】@一叶知秋微直播 @武汉交警                                            ", 2015-7-31 11:02,18,2,4,微博 weibo.com,CtDcTrusE
9,"
                                                                                                    //@一叶知秋微直播: //@深圳义工晓峰: 什么事都了解后才明白。//@今夜打老虎-柯增国: 平时对他们我们有诸多的不理解，一起经历了才知道交警等一些基层的不容易                                            ", 2015-7-31 10:42,1,1,5,微博 weibo.com,CtD4OB2KE
10,"
                                                                                                    //@一叶知秋微直播: 向一线交警致敬！#烈日下交警#                                            ", 2015-7-31 09:55,2,评论,16,微博 weibo.com,CtCM1bbBB
11,"
                                                                                                    #烈日下交警#【致敬，焦警】@湖北高速交警 @武汉交警 @十堰交警 @湖北襄阳交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 09:33,14,3,16,微博 weibo.com,CtCCT235G
12,"
                                                                                                    #烈日下交警#【致敬，焦警】高温持续，黄色预警。提示尽量减少户外活动，以防中暑。宜昌这几天也迎来近40度高温，地表温度达到50C°。@湖北宜昌交警 仍然坚守岗位，疏导交通、查纠违法、处理交通事故……有推迟休假的，有带病坚持的，还有伤病未愈的……向一线交警致敬！@一叶知秋微直播 @平安宜昌 ​​​​                                            ", 2015-7-31 09:32,27,8,16,微博 weibo.com,CtCCAF70o
13,"
                                                                                                    #绿色武汉#【武汉黄标车禁行范围将扩大至全市 环检不合格直接注销】@湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 08:21,9,1,1,微博 weibo.com,CtC9F4Fa4
14,"
                                                                                                    #绿色武汉#【武汉黄标车禁行范围将扩大至全市 环检不合格直接注销】留住“武汉蓝”9月起全面“禁黄”，黄标车在武汉真的难行了，禁行范围不只是三环线和新城区。昨日，武汉市环保局方面透露：今年9月1日起，武汉市会将黄标车及老旧车等高污染排放机动车禁行的范围扩大至全市区域。@一叶知秋微直播 ​​​​                                            ", 2015-7-31 08:20,12,4,1,微博 weibo.com,CtC9v1rGK
15,"
                                                                                                    #行车宝典# 【想防止车辆发生自燃怎么办？】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 07:52,5,2,4,微博 weibo.com,CtBY2lVSR
16,"
                                                                                                    #悟道# 【六句话送给正在奋斗的你】                                            ", 2015-7-31 06:05,10,1,16,微博 weibo.com,CtBgv3zzs
17,"
                                                                                                    #曝光台#【超限车辆酷似“飞机头”如此运输怎可保安全？】                                            ", 2015-7-31 06:02,转发,评论,29,微博 weibo.com,CtBfihXCD
18,"
                                                                                                    //@一叶知秋微直播: “安全行•中国”首届公益微电影创作大赛优秀作品展播-----《心中的人行道》                                            ", 2015-7-31 06:01,1,评论,1,微博 weibo.com,CtBeJpci9
19,"
                                                                                                    #文明交通#【“安全行•中国”首届公益微电影创作大赛优秀作品展播】《心中的人行道》@一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 15:57,15,评论,1,微博 weibo.com,CtvImbKez
20,"
                                                                                                    #文明交通#【“安全行•中国”首届公益微电影创作大赛优秀作品展播】为进一步推进交通安全宣传工作社会化进程，中国道路交通安全协会联合中国电影家协会、北京电影学院、中国警察网等共同举办了“安全行•中国”首届公益微电影创作大赛，评审选出20部入围作品。《心中的人行道》O网页链接 ​​​​                                            ", 2015-7-30 15:55,29,5,1,微博 weibo.com,CtvHCETWO
21,"
                                                                                                    //@荆州交警一大队: 🏻@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 15:52,1,评论,2,微博 weibo.com,CtvGpkU4a
22,"
                                                                                                    //@一叶知秋微直播: [玫瑰] 向奋战在高温下的交警致敬，辛苦了！                                            ", 2015-7-30 14:52,14,4,10,微博 weibo.com,CtvhKqUtP
23,"
                                                                                                    //@交警汪家发: 转发微博                                            ", 2015-7-30 14:51,转发,评论,7,微博 weibo.com,CtvhB0DmX
24,"
                                                                                                    #BRT沿线整治#为进一步净化和改善BRT道路的交通秩序状况，有效遏制因摩托车、电动车违法而带来的交通安全隐患。支队领导下沉一线靠前指挥，伍家大队全员上路整治两车违法。                                            ", 2015-7-30 14:51,转发,1,7,微博 weibo.com,CtvhtARB4
25,"
                                                                                                    #烈日下交警#向奋战在高温下的交警致敬，辛苦了！@一叶知秋微直播 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 11:50,20,3,10,微博 weibo.com,Ctu67Ex5C
26,"
                                                                                                    #烈日下交警#昨日，我省气象部门发布今年以来的首个高温黄色预警信号，全省多个地市最高气温都会升到35℃以上。烈日炎炎，高速公路上地表温度达到50C°，全省高速交警仍然坚守在岗位上，确保路畅人安！向奋战在高温下的交警致敬，辛苦了！图片来自@湖北高速交警汉川大队 李文君@湖北高速交警 ​​​​                                            ", 2015-7-30 11:49,38,9,10,微博 weibo.com,Ctu5LeViH
27,"
                                                                                                    【暑期进警营 零距离学交通】@一叶知秋微直播 @湖北荆州交警                                            ", 2015-7-30 08:47,转发,评论,9,微博 weibo.com,CtsTUhTDo
28,"
                                                                                                    #安全提示#【车辆起步时要防止盲区危险怎么办？】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 08:47,5,1,5,微博 weibo.com,CtsTDqEym
29,"
                                                                                                    #安全提醒#【一定要告诉孩子的保命童谣 得背下来】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 08:13,5,评论,6,微博 weibo.com,CtsFSmc6U
30,"
                                                                                                    #高速警事#29日，高警利川大队开展专项整治行动，加大对涉牌涉证、超员、酒驾等违法行为的查处力度，促进道路交通秩序和安全形势进一步好转，确保路畅人安。                                            ", 2015-7-30 08:03,转发,评论,1,微博 weibo.com,CtsBWgBKB
31,"
                                                                                                    【“焦警”心声】                                            ", 2015-7-30 08:00,10,2,13,微博 weibo.com,CtsAK6na0
32,"
                                                                                                    //@一叶知秋微直播: 【夏季开车当心“汽车空调病”！严重的可能有生命危险】                                            ", 2015-7-30 08:00,2,1,11,微博 weibo.com,CtsAu9amo
33,"
                                                                                                    //@湖北宜昌交警: 兴山交警智破逃逸案。@一叶知秋微直播                                            ", 2015-7-29 16:17,转发,评论,赞,微博 weibo.com,CtmpU7EvG
34,"
                                                                                                    #文明交通#【“安全行•中国”首届公益微电影创作大赛优秀作品展播】《雾中风景》@一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-29 15:25,1,2,2,微博 weibo.com,Ctm4I1r70
35,"
                                                                                                    #文明交通#【“安全行•中国”首届公益微电影创作大赛优秀作品展播】为进一步推进交通安全宣传工作社会化进程，中国道路交通安全协会联合中国电影家协会、北京电影学院、中国警察网等共同举办了“安全行•中国”首届公益微电影创作大赛，评审选出20部入围作品。《雾中风景》L雾中风景 ​​​​¡查看图片                                            ", 2015-7-29 15:21,5,2,2,微博 weibo.com,Ctm3jumbj
36,"
                                                                                                    //@青岛公安王弘山: 暴力抗法何时休！@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-29 11:29,4,评论,3,微博 weibo.com,Ctkx2l1Ww
37,"
                                                                                                    //@公安部交通安全微发布: 今天，我们大家送你一程，青岛帅帅的交警蜀黍。战友，兄弟，知我者谓我心忧，不知我者谓我何求。愿天堂里没有病痛，愿你笑容如故。敬礼！//@青岛交警: 这双炯炯有神的大眼睛，如今成为我们永久的记忆青岛最帅交警，没有之一。亲爱的战友，我们的好兄弟，一路走好                                            ", 2015-7-29 11:00,2,2,402,微博 weibo.com,Ctklr9jni
38,"
                                                                                                    #微观荆楚#【武汉：东风大道高架一期7月31日通车】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-29 10:58,1,1,5,微博 weibo.com,CtkksgZSh
39,"
                                                                                                    //@湖北咸宁交警: 烈日下， “火”一样的青春                                            ", 2015-7-29 10:53,转发,评论,66,微博 weibo.com,CtkillFQg
40,"
                                                                                                    //@一叶知秋微直播: 【烈日下， “火”一样的青春】                                            ", 2015-7-29 10:48,3,评论,66,微博 weibo.com,Ctkgdhk0K
41,"
                                                                                                    【转发送别！在索马里袭击中牺牲的战士：张楠】@一叶知秋微直播 @湖北高速交警                                            ", 2015-7-29 08:57,5,评论,1030,微博 weibo.com,CtjxobHd6
42,"
                                                                                                    #安全提醒#【电动车撑起遮阳伞 遮住了骄阳埋下了隐患】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-29 08:48,6,1,5,微博 weibo.com,CtjtC9bjT
43,"
                                                                                                    //@一叶知秋微直播: 【这条微博每位乘扶梯的都该看看!】                                            ", 2015-7-29 08:11,6,评论,9,微博 weibo.com,CtjeEhQuu
44,"
                                                                                                    #烈日下的“焦警”#@一叶知秋微直播                                            ", 2015-7-28 17:21,1,2,8,微博 weibo.com,CtdpuchRU
45,"
                                                                                                    #曝光台#【无证女司机驾重型货车上高速被拘】                                            ", 2015-7-28 16:18,4,评论,28,微博 weibo.com,CtcZSvMi4
46,"
                                                                                                    #高速警事#【高速行人教育】                                            ", 2015-7-28 16:18,2,2,2,微博 weibo.com,CtcZKg58h
47,"
                                                                                                    #文明交通#【“安全行•中国”首届公益微电影创作大赛优秀作品展播】《谁的错》@一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-28 16:08,1,2,1,微博 weibo.com,CtcVP4tLv
48,"
                                                                                                    #文明交通#【“安全行•中国”首届公益微电影创作大赛优秀作品展播】为进一步推进交通安全宣传工作社会化进程，中国道路交通安全协会联合中国电影家协会、北京电影学院、中国警察网等共同举办了“安全行•中国”首届公益微电影创作大赛，评审选出20部入围作品。《谁的错》L《谁的错》是谁害了我们最亲的人 ​​​​¡查看图片                                            ", 2015-7-28 16:07,13,3,1,微博 weibo.com,CtcVxkd2m
49,"
                                                                                                    #现场报道#【湖北省纪委通报典型案例 9名省管干部被移送司法】                                            ", 2015-7-28 16:00,1,1,6,微博 weibo.com,CtcSl4uLS
50,"
                                                                                                    【路况信息】@湖北高速交警                                             ", 2015-7-28 11:58,转发,评论,赞,iPhone 6,CtbiuhTty
51,"
                                                                                                     //@竹山交警:【雪花彩虹跑】安全的守护神！                                            ", 2015-7-28 11:58,转发,评论,4,iPhone 6,Ctbi86dUW
