序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    平安每天报·晚安时间到——今天，17：57，国际奥委会主席宣布，北京正式获得2022年冬奥会举办权！2022年，荆哥18，你多大了？此刻，让我们约定，一起见证祖国的发展，2022年一起为运动员加油！晚安，祖国（图片自网络） ​​​​                                            ", 2015-7-31 22:54,4,6,11,iPhone 6 Plus,CtHSa2K0G
2,"
                                                                                                    【90后民警徒手三招制服吸毒“双刀”男】7月30日，宜昌枝江男子邹某吸食毒品后产生幻觉，手持两把剔骨刀在集镇里追赶行人。枝江市公安局七星台派出所年轻民警迅速出警，冷静判断、果断处置，徒手三招制服双刀男，赶集群众拍手称赞。@平安宜昌 ​​​​                                            ", 2015-7-31 18:32,2,3,8,微博 weibo.com,CtG9FhmiJ
3,"
                                                                                                    【警讯快报】嫌疑人刘某、张某、赵某为偿还债务结伙于5月27日21时在襄阳市樊城区一偏僻路段抢劫一辆私家车主，抢得现金5000元后逃离襄阳。襄阳市公安局高新分局@襄阳高新分局110 警方全力追捕，7月31日，三名嫌疑人全部抓获归案。 ​​​​                                            ", 2015-7-31 18:28,2,1,7,微博 weibo.com,CtG84j7L6
4,"
                                                                                                    【民警风采】——情系百姓美警花陈慧珍。“效率高一点、微笑多一点、话语暖一点、工作细一点”这是户籍民警陈慧珍的工作标准#微镜头 好警察#她用青春抒写着一名女警花平凡而有意义的人生。警花美哒哒！ @平安茅箭 ​​​​                                            ", 2015-7-31 18:26,3,1,3,微博 weibo.com,CtG7mxxS1
5,"
                                                                                                    又一届奥运，又一段征程，又一个中国梦                                            ", 2015-7-31 18:13,1,3,3,iPhone 6 Plus,CtG207WqK
6,"
                                                                                                    【中国人民解放军有哪些军种你知道吗？】一年一度的八一建军节就要来了，它是国家的盛大节日；是军人的盛大节日；也是中国人民的盛大节日，做为一个有责任感的中国人，你们真的了解解放军吗？                                            ", 2015-7-31 16:47,5,3,1,iPhone 6 Plus,CtFtgiUBj
7,"
                                                                                                    向警营军魂致敬！@公安部打四黑除四害@军报记者 @中国警察网                                             ", 2015-7-31 16:36,转发,评论,7,iPhone 6 Plus,CtFoqmpFJ
8,"
                                                                                                    【9家游泳池水不合格】游泳前后可以向眼内滴一些常用的消炎眼药水，预防红眼病、沙眼等，游泳后应该尽快淋浴洗澡。                                            ", 2015-7-31 16:23,1,评论,4,iPhone 6 Plus,CtFjdFovg
9,"
                                                                                                    #武汉民生#【流动车管所8月上半月出行公告】                                            ", 2015-7-31 15:59,3,1,赞,iPhone 6 Plus,CtF9vtEWY
10,"
                                                                                                    向燃情岁月致敬！向警营军魂致敬！向所有最可爱的人致敬！                                            ", 2015-7-31 15:22,1,3,9,iPhone 6 Plus,CtEUszItB
