序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #国务院常务会议#国务院总理李克强7月31日主持召开国务院常务会议，部署加快融资担保行业改革发展，更好发挥金融支持实体经济作用；决定整合建立统一的公共资源交易平台，以管理创新促进资源配置高效透明。                                            ", 2015-7-31 17:51,转发,评论,71,微博 weibo.com,CtFSSfRqD
2,"
                                                                                                    目前我国马铃薯生产面积和产量均占世界约1／4，已成为马铃薯生产和消费第一大国。                                            ", 2015-7-31 15:45,2,评论,53,微博 weibo.com,CtF40sHP9
3,"
                                                                                                    #新闻发布微直播#许小兰创办职业学校之初的想法，只是为农村贫穷孩子传授技能和本领。但随着学校发展，她逐渐认识到，聚焦厚重的荆楚文化，做活荆楚民间手工技艺特别符合院校特色发展，也更适合妇女创业。目前，通过荆楚手工创业就业的受益女性已经超过1800人，合伙创业人年平均收入超过5万元。                                            ", 2015-7-31 11:50,1,评论,赞,三星GALAXY Note 4,CtDwzfaZ0
4,"
                                                                                                    #新闻发布微直播#从下岗，到家政创业，一路走来，熊英已成为木兰花家政服务股份有限公司董事。“木兰花”不仅打破了传统家政企业组织格局与营运模式，还建立了现代企业标准化管理体系，并参与制定全国家政行业标准。2014年“木兰花”在新三板挂牌上市，成为中国家政行业第一个登陆资本巿场的企业。                                            ", 2015-7-31 11:33,转发,评论,2,三星GALAXY Note 4,CtDpty9ds
5,"
                                                                                                    #新闻发布微直播#黄银华是一名个子小小的残疾女性，但她不愿意被父母养着，而是要通过创业改变人生。09年她的第一家网店年营业额就达200万。现在的黄银华， 希望做大做强电子商务教育，用 “互联网+”授之“以渔” ，帮助更多的贫困女性实现互联网+就业，让她们在家就能通过电商，微商平台实现就业。                                            ", 2015-7-31 11:03,转发,1,赞,三星GALAXY Note 4,CtDdniS8v
6,"
                                                                                                    #新闻发布微直播# 目前，黄冈有市级女大学生创业孵化基地2个，县级女性创业就业示范基地10个。依托“春风行动”，黄冈连续11年开展女性专场招聘会和女大学生招聘会，仅今年2-4月份，就联系落实210多家用人单位提供就业岗位11000多个，达成意愿的有8000人，其中女性3360名。                                            ", 2015-7-31 10:32,1,1,2,三星GALAXY Note 4,CtD0Q98M3
7,"
                                                                                                    #新闻发布微直播# 武汉探索建立了按需服务的“巾帼创业者沙龙”互联网创业服务平台，并推送“她创时代”微信公众号， 累计服务创业女性11万人次。同时还举（承)办巾帼建功活动100多场，开办39期女性创业沙龙和系列创新季度公益论坛，年均扶持36000多名创业女性。                                            ", 2015-7-31 10:02,转发,评论,赞,三星GALAXY Note 4,CtCODpwdb
8,"
                                                                                                    #新闻发布微直播#近年来我省巾帼家政服务业快速发展。木兰花家政公司2014年在全国中小企业股份转让系统挂牌， 并为全国家政服务贡献了三大标准体系。 一批妇女手工制品龙头企业也带动了百万城乡妇女实现居家就业、增收致富，一定程度缓解了农村“三留守”问题。                                            ", 2015-7-31 09:45,转发,评论,1,三星GALAXY Note 4,CtCHNnGMW
9,"
                                                                                                    #新闻发布微直播#今天上午9时30分，省政府新闻办将举行“大众创业、万众创新”系列之  妇女创业新闻发布会。来自省妇联、武汉市、黄冈市妇联的相关负责人将介绍妇女创业创新的工作情况。3位优秀妇女创业代表将分别介绍创业经验和创业体会。                                            ", 2015-7-31 09:24,转发,评论,3,三星GALAXY Note 4,CtCz6o3Nl
10,"
                                                                                                    【湖北今年已查处网络谣言170余起 行政拘留20人】据省公安厅统计，目前的网络谣言主要分三类：一是不实疫情，如某地发生禽流感等；二是不实灾情，如地震、洪灾等；三是虚假警情，比如威胁航空器、炸派出所、抢银行等。28日，省公安厅透露近期查处的典型网络谣言案件。O网页链接 ​​​​                                            ", 2015-7-31 08:50,转发,评论,1,微博 weibo.com,CtClzuDlM
11,"
                                                                                                    #在线访谈##省扶贫办副主任柳长毅访谈#现在省市相关部门将工作重点转移到指导和目标任务督办落实上。在县一级政府搭建整合资源的平台，由省直各部门“出料”，由县级政府“办席”。怎么炒菜，炒哪几盘菜，这些菜的油盐佐料怎么加，都是县级自己的事。 O网页链接 ​​​​                                            ", 2015-7-30 18:57,1,评论,赞,微博 weibo.com,CtwTamGgU
12,"
                                                                                                    #在线访谈##省扶贫办副主任柳长毅访谈#组建专门的扶贫工作队，实现每个贫困村有工作队长驻、每个贫困户有党员干部帮扶，确保对贫困村、贫困户帮扶全覆盖，促进扶贫政策、措施、资金、项目等资源直接有效地传递到贫困村、贫困户。 O网页链接 ​​​​                                            ", 2015-7-30 18:45,3,1,1,微博 weibo.com,CtwOksjvP
13,"
                                                                                                    #在线访谈##省扶贫办副主任柳长毅访谈#目前湖北建档立卡的贫困人口是590万，其中有220多万的低保五保人口是需要兜底的，除开2014年脱贫的69万，还剩下310万不到。从2015年2019年这5年，通过各级党委政府的集中力量，每年大概脱贫65万到70万之间是完全可能的。 O网页链接 ​​​​                                            ", 2015-7-30 18:13,1,评论,赞,微博 weibo.com,CtwBkDACK
14,"
                                                                                                    #在线访谈##省扶贫办副主任柳长毅访谈#按照“精准扶贫、不落一人”的要求，湖北实施了“四个一批”，在“精准”上做足了功夫，即根据各地贫困人口的不同情况，分别扶持生产和就业发展一批，移民搬迁安置一批，低保政策兜底一批，医疗救助扶持一批。O网页链接 ​​​​                                            ", 2015-7-30 17:56,2,评论,3,微博 weibo.com,CtwuzlEHV
15,"
                                                                                                    #在线访谈##省扶贫办副主任柳长毅访谈#贫困人口不是静态是动态的。湖北每年有3%到5%左右的返贫人口，还有一些原来不贫困，只是因为一场自然灾害或者家庭主要劳动力得了大病，从而陷入贫困等，可能性很多。动态性监测是精准扶贫的一个重要方面。O网页链接 ​​​​                                            ", 2015-7-30 17:33,1,评论,3,微博 weibo.com,Ctwlly0jt
16,"
                                                                                                    #在线访谈##省扶贫办副主任柳长毅访谈#十八大以来，省委省政府把扶贫攻坚当作头等大事，稳步推进片区攻坚，筑实精准扶贫底盘。当前，扶贫攻坚已到了啃硬骨头和攻坚拔寨的冲刺期。如何打赢这场攻坚战？7月28日，省扶贫办副主任柳长毅作客在线访谈，畅谈相关话题。O网页链接 ​​​​                                            ", 2015-7-30 17:03,3,评论,2,微博 weibo.com,Ctw92iO1L
17,"
                                                                                                    今年上半年我省消协共受理消费者投诉12967件，同比上涨20.8%。其中汽车消费成为投诉热点，上半年全省消委组织受理家用轿车投诉1014件，同比上涨了34.7%。集中表现为，一是宣传误导。二是不按“三包”规定退换车辆。三是车辆瑕疵鉴定难。O网页链接 ​​​​                                            ", 2015-7-30 16:49,转发,评论,赞,微博 weibo.com,Ctw3vfbWV
18,"
                                                                                                    【李克强会见土耳其总统埃尔多安】                                            ", 2015-7-30 16:06,转发,评论,33,微博 weibo.com,CtvLLatF5
19,"
                                                                                                    【李克强：新型城镇化建设“既重‘面子’也要重‘里子’”】                                            ", 2015-7-30 16:05,转发,评论,19,微博 weibo.com,CtvLG8ekV
20,"
                                                                                                    【图解：2015年7月28日国务院常务会议】                                            ", 2015-7-30 16:05,转发,评论,22,微博 weibo.com,CtvLBogkS
21,"
                                                                                                    #新闻发布微直播#省卫生计生委目前已立项包括《富有机硒食品硒含量要求》、《武汉热干面》（方便型）食品安全地方标准、《熟卤制品气调包装要求》等食品安全地方标准20多项，颁布施行8项。同时，还在全省基本建立起覆盖全省二级以上医院的食源性疾病监测网络。                                            ", 2015-7-30 11:46,转发,评论,赞,微博 weibo.com,Ctu4ffrsF
22,"
                                                                                                    #新闻发布微直播#今年4月，省卫生计生委向省政府、省食安办呈报了《2010-2014年湖北省(五年)食品安全风险监测报告》，对带有湖北地域特点的、具有系统性的食品安全危害或食品中有害因素进行了科学分析，并提出了解决问题的建议，为政府制定食品安全政策提供科学依据。                                            ", 2015-7-30 11:41,转发,评论,赞,微博 weibo.com,Ctu2ptIyy
