序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #公告#沪蓉高速当阳东收费站宜昌当阳匝道因施工于2015年7月25日至8月10日实施管制，所有车辆禁止通行，请往宜昌方向车辆绕行当阳西或者育溪收费站！                                            ", 2015-7-31 17:35,1,评论,1,iPhone客户端,CtFMp0vnV
2,"
                                                                                                    #烈日下交警#【致敬，焦警】向一线交警致敬！                                            ", 2015-7-31 17:33,4,1,16,iPhone客户端,CtFLV8qpn
3,"
                                                                                                    #行车宝典# 【想防止车辆发生自燃怎么办？】                                            ", 2015-7-31 17:21,1,评论,4,iPhone客户端,CtFH4kusX
4,"
                                                                                                    民警提示：超限运输极易引发各种安全事故，私自改变车身结构更是存在极大的安全隐患，切勿因小失大。                                            ", 2015-7-31 17:21,2,1,27,iPhone客户端,CtFGQ9aDt
5,"
                                                                                                     //@湖北交警://@一叶知秋微直播: 【湖北省交管局部署开展集中整治交通违法统一行动】                                            ", 2015-7-31 17:19,1,评论,6,iPhone客户端,CtFG87jyZ
6,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：夏季来临，温度升高，驾驶人行驶高速公路时要经常进服务区检查车辆轮胎及货物情况，以免发生意外情况。 ​​​​                                            ", 2015-7-31 06:36,2,评论,2,微博桌面,CtBsTjghj
7,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：高速行驶要始终握稳转向盘，改变车道或超车时，转向角度不要太大，防止车速过快车辆飘移。需要制动时，分几次制动为好，不要一脚踩死，防止车辆跑偏。 ​​​​                                            ", 2015-7-30 07:30,3,评论,2,微博桌面,CtsotdqA5
8,"
                                                                                                    #湖北高速路况#沪渝高速宜昌段油罐车侧翻，目前正在施救。@927路况直播 @927胡宁寒                                             ", 2015-7-29 17:28,2,5,3,iPhone 6,CtmSQjqRf
9,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：出行驾车请注意安全，别开快车，别开斗气车，别开英雄车，家中还有亲人在时刻等待着你平安归来。 ​​​​                                            ", 2015-7-29 07:25,2,评论,3,微博桌面,CtiW3i1Rv
10,"
                                                                                                    老虎苍蝇一起打，把纪律挺在前面，为湖北省纪委点赞                                            ", 2015-7-28 18:06,4,2,6,iPhone 6,CtdHw10T7
11,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：高速公路上行车，因为车速过快，很多驾驶员认为的小问题，都会酿成极其惨烈的交通事故。各位驾驶员朋友们，生命只有一次，且行且珍惜。 ​​​​                                            ", 2015-7-28 07:46,3,2,赞,微博桌面,Ct9E0lcc7
12,"
                                                                                                    【带孩子闯红灯 是支付孩子成长安全的""愚蠢""错误】父母的一言一行都深深地影响着孩子。                                            ", 2015-7-27 08:17,5,1,13,iPhone客户端,Ct0pW8DxT
13,"
                                                                                                    #娃娃温馨提醒#【行车避险十技巧】请转发提醒给更多的人                                            ", 2015-7-27 08:14,10,2,77,iPhone客户端,Ct0oSvMgL
14,"
                                                                                                    早安！荆哥                                            ", 2015-7-27 08:13,转发,1,10,iPhone客户端,Ct0oDaHW2
15,"
                                                                                                    #文明交通#“安全行•中国”首届公益微电影创作大赛优秀作品展播----《情与法》                                            ", 2015-7-27 08:13,2,1,1,iPhone客户端,Ct0onvHDy
16,"
                                                                                                    #高速警事#【司机违停打电话 竟称是为了“守法”】                                            ", 2015-7-27 08:12,2,5,24,iPhone客户端,Ct0oboxe0
17,"
                                                                                                    #湖北高速路况#全省高速公路畅通，湖北高速巡警温馨提示：进入汽车后，不要着急打开空调，先打开车窗通风，使车内的有毒气体排出。为了您和家人的健康，请记得养成这个好习惯哦！ ​​​​                                            ", 2015-7-27 07:33,1,评论,4,微博桌面,Ct087ACWT
18,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：一些感冒药、抗过敏药和镇静类药中通常含有扑尔敏或苯海拉明等成分，人体服用一段时间后会出现困倦、嗜睡等现象。因此，作为对自己和他人生命负责的驾驶员，除不能酒驾外，也不要“药驾”。 ​​​​                                            ", 2015-7-26 07:44,5,1,1,微博桌面,CsQM5Bj6l
19,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：欲速则不达，平安才能回家！超速行驶是导致交通事故的第一杀手，切勿超速行驶！ ​​​​                                            ", 2015-7-25 07:31,4,评论,3,微博桌面,CsHgwEEUX
20,"
                                                                                                    #湖北高速路况#今日全省高速公路畅通。湖北高速警察温馨提示：驾车出行，请集中精力，不要接打电话、抽烟，严防分散注意力。请您谨记，安全细节虽小，忽视易酿大祸！ ​​​​                                            ", 2015-7-24 07:33,1,2,3,微博桌面,CsxQIn36Y
21,"
                                                                                                    【暴雨天来袭 这些能救命的开车技巧您知道吗】谨慎小心，安全至上                                            ", 2015-7-23 15:25,10,1,6,iPhone客户端,CsrvGitS5
22,"
                                                                                                    #安全提醒#【面对夏季“两抢” 我们如何应对】                                            ", 2015-7-23 15:24,1,评论,赞,iPhone客户端,CsrvhbpX4
23,"
                                                                                                    #晶晶论道#灵秀湖北欢迎您！@重庆交巡警 @湖南高速警察 @公安部交通安全微发布                                             ", 2015-7-23 11:42,2,评论,3,iPhone 6,Csq3akm7h
24,"
                                                                                                    #湖北高速路况#全省高速公路畅通，湖北高速警察温馨提示：出行你我他，平安连万家。请不要驾驶无牌车辆、逾期未检车辆上路，更不要无证驾驶。 ​​​​                                            ", 2015-7-22 07:41,5,评论,赞,微博桌面,Csf2UliaI
25,"
                                                                                                    想去重庆的朋友们拿走吧！[瞧瞧]                                            ", 2015-7-21 10:51,7,1,6,iPhone客户端,Cs6RIni3n
