序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                                                                ", 2015-7-31 17:45,转发,1,6,iPhone客户端,CtFQJhz49
2,"
                                                                                                    【湖北省交管局部署开展集中整治交通违法统一行动】@公安部交通安全微发布 @一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 17:45,1,1,6,iPhone客户端,CtFQBBzkf
3,"
                                                                                                    【致敬，焦警】@湖北高速交警 @武汉交警 @十堰交警 @湖北襄阳交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 09:42,转发,评论,16,iPhone客户端,CtCGN26lp
4,"
                                                                                                    【车里这几个按钮不能随便按】①油箱盖按钮：按错会被偷油；②引擎盖按钮：按错会被偷电；③远光灯按钮：错误开启会“瞬间致盲”；④自动驻车按钮：关闭后斜坡会溜车；⑤安全气囊按钮：意外关闭遇到强烈撞击缺乏保护；⑥电子稳定系统ESP按钮：关闭后雨天、转弯等容易失控……更多↓↓                                            ", 2015-7-31 09:08,1,评论,8,iPhone客户端,CtCsRAkwN
5,"
                                                                                                    【一组动图告诉你：#安全倒车#有多重要！】                                            ", 2015-7-31 09:05,2,评论,9,iPhone客户端,CtCrxr55D
6,"
                                                                                                    【武汉黄标车禁行范围将扩大至全市 环检不合格直接注销】@湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 09:00,转发,评论,1,iPhone客户端,CtCpE7O17
7,"
                                                                                                    【想防止车辆发生自燃怎么办？】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 08:18,转发,评论,4,iPhone客户端,CtC8p4aTo
8,"
                                                                                                    【“安全行•中国”首届公益微电影创作大赛优秀作品展播】《心中的人行道》@一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-31 05:55,9,1,1,iPhone客户端,CtBcBAMyA
9,"
                                                                                                    #晚安# 梦想是绳，升起饱满的帆；梦想是帆，推动希望的船；梦想是船，漂荡理想的海；梦想是海，托起光明的阳；梦想是阳，照亮前进的路。 ​​​​                                            ", 2015-7-30 22:30,转发,评论,1,微博 weibo.com,CtyhDutDx
10,"
                                                                                                    【老南门、张居正街增设禁停标志】                                            ", 2015-7-30 17:57,转发,评论,2,iPhone客户端,CtwuYr10H
11,"
                                                                                                    🏻                                            ", 2015-7-30 15:49,2,1,2,iPhone客户端,CtvF9iCwH
12,"
                                                                                                    #烈日下交警#向奋战在高温下的交警致敬，辛苦了！@一叶知秋微直播 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 12:12,转发,评论,10,iPhone客户端,CtueZjzNL
13,"
                                                                                                    知识普及 //@荆州市邮政管理局:快递员也是正规军~~@荆州发布 @荆州交警一大队 @荆州晚报 @荆州日报 @荆州新闻网 @江汉商报                                            ", 2015-7-30 11:03,转发,评论,赞,iPhone客户端,CttMWCc4Y
14,"
                                                                                                    #实时路况#                                            ", 2015-7-30 09:57,转发,评论,28,iPhone客户端,Cttm156MD
15,"
                                                                                                    #2015荆州公安机关法治宣讲大比武#警花警草云集演播大厅，速来围观[群体围观]——1号选手 李娟 《出入有境 服务无境》O网页链接 ​​​​                                            ", 2015-7-30 09:01,转发,评论,3,微博 weibo.com,CtsZgoU8F
16,"
                                                                                                    【车辆起步时要防止盲区危险怎么办？】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-30 08:47,转发,评论,5,iPhone客户端,CtsTRC559
17,"
                                                                                                    #安全提醒#【一定要告诉孩子的保命童谣 得背下来[推荐]】                                            ", 2015-7-30 08:47,1,评论,6,iPhone客户端,CtsTzijFv
18,"
                                                                                                    转发微博                                            ", 2015-7-30 08:46,转发,评论,2,iPhone客户端,CtsTu0eWL
19,"
                                                                                                    【暑期进警营 零距离学交通】“警察阿姨，电动三轮车可以上牌照吗?”“警察叔叔这个箱子是做什么的啊?你的这个黑色皮带上面的东西好重啊!” 近日一大队邀请到三十名暑期的萌孩子及家长们走进警营,进行一场别开生面的交通安全夏令营活动，零距离体验警察叔叔阿姨的工作生活@湖北交警 @楚网 ​​​​                                            ", 2015-7-30 08:30,10,10,9,微博 weibo.com,CtsMGgvNE
20,"
                                                                                                    早安                                            ", 2015-7-30 06:59,转发,2,10,iPhone客户端,CtsbU1sUd
21,"
                                                                                                    #晚安# 生活很简单，我们太造作。并非吃不饱、穿不暖，并非风餐露宿，折磨你的只是你的不知足。即便假借孩子名义的攀比，也是不折不扣的不知足。为了物质上的攀比，我们错过了多少本可以其乐融融的时刻。 ​​​​                                            ", 2015-7-29 22:30,转发,评论,1,微博 weibo.com,CtoR9f6o0
22,"
                                                                                                    【夏季车内快速降温有妙招】随着天气的日渐升高，完全封闭的车内经过暴晒，气温比车外要高许多。多数车主上车后燥热难耐，往往急于打开空调清凉一把，哪知开空调半天也不见车内温度降下来。那么，夏季如何操作才能使车内温度快速地降下来？↓↓↓ ​​​​                                            ", 2015-7-29 17:40,4,评论,1,微博 weibo.com,CtmXqyBV6
23,"
                                                                                                    【九图告诉你空调正确的打开方式】                                            ", 2015-7-29 17:22,1,评论,赞,微博 weibo.com,CtmQlvo2L
24,"
                                                                                                    【盘点上半年最爱被分享的8大谣言，别！再！上！当！】                                            ", 2015-7-29 17:19,1,评论,1970,微博 weibo.com,CtmP4kIfU
25,"
                                                                                                    【会放置三角警示标绝对不是小事！】                                            ", 2015-7-29 17:18,1,评论,15,微博 weibo.com,CtmOQqKF4
26,"
                                                                                                                                                ", 2015-7-29 16:55,2,1,393,微博 weibo.com,CtmFdeoQB
27,"
                                                                                                    为生命安全，扩散！                                            ", 2015-7-29 16:54,转发,评论,150,微博 weibo.com,CtmF4DBZE
28,"
                                                                                                    【刑侦大队积极追赃获群众好评】                                            ", 2015-7-29 16:54,转发,评论,4,微博 weibo.com,CtmEPieJM
29,"
                                                                                                    【看到他速报警！涉嫌杀害9岁男童 警方悬赏2万】22日，湖北随州吴山镇河西村，一9岁男童被弃尸井中。经查：付明义（男，59岁，原籍湖北枣阳市）有重大作案嫌疑，身高1米74左右，偏瘦，背部有点驼，一只脚微跛，上门牙镶有一颗金牙。如有线索，联系揭警官 18086268598。扩散！据@平安随州 ​​​​                                            ", 2015-7-29 16:50,转发,评论,赞,微博 weibo.com,CtmDm0gdp
30,"
                                                                                                    【技术调查组：申龙电梯和安良百货负主要责任】                                            ", 2015-7-29 16:49,2,评论,12,微博 weibo.com,CtmD11yKY
31,"
                                                                                                    #微博辟谣# 8月1日真的不会出台＂新交规＂哦！～转发扩散！                                            ", 2015-7-29 16:49,1,评论,4,微博 weibo.com,CtmCVpvmH
32,"
                                                                                                    【“安全行•中国”首届公益微电影创作大赛优秀作品展播】《雾中风景》@一叶知秋微直播 @湖北高速交警 @武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-29 15:25,转发,评论,2,iPhone客户端,Ctm4YC3Ve
33,"
                                                                                                    #毕业季#【注意：毕业一个月内，这些事要抓紧办！】                                            ", 2015-7-29 15:22,转发,评论,1630,iPhone客户端,Ctm3BvvXO
34,"
                                                                                                    【闹市违停不服被罚 乱停姐弟扭打交警】                                            ", 2015-7-29 11:36,转发,评论,3,iPhone客户端,CtkA0anx3
35,"
                                                                                                    【武汉：东风大道高架一期7月31日通车】@武汉交警 @十堰交警 @湖北宜昌交警 @湖北荆州交警 @湖北荆门交警 @湖北孝感交警 @荆州交警一大队 @湖北高速交警公安大队 @湖北高速交警钟祥大队 @湖北高速交警利川大队                                            ", 2015-7-29 11:36,转发,评论,5,iPhone客户端,CtkzT3Fco
36,"
                                                                                                    #警情通报#早高峰时段违停，经查询发现年检保险均过期，还有近二百条违法记录未处理，现已拖移扣留。@江汉风 ​​​​                                            ", 2015-7-29 09:56,1,1,1,iPhone客户端,CtjV77Q3e
37,"
                                                                                                    #警情通报#案情回放：28日万达地下停车场，一辆面包车上坡时操作不当滑下出口撞上收费亭。交警提示：坡道停车起步注意离合器、加速踏板和驻车制动杆（手刹杆）的协调配合，放松驻车制动杆（手刹杆）的时机！@湖北交警 @一叶知秋微直播 @楚网　　 ​​​​                                            ", 2015-7-29 09:49,10,9,1,iPhone客户端,CtjSmBmgj
