序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                     //@平安公安:转发                                            ", 2015-7-31 16:05,转发,5,1,iPhone 6,CtFc0B2S5
2,"
                                                                                                    欢迎大家收看~                                            ", 2015-7-31 11:30,转发,评论,赞,微博 weibo.com,CtDoz7th1
3,"
                                                                                                    转发微博                                            ", 2015-7-30 08:41,转发,6,3,微博 weibo.com,CtsRkqLYD
4,"
                                                                                                    转发微博                                            ", 2015-7-29 10:15,转发,评论,赞,微博 weibo.com,Ctk314ttE
5,"
                                                                                                    【智障“小偷“作案，偷了扫帚偷雨衣】近日，石首某工业园区公司内发生两起盗窃案，石首警方通过巡逻，于26日凌晨3时，抓获正从该公司院墙外翻入的嫌疑人李某。经查，33岁的李某患有智障精神疾病，已先后两次翻入该企业，盗走包括扫帚、雨衣和旧解放鞋在内的数十元物资。李某已交其父母带回家中看管。 ​​​​                                            ", 2015-7-28 15:43,转发,评论,1,微博 weibo.com,CtcLv3fnz
6,"
                                                                                                    【石首民警“追踪”垃圾为群众找回钱物】26日16时许，石首市民田某在医院看护住院的外孙时，装有2000元现金、手机、证件及钥匙的塑料袋不翼而飞。经查，警方发现塑料袋被保洁员当垃圾收走倒入街头垃圾箱。为了追踪垃圾箱内杂物去处，民警经广泛走访，通过视频监控最终将装有财物的塑料袋寻回。 ​​​​                                            ", 2015-7-28 15:40,转发,评论,4,微博 weibo.com,CtcKvxQqa
7,"
                                                                                                    #警方动态#昨日上午11时许，沙市公安分局红门路警务站民警巡逻至江汉北路时，发现一推行摩托车的男子形迹可疑，当场从其身上收缴大量钥匙和撬杠等工具，经审讯，该男子承认摩托车是刚从一家医院门口盗窃的，正推着车准备找修车店换钥匙时，被民警当场抓获。为巡逻民警火眼金睛点赞吧~@平安沙市 ​​​​                                            ", 2015-7-28 15:13,转发,2,12,微博 weibo.com,Ctczn0zb7
8,"
                                                                                                    劝君莫伸手~                                            ", 2015-7-28 15:11,转发,1,6,微博 weibo.com,CtcyPiLRJ
9,"
                                                                                                    转发微博                                            ", 2015-7-28 08:47,转发,1,3,微博 weibo.com,Cta2Xfe1F
10,"
                                                                                                                                                ", 2015-7-28 08:30,1,1,3,微博 weibo.com,Ct9VIF6Nb
11,"
                                                                                                    7月27日21时30分，中央电视台13频道《新闻1+1》播出名为《荆州夺命电梯，什么不过关》的专题报道。公布了荆州巿0726电梯事故发生原因系安全生产责任事故，并对电梯在使用过程中可能出现的安全隐患和注意事项进行了分析讲解。 ​​​​                                            ", 2015-7-27 23:07,3,12,9,手机微博触屏版,Ct6fecagW
12,"
                                                                                                    【男子因感情纠纷将女友捅死 警方20分钟破案】27日，荆州区警方20分钟破获一起命案，民警将持刀捅死女友的犯罪嫌疑人万某抓获。据查，他与女友兰某因感情问题发生纠纷，持水果刀将兰某杀害。接警后，民警迅速出警，20分钟后将万某抓获。目前，死者遗体已被运至殡仪馆，案件正在进一步审理中。@平安荆楚 ​​​​                                            ", 2015-7-27 11:32,8,44,15,微博 weibo.com,Ct1Hoinzh
13,"
                                                                                                    #警方动态#【无偿献血 奉献爱心】今天上午，荆州市公安局机关71名民警参加了无偿献血活动，献血总量达20200毫升。在献血队伍中，有局领导，有部门负责人，有老同志，有新民警，就连正在休假中的民警也赶到了现场。活动结束后，大家纷纷表示：无偿献血是每个公民应尽的义务，作为人民警察，更义不容辞。 ​​​​                                            ", 2015-7-24 17:44,2,36,5,微博 weibo.com,CsBQJsdbd
14,"
                                                                                                    【松滋专职消防队员高温演练】                                            ", 2015-7-23 10:13,转发,评论,1,微博 weibo.com,Cspt3n1dl
15,"
                                                                                                    #警方动态#20日上午，石首警方接警称，有两名贵州籍女民工在明珠大道某工地塔吊上欲跳塔，警方迅速赶赴现场。经了解，因劳资纠纷，两名贵州籍民工指使其家属爬上高近100米的塔吊上。民警通过耐心做工作，成功说服欲跳塔的两名女子下塔，并把劳资双方组织到一起协商，最终解决了双方劳资纠纷。 ​​​​                                            ", 2015-7-22 17:03,1,3,4,微博 weibo.com,CsiIW9RDQ
16,"
                                                                                                    转发微博                                            ", 2015-7-22 09:39,转发,评论,2,微博 weibo.com,CsfOQ7bro
17,"
                                                                                                                                                ", 2015-7-21 17:30,转发,评论,3,微博 weibo.com,Cs9tri73F
18,"
                                                                                                    转发微博                                            ", 2015-7-21 17:00,转发,1,3,微博 weibo.com,Cs9hdFfSt
19,"
                                                                                                    棒棒哒~                                            ", 2015-7-21 15:24,转发,2,赞,微博 weibo.com,Cs8ElCsZE
20,"
                                                                                                    转发微博                                            ", 2015-7-21 15:14,转发,评论,赞,微博 weibo.com,Cs8AjDK9V
21,"
                                                                                                    #警方动态#【“专吃窝边草”】在朋友姐姐家暂住时，竟盗走一个价值10089元的黄金手镯，销赃获利。7月15日，石首警方将19岁的嫌疑人王某抓获，同时破获王某此前在某网吧担任网管时，盗走4700余元营业款和两条香烟及顾客一部手机的事实。“专吃窝边草”的盗窃犯罪嫌疑人王某已被刑事拘留。 ​​​​                                            ", 2015-7-21 10:36,转发,评论,3,微博 weibo.com,Cs6LqklH3
22,"
                                                                                                    转发微博                                            ", 2015-7-20 17:26,1,2,4,微博 weibo.com,Cs01EnFbX
23,"
                                                                                                    转发微博                                            ", 2015-7-20 17:25,2,评论,2,微博 weibo.com,Cs011m5hE
24,"
                                                                                                    转发微博                                            ", 2015-7-20 15:47,2,1,1,微博 weibo.com,CrZnl6zX9
25,"
                                                                                                    #警方动态#【全市公安机关深入社区开展“警民恳谈”活动】15日下午3时，荆州市副市长、公安局长周振武带领市公安局局领导分成多路下到社区，真心实意的听取居民的建议。 江陵、松滋、公安、石首、监利、洪湖等县市区公安机关也同步开展了“警民恳谈活动”。 ​​​​                                            ", 2015-7-15 20:39,2,评论,2,微博 weibo.com,Crg9dok54
26,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】居民们正在认真填写。 ​​​​                                            ", 2015-7-15 15:56,转发,评论,1,iPhone 6 Plus,CreizzG1C
27,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】居民代表开始填写测评表了，要被打分了，好紧张好紧张… ​​​​                                            ", 2015-7-15 15:53,转发,评论,2,iPhone 6 Plus,CrehkbQHe
28,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】文书记希望大家多提中肯意见～ ​​​​                                            ", 2015-7-15 15:51,转发,评论,2,iPhone 6 Plus,CreguaTCI
29,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】县市也在同步哦～                                            ", 2015-7-15 15:48,1,2,2,iPhone 6 Plus,Creff3efv
30,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】乾坤大挪移，小编又来到了立新乡派出所的张居正社区，市公安局党委委员，纪委书记文良杰带队听取居民代表的意见和建议。 ​​​​                                            ", 2015-7-15 15:47,转发,评论,1,iPhone 6 Plus,CreeHDots
31,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】胜利街派出所所长叶俊用天网工程拍摄的视频给大家展示分局今年破获的案例精选，感叹一句，“天眼”拍摄的视频真清晰，居民们也纷纷发出赞叹～ ​​​​                                            ", 2015-7-15 15:18,1,评论,4,iPhone 6 Plus,Cre33crdD
32,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】沙市分局“破小案，保民安”战果。 ​​​​                                            ", 2015-7-15 15:12,转发,1,2,iPhone 6 Plus,Cre0BhBlI
33,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】有案必立，立案必侦；命案必破；黑恶必除!这是刑侦民警对社区群众的承诺！ ​​​​                                            ", 2015-7-15 15:08,转发,评论,3,iPhone 6 Plus,CrdZ1uQwk
34,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】沙市分局刑侦大队周大队长介绍分局今年破小案，保民安的情况。 ​​​​                                            ", 2015-7-15 15:05,转发,评论,2,iPhone 6 Plus,CrdXPAZGS
35,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】居民代表越来越多了，他们对社区建设会有哪些意见和建议呢？警民恳谈会马上开始了，大家一起来听听吧～ ​​​​                                            ", 2015-7-15 14:57,转发,评论,2,iPhone 6 Plus,CrdUpaUK1
36,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】答案揭晓，小编跟随市公安局局党委，政治部主任王玮一行来到了胜利街派出所的红门路社区。社区代表也陆陆续续到来了。 ​​​​                                            ", 2015-7-15 14:51,转发,评论,3,iPhone 6 Plus,CrdRT92Hq
37,"
                                                                                                    #微直播#【“破小案，保民安”警民恳谈会】在瓢泼大雨中，小编出发了，这是往哪个方向？ ​​​​                                            ", 2015-7-15 14:35,1,5,4,iPhone 6 Plus,CrdLBnk6y
38,"
                                                                                                    荆州城区的“破小案，保民安”警民恳谈会也将在下午三点启动，小编也将在某个社区为大家微直播，先来看看哪个社区呼声最高啊？                                            ", 2015-7-15 13:12,转发,评论,1,iPhone 6 Plus,CrddTpS3o
