序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #荆州生活#蓝月亮是荆州夜空的童话，星光也为她黯淡。                                            ", 2015-7-31 21:41,3,4,3,iPhone 6 Plus,CtHojFiCV
2,"
                                                                                                    #权威发布#七年后，让我们相约北京！！！                                            ", 2015-7-31 20:19,转发,1,15322,iPhone 6 Plus,CtGR0uET5
3,"
                                                                                                    #权威发布#【荆州三大车站8月全省联网 闺蜜又让我帮忙买票了！】目前红门路车站、长途车站、楚都客运站正在进行售票系统更新工作，将实现全省联网。预计，8月中旬全部上线。待售票系统更新完毕后，三大车站可互联互售和购买省内的异地车票。 ​​​​                                            ", 2015-7-31 17:43,转发,1,2,微博 weibo.com,CtFPHanmF
4,"
                                                                                                    #权威发布#                                            ", 2015-7-31 17:40,1,评论,1,微博 weibo.com,CtFONC348
5,"
                                                                                                    【来双微评选 下一个大V就是你！】""闽洪""杯#荆州市第三届双微评选#正式启动啦～！①微博报名：登录新浪微博，关注并@楚网和@荆州发布，发布#荆州市第三届双微评选#话题+最想说的话 ②微信报名：关注楚网微信公众号（jzchuwang）留言报名。亲们还等神马？赶紧叫上小伙伴们一起参与起来吧！@新浪湖北 ​​​​                                            ", 2015-7-31 17:33,9,评论,赞,微博 weibo.com,CtFLO2zpw
6,"
                                                                                                    #荆州生活#【荆州新建10座公厕 上厕所再也不用去肯德基啦】荆州今年新建公厕10座，于8月底完工。同时，有21座公厕改造完工，即将投入使用。详情猛戳下图： ​​​​                                            ", 2015-7-31 16:58,2,1,3,微博 weibo.com,CtFxnjaqd
7,"
                                                                                                    #权威发布##荆州身边事#【湖北省委第一巡视组向公安县反馈巡视情况】省委第一巡视组充分肯定了公安县领导班子建设和经济社会发展所取得的成绩。同时指出，巡视中干部群众反映了公安县存在的七大问题。°湖北省委第一巡视组向公安县反馈巡视情况 ​​​​                                            ", 2015-7-31 09:15,转发,评论,1,微博 weibo.com,CtCvBdHHR
8,"
                                                                                                    #权威发布##荆州身边事#【荆州县市一卖汽车零件的企业将登上“新三板”】湖北祥锦于今年7月完成证监会行政审批，将于8月11日在北京敲钟正式挂牌新三板。这是荆州县市第一家在新三板挂牌上市的企业。湖北祥锦汽车是石首一家研发、制造、销售各类汽车转向系统总成及零部件的企业。@石首微博 ​​​​                                            ", 2015-7-31 09:03,1,评论,1,微博 weibo.com,CtCqVCNbh
9,"
                                                                                                    #权威发布##荆州新闻#【谁为荆州工业投资按下快车键？】在宏观经济放缓的大背景下，荆州工业投资持续回升。上半年，荆州市完成工业投资426.5亿元，高出全省平均水平5.9个百分点。今年以来，荆州一批重大经济增长点相继开始发力。高田汽配、群力金属、金犀牛服饰、丽源科技等一批企业相继投产。 ​​​​                                            ", 2015-7-31 09:02,转发,2,1,微博 weibo.com,CtCqvkJPP
10,"
                                                                                                    #荆州文化#现在，我们都知道富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善的社会主义核心价值观。小布今天带你穿越一下，看看荆州古人是怎样践行社会主义核心价值观的。猛戳高清大图！ ​​​​                                            ", 2015-7-30 18:13,2,评论,4,微博 weibo.com,CtwBAjISt
11,"
                                                                                                    #权威发布##荆州身边事#【老南门、张居正街增设禁停标志】据@荆州交警一大队 老南门内环道、张居正街新增设了禁止车辆停放交通标志，全时段、全路段禁止违法停放车辆。 ​​​​                                            ", 2015-7-30 16:54,3,1,2,微博 weibo.com,Ctw5nDGc6
12,"
                                                                                                    #权威发布#快递职业的分类在国家层面上得到确定。                                            ", 2015-7-30 11:13,1,评论,赞,微博 weibo.com,CttQRd3dX
13,"
                                                                                                    #权威发布##荆州身边事#【关于对项一峰、程军同志进行任前公示的公告】项一峰，男，1970年4月出生，汉族，监利人。拟任荆州纪南生态文化旅游区(楚纪南城大遗址保护区)党工委副书记、管委会主任。程军，男，1971 年10 月出生，汉族，荆州人。拟任中共荆州市委、荆州市人民政府接待办公室主任。 ​​​​                                            ", 2015-7-30 08:59,1,评论,2,微博 weibo.com,CtsYtlz58
14,"
                                                                                                    #权威发布##荆州身边事#【荆州停用62台“申龙”电梯】 针对“7.26” 电梯事故， 荆州开展了全市电梯安全隐患大排查，并对全市正在使用的 “7.26” 电梯事故中涉及到的苏州市申龙电梯有限公司生产的62台自动扶梯全部予以停用。 ​​​​                                            ", 2015-7-30 08:50,6,5,6,微博 weibo.com,CtsUW7HZ0
15,"
                                                                                                    # 权威发布##荆州身边事#【7.26电梯安全事故技术调查报告出炉】报告显示事故主要原因为：申龙电梯股份有限公司该类型产品涉及的盖板结构设计不合理。申龙电梯股份有限公司涉及事故的三块盖板尺寸与图纸不符。报告全文： °7.26电梯安全事故技术调查报告出炉 @荆州安监 @新浪湖北 ​​​​                                            ", 2015-7-29 21:07,141,58,38,微博 weibo.com,CtojD45XR
16,"
                                                                                                    #荆州文化#【杜工部巷的来历】杜工部巷旧名杜甫巷，清代定为今名。相传唐代诗人杜甫曾寓居此巷，因杜甫曾担任过剑南节度使严武的幕府参谋校检工部员外郎，人们尊称他为杜工部，故有此巷名。后讹称都府巷、豆腐巷。《沙市志略》称：“杜工部巷在三府街。旧名杜甫巷，今更正。 ​​​​                                            ", 2015-7-29 17:34,转发,评论,1,微博 weibo.com,CtmUZjYDJ
17,"
                                                                                                    #权威发布##荆州身边事#【荆州开发区关停一作坊式工厂】生产车间、仓库、生活区“三合一”，存在重大消防安全隐患。27日，荆州开发区公安分局燎原派出所依法对辖区一家具作坊予以了关停。并对直接负责人刘某 (男，48岁，江陵人) 处以行政拘留十日的处罚。 ​​​​                                            ", 2015-7-29 17:16,转发,评论,2,微博 weibo.com,CtmNMeVxf
18,"
                                                                                                    #权威发布##荆州身边事#【3台超期未检扶梯被下达检查指令】荆州自动扶梯事故发生后，省质监局紧急要求暂停使用申龙公司制造的自动扶梯，并对上述在用电梯进行全面自查。荆州市对中心城区12家扶梯使用单位进行安全隐患大排查，并对其中3台超期未检扶梯下达特种设备安全监察指令书。 ​​​​                                            ", 2015-7-29 10:01,4,2,1,iPhone 6 Plus,CtjXnuKLp
19,"
                                                                                                    #权威发布##荆州身边事#【工作时中暑可申请工伤】根据《防暑降温措施管理办法》相关规定，劳动者因高温作业或者高温天气作业中暑，经诊断为职业病的，可申请工伤。 ​​​​                                            ", 2015-7-29 09:29,转发,评论,赞,微博 weibo.com,CtjKvEVSa
20,"
                                                                                                    #权威发布##荆州身边事#【荆州发布首个高温黄色预警】荆州市气象部门在28日7时50分发布高温黄色预警。市气象局副台长聂魏称，该预警是今年入夏以来全市范围内发布的首个高温黄色预警信号，预示着未来一周全市大部分地区最高气温将升至35℃以上，局部地区升至37℃附近。 ​​​​                                            ", 2015-7-29 09:21,转发,评论,赞,微博 weibo.com,CtjH4B7GW
21,"
                                                                                                    #荆州文化#【龙凤配】刘备和孙夫人成亲后返荆州，诸葛亮为了给主公接风，也是为了庆贺这一段龙凤呈祥的佳话，便以鳝鱼为龙，以鸡喻凤的形象手法，在刘备的接风宴席上摆出的第一道菜就是荆州厨师特制的龙凤配。 ​​​​                                            ", 2015-7-28 18:04,4,评论,2,微博 weibo.com,CtdGQn08t
22,"
                                                                                                    #权威发布##荆州身边事#【8月1日起10路车线路调整】调整后具体线路为（由东向西）：江津东路—红星路—北京路—白云路—江津西路—德馨路—太岳东路—太岳北路（武德路）。由新城国际返回机械电子学校的路线不变，运营时间不变。 ​​​​                                            ", 2015-7-28 17:16,1,评论,2,微博 weibo.com,Ctdnx4pQX
23,"
                                                                                                    #荆州身边事#【你的朋友圈被“荆州蓝”刷爆了么？】 无边蓝锦俯山河, 点点棉絮形如车。昨日傍晚一场雨后，荆州天空架起“彩虹桥”，落日余晖醉人。今天，荆州的蓝天白云更是被网友分享点赞。小布话不多说，大片奉上。 ​​​​                                            ", 2015-7-28 15:50,33,17,49,微博 weibo.com,CtcOCyQaG
24,"
                                                                                                    #权威发布#【暂停使用申龙公司制造的自动扶梯】据@湖北质监，荆州电梯事故后，湖北省质监局发出紧急通知，要求各地暂停使用申龙公司制造的自动扶梯，并督促电梯使用单位会同制造、维保单位对上述在用电梯进行全面自查，排查情况报当地质监部门备案，待确认隐患消除后方可投入使用。 ​​​​                                            ", 2015-7-28 15:42,3,5,1,微博 weibo.com,CtcL2n0Zs
25,"
                                                                                                    #荆州身边事#【荆州首份录取通知书将于今早送达】今日起，我市首批高考录取通知书开始投递，请考生及家长在投递期间保持手机畅通，并准备好相关证件，确保第一时间收到录取通知书。 ​​​​                                            ", 2015-7-28 10:55,转发,1,4,微博 weibo.com,CtaSxm9Z1
