序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【8件小事消灭你的起床气】当你在床上睡得正香，突然被闹钟或他人叫醒，这时你心中是否会升起一股莫名火？撇开睡眠被打扰的不爽，这其中还牵扯到一个专业名词——起床气。起床气从哪里来？该怎样应对？@生命时报 综合国外多项研究并采访专家为你支招。被起床气困扰的你，戳文学习吧↓↓ ​​​​                                            ", 2015-7-31 19:20,6,2,5,人民微管家,CtGt2b9Ae
2,"
                                                                                                    8月1日，凡现役士兵、军官可持相关证件到阿依河享受景区门票免费优惠政策。                                            ", 2015-7-31 18:40,1,3,5,人民微管家,CtGcN7itc
3,"
                                                                                                    #轻松一刻#【昨天天上有个“荷包蛋” 你看见了吗？】“看！天上是啥子哟？荷包蛋吗？” 随后，这一奇异天象的美图迅速被网友在朋友圈、微博上刷屏。气象专家说，这种特殊的天气现象叫“日晕”，昨天在万州、云阳、开县、奉节、忠县以及石柱黄水，均出现了“日晕”天气现象。 ​​​​                                            ", 2015-7-31 18:15,7,4,13,人民微管家,CtG2E1Qxx
4,"
                                                                                                    新华社快讯：北京携手张家口获得２０２２年冬奥会举办权 ​​​​                                            ", 2015-7-31 17:59,9,10,24,人民微管家,CtFWokMBw
5,"
                                                                                                    【明天起，这些新规将影响我们的生活】①新版火车票全国发售；②沪深交易所A股交易经手费按成交金额0.0487‰双边收取；③广东小区停车场收费涨价须过半业主同意；④青岛破坏烈士纪念设施可追究刑责；⑤深圳遇台风和暴雨预警可翘班……与你我生活密切相关，还不知道？戳图了解↓↓转发提醒！人民日报 ​​​​                                            ", 2015-7-31 17:40,10,3,4,人民微管家,CtFOraNKg
6,"
                                                                                                    【美！北京申冬奥宣传片来啦！】#2022冬季奥运会#主办城市今下午17:30-18:00将揭晓，北京申冬奥代表团刚在陈述现场呈现了北京申冬奥宣传片，魅力北京如画一般呈现在世界面前！猛戳视频欣赏→O网页链接北京申冬奥陈述宣传片 转发为申冬奥助威！为北京加油！经济日报 ​​​​                                            ", 2015-7-31 16:55,11,1,11,人民微管家,CtFwax9W1
7,"
                                                                                                    重庆市首个自治县自主制定旅游条例正式出台                                            ", 2015-7-31 16:10,1,评论,6,人民微管家,CtFdUdY84
8,"
                                                                                                    【重庆至深圳高铁明开跑 】明日起，可坐高铁到深圳了。重庆火车站消息，8月1日起，重庆至深圳高铁开通，经渝利线到武汉，再经武广高铁抵达深圳，全程12小时32分，比现有最快列车缩短至少20小时。二等座票价为794.5元。@重庆商报 ​​​​                                            ", 2015-7-31 15:35,23,30,14,人民微管家,CtEZHm5W1
9,"
                                                                                                    丰都雪玉山，湿地露营、休闲养老的度假胜地。                                            ", 2015-7-31 14:58,6,1,5,人民微管家,CtEKGgdb8
10,"
                                                                                                    【辛苦了市政工人 向您们致敬！】炎炎夏日，为建设美丽山水城市，我市市政工人坚守在道路清扫保洁、洒水降尘、管道疏浚、路灯维护等城市管理作业一线，让城市环境整洁有序。您们辛苦了，请注意防暑降温！ ​​​​                                            ", 2015-7-31 14:25,7,4,22,人民微管家,CtExhB0pS
11,"
                                                                                                    #温馨提示#【请注意 汽博中心启动路面改造】近期金渝大道与金童路节点工程将进行路面拓宽改造，届时汽博中心附近的交通将进行调整，建议驾车出行的市民提前绕行。O汽博中心启动路面改造（具体调整线路请见长微博） ​​​​                                            ", 2015-7-31 13:40,2,1,3,人民微管家,CtEf1j6XC
12,"
                                                                                                    #重庆生活#【“树上避暑” 你尝试过吗？】“树上鸟巢”是南川区三泉镇马嘴村村民避暑经济的“创新”。这里海拔1300多米，杉树成林，夏日最高气温在25℃左右。今年夏天，当地村民将帐篷搬到树上，远看就像一个个大“鸟巢”。马嘴村现有50间“树上鸟巢”，每天可接待上百人。 周末了，约吗？ ​​​​                                            ", 2015-7-31 12:56,10,6,26,人民微管家,CtDXamQDr
13,"
                                                                                                    #重庆影像#【把石柱穿在身上 又会是怎样一番风景】                                            ", 2015-7-31 12:10,4,1,4,皮皮时光机,CtDEtrUVd
14,"
                                                                                                    【我市开展非法营运集中整治行动】近日，我市启动了为期两个月的非法营运集中整治行动，重点整治区域为主城汽车站、火车北站、机场、码头和各大商圈。整治中，执法人员将采取定点设卡盘查、流动巡查、突击抽查等方式，对可疑车辆进行检查。同时，对为“黑车”非法揽客的“羊儿客”持续开展整治行动。 ​​​​                                            ", 2015-7-31 11:38,6,2,8,人民微管家,CtDrv7YwK
15,"
                                                                                                    #逐梦他乡重庆人#【万春英：命运击不倒的“女汉子”】她原本是重庆某图书公司老板，先后经历丧子、患重病之痛，3年前从重庆来到云南，在大理经营起客栈。她说，开客栈不为赚钱，只为感恩，只有“怀揣一颗感恩的心，才能从容地面对波折，笑对人生。”O网页链接 ​​​​                                            ", 2015-7-31 10:53,3,2,4,人民微管家,CtD9evhWu
16,"
                                                                                                    【我市制定遗体和人体器官捐献条例】昨日，《重庆市遗体和人体器官捐献条例（草案）》首次提请市人大审议。条例规定，有关部门和单位应当免除捐献人的基本丧葬费用，并通过颁发捐献荣誉证书、建设纪念设施和网站以及开展缅怀纪念等方式表达对捐献人的尊重。O网页链接  ​​​​                                            ", 2015-7-31 10:10,4,1,1,人民微管家,CtCRMpFAq
17,"
                                                                                                    【重庆市网上行政审批平台将于7月31日起在重点领域开展试点运行】按照《重庆市网上行政审批改革方案》，市政府办公厅组织有关部门，建成重庆市网上行政审批平台，7月31日零时起在企业设立领域和工程建设领域开展试点运行，详情请点击有关公告。O网页链接 O网页链接 ​​​​                                            ", 2015-7-31 09:30,5,1,1,人民微管家,CtCBxEvJS
18,"
                                                                                                    #生活百科#【关于感冒，你不知道的3个真相】感冒，是人们最常打交道的疾病。可是这么多年的战斗中，你真的了解了这位“宿敌”吗？感冒了，扛着不吃药还是直奔医院？得了感冒怎么样才能好得快？喝鸡汤有用吗？一张图告诉你感冒的3个真相，解答你多年对感冒的困惑。（生命时报） ​​​​                                            ", 2015-7-31 08:45,20,1,6,人民微管家,CtCjhD5mF
19,"
                                                                                                    【今天继续“烧烤” 主城最高温37℃】今天我市各地多云到晴，有分散性阵雨或雷雨，大部24～38℃，城口及东南部20～34℃；主城：多云，27～36℃。请大家注意防暑降温及预防火灾。 ​​​​                                            ", 2015-7-31 08:03,8,4,9,人民微管家,CtC2emEcr
