序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【李克强会见40国新任驻华使节】在中华人民共和国成立68周年前夕，国务院总理李克强9月30日下午在人民大会堂会见过去一年中到任的40位外国驻华使节。O李克强会见40国新任驻华使节 ​​​​                                            ", 9月30日 22:51,36,评论,151,360安全浏览器,FofXkFUQY
2,"
                                                                                                    【李克强会见2017年度中国政府“友谊奖”获奖外国专家】国务院总理李克强9月30日下午在人民大会堂亲切会见荣获2017年度中国政府“友谊奖”的外国专家和他们的亲属。O李克强会见2017年度中国政府“友谊奖”获奖外国... ​​​​                                            ", 9月30日 22:39,57,评论,127,360安全浏览器,FofStieWl
3,"
                                                                                                    【最高1G流量等你拿！快参与“国务院大事我知道”（第11期）有奖答题吧】近日，异地就医直接结算全面完成、跨境电商新政出台、“证照分离”改革试点范围再扩大......参与“国务院大事我知道”有奖小测试，有机会免费领取最高1G的手机流量！幸运网友还可获赠中南海明信片哦！ ​​​​                                            ", 9月30日 22:14,21,评论,69,360安全浏览器,FofI1gnTE
4,"
                                                                                                    【李克强在庆祝中华人民共和国成立六十八周年招待会上的致辞】O李克强在庆祝中华人民共和国成立六十八周年招... ​​​​                                            ", 9月30日 21:42,69,评论,241,360安全浏览器,FofuYwpBA
5,"
                                                                                                    【燃！撤侨亲历者+朱婷+每一个你，同唱这首歌！祝祖国生日快乐】记得你与国歌的约定吗？一个月前，《中华人民共和国国歌法》通过。中国政府网邀请你与“听到国歌响起马上在雨中驻步的小学生”、“让国歌在奥运赛场奏响的中国女排”、“唱国歌过边境的撤侨亲历者”、“从各地赶来天安门广场看升旗的群众 ​​​​...展开全文c                                            ", 9月30日 19:27,487,评论,873,秒拍网页版,FoeCwcwZ9
6,"
                                                                                                    【烈士纪念日向人民英雄敬献花篮仪式在京隆重举行 习近平李克强张德江俞正声刘云山王岐山张高丽出席】O习近平等党和国家领导人出席烈士纪念日向人民... ​​​​                                            ", 9月30日 14:54,82,评论,244,360安全浏览器,FocPu8tzP
7,"
                                                                                                    【食品药品监管总局通告16批次不合格药品】安徽省食品药品检验研究院等7家药品检验机构检验，标示为甘肃天森药业有限公司等10家企业生产的16批次药品不合格。O食品药品监管总局通告16批次不合格药品 ​​​​                                            ", 9月30日 14:35,33,评论,26,360安全浏览器,FocHE2Maz
8,"
                                                                                                    【两部门关于开展“银商合作” 助力小微企业发展的通知】为进一步落实党中央、国务院关于扶持小微企业发展的一系列决策部署，工商总局和中国银行业监督管理委员会决定在全国范围内开展“银商合作”，建立支持小微企业发展的信息互联互通机制，助力小微企业发展，促进大众创业、万众创新，推动商事制度 ​​​​...展开全文c                                            ", 9月30日 10:46,51,评论,25,360安全浏览器,FobcIzroT
9,"
                                                                                                    【都是利好！国务院一周新政准时到来，别错过！】“十一”小长假马上就要来了，激动之余，先看看本周国务院给你带来了哪些好政策。O都是利好！国务院一周新政准时到来，别错过！ ​​​​                                            ", 9月30日 09:49,69,评论,33,360安全浏览器,FoaPUlGVT
10,"
                                                                                                    【国务院任免国家工作人员（2017年9月30日）】国务院任免国家工作人员。任命凌激为监察部副部长；任命于春生为国家税务总局副局长。免去肖培的监察部副部长职务；免去吴清海的国家质量监督检验检疫总局副局长职务。 ​​​​                                            ", 9月30日 09:02,42,评论,57,360安全浏览器,FoawPamcB
