序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【灾难过后——双节前夕探访九寨沟地震灾区】“8·8”九寨沟7级地震过去快两个月了，九寨沟景区恢复如何？灾区的人们生产生活状况如何？国庆、中秋节前夕，记者再次探访九寨沟地震灾区。O网页链接 ​​​​                                            ", 9月30日 14:36,1,评论,5,360安全浏览器,FocInAZ7C
2,"
                                                                                                    发布了头条文章：《央视《还看今朝・四川篇》聚焦九寨沟 震后恢复重建如火如荼》 °央视《还看今朝・四川篇》聚焦九寨沟 震后恢... ​​​​                                            ", 9月27日 17:04,转发,评论,17,微博 weibo.com,FnLoHcr1A
3,"
                                                                                                    发布了头条文章：《奋力夺取灾后恢复重建胜利 确保灾区与全国全省同步全面建成小康社会》 °奋力夺取灾后恢复重建胜利 确保灾区与全国全... ​​​​                                            ", 9月24日 10:56,转发,评论,4,微博 weibo.com,FngI17DIY
4,"
                                                                                                    发布了头条文章：《高山上的来客——震后九寨沟景区成功营救一只斑羚》 °高山上的来客——震后九寨沟景区成功营救一只斑... ​​​​                                            ", 9月15日 17:05,2,评论,30,微博 weibo.com,FlWh85FSL
5,"
                                                                                                    发布了头条文章：《九寨沟逐步恢复往昔的宁静和美丽》 °九寨沟逐步恢复往昔的宁静和美丽 ​​​​                                            ", 9月15日 17:02,7,评论,42,微博 weibo.com,FlWgedrif
6,"
                                                                                                    发布了头条文章：《着眼长远谋发展、齐心协力抓落实——九寨沟县召开“8·8”地震灾后恢》 °着眼长远谋发展、齐心协力抓落实——九寨沟县召... ​​​​                                            ", 9月9日 17:30,转发,评论,3,微博 weibo.com,Fl1Sk80SN
7,"
                                                                                                    9月7日，四川省委组织部党建办副主任程文茂、州委常委组织部部长卿刚、九寨沟县委常委组织部长张锐、九寨沟管理局党委书记徐荣林一行赴荷叶社区检查指导党建工作 。 °省委组织部赴荷叶社区指检查导党建工作 ​​​​                                            ", 9月7日 16:29,转发,评论,2,微博 weibo.com,FkICtuE9V
8,"
                                                                                                    发布了头条文章：《党旗飘扬下的九寨精神—扎如社区抗震救灾工作取得阶段性胜利》 °党旗飘扬下的九寨精神—扎如社区抗震救灾工作... ​​​​                                            ", 9月5日 18:33,2,评论,3,微博 weibo.com,FkqzUDYyl
9,"
                                                                                                    截至9月4日，拆除临时安置点救灾安置帐篷篷157顶，回收床109张，返家入住、投亲靠友452人。 °组织有序、推进有力、统筹有效——荷叶社区开始... ​​​​                                            ", 9月4日 17:30,1,评论,8,微博 weibo.com,FkgJOps2d
10,"
                                                                                                    ​“作为一名医者，能为家乡的群众做点力所能及的事，这我的光荣”银全这样说。 °医者仁心：为村民义务针灸的中医银全 ​​​​                                            ", 9月2日 15:42,3,评论,14,微博 weibo.com,FjXaYsMwn
11,"
                                                                                                    在树正寨，村寨工作组成员和村民携手在寨中排查隐患，将受灾房屋维修加固；将存在安全隐患的土墙、石墙进行整理；将房前屋后的瓦砾、石块、土渣进行清理；对村寨道路进行清障。相信九寨明天会更好！！！ °重塑美丽家园：九寨沟景区村寨积极进行整理 ​​​​                                            ", 9月1日 17:18,3,评论,19,微博 weibo.com,FjOntCA4v
12,"
                                                                                                    发布了头条文章：《荷叶寨抗震救灾先进事迹--共产党员陈红兵》 °荷叶寨抗震救灾先进事迹--共产党员陈红兵 ​​​​                                            ", 8月30日 16:49,转发,评论,16,微博 weibo.com,FjvkN78sI
13,"
                                                                                                    国土资源厅召开九寨沟地震恢复重建地质灾害防治专题座谈会       为进一步做好九寨沟7.0级地震地质灾害防治专题研究和九寨沟7.0级地震灾后恢复重建地质灾害防治专项实施方案编制等工作，省厅近日召开专题座谈会，研究相关工作推进事宜。省发改委、省测绘局相关处（室）负责人及成都理工大学、中科院 ​​​​...展开全文c                                            ", 8月30日 11:39,2,评论,8,微博 weibo.com,Fjtj2wF0z
14,"
                                                                                                    比起轰轰烈烈抗震抢险工作来说，后勤工作是一场看不见硝烟的战斗。“兵马未动，粮草先行”是对后勤工作真实的写照。 °后勤保障工作：一场看不见硝烟的战斗 ​​​​                                            ", 8月29日 15:03,转发,评论,5,微博 weibo.com,Fjldu7rIg
15,"
                                                                                                    《地灾排查的坚强卫士，保一方平安》  °地灾排查的坚强卫士，保一方平安 ​​​​                                            ", 8月28日 18:07,1,评论,7,微博 weibo.com,FjcZAlXGo
16,"
                                                                                                    发布了头条文章：《用图片讲故事的工作者们》 °用图片讲故事的工作者们 ​​​​                                            ", 8月27日 16:15,转发,评论,16,微博 weibo.com,Fj2PlF7fS
17,"
                                                                                                    发布了头条文章：《统筹推进受灾群众回迁安置工作，为灾后恢复重建打好基础》 °统筹推进受灾群众回迁安置工作，为灾后恢复重... ​​​​                                            ", 8月27日 16:13,1,评论,8,微博 weibo.com,Fj2OF9Xm9
18,"
                                                                                                    【长海保护站守卫者；克木和班友生】克木和班友生是则查洼沟管理处的非在编职工，主要从事环卫工作，同时兼护林防火和地灾巡查工作。2017年8月8日21时19分，九寨沟县突发7.0级地震，在长海保护站值夜班的克木和班友生迅速跑出保护站，到对面停车场观察周边情况。O网页链接 ​​​​                                            ", 8月26日 19:28,转发,评论,15,360安全浏览器,FiUFd1ifh
19,"
                                                                                                    【“8·8”地震规划建设处抗震救灾纪实】2017年8月8日21时19分，九寨沟县发生7.0级地震。灾情发生后，规划建设处反应迅速，第一时间保证沟口应急供电，确保临时指挥部指挥有序开展。至此，建设处40人全员进入抗震救灾紧急工作中，为景区地灾勘察和居民、员工水电保障提供了坚实基础。 ​​​​...展开全文c                                            ", 8月25日 15:39,转发,评论,13,360安全浏览器,FiJJQsjze
20,"
                                                                                                    发布了头条文章：《重拾信心团结一致 奋力建设美好家园》 °重拾信心团结一致 奋力建设美好家园 ​​​​                                            ", 8月24日 16:11,3,评论,23,微博 weibo.com,FiAwB6CpP
21,"
                                                                                                    发布了头条文章：《九寨沟管理局小车班抗震救灾点滴》 °九寨沟管理局小车班抗震救灾点滴 ​​​​                                            ", 8月24日 16:09,1,评论,4,微博 weibo.com,FiAvqo5wy
22,"
                                                                                                    九寨沟县7.0级地震灾情专报(8月23日)       九寨沟管理局8月23日主要开展以下工作：       一、社区工作       卫生防疫：阿坝州人民医院到社区、安置区进行医疗巡诊，检查指导发热、腹泻病员情况；红原县疾控中心到安置点进行水质检测和卫生安全检查；九寨沟县、理县卫生监督执法大队监督员到安 ​​​​...展开全文c                                            ", 8月24日 12:29,1,评论,4,微博 weibo.com,Fiz4pd923
