序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【路况信息】截至今日17时，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 据中央气象台预报：明日四川盆地东北部、黄淮中南部、江淮等地有较强降雨。四川盆地东北部、陕西南部、湖北北部、河南中南部、山东大部、安徽中北部、江苏大部以及华南南部沿海等地的部 ​​​​...展开全文c                                            ", 9月30日 17:18,1,评论,赞,iPhone 7,FodLSgIS8
2,"
                                                                                                    【突发事件】据中国地震台网正式测定，9月30日14时14分在四川广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13千米。地震发生后，路网中心已与四川省交通运输厅取得联系，具体情况还在排查中，路网中心将持续关注。 ​​​​                                            ", 9月30日 17:17,1,评论,1,iPhone 7,FodLG6Oz4
3,"
                                                                                                    【路况信息】截至今日7时45分，受降雨影响，安徽境内S209六安市金寨县段发生山体滑坡，陕西境内G210榆林市绥德县段发生水毁情况，贵州境内G246毕节段发生路基垮塌。上述路段交通中断，恢复通行时间待定。 此外受大雾影响，河北境内S11（沿海高速沧州段）中捷至海丰段、G0111（沿海高速）秦皇岛西至荒 ​​​​...展开全文c                                            ", 9月30日 08:18,转发,评论,赞,iPhone 7,FoaeYgBQw
4,"
                                                                                                    【公路气象预报】中国气象局与交通运输部2017年09月29日联合发布全国主要公路气象预报9月29日20时至9月30日20时,华南南部和西部、重庆、江汉、江淮等地的部分地区有中雨，局地有大雨。另外，江苏南部、广东中西部、广西东部、海南北部等地的局部地区有雷暴。 ​​​​                                            ", 9月29日 20:10,转发,评论,赞,iPhone 7,Fo5taz8CI
5,"
                                                                                                    【路况信息】截至今日17时，受雨夹雪及大风天气影响，新疆境内S237伊犁白石峰段双向封闭，恢复通行时间待定。 据中央气象台预报：明日四川盆地东北部、陕西东南部、湖北西北部、河南、山东南部、安徽中北部、江苏、浙江北部和东部沿海以及云南南部、两广南部沿海、海南岛西部等地有中雨或大雨，其中四 ​​​​...展开全文c                                            ", 9月29日 17:16,转发,评论,1,iPhone 7,Fo4kuq14Q
6,"
                                                                                                    【路况信息】截至今日7时45分，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 ​​​​                                            ", 9月29日 08:28,1,评论,赞,iPhone 7,Fo0SjiEOO
7,"
                                                                                                    【路况信息】截至今日17时，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 据中央气象台预报：明日江苏南部、福建西南部、江西东南部、广西南部沿海、海南岛南部等地局地有大雨。降雨天气可能对道路通行造成不利影响。 ​​​​                                            ", 9月28日 17:05,1,评论,赞,iPhone 7,FnUPM3W2g
8,"
                                                                                                    【出行研判】十一中秋哪里堵？您能找到的最全面最权威的消息我来汇总！（未汇总的省份目前还没有发布研判消息，客官不要着急，可以关注“中国路网”公众号，后台的信息会及时更新的！心动·jpg）O网页链接 ​​​​                                            ", 9月28日 16:40,转发,评论,1,iPhone 7,FnUFraIMe
9,"
                                                                                                                                                ", 9月28日 16:32,1,评论,1,iPhone 7,FnUCefabF
10,"
                                                                                                    【路况信息】截至今日7时45分，受大雾影响，山东境内S33（济徐高速）济宁机场、济宁南、金乡东、鱼台西站双向，山西境内G55（二广高速）王村，襄垣、屯留、长治西站入口，S60（榆祁高速）晋中东、太谷、乔家大院站入口封闭，预计今日中午恢复通行。 ​​​​                                            ", 9月28日 07:55,转发,评论,赞,iPhone 7,FnRemxGCP
11,"
                                                                                                    【公路气象预报】中国气象局与交通运输部2017年09月27日联合发布全国主要公路气象预报27日20时至28日20时，雨带南压，强度减弱；贵州东北部、湖北南部、安徽中南部、江南北部等地有中到大雨，局地有暴雨（50～60毫米）。 ​​​​                                            ", 9月27日 23:00,转发,评论,赞,iPhone 7,FnNJql8eh
12,"
                                                                                                    【路况信息】截至今日17时，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 据中央气象台预报：明日新疆北部、青藏高原、西南地区、江汉、江南、华南等地有小雨或阵雨，局地中雨。降雨天气可能会对道路通行造成不利影响。 ​​​​                                            ", 9月27日 17:05,转发,评论,赞,iPhone 7,FnLplAues
13,"
                                                                                                    【公路气象预报】中国气象局与交通运输部2017年09月26日联合发布全国主要公路气象预报26日20时至27日20时，华西地区、江汉等地有较强降雨。四川盆地东部和北部、重庆、陕西中南部、湖北西部和北部、河南南部、安徽西部和南部等地有中到大雨，局地有暴雨（50～85毫米）。 ​​​​                                            ", 9月27日 08:20,转发,评论,赞,iPhone 7,FnHXZC2ww
14,"
                                                                                                    【路况信息】截至今日7时45分，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 ​​​​                                            ", 9月27日 08:19,转发,评论,赞,iPhone 7,FnHXJ4Icp
15,"
                                                                                                    【路况信息】截至今日17时，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 据中央气象台预报：明日四川盆地东部、陕西东南部、贵州北部、湖北、湖南西北部、安徽西部等地降水明显增强。上述大部地区有中雨或大雨，局地有暴雨。降雨天气可能对道路通行造成不利影 ​​​​...展开全文c                                            ", 9月26日 17:41,1,评论,赞,iPhone 7,FnCdmywm6
16,"
                                                                                                    【路况信息】截至今日7时45分，全国高速公路及普通国省干线运行基本正常，未接报因恶劣天气导致的新增公路阻断信息。 ​​​​                                            ", 9月26日 08:39,转发,评论,赞,iPhone 7,FnyFekyDL
17,"
                                                                                                    【公路气象预报】中国气象局与交通运输部2017年09月25日联合发布全国主要公路气象预报25日20时至26日20时，江淮等地的强降雨明显减弱。东北地区、华北地区、西北地区中东部、四川东北部、重庆北部、黄淮西部、湖北西部、江苏东南部、上海、云南南部等地有小到中雨，局地大雨或暴雨。另外，四川东部、 ​​​​...展开全文c                                            ", 9月25日 22:01,转发,评论,赞,iPhone 7,FnuubbSm8
18,"
                                                                                                    【路况信息】截至今日17时，受降雨影响，安徽境内S311水湖段发生路面积水，陕西境内S225平利段发生塌方及路基冲毁等水毁情况。上述路段道路中断，恢复通行时间待定。 据中央气象台预报：明日四川东北部、川西高原北部、重庆北部、陕西中南部、甘肃东南部、山西西南部、河南中部、湖北中部、山东中东部 ​​​​...展开全文c                                            ", 9月25日 17:11,转发,评论,赞,iPhone 7,FnsAHkQ0k
19,"
                                                                                                    【路况信息】截至今日7时45分，受大雾影响，河北境内G3（京台高速）坊空港站、永清站，G18（荣乌高速）徐水北站，G45（大广高速）南宫站、常屯站，S006（衡德高速）衡水东站双向封闭，以上收费站预计今日中午恢复通行。 ​​​​                                            ", 9月25日 08:12,转发,评论,赞,iPhone 7,Fnp3NkmPk
