序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【“中国好医生、中国好护士”9月月度上榜人物揭晓】2017年9月，由中央文明办和国家卫生计生委共同组织的“中国好医生、中国好护士”网络推荐评议活动，经过群众推荐、集中展示、点赞评议等环节，共有13位优秀医护人员和1支医疗团队入选9月月度人物。点击查看详细名单：O网页链接 ​​​​                                            ", 9月30日 14:36,55,15,6,微博 weibo.com,FocI8bkKz
2,"
                                                                                                    【国庆假期来临，30个急救常识请记牢~】近日，一位女医生为女儿画的急救流程图走红网络。生活中有很多突如其来的意外，如果每个人都能掌握最基本的急救知识，关键时刻甚至能挽救生命！戳图学习，30个必备急救常识↓↓小到抽筋、低血糖，大到溺水、异物卡喉、心脏骤停…转存，以备不时之需！@人民日报 ​​​​                                            ", 9月30日 14:32,60,9,10,微博 weibo.com,FocGH0Vzk
3,"
                                                                                                    【健康中国见证人权进步】随着社会发展与时代变迁，我们仍然面临着多重疾病威胁并存、多种健康影响因素交织的复杂局面，而群众对健康产品、健康服务的需求日益多元多变。中国既面对着发达国家面临的健康问题，也面对着发展中国家面临的健康问题。持续努力、久久为功，矢志推进保障人民健康的系统工程， ​​​​...¡查看图片展开全文c                                            ", 9月30日 14:22,85,14,3,微博 weibo.com,FocCB7Z3x
4,"
                                                                                                    #医疗科普#  【世界心脏日】9月29日是“世界心脏日”，@世界卫生组织 网站刊登了降低心血管疾病和卒中风险的措施，包括：戒烟，少盐，多吃水果蔬菜，规律运动，避免有害饮酒，坚持用药控制高血压糖尿病。O网页链接 ​​​​                                            ", 9月30日 14:17,16,2,5,微博 weibo.com,FocAnqUCl
5,"
                                                                                                    【“悄无声息”感受卫生应急力量】将突发传染病扼杀在摇篮里、及时有效组织灾后伤员救治和疫区防疫、避免一切可能出现的“险情”，让百姓在“悄无声息”中感受实实在在的获得感，是卫生应急的特点。党的十八大以来，围绕以卫生应急体系和核心能力建设为主体，以突发急性传染病防治、突发事件紧急医学救 ​​​​...展开全文c                                            ", 9月30日 11:45,13,12,3,微博 weibo.com,FobAL0CHA
6,"
                                                                                                    【假期出行，防蚊工作要做足】近期浙江广东登革热疫情高发……提醒大家：登革热多由蚊子传播，公众假期出行注意防蚊,别在野外阴湿处多停留。戳下图️️学“到底什么是登革热”，转起收藏，让假期远离蚊扰！ ​​​​@全国卫生12320 ​​​​                                            ", 9月30日 10:55,23,5,赞,微博 weibo.com,FobgrEhTM
7,"
                                                                                                    缅怀先烈志，共铸中华魂                                            ", 9月30日 10:24,13,2,179,微博 weibo.com,Fob46hSlD
8,"
                                                                                                    【10个人里3个被鼻炎折磨！大牌医生的鼻炎防治指南，仅此一份】提起“鼻炎”，你还以为是小毛病？在我国，每10个人里有3个饱受鼻炎折磨，其中，70%睡眠受到干扰，94%生活受到影响。戳↓图，这份“鼻炎防治指南”，帮你远离“会呼吸的痛”。 ​​​​                                            ", 9月29日 22:15,105,15,7,微博 weibo.com,Fo6i51xnf
9,"
                                                                                                    【这些都是谣言，别信！】9月科学流言榜昨天发布。①被困电梯会缺氧窒息而死？②网传沐浴液含防腐剂，长期使用沐浴液会诱发乳腺癌？③吃水果能替代蔬菜？④虾皮是补钙佳品？⑤婴儿被剧烈摇晃脑袋可以“治脑瘫”？⑥人的免疫力和体温有关？……戳↓看真相！转发辟谣！ ​​​​                                            ", 9月29日 22:05,44,2,6,微博 weibo.com,Fo6eb0eBv
10,"
                                                                                                    #医改那点事儿# 【贫困慢病患者签约将全覆盖】9月26日，国家卫生计生委发出通知，要求进一步核实核准农村贫困人口中的慢病患者，纳入家庭医生签约服务管理，优先覆盖高血压、糖尿病、结核病等慢病患者，并逐步扩大到全部慢病人群，力争2017年年底实现建档立卡农村贫困人口签约服务全覆盖。有条件的地区 ​​​​...展开全文c                                            ", 9月29日 16:48,26,11,4,微博 weibo.com,Fo49ldYZa
