序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #晚安成都#当你经历汗水和泪水之后才可以赢得鲜花和掌声，没有随便的成功，只有看谁更懂得付出和隐忍！你今天的态度决定了你明天的位置。 ​​​​                                            ", 9月30日 22:00,1,1,4,微博 weibo.com,FofCgBFQ7
2,"
                                                                                                    嗨森！这个国庆中秋假期，#成都政能量伴你游#成都                                            ", 9月30日 16:10,4,2,20,微博 weibo.com,FodkooZME
3,"
                                                                                                    #工作动态#【市卫计委打好节前纪律提醒“组合拳” 防止节日“四风”问题反弹】近日，市卫计党组召开专题会议，对系统内节日前后落实中央八项规定精神防止“四风”问题反弹工作作出安排部署，对处级以上领导干部廉洁平安过双节开展谈话提醒。按照党组会的要求，派驻市卫计纪检组现场抽查了市一医院、市 ​​​​...展开全文c                                            ", 9月30日 16:00,3,2,3,微博 weibo.com,Fodg8vBmu
4,"
                                                                                                    #工作动态#【省血液管理中心召开2017年血液安全技术核查、血液应急保障及血液信息系统联网建设工作会】近日，受四川省卫生计生委委托，省血液管理中心组织召开全省2017年血液安全技术核查工作总结会、血液应急保障工作总结部署会及血液信息系统联网建设工作会。全省血液安全技术核查各组组长、全省21个 ​​​​...展开全文c                                            ", 9月30日 15:00,10,7,9,微博 weibo.com,FocRMz6SP
5,"
                                                                                                    地震了？感觉好明显 ​​​​                                            ", 9月30日 14:17,1,2,4,微博 weibo.com,FocAlnEgB
6,"
                                                                                                    双创少跑路 成都市创新创业一站式服务大厅集合12家部门 助力双创                                            ", 9月30日 14:06,3,1,6,微博 weibo.com,FocvWkdyi
7,"
                                                                                                    #资讯聚焦#【苏州双管齐下打造卫生人才高地】近日，2017年苏州市临床医学专家团队引进项目集体签约仪式举行，首批27个国内顶尖“临床医学专家团队”落户苏州，苏州市委书记周乃翔、代市长李亚平、市人大常委会主任陈振一、市政协主席周伟强等出席签约活动。日前，苏州市卫生计生委、财政局还联合印发《 ​​​​...展开全文c                                            ", 9月30日 14:00,2,1,2,微博 weibo.com,FoctqA6zd
8,"
                                                                                                    #依法治市#【《关于建立现代医院管理制度的指导意见》政策解读之对社会办医院的要求（三）】实行属地管理与主管部门管理相结合，建立健全社会办医院党建工作管理体制，规范党组织隶属关系。社会办医院党组织要紧紧围绕党章赋予基层党组织的基本任务，结合实际开展工作，按照党的要求办医立院，努力满足 ​​​​...展开全文c                                            ", 9月30日 11:30,6,评论,4,微博 weibo.com,Fobuy2OcV
9,"
                                                                                                    #资讯聚焦#【重庆启动空中医疗救援巡航】国庆、中秋假期出行高峰将至，重庆市急救医疗中心、交通执法高速三支队、金汇通航重庆分公司三方携手，将在10月1日至8日期间，首次启用直升机实施空中医疗救援巡航。本次空中救护服务设置在渝湘高速上，参与救援巡航的直升机内配置了通过适航认证的呼吸机、除颤 ​​​​...展开全文c                                            ", 9月30日 11:00,3,2,3,微博 weibo.com,Fobin1c0q
10,"
                                                                                                    #工作动态#【“2017年防护服使用操作比赛”圆满结束】近日，由成都市总工会主办，成都市妇女儿童中心医院承办的“2017年防护服使用操作比赛”落下帷幕。33支代表队99位选手经过笔试、操作两轮环节，12支代表队、12名选手最终获奖。 ​​​​                                            ", 9月30日 10:00,7,4,4,微博 weibo.com,FoaU13QN4
11,"
                                                                                                    #资讯聚焦#【符合国情的健康权保障模式形成】国务院新闻办近日发表《中国健康事业的发展与人权进步》白皮书。白皮书全文约17000字，除前言、结束语外，共包括7个部分，分别是符合国情的健康权保障模式、健康环境与条件持续改善、公共卫生服务能力稳步提升、医疗卫生服务质量大幅提高、全民医疗保障体系 ​​​​...展开全文c                                            ", 9月30日 09:14,7,2,5,微博 weibo.com,FoaBthWsX
12,"
                                                                                                    #早安成都# 不论做什么事，都要相信你自己，别让别人的一句话将你击倒。人生没有对错，只有选择后的坚持，不后悔，走下去，走着走着，花就开了。新的一天开始了，亲们，早安~~ ​​​​                                            ", 9月30日 08:33,3,4,4,微博 weibo.com,FoakUbcFB
13,"
                                                                                                    #晚安成都# 心里只有自己时，总嫌别人做得不够；心里只有别人时，总嫌自己做得不够。 ​​​​                                            ", 9月29日 22:28,1,2,3,够快才畅快vivo X6,Fo6ntdjU7
14,"
                                                                                                    #工作动态#【市卫计委代表队在四川省卫生应急技能竞赛中喜获团体第一名】近日，由四川省卫生计生委和省总工会联合主办的2017年四川省卫生应急技能竞赛圆满落下帷幕。由成都市疾病预防控制中心、成都大学附属医院、龙泉驿区中医医院、双流区疾控中心组成的队伍代表我市卫生计生系统参加了比赛。经过三天 ​​​​...展开全文c                                            ", 9月29日 16:00,30,23,29,微博 weibo.com,Fo3PE0zjW
15,"
                                                                                                    #工作动态#【市卫计委党组书记、主任谢强调研锦江区家庭医生签约和医养结合工作】近日，谢强主任一行实地调研了盐市口街道青年路社区家庭医生服务中心、春熙社区卫生服务中心和锦欣九九乐龄康养中心。谢强主任对锦江区将家庭医生签约服务和健康管理延伸到楼宇、利用医联体提升基层服务能力、推进高水平 ​​​​...展开全文c                                            ", 9月29日 15:00,28,23,24,微博 weibo.com,Fo3ri15Zo
16,"
                                                                                                    #资讯聚焦#【湖北明确疫苗接种收费标准】近日，湖北省卫生计生委与省物价局联合发布新的预防接种服务收费规定，明确了疫苗接种单位第一类疫苗（乙肝、麻风等）、第二类疫苗（脑膜炎、流感、狂犬病等）的收费行为。新规将从10月1日起执行。 ​​​​                                            ", 9月29日 14:00,3,1,3,微博 weibo.com,Fo32W6rXr
17,"
                                                                                                    @成都市第五人民医院 //@健康中国:                                             ", 9月29日 11:34,4,2,171,微博 weibo.com,Fo25HmDJ6
18,"
                                                                                                    #依法治市#【《关于建立现代医院管理制度的指导意见》政策解读之对社会办医院的要求（二）】加强社会办医院党组织建设。加大社会办医院党组织组建力度，批准设立社会办医院时，要坚持党的建设同步谋划、党的组织同步设置、党的工作同步开展。 @法治成都 ​​​​                                            ", 9月29日 11:30,12,5,6,微博 weibo.com,Fo243crd3
19,"
                                                                                                    #九寨沟地震#给你看你所不知道的成都急救！                                            ", 9月29日 11:16,3,3,6,微博 weibo.com,Fo1YrEUIq
20,"
                                                                                                    转发微博                                            ", 9月29日 11:15,3,2,1,微博 weibo.com,Fo1YhCkU9
21,"
                                                                                                    转发微博                                            ", 9月29日 11:15,1,1,1,微博 weibo.com,Fo1Ye3HG7
22,"
                                                                                                    #资讯聚焦#【安徽取消社会办医新农合定点审查】近日，安徽省卫生计生委印发通知，取消全省社会办医疗机构新农合定点资格审查，全面实行协议管理，由新农合管理经办机构与社会办医疗机构签订定点协议。 ​​​​                                            ", 9月29日 11:00,1,1,2,微博 weibo.com,Fo1RSd5zS
23,"
                                                                                                    #工作动态#【市卫计委党组书记、主任谢强到武侯区调研社区卫生、安全维稳和十三五基层医疗卫生提升工程】近日，成都市卫计委党组书记、主任谢强，党组成员、副主任贾勇一行到武侯区调研社区卫生、安全维稳和十三五基层医疗卫生提升工程等工作，武侯区副区长潘虹，区卫计局、区卫投公司负责人参加调研。 ​​​​...展开全文c                                            ", 9月29日 10:00,6,4,8,微博 weibo.com,Fo1twbbbi
24,"
                                                                                                    #资讯聚焦#【贫困慢病患者签约将全覆盖】近日，国家卫生计生委发出通知，要求进一步核实核准农村贫困人口中的慢病患者，纳入家庭医生签约服务管理，优先覆盖高血压、糖尿病、结核病等慢病患者，并逐步扩大到全部慢病人群，力争2017年年底实现建档立卡农村贫困人口签约服务全覆盖。有条件的地区可逐步覆 ​​​​...展开全文c                                            ", 9月29日 09:26,5,4,3,微博 weibo.com,Fo1fMjwV3
