序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #安全叨叨叨#【自驾出行 八个注意事项】明天就是国庆节啦，迫不及待要自驾出游了吗？别着急，出发前好好看一下这些提示，防患于未然，才能玩的开心安全。 ​​​​                                            ", 9月30日 20:00,9,1,2,微博 weibo.com,FoePz2ZwX
2,"
                                                                                                    #川警连连看#【驾驶员隧洞被困 执勤民警及时解救】2017年9月29日16时30分，四川省西昌市雷波县下河坝隧道内发生一起交通事故， @雷波交警 民警处理事故时，发现驾驶员腿部被撞毁车头及车门卡住不能动弹，民警立即对车内被困驾驶员进行解救。经过2小时的紧急救援，被困驾驶员被成功救出。 ​​​​                                            ", 9月30日 19:54,转发,评论,1,微博 weibo.com,FoeN7oFkp
3,"
                                                                                                    #川警叔碎碎念#骑车同样要精力集中，玩手机的后果，挺严重的，引以为戒。L公安部交通安全微发布的秒拍视频 ​​​​                                            ", 9月30日 19:38,3,评论,赞,微博 weibo.com,FoeGCCngD
4,"
                                                                                                    #路况发布#因雅西高速瓦厂坪大桥地质灾害治理及攀西高速沪沽至浸水湾段改造施工，为了保障国庆中秋节期间此路段安全畅通，10月1日至10月9日，高速交警将根据车流量及道路安全通行情况，对过往车辆实时进行交通管制、诱导分流。请大家支持配合，服从现场交警指挥。 ​​​​                                            ", 9月30日 19:37,1,评论,2,专业版微博,FoeGqvJnq
5,"
                                                                                                    #交通违法曝光台#9月29日下午，@中江交警大队 五中队在凯江桥头查获一被盗正三轮摩托车。目前，已与车辆原车主取得联系，通知其带上车辆相关证件到交警大队办理车辆发还手续，案件正在进一步调查处理中。 ​​​​                                            ", 9月30日 19:23,转发,评论,赞,微博 weibo.com,FoeAxldt7
6,"
                                                                                                    #四川交警在行动#为了确保双节期间高速路安全畅通，9月30日下午，@郫都交警 大队与成灌高速运营公司等部门召开“一路四方”工作会议，就加强联勤联动、信息互通、事故处理等问题进行磋商，并对高速路政工作人员开展交通事故先期处置工作进行了业务培训。 ​​​​                                            ", 9月30日 19:14,转发,评论,3,微博 weibo.com,FoewSk658
7,"
                                                                                                    #川警叔碎碎念#喝酒开车需谨慎啊！！！                                            ", 9月30日 18:18,转发,评论,赞,微博 weibo.com,Foeamc03C
8,"
                                                                                                                                                ", 9月30日 18:17,转发,评论,7,微博 weibo.com,Foe9X2ij3
9,"
                                                                                                    转发微博                                            ", 9月30日 18:15,转发,评论,401,微博 weibo.com,Foe8XkWu6
10,"
                                                                                                    转发微博                                            ", 9月30日 18:14,转发,评论,50,微博 weibo.com,Foe8U3eEQ
11,"
                                                                                                    #交通安全警示#2017年9月29日11时20分，@会东交警大队 查获一起未取得驾驶证驾驶机动车的违法行为。驾驶人李某某未取得驾驶证驾驶机动车的违法行为，违反了《中华人民共和国道路交通安全法》第十九条第一款之规定。根据《中华人民共和国道路交通安全法》第九十九条第一款第一项、第二款之规定，给予李 ​​​​...展开全文c                                            ", 9月30日 18:14,转发,评论,赞,微博 weibo.com,Foe8KjisL
12,"
                                                                                                    #川警连连看#【司机“内急”路边停车留言 交警“跟帖”暖心处置】荣县一车主因着急上厕所，在高速公路过路费票背后给蜀黍留了个言：”上个厕所，马上回来，可爱的交警叔叔请别贴条”。并留下了自己的手机号码。@荣县交警 的交警蜀黍是这样回答的：临时停靠不超过十分钟，下不为例！这么暖心“跟帖”你 ​​​​...展开全文c                                            ", 9月30日 18:14,转发,3,1,微博 weibo.com,Foe8Fx3l1
13,"
                                                                                                    #四川青川5.4级地震# 【四川交警权威发布：青川震区路况速报（二）】9月30日14时14分5.4级地震后，@青川交警大队  立即派出全部警力上路执勤，一方面疏导城市交通，另一方面各交警中队排查辖区道路是否有塌陷，落石等情况，目前城区秩序良好。同时，@绵阳公安交警  迅速组织@平武交警  @江油公安交警   ​​​​...展开全文c                                            ", 9月30日 17:05,1,1,3,华为麦芒4,FodGS0152
14,"
                                                                                                    因受地震影响，省内部份列车出现晚点，多地车站民警开展站车秩序维护！请大家听从民警安排，耐心等候列车恢复正常通行！                                            ", 9月30日 16:32,1,评论,6,360安全浏览器,Fodti9lVZ
15,"
                                                                                                    9月30日14时14分在广元市青川县发生5.4级地震后，青川交警大队立即派出全部警力上路执勤，一方面疏导城市交通，另一方面各交警中队排查辖区道路是否有塌陷，落石等情况，目前，青川县城交通秩序良好，未接到有人员伤亡的警情。 ​​​​                                            ", 9月30日 15:20,12,3,13,iPhone 6s,FocZZ9CXR
16,"
                                                                                                    转发微博                                            ", 9月30日 09:29,3,1,41,微博 weibo.com,FoaHLCja6
17,"
                                                                                                    #川警叔碎碎念#【驾考新标准提前看明白】驾考新标准将于2017年10月1日正式施行，此次修改的新标准，提高考生安全文明驾驶意识，简化、优化考试内容和项目，操作要求和评判更贴近实际道路驾驶需要，优化调整了考试内容题型、操作要求和评判标准，更加突出安全文明意识，更加契合实际道路交通环境，更加 ​​​​...展开全文c                                            ", 9月30日 08:59,7,评论,5,微博 weibo.com,Foavflh4K
18,"
                                                                                                    #安全叨叨叨#新手上路时，要克服紧张心理，熟悉车辆的各项操作，如果紧张到刹车在哪里都找不到了，还是先度过心理关吧。L公安部交通安全微发布的秒拍视频 ​​​​                                            ", 9月30日 08:30,2,评论,赞,微博 weibo.com,Foaju65SM
19,"
                                                                                                    #早安，四川#从今天起，学着做一个简单的人，不抱怨生活，不轻易言弃，不庸人自扰，不浪费时间，不沉迷过去，不恐惧将来。 ​​​​                                            ", 9月30日 08:00,转发,评论,4,微博 weibo.com,Foa7j71aT
