序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    守护平安回家路！#四川公安，在你身边#                                             ", 9月30日 22:40,10,10,57,iPhone,FofSyiyC3
2,"
                                                                                                    #迎接十九大忠诚保平安#【超燃！四川公安忠诚誓言：我在，平安在！】党的十九大即将召开，四川各级公安机关坚持践行“四句话，十六字”总要求，从严从实从细狠抓保稳定、护安全、促和谐各项工作的贯彻落实，以严之又严、实之又实、细之又细的作风和举措，为党的十九大胜利召开创造安全稳定的社会环 ​​​​...展开全文c                                            ", 9月30日 21:05,19,3,18,iPhone,FofghwN3x
3,"
                                                                                                    为了您的平安，我们一直都在！#游在四川,全域平安#                                             ", 9月30日 20:15,7,1,15,iPhone 6 Plus,FoeVEjMdx
4,"
                                                                                                    9张创意GIF动图，讲述航展安保父子档、夫妻档的动人故事！#平安航展有我守卫#                                             ", 9月30日 19:59,10,1,21,iPhone,FoePwChpj
5,"
                                                                                                    请前线的战友们一定注意安全，提防余震和落石！#四川青川5.4级地震#                                             ", 9月30日 18:55,4,3,9,iPhone,FoephBCGo
6,"
                                                                                                    #警方辟谣# 9月30日14时14分，青川县发生5.4级地震。地震发生后，一张江油市九岭镇机关办公楼大门受损的图片在朋友圈、微信群、QQ群中大量转发。经@江油发布 核实，该图片系“5.12汶川特大地震”中，九岭镇机关办公楼大门的受损情况，与#四川青川5.4级地震# 无关。警方提醒，请勿信谣、不传谣。 ​​​​                                            ", 9月30日 18:22,17,7,26,iPhone,FoebQFu2Z
7,"
                                                                                                    #四川青川5.4级地震#9月30日14时14分，广元市青川县发生5.4级地震，与青川紧邻的江油市震感明显。地震发生后，@江油公安 @江油公安交警 第一时间调集警力，对临近青川的县道、乡道和山村道路进行隐患排查，对因地震垮塌的道路进行交通管制，协调路政部门对道路进行抢通，全力确保道路交通安全！ ​​​​                                            ", 9月30日 18:02,13,5,21,iPhone,Foe3LcLBC
8,"
                                                                                                    【省内多条铁路陆续恢复运行秩序，宝成铁路仍在排查隐患】据@西南铁警 最新消息，除了宝成铁路仍在继续排查隐患外，受#四川青川5.4级地震#影响的其他铁路已经全部开通，列车运行秩序陆续恢复正常。 ​蜀黍提醒，回家路上，注意安全，保管好随身财物！#游在四川,全域平安# ​​​​                                            ", 9月30日 17:42,11,4,20,iPhone,FodVQ80QX
9,"
                                                                                                    【城际列车上婴儿突发疾病 铁警紧急开辟生命通道】#四川青川5.4级地震# 发生后，成绵乐城际列车C6308次列车上一名婴儿突发状况，呼吸困难。铁路部门通过协调调度铁路临时放行动车，@西南铁警 德阳车站派出所联合火车站，紧急开辟生命通道，为医护人员抢救婴儿争取时间。 ​​​愿孩子平安无事！ ​​​​...展开全文c                                            ", 9月30日 17:20,9,6,33,iPhone,FodMZlpaU
10,"
                                                                                                    #游在四川，全域平安# 国庆将至，@四川消防 蜀黍们将以决战决胜的姿态，护航人民生命财产安全，为祖国母亲献礼。祝福祖国永远繁荣昌盛、平安祥和。消防蜀黍提醒：欢度佳节勿忘消防安全。 L内江市公安消防支队的秒拍视频 ​​​ ​​​​                                            ", 9月30日 17:00,5,6,9,iPhone 6 Plus,FodEFrYXH
11,"
                                                                                                    #四川青川5.4级地震# 因受地震影响，省内部份列车出现晚点，多地车站民警开展站车秩序维护！请大家听从民警安排，耐心等候列车恢复正常通行！                                            ", 9月30日 16:19,14,4,6,iPhone,Fodo2sj70
12,"
                                                                                                     @四川交警 权威发布青川5.4级地震和实时路况！#四川青川5.4级地震#                                            ", 9月30日 15:50,8,2,13,iPhone,FodcoxpTK
13,"
                                                                                                    辛苦了！#平安航展有我守卫# #游在四川，全域平安#                                             ", 9月30日 15:43,2,评论,7,iPhone,Fod9yc2dK
14,"
                                                                                                    #地震快讯# 据中国地震台网正式测定，9月30日14时14分在四川广元市青川县发生5.4级地震，震源深度13千米，震中位于北纬32.27度，东经105.00度。青川的朋友你们都好吧？ ​​​​                                            ", 9月30日 14:31,8,27,19,iPhone,FocGokYNE
15,"
                                                                                                    #地震快讯#据中国地震台网自动测定：09月30日14时14分在四川绵阳市江油市附近（北纬32.25度，东经105.07度）发生5.4级左右地震，最终结果以正式速报为准。 ​​​​                                            ", 9月30日 14:21,15,28,22,iPhone,FocBZmr3C
16,"
                                                                                                    #地震预警# 据@成都高新减灾研究所 ：成都提前48秒收到14:14 四川青川 5.1级左右地震的预警信息，预估烈度1.9度。最终地震参数以7-10分钟后中国地震台网发布的正式数据为准。用户可下载“地震预警”(ICL)手机软件接收地震预警。 ​​​​                                            ", 9月30日 14:15,5,19,14,地震预警,Foczy4egR
17,"
                                                                                                    ”大宝剑”，好帅的样子                                            ", 9月30日 13:12,6,6,42,iPhone 6 Plus,Focah2Tu3
18,"
                                                                                                    一段视频解开警娃们的迷之困惑。#迎接十九大忠诚保平安#                                             ", 9月30日 12:36,5,评论,14,iPhone 6 Plus,FobVF6vuX
19,"
                                                                                                    转发致敬！                                            ", 9月30日 12:26,6,3,94,iPhone 6 Plus,FobRl2lck
20,"
                                                                                                    为辅警兄弟点赞！#四川公安，在你身边#                                             ", 9月30日 10:42,9,3,21,iPhone,FobbrlXok
21,"
                                                                                                    【#烈士纪念日#向公安英烈致敬！】新中国成立以来，四川省共有1090名民警英勇牺牲，其中因公牺牲653人、被批准为烈士437人、700余名民警因公致残、8200余名民警光荣负伤。他们用鲜血和生命书写了对党、国家和人民的忠诚。金色盾牌热血铸就，烈士精神照耀神州！ ​​​​                                            ", 9月30日 09:53,49,10,43,iPhone,FoaRedGIE
22,"
                                                                                                    头条文章：成都特警的一天 °成都特警的一天 ​​​​                                            ", 9月30日 09:46,1,5,34,iPhone 6s,FoaOkv3T0
23,"
                                                                                                    【转发，铭记“血染的黎明”】自革命战争年代以来，2000多万烈士为国捐躯。而最让人叹惋的，是那些倒在黎明之前的英雄。尊崇英烈的民族，才是有血性、有希望的民族。以鲜血染红旗帜、以生命点亮共和国黎明的人，值得我们永远铭记。O网页链接  L公安部打四黑除四害的秒拍视频 ​​​ ​​​​                                            ", 9月30日 08:54,7,1,18,iPhone 6 Plus,FoatAvRRl
24,"
                                                                                                    金色盾牌热血铸就！                                            ", 9月30日 08:54,9,1,575,iPhone 6 Plus,Foats1Jxl
25,"
                                                                                                    #平安航展有我守卫#                                             ", 9月30日 08:42,3,评论,4,iPhone,FoaoE9NYj
26,"
                                                                                                    蜀黍：我能怎么办，我也很无奈啊。                                            ", 9月30日 07:48,4,6,21,iPhone 6 Plus,Foa2NkA00
27,"
                                                                                                    航展实时路况#平安航展有我守卫#                                             ", 9月29日 17:42,8,1,3,iPhone,Fo4vbauIW
28,"
                                                                                                    #平安航展有我守卫# 德阳公安四大神器，专治无人机扰飞！有人需要技术支持吗？ ​​​​                                            ", 9月29日 17:22,29,20,65,iPhone,Fo4mWykyD
29,"
                                                                                                    【德阳航展，除了飞机还火了一枚警察蜀黍】29日，2017四川国际航空航天展览会开幕式上，除了各式各样的飞机吸引眼球外，现场负责安保的特警蜀黍也成为人们合影的目标！其中，德阳市公安局特警支队特战大队尖刀中队民警马俊文，成为最受欢迎的对象！#平安航展有我守卫##迎接十九大忠诚保平安# ​​​​                                            ", 9月29日 12:17,26,23,63,iPhone,Fo2nmenfK
30,"
                                                                                                    来，警察蜀黍带你看灰机～#平安航展有我守卫#（来自L一直播:四川公安正在直播）APP下载地址：O网页链接  2德阳 ​​​​                                            ", 9月29日 10:51,6,24,12,一直播,Fo1Op6fb8
