序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    砥砺奋进的五年！//@健康中国:一起去看“砥砺奋进的五年”大型成就展~                                            ", 9月29日 10:09,转发,评论,182,iPhone 6,Fo1xx2Qha
2,"
                                                                                                    可防不可治！科学预防狂犬病实用指南                                            ", 9月28日 16:00,1,评论,6,360安全浏览器,FnUpslHzj
3,"
                                                                                                    满满的正能量//@健康成都官微: 正能量！！！市五医院的“白衣天使”@成都服务 @成都发布                                            ", 9月28日 16:00,转发,评论,18,360安全浏览器,FnUpiAQWR
4,"
                                                                                                    市州丨肩关节脱位？不怕，中医治骨伤有“绝技”！ ​​​​                                            ", 9月28日 14:42,1,评论,赞,360安全浏览器,FnTTDAsgh
5,"
                                                                                                    关注丨 成都发放“民生大礼包”，快来看看哪些与你有关？ ​​​​                                            ", 9月28日 10:59,1,评论,赞,360安全浏览器,FnSrdyMLa
6,"
                                                                                                    转给你关心的TA！                                            ", 9月28日 10:33,1,评论,1276,360安全浏览器,FnSgp4J5o
7,"
                                                                                                    狂犬病的真相：这些问题 你还要误解多久                                            ", 9月28日 09:47,1,评论,607,360安全浏览器,FnRXQqMbB
8,"
                                                                                                    关注丨颁奖啦！四川省卫生应急技能竞赛总决赛落下帷幕，快来看看花落谁家！ ​​​​                                            ", 9月28日 09:00,转发,评论,赞,360安全浏览器,FnREEdlOo
9,"
                                                                                                    春捂秋冻哦！                                            ", 9月27日 17:21,转发,评论,7,360安全浏览器,FnLvFtonx
10,"
                                                                                                    健康丨立秋后，千万不要盲目进补，这些养生误区知多少？ ​​​​                                            ", 9月27日 17:18,转发,评论,赞,360安全浏览器,FnLuqARKt
11,"
                                                                                                    88%三级定点医院入网跨省异地就医直接结算                                            ", 9月27日 15:16,2,评论,3,360安全浏览器,FnKGYiQ77
12,"
                                                                                                    送给爱跑步的你哦！//@全国卫生12320: 送给爱跑步的亲们点进来看看吧                                            ", 9月27日 15:16,转发,评论,1279,360安全浏览器,FnKGS69lb
13,"
                                                                                                    提醒丨碰到这些注射液要立即停用！已销往20余省份 ​​​​                                            ", 9月27日 15:15,转发,评论,赞,360安全浏览器,FnKGG2CQh
14,"
                                                                                                    最全“坚果食用量表”，终于知道一天吃几颗最健康了！                                            ", 9月27日 08:55,转发,评论,7,360安全浏览器,FnIc8p7g0
15,"
                                                                                                    焦点丨 四川持续“厕所革命” 4年内共新建和改建厕所19307座！ ​​​​                                            ", 9月27日 08:54,转发,评论,赞,360安全浏览器,FnIbQkXDp
16,"
                                                                                                    医者仁心                                            ", 9月26日 15:16,1,评论,5,iPhone 6,FnBgDdUhn
17,"
                                                                                                    守护健康                                            ", 9月26日 15:16,1,评论,4,iPhone 6,FnBgu3bTy
18,"
                                                                                                    不要再剪错了！                                            ", 9月26日 11:49,1,评论,165,iPhone 6,FnzUncxAh
19,"
                                                                                                    来给自己定制运动处方                                            ", 9月26日 09:52,1,评论,10,iPhone 6,Fnz9a57qG
20,"
                                                                                                    来看看！                                            ", 9月26日 09:52,1,评论,5,iPhone 6,Fnz923F8h
21,"
                                                                                                    科学避孕                                            ", 9月26日 09:52,转发,评论,2,iPhone 6,Fnz8VfKHO
22,"
                                                                                                    第二天的比赛 ​​​​                                            ", 9月26日 09:28,转发,评论,赞,iPhone 6,FnyZq5yyp
23,"
                                                                                                    荐读丨早睡早起，是性价比最高的自律 ​​​​                                            ", 9月25日 17:08,转发,评论,1,360安全浏览器,FnszftAwH
24,"
                                                                                                    感动丨 怒放的生命！肿瘤患者变身模特儿T台惊艳走秀 ​​​​                                            ", 9月25日 17:07,转发,评论,1,360安全浏览器,Fnsz58pAA
25,"
                                                                                                    2017年四川省大型医院领导干部媒介素养培训班今日开课，9月25日上午，由四川省卫生和计划生育委员会主办，四川省医学科学院•四川省人民医院和新华通讯社新闻信息中心四川分中心联合承办的2017年四川省大型医院领导干部媒介素养培训班在国家检察官学院四川分院正式开课。下午，正在进行新闻发布情景模 ​​​​...展开全文c                                            ", 9月25日 15:03,转发,评论,赞,专业版微博,FnrKyEVEr
26,"
                                                                                                    值得一看//@健康成都官微: 民以食为天，食以安为先                                            ", 9月25日 14:19,转发,评论,9,360安全浏览器,FnrsRsA7A
27,"
                                                                                                    医者仁心！//@四川大学华西医院: 成都国际马拉松赛结束后，我们的麻醉护士白雪娇在摆渡车上紧急救护一名心脏骤停的中年男性，临危不乱，棒棒哒！                                            ", 9月25日 14:19,转发,评论,31,360安全浏览器,FnrsJvLdL
28,"
                                                                                                    健康科普专家说丨失恋了走不出来？因为你少了这本“治愈宝典“！ ​​​​                                            ", 9月25日 14:18,转发,评论,1,专业版微博,Fnrsgykb1
29,"
                                                                                                                                                ", 9月25日 11:38,转发,评论,赞,360安全浏览器,FnqpsaHfw
30,"
                                                                                                    干燥季节多喝水，少喝饮料                                            ", 9月25日 09:06,转发,评论,7,360安全浏览器,FnppEfaiS
31,"
                                                                                                    2017年四川省卫生应急技能竞赛即将开始！@四川发布 ​​​​                                            ", 9月25日 08:48,转发,2,1,360安全浏览器,Fnpir7I4d
32,"
                                                                                                    聚焦丨急救尖兵集体出动！谁能成为四川卫生应急“王中王”？ ​​​​                                            ", 9月25日 08:46,转发,评论,赞,360安全浏览器,FnphMmqkd
33,"
                                                                                                    提醒丨 1岁女童突然窒息，护士抱起就狂奔！最后孩子哭了，她也哭了 ​​​​                                            ", 9月22日 16:18,转发,评论,赞,专业版微博,FmZXFb5yy
34,"
                                                                                                    熬夜党注意！别再不拿身体当回事！                                            ", 9月22日 14:51,转发,评论,120,360安全浏览器,FmZoi0cIB
35,"
                                                                                                    一磅脂肪意味着什么                                            ", 9月22日 14:51,转发,评论,11,360安全浏览器,FmZodg7M0
36,"
                                                                                                    这是一件“咳”不容缓的小事！教你止咳绝招                                            ", 9月22日 14:50,转发,评论,10,360安全浏览器,FmZo247c1
37,"
                                                                                                    市州丨看稀有血型“熊猫人”如何抱团取暖! ​​​​                                            ", 9月22日 14:27,转发,评论,1,360安全浏览器,FmZeAqcP1
38,"
                                                                                                    关注丨传道授业 这位中科院院士在成都成立工作站！ ​​​​                                            ", 9月22日 11:16,1,评论,赞,360安全浏览器,FmXZf9UuC
39,"
                                                                                                    医疗科普~                                            ", 9月22日 08:55,转发,评论,7,360安全浏览器,FmX3Wadjy
40,"
                                                                                                    戳图了解，哪些属于医疗废物                                            ", 9月22日 08:54,转发,评论,16,360安全浏览器,FmX3C2a1w
41,"
                                                                                                    聚焦丨事关你的人生大事！三部门携手保障青年健康婚育 ​​​​                                            ", 9月22日 08:54,转发,评论,赞,专业版微博,FmX3um1Ot
42,"
                                                                                                    市州丨小儿推拿的妙用！宝宝生病不一定靠打针！ ​​​​                                            ", 9月21日 14:24,转发,评论,2,360安全浏览器,FmPMNri2g
43,"
                                                                                                                                                ", 9月21日 11:25,转发,1,4,360安全浏览器,FmOCd7H2g
44,"
                                                                                                    了解乙肝，科学预防！//@全国卫生12320: 了解乙肝，科学预防                                            ", 9月21日 11:24,转发,评论,18,360安全浏览器,FmOC093Te
45,"
                                                                                                    关注丨吉尔吉斯共和国代表团来蓉，只为这件事！ ​​​​                                            ", 9月21日 11:24,转发,评论,赞,360安全浏览器,FmOBGjHB1
46,"
                                                                                                    生活垃圾怎么扔？速转最全垃圾分类指南                                            ", 9月21日 08:42,转发,评论,8,360安全浏览器,FmNxWyiwP
47,"
                                                                                                    聚焦丨省卫生计生委召开全省秋冬季传染病防控工作视频会议 ​​​​                                            ", 9月21日 08:41,转发,评论,赞,360安全浏览器,FmNxLEb7V
48,"
                                                                                                    市州丨中医+养老 看内江如何打造中医强市！ ​​​​                                            ", 9月20日 15:13,转发,1,赞,360安全浏览器,FmGGltqDc
49,"
                                                                                                    医者仁心！                                            ", 9月20日 14:27,转发,评论,21,360安全浏览器,FmGnK9Tce
50,"
                                                                                                    清新养肺 冰糖炖雪梨                                            ", 9月20日 14:25,转发,评论,6,360安全浏览器,FmGmICSX0
51,"
                                                                                                    关注丨国家职业资格目录清单公布 关于医疗卫生职业资格，这些证还可以考！ ​​​​                                            ", 9月20日 14:23,转发,评论,赞,360安全浏览器,FmGm2CrRw
52,"
                                                                                                    今天爱牙日，转存刷牙攻略                                            ", 9月20日 09:53,转发,评论,9,360安全浏览器,FmEAnlA6A
53,"
                                                                                                    对牙齿不好的八件事，你知道吗？                                            ", 9月20日 08:44,转发,评论,7,360安全浏览器,FmE8f75Sg
54,"
                                                                                                    聚焦丨完善多层次多样化医疗服务，四川在这个领域将为民营资本“开绿灯”@四川发布 ​​​​                                            ", 9月20日 08:43,1,评论,赞,360安全浏览器,FmE82mS4R
55,"
                                                                                                    9月20日是第29个全国“爱牙日”，保护牙齿，从小做起。                                            ", 9月19日 16:35,转发,1,22,360安全浏览器,FmxN02UWQ
56,"
                                                                                                    市州丨分娩镇痛只能忍？看这家医院如何实现全程镇痛！ ​​​​                                            ", 9月19日 16:15,转发,评论,赞,专业版微博,FmxET9Zem
57,"
                                                                                                    白薯中胡萝卜素含量较高                                            ", 9月19日 15:00,转发,评论,6,360安全浏览器,FmxatiZ2L
58,"
                                                                                                    【最新公布！6976家定点医疗机构接入国家异地就医结算系统】                                            ", 9月19日 15:00,转发,评论,4,360安全浏览器,FmxaozGnE
59,"
                                                                                                    //@健康成都官微: @成都服务 @微成都 @成都发布                                            ", 9月19日 14:59,转发,评论,19,360安全浏览器,Fmxahbu1C
60,"
                                                                                                    聚焦丨创业者角逐基因检测 四川精准医学“弯道超车” ​​​​                                            ", 9月19日 14:21,转发,评论,赞,专业版微博,FmwUI7aco
61,"
                                                                                                    别以为立秋就没有蚊子了~~寨卡病毒病依然在您身边                                            ", 9月19日 08:54,转发,评论,9,360安全浏览器,FmuM342UJ
62,"
                                                                                                    还在喊你们娃儿吃打虫药？我看你这个妈老汉儿可以下！课！了！                                            ", 9月19日 08:54,转发,评论,93,360安全浏览器,FmuLV4ZVH
63,"
                                                                                                    现场丨听“李贝贝”妙语连珠摆健康龙门阵！《李伯清话健康》开录啦！ ​​​​                                            ", 9月19日 08:53,转发,11,1,360安全浏览器,FmuLFFggL
64,"
                                                                                                    9月底异地就医直接结算 这些重点得知道，和你有关！                                            ", 9月18日 17:12,转发,评论,6,360安全浏览器,FmoBK9EWw
65,"
                                                                                                    异地就医结算 三步走！                                            ", 9月18日 17:12,转发,评论,6,360安全浏览器,FmoBD7AaX
66,"
                                                                                                    市州丨隆昌市助贫困户实现“微心愿”，幸福看得见 ​​​​                                            ", 9月18日 17:11,转发,评论,赞,360安全浏览器,FmoBd68uz
67,"
                                                                                                    健康科普专家说丨“铲屎官”想怀宝宝，“喵星人”咋办？华西专家来答疑 ​​​​                                            ", 9月18日 14:33,转发,评论,赞,专业版微博,Fmnz1q8Hc
68,"
                                                                                                    聚焦丨四大发言人齐聚津门，四川介绍九寨沟地震应急宣传 ​​​​                                            ", 9月18日 14:32,转发,评论,赞,专业版微博,FmnyKypWm
69,"
                                                                                                                                                ", 9月18日 14:31,转发,1,2,360安全浏览器,FmnylqyK7
70,"
                                                                                                    关于肩部肌肉受伤那些事，你应该知道！                                            ", 9月18日 11:24,转发,评论,8,iPhone 6,FmmksBBU3
71,"
                                                                                                    吾辈自强！//@健康中国:#牢记九一八# ​​​​硝烟远去，国殇难忘，勿忘国耻，吾辈自强！                                            ", 9月18日 11:24,1,评论,8177,iPhone 6,FmmklekKG
72,"
                                                                                                    【国家职业资格目录公布】                                            ", 9月18日 11:24,1,评论,12,iPhone 6,Fmmkfjm0F
73,"
                                                                                                    李贝贝话健康开始录制 ​​​​                                            ", 9月18日 10:53,转发,评论,赞,iPhone 6,Fmm7Kv73G
74,"
                                                                                                    《李伯清话健康》即将开播！来听“李贝贝”给你讲健康知识啦！ L四川卫生计生的微博视频 ​​​​                                            ", 9月17日 12:53,1,评论,赞,iPad mini,Fmdu6rGfF
75,"
                                                                                                    荐读丨国庆就去这里了！2017中国美丽休闲乡村公示：四川6村入围 ​​​​                                            ", 9月15日 16:58,转发,评论,赞,专业版微博,FlWetvxGW
76,"
                                                                                                    健康丨18个科室医生的联合忠告，每个人最好都看看！ ​​​​                                            ", 9月15日 16:58,1,评论,赞,专业版微博,FlWek2G4A
77,"
                                                                                                    人生若只如初见，何处去寻发际线？                                            ", 9月15日 14:32,转发,评论,19,360安全浏览器,FlVhf8PrY
78,"
                                                                                                    市州丨广安市健康扶贫在行动，中医药人才培训热火朝天！ ​​​​                                            ", 9月15日 14:27,转发,评论,赞,360安全浏览器,FlVf7DT4n
79,"
                                                                                                    【别再瞎劝酒！关于喝酒，这些你一定要知道】                                            ", 9月15日 14:27,转发,评论,7,360安全浏览器,FlVeZm5jb
80,"
                                                                                                    溺水不到十分钟就会死亡！三分钟告诉你正确的救助方式                                            ", 9月15日 10:36,转发,评论,11,360安全浏览器,FlTJvh4Ep
81,"
                                                                                                    如何正确戴眼镜，防止眼球变形                                            ", 9月15日 10:36,转发,评论,6,360安全浏览器,FlTJpD0Di
82,"
                                                                                                    带牙齿矫正器的正确刷牙方法                                            ", 9月15日 10:36,转发,评论,7,360安全浏览器,FlTJkiU5e
83,"
                                                                                                    聚焦丨鼓励与绩效相结合 国家卫生计生委大力推进医疗机构临床路径管理！ ​​​​                                            ", 9月15日 09:10,转发,评论,1,专业版微博,FlTaw2WKl
84,"
                                                                                                    这位网友的9天经历，你还敢熬夜吗？ ​​​​                                            ", 9月14日 17:57,转发,评论,赞,360安全浏览器,FlNbZAY5e
85,"
                                                                                                    悲剧事件让我们思考：多模式分娩镇痛于分娩文化 ​​​​                                            ", 9月14日 17:57,转发,评论,赞,360安全浏览器,FlNbOpKXD
86,"
                                                                                                    市州丨推进卫生计生信息化建设，南充仪陇有成效！ ​​​​                                            ", 9月14日 14:15,1,评论,赞,专业版微博,FlLJPe47X
87,"
                                                                                                    274种中草药材，你认识几个？//@健康成都官微: 274种中草药材，你认识几个？                                            ", 9月14日 11:10,转发,评论,5034,360安全浏览器,FlKwDgNu4
88,"
                                                                                                    //@健康中国: 期待国内版微博APP成功戒烟                                            ", 9月14日 11:10,转发,评论,赞,360安全浏览器,FlKwuEZ3S
89,"
                                                                                                    一张红黑榜，拯救被“慢性咽炎”折磨的你                                            ", 9月14日 09:00,转发,评论,8,360安全浏览器,FlJFJ0jnF
90,"
                                                                                                    最困难的时刻，也许就是成功的拐点                                            ", 9月14日 08:59,转发,评论,11,360安全浏览器,FlJFl1LFp
91,"
                                                                                                    现场丨服务百姓健康，我们相约汶川！@四川发布 ​​​​                                            ", 9月14日 08:58,转发,评论,赞,360安全浏览器,FlJF8mm4U
92,"
                                                                                                    健康丨现在你的姿势让腰椎承受多少斤？一张图表告诉你 ​​​​                                            ", 9月13日 16:46,1,1,2,360安全浏览器,FlDimqNCU
93,"
                                                                                                    四位诺奖得主聚首成都 共论世界医学前沿科技                                            ", 9月13日 16:13,转发,1,10,360安全浏览器,FlD50rpTH
94,"
                                                                                                    市州丨乐山市沙湾区开展家庭医生签约服务，倾情呵护人民健康 ​​​​                                            ", 9月13日 16:12,转发,评论,2,专业版微博,FlD4OCSvv
95,"
                                                                                                    吸烟不酷，无烟才酷！                                            ", 9月13日 14:37,转发,评论,358,360安全浏览器,FlCslq4kb
96,"
                                                                                                    关注丨砥砺奋进的五年：医疗资源合纵连横 看病实惠方便 ​​​​                                            ", 9月13日 14:37,转发,评论,赞,专业版微博,FlCs9mbNU
97,"
                                                                                                    肠易激综合征 VS 炎症性肠病，一图读懂两者之间的区别                                            ", 9月13日 11:07,2,1,11,360安全浏览器,FlB4VlpWb
98,"
                                                                                                    聚焦丨全民同心 让爱无缺！我省开展“中国预防出生缺陷日”主题宣传活动 ​​​​                                            ", 9月13日 11:06,转发,评论,赞,专业版微博,FlB4I3XzT
99,"
                                                                                                    拥有健康的生活态度，是身体健康的基础                                            ", 9月13日 08:58,转发,评论,14,360安全浏览器,FlAeuBcG1
100,"
                                                                                                    【图解政策】一图读懂“十三五”国家食品药品安全规划之一—综述 ​​​​                                            ", 9月13日 08:57,转发,评论,3,360安全浏览器,FlAekg9Ms
101,"
                                                                                                    投票丨 中国好医生、中国好护士9月点赞评议开始啦 快来为你身边的医护人员点赞吧！ ​​​​                                            ", 9月13日 08:55,1,1,赞,专业版微博,FlAdqoMld
102,"
                                                                                                    为了健康转发起来！                                            ", 9月12日 15:44,转发,评论,7,360安全浏览器,FltsPmsOJ
103,"
                                                                                                    健康丨不要忽视！这8个身体器官的求救信号，一定要看 ​​​​                                            ", 9月12日 15:43,转发,评论,1,360安全浏览器,FltsCokAU
104,"
                                                                                                    秋季多吃酸枣                                            ", 9月12日 14:14,转发,评论,5,360安全浏览器,FlsS9xz7X
105,"
                                                                                                    市州丨95岁退休老教师的“中医情书” ​​​​                                            ", 9月12日 14:13,转发,评论,赞,专业版微博,FlsRWgaWW
106,"
                                                                                                    点赞丨“四川经验”亮相流动人口国际论坛 ​​​​                                            ", 9月12日 14:13,转发,评论,赞,专业版微博,FlsRMaEPu
107,"
                                                                                                    最影响颜值的脱发和发际线问题，华西专家说可以这样挽救！                                            ", 9月12日 08:46,转发,评论,70,360安全浏览器,FlqJd7vH0
108,"
                                                                                                    关注丨深化“放管服”，四川医疗机构和医师证照“多证合一”！ ​​​​                                            ", 9月12日 08:46,转发,评论,赞,专业版微博,FlqJ5afq2
109,"
                                                                                                    反式脂肪酸主要存在于以下食物中                                            ", 9月11日 14:41,转发,评论,3,360安全浏览器,FljCSy9Qo
110,"
                                                                                                    新农合省内异地就医直接结算覆盖9省 惠及1.5亿人                                            ", 9月11日 14:41,转发,评论,26,360安全浏览器,FljCLthon
