序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #四川青川5.4级地震# 9月30日21时40分，大雨。由雷建成副局长带队的现场工作队到达震中附近的石坝乡，与省政府副秘书长严卫东带队的工作组和广元市党政主要负责人交换意见，通报省地震局研判意见，汇报下一步震情监测，烈度调查，灾害评估，科普宣传等工作。（此时雨已经很大了，我们将继续冒雨挺进震 ​​​​...展开全文c                                            ", 9月30日 22:08,6,22,58,Android,FofFP3bxB
2,"
                                                                                                    #四川青川5.4级地震# 我们还在继续赶路，目前离震中还有十几公里。@中国地震台网速报   @震长   @中国国际救援队   感谢@四川公安   @四川高速  的协助 ​​​​                                            ", 9月30日 20:14,6,33,131,Android,FoeVgoCmd
3,"
                                                                                                    #四川青川5.4级地震# 余震分布图和震源机制解。@中国地震台网速报   @震长  @中国国际救援队  @四川公安 ​​​​                                            ", 9月30日 20:01,2,5,30,Android,FoeQeDHZk
4,"
                                                                                                    #四川青川5.4级地震# 四川局副局长雷建成与地震应急保障中心工作人员在路边紧急讨论此次地震相关工作安排。（我们正在赶往震中的路上）@震长  @中国地震台网速报   @中国国际救援队 ​​​​                                            ", 9月30日 19:58,转发,1,32,Android,FoeP7uKul
5,"
                                                                                                    中国地震局和四川省委省政府高度重视青川5.4级地震抗震救灾工作青川5.4级地震发生后，中国地震局高度重视，通过应急指挥系统，与四川省地震局、广元市防震减灾局视频连线，听取了此次地震有关情况汇报，指导做好抗震救灾工作。四川省委省政府领导就做好此次青川5.4级地震做出明确指示，省委常委、常务 ​​​​...展开全文c                                            ", 9月30日 19:04,4,6,40,专业版微博,Foet3pRA5
6,"
                                                                                                    #四川青川5.4级地震#四川省地震局积极应对处置青川5.4级地震据中国地震台网测定：2017年9月30日14时14分，在四川省广元市青川县（北纬32.27度，东经105.00度）发生5.4级地震，震源深度13公里。广元市青川县、绵阳市江油市等地震震感强烈，绵阳市、成都市震感较强。　　本次地震震中距青川县城42公里 ​​​​...展开全文c                                            ", 9月30日 19:01,3,9,30,专业版微博,FoerHb2DQ
7,"
                                                                                                    转发微博                                            ", 9月30日 18:54,2,评论,790,Android,FoeoXwLlY
8,"
                                                                                                    学习一下！                                            ", 9月30日 18:53,2,2,651,360安全浏览器,Foeosebnk
9,"
                                                                                                    #四川青川5.4级地震#地震安全小常识 L四川省地震局的秒拍视频 ​​​​                                            ", 9月30日 18:51,5,3,18,秒拍网页版,FoenHxi2N
10,"
                                                                                                                                                ", 9月30日 18:28,2,2,327,Android,Foeeve6Px
11,"
                                                                                                    #四川青川5.4级地震# 适逢双节，大家也get点公共场所避震知识@中国地震台网速报   @震长  @中国国际救援队   @四川公安 ​​​ ​​​​                                            ", 9月30日 18:14,转发,1,24,Android,Foe8xz8S5
12,"
                                                                                                    #四川青川5.4级地震# 适逢双节，大家get点户外避震知识@中国地震台网速报   @震长  @中国国际救援队   @四川公安 ​​​​                                            ", 9月30日 17:56,3,4,19,Android,Foe1j2HBb
13,"
                                                                                                    转发微博                                            ", 9月30日 17:46,转发,2,327,Android,FodXhm18M
14,"
                                                                                                    #四川青川5.4级地震#地震造成青川县部分乡镇房屋损坏 经电话向广元市青川县了解：地震造成震中马公乡个别房屋掉瓦、玻璃震裂、有滚石掉落；枫顺乡有个别房屋出现裂缝、掉瓦，烟囱倒塌等情况；房石镇震感强烈、有个别房屋掉瓦；六合乡通信中断，个别房屋出现裂缝，存在落石砸坏车辆。据绵阳市防震减灾 ​​​​...展开全文c                                            ", 9月30日 17:14,24,36,49,专业版微博,FodKrgAw3
15,"
                                                                                                    这会儿在路上，来不及一一回复网友问题，请谅解。欢迎大家持续关注我们微博，我们会第一时间更新#四川青川5.4级地震# 最新信息 ​​​​                                            ", 9月30日 17:13,转发,10,67,Android,FodK85wjL
