序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                                                                ", 9月30日 21:34,转发,1,41,360安全浏览器,FofrVobcq
2,"
                                                                                                    #四川省主要城市48小时天气预报# ​​​​                                            ", 9月30日 17:17,转发,评论,3,微博 weibo.com,FodLFcEWh
3,"
                                                                                                    #四川省晚间天气预报# 未来24小时：广元、巴中、达州、南充、广安5市有小雨，部分地方有中到大雨，局部地方有暴雨，盆地其余地方以多云间阴天的天气为主，有分散的阵雨或小雨；川西高原和攀西地区多云间阴天，有阵雨或雷雨.... （详细预报戳↓图） ​​​​                                            ", 9月30日 17:14,2,1,2,微博 weibo.com,FodKsrv53
4,"
                                                                                                    四川气象头条号首次上问答～来戳链接，国庆+中秋四川天气早知道！出行不担心，四川气象为你答疑解惑～O网页链接 ​​​​                                            ", 9月30日 16:00,转发,评论,1,微博 weibo.com,Fodg8dTgN
5,"
                                                                                                    多趟列车被紧急扣留....                                            ", 9月30日 14:50,转发,4,30,微博搜索,FocO3uBlZ
6,"
                                                                                                    早就告诉大家了在四川睡觉不能裸睡....                                             ", 9月30日 14:49,1,6,1135,微博 weibo.com,FocNjEHAL
7,"
                                                                                                    #14时气温实况# 还没有从刚才地震的惊吓中回过神来.... ​​​​                                            ", 9月30日 14:30,2,8,10,微博 weibo.com,FocFQlf8K
8,"
                                                                                                    川川吓得不行了.... 你们呢？                                            ", 9月30日 14:22,6,38,26327,微博 weibo.com,FocCngptW
9,"
                                                                                                    #四川省早间天气预报#今天白天到晚上：广元、巴中、达州、南充、广安5市有小雨，部分地方有中到大雨，局部地方有暴雨，盆地其余地方以多云间阴天的天气为主，有分散的阵雨或小雨；川西高原和攀西地区多云间阴天，有阵雨或雷雨，其中川西高原北部的局部地方有中雨。24小时内，最高气温：22~26℃；最低气 ​​​​...展开全文c                                            ", 9月30日 08:46,1,评论,4,360安全浏览器,Foaqevtzv
10,"
                                                                                                    #08时气温实况# 温馨提醒：假期将至聚会多，请注意饮食健康，营养均衡，少吃寒凉食物，不要过度饮酒~~ ​​​​                                            ", 9月30日 08:25,转发,评论,2,360安全浏览器,FoahLqUOo
11,"
                                                                                                    转发微博                                            ", 9月29日 22:09,转发,评论,1241,360安全浏览器,Fo6fD5Swd
12,"
                                                                                                                                                ", 9月29日 21:08,1,评论,5134,360安全浏览器,Fo5QH9yUv
13,"
                                                                                                    四川国庆假期无大范围降水 攀西川西雨势较强 - 四川国庆假期无大范围降水 攀西川西雨势较强 °四川国庆假期无大范围降水 攀西川西雨势较强 ​​​​                                            ", 9月29日 17:08,3,1,2,bShare分享,Fo4hz1cVT
14,"
                                                                                                    #四川省主要城市48小时天气预报# ​​​​                                            ", 9月29日 16:16,3,2,1,微博 weibo.com,Fo3Ww47Rj
15,"
                                                                                                    #四川省晚间天气预报# 未来24小时：盆地各市多云间阴有分散的阵雨或小雨，达州、广安、泸州3市局部有中雨；川西高原和攀西地区阴天间多云有阵雨或雷雨，攀西地区局部地方有中雨.... （详细预报戳↓图） ​​​​                                            ", 9月29日 16:15,3,1,赞,微博 weibo.com,Fo3W6nVl9
16,"
                                                                                                    #重要天气消息# 四川气象发布了头条文章：《国庆中秋假期专题天气预报》  °国庆中秋假期专题天气预报 ​​​​                                            ", 9月29日 15:38,7,1,1,微博 weibo.com,Fo3H5g4yD
17,"
                                                                                                    #14时气温实况# 小攀攀一枝独秀.... ​​​​                                            ", 9月29日 14:26,1,4,1,微博 weibo.com,Fo3dMlydX
18,"
                                                                                                    首届“公众最喜爱的气象节目评选”正式启动啦！请大家支持06号四川气象节目和06号气象节目主播刘建国！ O活动介绍 ​​​​                                            ", 9月29日 10:48,转发,评论,1,微博 weibo.com,Fo1N0dpOe
19,"
                                                                                                    世界上最好的运动，是走路！                                            ", 9月29日 10:27,1,评论,9,微博 weibo.com,Fo1EJshbJ
20,"
                                                                                                    欢迎大家踊跃投票。请大家支持06号四川气象！                                            ", 9月29日 10:14,5,1,9,微博搜索,Fo1zx94fP
21,"
                                                                                                    #国庆旅游天气# 国庆假期旅游天气前瞻....                                            ", 9月29日 10:08,1,评论,10,微博 weibo.com,Fo1wScW7R
22,"
                                                                                                    涨知识了....                                            ", 9月29日 09:44,2,评论,70,微博 weibo.com,Fo1n0zrNF
23,"
                                                                                                    #四川省上午天气预报#今天白天到晚上盆地大部分地方以多云间阴天的天气为主，有阵雨或零星小雨，其中广安及达州南部、泸州的部分地方有中雨；川西高原和攀西地区多云间阴天，有阵雨或雷雨，其中攀西地区的局部有中雨。24小时内，最高气温：22~25℃；最低气温：18~21℃。 ​​​​                                            ", 9月29日 08:18,2,7,2,360安全浏览器,Fo0Okyvtq
24,"
                                                                                                    #08时气温实况# 好消息：兰渝铁路今日开通运营，成都至兰州的铁路旅行时间为12小时，比过去压缩了9.5小时。 ​​​​                                            ", 9月29日 08:17,转发,评论,3,360安全浏览器,Fo0NYECjJ
25,"
                                                                                                                                                ", 9月28日 21:45,1,评论,1,360安全浏览器,FnWFlAUv0
26,"
                                                                                                    学习了，原来洗了几十年的错头                                            ", 9月28日 21:23,转发,评论,18,360安全浏览器,FnWwqcPSO
27,"
                                                                                                    【看天摄影小技巧】休闲放松的假日里，拍照绝对少不了的，但拍照是要看天来的，这些拍照的小技巧，你知道吗，戳下图。教您一招。 ​​​​                                            ", 9月28日 17:00,转发,评论,2,360安全浏览器,FnUNG4XAe
28,"
                                                                                                    #四川省主要城市未来48小时天气预报# ​​​​                                            ", 9月28日 16:13,1,评论,1,360安全浏览器,FnUutdrf9
29,"
                                                                                                    #四川省晚间天气预报#今天晚上到明天白天：盆地各市阴天有分散阵雨或小雨，川西高原和攀西地区阴天间多云有阵雨或雷雨，川西高原北部和攀西地区南部的局部地方有中雨。24小时内，盆地最低气温：16到19度；最高气温：盆地东北部20到23度，盆地其余地方25到28度...具体的预报内容请戳下图。 ​​​​                                            ", 9月28日 15:24,1,2,赞,360安全浏览器,FnUaKrwlI
30,"
                                                                                                    #14时气温实况#今日阳光又露出了微笑，气温搭着阳光的顺风车，小有爬升，风和日丽，气温舒宜，心情舒畅！ ​​​​                                            ", 9月28日 14:14,转发,评论,赞,360安全浏览器,FnTI8AwIu
31,"
                                                                                                    不听妈妈言，吃亏在眼前。还是仔细听听吧，除非你愿意吃亏。                                            ", 9月28日 09:59,1,评论,152,360安全浏览器,FnS2ZhkYF
32,"
                                                                                                    我四川就占了二个，作为四川人，小编很骄傲！                                            ", 9月28日 09:54,5,3,24,360安全浏览器,FnS0VCdpT
33,"
                                                                                                    如梦如幻，如仙如醉！                                            ", 9月28日 09:50,1,评论,122,360安全浏览器,FnRZkBbPb
34,"
                                                                                                    成都这里还是着夏装呢。                                            ", 9月28日 09:30,2,1,25154,360安全浏览器,FnRQQ5CW2
35,"
                                                                                                    防范于未然。长姿势了。                                            ", 9月28日 09:21,转发,评论,9,360安全浏览器,FnRNuj4TU
36,"
                                                                                                    宛如仙境。                                            ", 9月28日 09:13,转发,评论,8,360安全浏览器,FnRK28G1G
37,"
                                                                                                    #08时气温实况# 气温依然绿蓝相间~ ​​​​                                            ", 9月28日 08:16,2,1,2,专业版微博,FnRn0zfk4
38,"
                                                                                                    #四川省主要城市未来48小时天气预报# ​​​​                                            ", 9月28日 08:04,转发,1,1,专业版微博,FnRhZph2y
39,"
                                                                                                    #四川省早间天气预报# 今天白天到晚上：德阳、绵阳、成都、雅安、眉山5市以阴天间多云为主，局地有阵雨，盆地其余各市阴天有阵雨；川西高原和攀西地区阴天间多云有阵雨或雷雨，其中攀西地区南部有中雨，局部大雨。24小时内，盆地最低气温：16~19℃；最高气温：东北部：21~24℃其余地方26~28℃。 ​​​​                                            ", 9月28日 08:01,转发,评论,4,专业版微博,FnRh2ldAn
40,"
                                                                                                    转发微博                                            ", 9月27日 20:27,转发,评论,1,360安全浏览器,FnMJodjGQ
41,"
                                                                                                    转发微博                                            ", 9月27日 20:24,转发,评论,12,360安全浏览器,FnMHPmjqU
42,"
                                                                                                    转发微博                                            ", 9月27日 20:22,转发,评论,12,360安全浏览器,FnMHmCaNF
43,"
                                                                                                    #四川省下午天气预报#今天晚上到明天白天：盆地各市阴天为主，西部沿山、东北部、南部有分散的阵雨或小雨，川西高原和攀西地区阴天间多云有阵雨或雷雨，其中阿坝州东南部、甘孜州南部局部有中雨，攀西地区有中到大雨，局部暴雨。24小时内，盆地最低气温：北部14~17℃，其余地方17~19℃；最高气温：东北 ​​​​...展开全文c                                            ", 9月27日 17:24,转发,评论,赞,360安全浏览器,FnLwSuXn2
44,"
                                                                                                    四川省气象台9月27日15时30分解除暴雨蓝色预警： 目前，盆地东北部强降雨过程趋于结束，解除9月26日16时00分发布的第（46）期暴雨蓝色预警，但今天晚上，凉山州和攀枝花市局部地方有大雨到暴雨。                                            ", 9月27日 15:37,转发,评论,赞,360安全浏览器,FnKPuEV1s
45,"
                                                                                                    #14时气温实况# 每天都给自己一句鼓励的话，每天都制定一个必须达到的目标，每天减少一些无谓的抱怨，生活就会充实一些，与梦想的距离也就更近一些。 ​​​​                                            ", 9月27日 14:16,1,评论,2,360安全浏览器,FnKiytAzF
46,"
                                                                                                    转发微博                                            ", 9月27日 12:57,转发,评论,1,360安全浏览器,FnJMDBW1G
47,"
                                                                                                    【醉美四川，探寻美丽星空银河】天府之国，永远少不了各式各样的美景。在四川，依然可以看到美丽的银河，璀璨的星空。图集选自四川巴中、雅安、凉山、阿坝各处的银河。（作者：冯禹文）@中国气象局 @中国天气网 ​​​​                                            ", 9月27日 10:47,16,10,12,360安全浏览器,FnIVEzMW5
48,"
                                                                                                    转发微博                                            ", 9月27日 09:47,-1,评论,1,360安全浏览器,FnIxvBmuQ
49,"
                                                                                                    #大风蓝色预警信号#【广元市气象台09月27日09时37分发布大风蓝色预警信号】预计未来24小时利州区、朝天区、昭化区、剑阁县、苍溪县北部、旺苍县北部、青川县东南部可能受大风影响,平均风力可达6级以上或者阵风7级以上。 ​​​​                                            ", 9月27日 09:47,转发,评论,2,360安全浏览器,FnIxspo8a
50,"
                                                                                                    #08时气温实况# 体感依然舒适~ ​​​​                                            ", 9月27日 08:13,转发,2,3,专业版微博,FnHVgEeug
51,"
                                                                                                    #四川省早间天气预报# 今天白天到晚上：盆地大部阴天有阵雨或雷雨，巴中、达州、广安、泸州4市有中雨，其中巴中、达州2市局部地方有大雨到暴雨；川西高原和攀西地区阴天间多云有阵雨或雷雨，其中川西高原中部以及凉山州大部有中雨，局部地方有大雨。24小时内，盆地最低气温：16~19℃；最高气温： 23~26 ​​​​...展开全文c                                            ", 9月27日 08:05,2,1,3,专业版微博,FnHS0dwrE
52,"
                                                                                                    #四川省主要城市未来48小时天气预报# ​​​​                                            ", 9月27日 07:21,转发,1,2,专业版微博,FnHAgpI5o
53,"
                                                                                                                                                ", 9月26日 20:36,转发,评论,39,360安全浏览器,FnDmcbxGD
54,"
                                                                                                    转发微博                                            ", 9月26日 20:32,转发,评论,1,360安全浏览器,FnDkMpgAb
55,"
                                                                                                    转发微博                                            ", 9月26日 20:31,转发,评论,赞,360安全浏览器,FnDkhEJIJ
56,"
                                                                                                    #四川省下午天气预报#今天晚上到27日白天：盆地大部阴天有阵雨或雷雨，巴中、达州、广安、南充、遂宁、资阳6市有中雨，其中巴中、达州、广安、南充4市部分地方有大雨到暴雨，局部地方有大暴雨，盆地北部有4级左右的偏北风，山口河谷地区的风力可达6级或以上；川西高原和攀西地区阴天间多云有阵雨或雷雨 ​​​​...展开全文c                                            ", 9月26日 17:07,2,评论,1,360安全浏览器,FnBZqzwEJ
57,"
                                                                                                    #暴雨蓝色预警#【四川省气象台9月26日16时发布暴雨蓝色预警】9月26日20时～27日20时，达州、广安2市以及巴中、南充2市东部的部分地方有大雨到暴雨（40～80毫米），其中达州北部的局部地方有大暴雨（120～150毫米）；阿坝州北部有中到大雨（15-30毫米）。 ​​​​                                            ", 9月26日 15:39,3,1,赞,360安全浏览器,FnBpJAQen
58,"
                                                                                                    转发微博                                            ", 9月26日 15:22,转发,评论,136,360安全浏览器,FnBj6hlzo
59,"
                                                                                                    #14时气温实况# 目的虽有，却无路可循，我们称之为路的，无非是踌躇。（弗兰兹·卡夫卡） ​​​​                                            ", 9月26日 14:16,2,评论,1,360安全浏览器,FnAS292o8
60,"
                                                                                                                                                ", 9月26日 09:05,1,1,20,360安全浏览器,FnyPXvIsq
61,"
                                                                                                    好厉害！                                            ", 9月26日 09:03,1,评论,61,微博 weibo.com,FnyOVnh4V
62,"
                                                                                                                                                ", 9月26日 08:59,4,评论,695,360安全浏览器,FnyNi5e6B
63,"
                                                                                                    #08时气温实况# 天空依然忧郁~ ​​​​                                            ", 9月26日 08:12,5,4,4,360安全浏览器,Fnyuj7yHQ
64,"
                                                                                                    #四川省早间天气预报# 今天白天到晚上：盆地大部阴天有阵雨或雷雨，其中，巴中、达州、南充、遂宁、广安5市和广元、资阳2市东部有中到大雨，巴中东部、南充北部和达州北部的部分地方有暴雨，局部地方大暴雨；阿坝州大部、甘孜州北部和攀西地区阴天间多云有阵雨或雷雨，其中阿坝州北部、甘孜州西北部有 ​​​​...展开全文c                                            ", 9月26日 08:02,2,评论,1,专业版微博,Fnyqn1fNi
