序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    Everybody！明天就进入豪华长假了，你是怎么安排的呢？休息，旅游，探亲，学习？还是，像小编一样继续工作 ​​​​ 晚安 ​​​​                                            ", 9月30日 22:30,2,5,7,微博 weibo.com,FofOriuFe
2,"
                                                                                                    【暖心60秒！男童卷车底，众人抬车施救】9月28日，湖南洪江一名7岁学生过马路时被车撞倒卷到车下。周围市民冲上去齐力将车抬起救出被撞小孩，整个过程没超过一分钟！L一手video的秒拍视频 ​​​​                                            ", 9月30日 18:00,10,1,10,微博 weibo.com,Foe2Qtm5j
3,"
                                                                                                    【高层建筑消防治理系列报道 | 广安支队召开全市高层物业消防培训会】近日，广安支队召开全市高层物业消防培训会，结合近期国内外高层建筑火灾案例强调了高层物业单位落实消防安全工作责任的重要性和必要性。同时，还对高层建筑物业任务清单进行了梳理，从建立防火机制、防火预案角度、建筑外保 ​​​​...展开全文c                                            ", 9月30日 17:56,3,1,3,专业版微博,Foe1AtaNx
4,"
                                                                                                    【烈士纪念日|@甘孜消防 “缅怀先烈、祭奠忠魂”】9月30日上午，甘孜州消防支队20名官兵怀着无比崇敬的心情来到烈士陵园参加康定地区2017年烈士公祭仪式，缅怀为民族独立、人民解放、国家富强、人民幸福而英勇牺牲的革命先烈，向人民英雄致以崇高敬意。 ​​​​                                            ", 9月30日 17:49,4,评论,11,专业版微博,FodYycRym
5,"
                                                                                                    【那些只有消防员之间会懂的话！你懂吗】你们都知道各行各业都会有自己的交流通关语，简称“黑话”其实，咱们消防队也有？！戳下图↓↓↓认同的请举爪，不认同的欢迎补充！越看不懂越厉害！！@走进中国消防 ​​​​                                            ", 9月30日 17:00,14,3,3,微博 weibo.com,FodEuuO1x
6,"
                                                                                                    #游在四川 全域平安# 祖国母亲的生日即将到来，作为消防战士，我们将以决战决胜的姿态，护航人民生命财产安全，为祖国母亲献礼。愿她永远繁荣昌盛、平安祥和。消防提醒广大市民，欢度佳节也勿忘消防安全。@中国消防 @内江市公安消防支队  L内江市公安消防支队的秒拍视频 ​​​ ​​​​                                            ", 9月30日 16:34,2,2,7,iPhone 7,Fodue2scU
7,"
                                                                                                    【青川、江油城区无房屋倒塌】#四川青川5.4级地震# 震中附近的人口密度图：据移动人口大数据分析，震中20公里范围内人口数约4.2万，50公里范围内约62万，100公里范围内约684万。 省民政厅电话联系青川、江油两地地震局，当地震感明显，城区无房倒塌。当地民政部门正在查实具体情况。  ​​​ ​​​​                                            ", 9月30日 16:33,2,2,3,iPhone 7,FodtN6KDb
8,"
                                                                                                    【高层建筑消防治理系列报道 | 32万网友在线观看@内江市公安消防支队 “高层灭火演练”直播】#高层建筑消防安全#  近日，@内江市公安消防支队 联合网易新闻开展“川南战区高层建筑灭火救援实战演练”网络直播，吸引32万网友在线观看。直播展示官兵迅速集结、紧急铺设水带干线、作战指挥、高层营 ​​​​...展开全文c                                            ", 9月30日 16:30,4,评论,3,微博 weibo.com,FodsjuRAh
9,"
                                                                                                    准备好了吗                                            ", 9月30日 16:22,2,评论,19,iPhone 6s Plus,FodpfuSB4
10,"
                                                                                                    【今年国庆中秋假期你打算自驾吗？一段视频告诉你：开车应急避险9大招！】高速爆胎、转向失控、车辆侧滑、刹车失灵、水箱开锅、车辆自燃、车辆落水……司机遇到紧急情况，如何化险为夷？收藏学习，关键时刻能救命！L交通安全蜀黍的微博视频 ​​​​                                            ", 9月30日 16:00,9,评论,1,微博 weibo.com,Fodg8vCxh
11,"
                                                                                                    #四川青川5.4级地震#震中距青川县42公里、距平武县47公里、距剑阁县49公里、距江油市63公里、距梓潼县72公里，距广元市81公里，距成都市201公里。 ​​​​                                            ", 9月30日 15:49,2,评论,1,专业版微博,FodbVAIID
12,"
                                                                                                    据网友反馈，广元、绵阳、乐山、都江堰、成都、重庆、南充、天水、陇南等地震感强烈。                                            ", 9月30日 15:48,1,评论,18475,微博 weibo.com,FodbjtptZ
13,"
                                                                                                    【夏防系列报道 | 社区居民与消防官兵一起共话消防】#游在四川·全域平安# #消防知识#  为切实提高社区居民火灾防控能力，提升社区消防安全系数，连日来，广元经开消防大队的宣传人员走进社区开展“小街问事”活动，通过宣讲消防安全知识、发放宣传资料、讲解灭火器使用等方式为社区家庭传经送宝，切实 ​​​​...展开全文c                                            ", 9月30日 15:30,1,评论,2,微博 weibo.com,Fod3XxDxC
14,"
                                                                                                                                                ", 9月30日 15:24,3,2,32,iPhone 6s Plus,Fod1OybHk
15,"
                                                                                                    【泪目！军训后，学生紧抱教官哭作一团】9月28日河南郑州，中原工学院新生军训结束，教官准备坐大巴离开。不少学生自发追到教官宿舍楼下，也有班级学生高唱歌曲送教官离开。有几个小伙子抱住一个教官不让他走，现场哭成一团。L一手video的秒拍视频 ​​​​                                            ", 9月30日 15:00,1,1,6,微博 weibo.com,FocRMwS8I
16,"
                                                                                                    据中国地震台网速报#四川地震#9月30日14时14分在四川绵阳市江油市附近发生5.4级左右地震。#消防知识#遭遇地震，如何安全逃生，求得一线生机？  安全知识公益科普↓L飞碟说的秒拍视频 ​​​​                                            ", 9月30日 14:59,9,评论,2,专业版微博,FocRqn5G4
17,"
                                                                                                    #游在四川·全域平安#  国庆8天豪华大假即将降临，有没有很兴奋，很激动？！蜀黍也很激动呢，毕竟上完今天的班，立刻就要开启8天豪华执勤之旅了，乐山大佛、峨眉山景区等各大景点蜀黍等着与你们偶遇！这不，乐山“各大警种”都已经枕戈旦待，时刻准备着，为你们服务！美丽的乐山欢迎你们 @中国消防  ​​​​...展开全文c                                            ", 9月30日 14:46,14,1,7,专业版微博,FocM8aBDG
18,"
                                                                                                    【迎接十九大消防专项行动 | @四川绵阳消防 举行“十九大消防安保攻坚战”宣誓仪式】#迎接十九大忠诚保平安##游在四川·全域平安#  我宣誓：“将坚持战时标准，执行战时纪律，发扬战时作风，有令必行，有禁必止……”一句句铿锵的誓言，表达了绵阳市公安消防官兵打赢党的十九大安保攻坚战的决心和 ​​​​...展开全文c                                            ", 9月30日 14:30,2,评论,5,微博 weibo.com,FocFByzg4
19,"
                                                                                                    望平安                                            ", 9月30日 14:20,1,4,26327,微博 weibo.com,FocBTmTVK
20,"
                                                                                                    高层建筑消防治理系列报道 | 在高层建筑中，一旦发生火灾应该如何逃生？戳→关键时候能救命#消防知识#   L央视新闻的秒拍视频 ​​​​                                            ", 9月30日 14:00,14,评论,赞,微博 weibo.com,FoctqCIgf
21,"
                                                                                                    【男子骑电动低头看手机视频，撞了】#消防知识#  9月26日，浙江金华一轿车停路口等红绿灯，后方小伙骑电动车笔直地撞上轿车。监控显示，小伙全程单手扶车把，戴耳机低头看手机视频。手机党低头族，还敢这样玩手机吗？L创新e警的秒拍视频 ​​​​                                            ", 9月30日 13:30,转发,评论,赞,微博 weibo.com,FochfBehz
22,"
                                                                                                    【各路注意！这里有一大波迷你消防员出没！】沙场秋点兵，萌娃闹国庆！今天上午，一大波“消防员”在乐山城北幼儿园接受检阅，他们踏着整齐的步伐，他们有的手持消防斧、有的拿着灭火器，还有的拿着对讲机，神情肃穆，迈着整齐的步伐，接受了老师的检阅。他们还自编自演了一套消防员舞蹈，为 ​​​​...展开全文c                                            ", 9月30日 12:39,4,1,8,微博 weibo.com,FobWDngJ7
23,"
                                                                                                    【换装啦，四川消防官微启用新徽标】Everybody！有木有发现蜀黍的头像换了！是滴，四川消防官微启用新徽标啦！经过大家轮番的头脑风暴，徽标上每一个元素的设计都有着特殊的意义，↓↓↓戳视频，且听蜀黍一一道来@中国消防 L四川消防的秒拍视频 ​​​​                                            ", 9月30日 12:36,26,10,11,秒拍网页版,FobVleurU
24,"
                                                                                                    【改装电动车易引发火灾】据统计，近些年电动车火灾呈上升趋势，原因主要是改装电动车、长时间充电和使用劣质充电器。不信？看实验↓为大家安全，转发扩散周知。@四川遂宁消防 L四川遂宁消防的微博视频 ​​​​                                            ", 9月30日 10:53,6,评论,赞,专业版微博,FobfTCmY3
25,"
                                                                                                    #烈士纪念日# 【请记住他们的名字】烈火中，橄榄绿埋进瓦砾焦土，铁血将士不轻弹的热泪，和膝盖一起落下。其实我不想叫你英雄，只想再喊一声我的好弟兄，可人海茫茫不见你，你的血滴变成了火种。请记住有一个兵种叫消防。有一种兵，高空取物靠他们有一种兵，车祸救援靠他们有一种兵，入深山拯救迷 ​​​​...展开全文c                                            ", 9月30日 10:47,8,评论,5,专业版微博,FobdqAtxk
