序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #护航国庆 情暖中秋#【国庆长假成都全市公安户政办证中心服务时间调整！】因四川省公安厅将在2017年9月30日18:00——2017年10月5日20:00对人口数据库进行升级，全省户政窗口暂停户政业务办理。因此，2017年国庆期间公安户政服务时间调整为：2017年10月6日——2017年10月8日，每日09:00至17:00。谢谢。 ​​​​                                            ", 9月30日 17:45,11,4,14,微博 weibo.com,FodWPe1e3
2,"
                                                                                                    【成都站前警方全警疏导受地震影响旅客】受青川5.4级地震影响，部分列车出现晚点，@成都站前公安 迅速组织所有警力维护车站秩序，划定专门区域安置疏导旅客，滚动发布列车延迟公告。具体恢复正常运行的时间尚未明确，铁路部门还在对线路设备进行检查确认。请听从民警安排，耐心等候列车恢复正常通行！ ​​​​                                            ", 9月30日 17:15,19,27,71,微博 weibo.com,FodKGCm3Q
3,"
                                                                                                    #烈士纪念日#【缅怀烈士功绩！弘扬忠诚警魂！】9月30日上午10时，成都市公安局祭奠公安英烈仪式现场庄严肃穆，380余名民警代表整齐肃立，庄严雄壮的国歌响彻上空。礼兵缓步将成都市公安局敬献的花圈送至警魂碑前，鸣枪致敬。庄严的纪念是一次记忆的唤醒，更是一次触动灵魂的激励。公安英烈的事迹和精神 ​​​​...展开全文c                                            ", 9月30日 15:18,16,13,76,微博 weibo.com,FocZ5wUnH
4,"
                                                                                                    #护航国庆 情暖中秋#【国庆中秋双节假期成都机动车不限号】9月30日至10月8日，成都机动车不限号，10月9日正常上班后，恢复尾号限行。@成都交警 提醒：预计9月30日下午及晚间、10月1日上午，将迎来自驾游出行高峰。10月7日、8日下午和晚间，将出现返程高峰。届时城区主干道、高速公路进出口、绕城高速， ​​​​...展开全文c                                            ", 9月30日 14:53,4,2,7,微博 weibo.com,FocPbzb9X
5,"
                                                                                                    【燃！！！《成都公安护航成马纪录片》1分钟先导片发布！】9月23日，2017成都国际马拉松赛在成都举办，国内外2万余名跑友参加。本届赛事活动规模大、线路长、管控时间长，沿线路口128个，制高点21处，赛事区域涉及住户约100万人，小区、工地、写字楼122个，安保压力巨大。为确保赛事安全顺畅，成都公安 ​​​​...展开全文c                                            ", 9月29日 21:16,107,31,124,微博 weibo.com,Fo5U7AA7I
6,"
                                                                                                    【为女性朋友强出头，男子春熙路地铁站内打人被拘7天】9月24日，成都地铁2号线春熙路站内，人多拥挤，女子罗某为了追上同伴蓝某，“挤”了一下挡在前面的陈女士，两人发生口角。蓝某赶紧过来劝架，与陈女士同行的两名男子也赶过来，不分青红皂白就殴打蓝某，现场很多市民围观，引起不少恐慌，两名男子 ​​​​...展开全文c                                            ", 9月29日 18:41,9,32,33,微博 weibo.com,Fo4TgA3kY
7,"
                                                                                                    @平安成都 愿你走在成都的街头只见幸福安宁 L平安成都的秒拍视频 ​​​​                                            ", 9月29日 13:39,70,31,93,秒拍网页版,Fo2UD4rTN
8,"
                                                                                                    【老大娘从4楼跌落至2楼雨棚 民警化身蜘蛛侠相救】近日@平安邛崃 接报：南宝山天罡小区一老大娘从家中4楼阳台跌落至2楼雨棚，情况危急。南宝所民警到达后，出警人员立即带上救生工具，沿3楼防护栏慢慢靠近大娘，并和4楼警员一起用绳索将大娘从2楼雨棚转移至安全地带！经医生检查，大娘身体无大碍！ ​​​​                                            ", 9月28日 10:38,11,14,19,专业版微博,FnSiMgi9M
9,"
                                                                                                    【严查环境破坏！成都公安抓获34名非法经营伪劣柴油的犯罪嫌疑人】2017年4月，成都公安侦破4起非法经营不合格柴油系列案件，挡获涉嫌非法经营的犯罪嫌疑人27名，并依法采取强制措施23人，查获不合格柴油500余吨，成功打掉一个从外省购买、通过非法途径运输至成都市，并向工程机械或大型货车销售使用 ​​​​...展开全文c                                            ", 9月27日 14:17,9,18,28,iPhone 7 Plus,FnKj5zZQF
10,"
                                                                                                    【成都刑警深夜下班遇抢夺嫌犯 一招锁喉摔将其擒获】9月8日23时许，成都@平安武侯 刑警王警官下班途中，巧遇嫌疑人对一名骑单车的女子实施抢夺，王警官立即驾车追击，见嫌疑人往车后方逃跑，王警官立即下车追击30米用一招锁喉摔将其抓获。目前，嫌疑人已被刑事拘留。刑警真本色，为王警官点赞！ ​​​​...展开全文c                                            ", 9月26日 16:37,128,68,156,专业版微博,FnBNvvL9F
11,"
                                                                                                    当这座城市还在你甜蜜的梦里，我们只愿静默守候，不忍敲破夜的静谧。当你的背影渐渐远去，我们也会在身后默默为您加油打气。每一次相聚和别离，可能只是在地铁，在公交里的一个照面，但没关系，陌生人，@成都轨道公交公安分局 同样祝福您，平安#欢乐成马我护航# ​​​​                                            ", 9月23日 14:01,23,27,97,微博 weibo.com,Fn8uzn0de
12,"
                                                                                                    青春美女轮椅参跑，警察叔叔暧心伴跑#欢乐成马我护航# ​​​​                                            ", 9月23日 13:44,2,8,77,微博 weibo.com,Fn8nJk4YZ
13,"
                                                                                                    今天上午7点半左右，一对重庆父女向正在路面巡逻的@成都交警 六分局民警李光耀求助。父亲称其女儿怀孕9周，现有流产前兆，需要马上送医，其老公又不在身边，找不到车，也不知道怎么走。李光耀立即将父女二人接上车，经梓州大道沿麓山大道穿过天府大道用时12分钟安全送抵天府新区医院。#欢乐成马我护航# ​​​​                                            ", 9月23日 13:38,7,17,108,微博 weibo.com,Fn8l4c8QB
14,"
                                                                                                    听说成都特警欢迎市民合影，于是这个小哥忙了。。。@Bi_宇#欢乐成马我护航# ​​​​                                            ", 9月23日 13:03,88,325,1127,微博 weibo.com,Fn86QqiPC
15,"
                                                                                                    #欢乐成马我护航#【幕后英雄！昼夜为您保驾护航】成都市公安局治安管理支队大型活动安保科从今年7月就全面铺开成马安保工作，按照“安全、顺畅、和谐、自然”的原则，会同相关单位反复踏勘、协调对接，组织开展安保演练，科学规划安保措施，在保障赛事安全顺利进行的前提下，最大限度地减少赛事安保工 ​​​​...展开全文c                                            ", 9月23日 12:59,7,8,33,微博 weibo.com,Fn85t3fyg
16,"
                                                                                                    距离全马终点不到10Km，前10名的一选手突然冲向@成都金牛公安 安保蜀黍，冲出了赛道！！！因为。。。实在是憋不住了。。。蜀黍们迅速为他让出了一条绿色通道#欢乐成马我护航# ​​​​                                            ", 9月23日 12:17,35,38,90,微博 weibo.com,Fn7OrxecH
17,"
                                                                                                    【擦肩而过的“场内选手”】成都@平安温江 民警钟艺，是个健身达人，喜欢跑马拉松。原本和女朋友一起报名跑首届成马，报名确认了，今天他却出现在了安保一线。即便擦身而过，亦是不枉此行，因为有一种马拉松精神叫——守护#欢乐成马我护航# ​​​​                                            ", 9月23日 11:05,10,16,61,微博 weibo.com,Fn7l5gM2K
