序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    9月27日上午，“2017阿坝州马尔康第六届嘉绒锅庄文化旅游节”在万人广场隆重开幕。来自全州13个县（市）的各族群众身着节日的盛装舞动锅庄的吉祥，用藏民族独特的歌喉唱出华彩的交响，共同汇聚了一场阿坝州锅庄文化的盛宴。九寨沟县参赛队员们在原生态锅庄邀请赛中取得了优异成绩。 ​​​​                                            ", 9月28日 18:34,转发,评论,赞,360安全浏览器,FnVpP9I0j
2,"
                                                                                                    草原上的帐篷好像羊羔花一样绚丽，这牛羊聚集的地方，是我们牧人欢乐的家园······ ​​​​                                            ", 9月28日 17:03,转发,评论,赞,360安全浏览器,FnUP0tgXi
3,"
                                                                                                    #阿坝这五年# //@阿坝微博: #阿坝这五年# 激情锅庄，舞动马尔康，喜迎十九大                                            ", 9月27日 16:28,转发,评论,6,360安全浏览器,FnLa4gxgj
4,"
                                                                                                    #阿坝这五年# 壮观的锅庄表演~//@阿坝微博: #阿坝这五年# //@光影相随:回复@叫我悅人 的赞:                                            ", 9月27日 16:27,转发,评论,7,360安全浏览器,FnL9UcYD5
5,"
                                                                                                    迎接十九大，今朝看中国。今日上午，央视全媒体大型特别节目《还看今朝・四川篇》在中央电视台新闻频道播出，节目将五年来四川全面创新改革、脱贫攻坚、民生建设、供给侧结构性改革等方面的巨大成就浓缩进了约一个半小时的电视画面中，节目的播出收到热烈反响。作为7路直播点之一，今日上午，四川卫视 ​​​​...展开全文c                                            ", 9月26日 18:41,转发,评论,1,360安全浏览器,FnCBAzS4a
6,"
                                                                                                    9月25日，九寨沟县勿角乡蒲南村的九绵高速（九寨沟至绵阳）白马隧道施工现场一片繁忙景象，一台台大货车卷着尘土穿梭于隧道内外，隧道里，工人们挖掘隧道，一米一米的向前推进。 据白马隧道项目负责人李关次介绍，全员24小时轮班施工，即使地震后也在努力施工，目前，该隧道推进1200米。 ​​​​                                            ", 9月26日 18:40,转发,评论,赞,360安全浏览器,FnCBf0xNK
7,"
                                                                                                    四川大片又将刷屏！ 央视大型特别节目《还看今朝·四川篇》26日全国播出O四川大片又将刷屏！ 央视大型特别节目《还看... ​​​​                                            ", 9月25日 11:21,转发,评论,1,360安全浏览器,FnqixEW1v
8,"
                                                                                                    9月22日，玉瓦乡八郎村通村道路14.6公里路面浇筑全面完成。 ​​​​                                            ", 9月23日 20:30,转发,评论,2,360安全浏览器,Fnb2l4q8E
9,"
                                                                                                    9月21日，县公安局刑侦、网安民警在县城老区十字街口参加九寨沟县网络安全宣传周集中宣传活动。 ​​​​                                            ", 9月23日 20:29,转发,评论,1,360安全浏览器,Fnb285jnb
10,"
                                                                                                    “一边住帐篷，一边修新房”——为加快建房进度，双河乡团结村村民不回屋居住，将每天来回路上节约出的3个半小时用于施工。 ​​​​                                            ", 9月22日 18:26,转发,评论,1,360安全浏览器,Fn0NybgC9
