序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【预约健康 卫生服务向均等化迈进】十年来，国家花大力气提高居民的健康质量。至今，全国超过10亿的居民都有了健康档案。除41项基本公共卫生服务，针对特殊疾病、重点人群和特殊地区，国家还实施了农村孕产妇住院分娩补助、15岁以下人群补种乙肝疫苗等重大公共卫生服务项目，惠及人群近2亿人。 ​​​​                                            ", 2012-8-29 11:29,6,15,赞,微博 weibo.com,yznEal2GP
2,"
                                                                                                    //@央视网政务微博: @卫生新闻宣传 @中国健康教育官方微博                                            ", 2012-8-29 10:29,1,1,赞,微博 weibo.com,yznfKemjq
3,"
                                                                                                    //@中国健康教育官方微博: //@Epidem_gist: 博士不一定博学，专家不一定专业，这是我国精英教育的特点决定的。。。 //@一块二毛:当年那么多老专家信轮子教充分证明了即便已经是饱学之士，在其他领域常识方面也难免缺乏得厉害。更别说医学分科之细，内部都隔行如隔山。珍爱健康，规范就医，大家保重。                                            ", 2012-8-27 09:42,3,3,赞,微博 weibo.com,yz45nCeV9
4,"
                                                                                                    【我国加紧建设紧急医学救援基地】为解决灾后大量伤员收治难的问题，我国正在加紧建设覆盖全国各省市的紧急医疗救援基地，调动大医院的会议室、停车场等一切空间，每家医院力求在半小时内能新增200张床位。这将有利于应对突发事件，及时为伤员提供救治，使伤亡损失降到最低。@与点阁 ​​​​                                            ", 2012-8-27 09:27,3,3,赞,微博 weibo.com,yz3Zm9BAD
5,"
                                                                                                    【北京年内拟建立两所诊疗性青少年网瘾干预基地】北京未成年人保护委员会2012年重点工作通气会议上决定，拟建立“网瘾”干预基地将启动诊疗临床路径。拿网瘾干预基地拯救你，沉溺在网络世界的孩子们！ ​​​​                                            ", 2012-8-17 09:38,3,7,赞,微博 weibo.com,yxxN51hs4
6,"
                                                                                                    【大型医疗机构首发居民健康卡】居民健康卡大型医疗机构全国首发仪式15日在华中科技大学附属同济医院举行。陈竺部长指出，在大型医疗机构发放居民健康卡不仅有利于加快发放进程，更有利于推动全国各级各类医疗机构就诊卡的统一。@与点阁 @湘雅健康 ​​​​                                            ", 2012-8-16 11:25,8,17,赞,微博 weibo.com,yxp3OgsLO
7,"
                                                                                                     @许樟荣医生                                            ", 2012-8-13 14:58,转发,评论,赞,iPhone客户端,ywYb3pI6s
8,"
                                                                                                     @毛群安 介绍糖尿病教育合作中心成立意义。该中心将动员社会力量、组织有关专家开展糖尿病健康教育方面政策与策略研究、开发健康教育传播材料、具备糖尿病管理技术培训及大型健康传播活动！ ​​​​                                            ", 2012-8-13 14:52,2,3,赞,iPhone客户端,ywY8yhtG5
9,"
                                                                                                    卫生部疾病预防控制局孔灵芝副局长在糖尿病教育合作中心成立仪式上讲话！ ​​​​                                            ", 2012-8-13 14:34,2,1,赞,iPhone客户端,ywY1b7fTJ
10,"
                                                                                                    定期检测血糖含量是控制糖尿病最基本的一步。要控制糖尿病，保持规定饮食、运动及药物的准确性都是必要的！[做鬼脸] ​​​​                                            ", 2012-8-13 14:22,5,1,赞,iPhone客户端,ywXWh4QxU
11,"
                                                                                                    中国人民解放军第306医院@许樟荣 介绍糖尿病流行病、危害、难题破解方案 ​​​​                                            ", 2012-8-13 14:13,2,1,赞,iPhone客户端,ywXSvjpBr
12,"
                                                                                                    为加强全国糖尿病患者健康教育中心（卫生部新闻宣传中心）拟与糖友传媒合作成立糖尿病教育合作中心！ ​​​​                                            ", 2012-8-13 14:07,1,1,赞,iPhone客户端,ywXPZ2a03
13,"
                                                                                                    全国首届卫生摄影与新闻宣传培训班第一课@毛群安 ：如何做好新形势下的卫生新闻宣传工作 ​​​​                                            ", 2012-8-7 10:20,2,1,赞,iPhone客户端,yw1MXm6aW
14,"
                                                                                                                                                ", 2012-8-7 08:49,1,4,赞,iPhone客户端,yw1c4f2KI
