序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【如画美景】作品名称：运河畔 作者：汪丽丽 大家周末愉快哦~ ​​​​                                            ", 2012-8-31 16:13,1,4,赞,微博 weibo.com,yzImnijiX
2,"
                                                                                                    【请农民参与清洁小流域灾后修复工作】为充分了解民意，实现民生工程，在灾后生态清洁小流域修复工程中，搭建了农民参与建设的平台，将全程参与工程规划的前期、建设以及实施后的管护工作。 ​​​​                                            ", 2012-8-31 15:56,1,评论,赞,微博 weibo.com,yzIfqbbpr
3,"
                                                                                                    【永定河停车乱收费可举报】近日，有市民反映到宛平湖游玩被索要停车费。在此提醒广大市民朋友，永定河公园“四湖一线”景观是为了更好地造福市民，停车场均免费开放，市民今后如遇乱收费，可拨打12345(市政府热线)或96310(城管热线)举报。在您安心游玩的同时，请注意安全，爱护环境，不要随手乱扔垃圾 ​​​​                                            ", 2012-8-31 14:10,7,2,赞,微博 weibo.com,yzHyk3fax
4,"
                                                                                                    勇敢的心 加油!                                            ", 2012-8-31 10:36,5,2,5,微博 weibo.com,yzG9DBnvt
5,"
                                                                                                    【如画美景】作品:轻舟泊桥蓝云韵间 作者:刘海星 作品名是不是很文艺?(可点击查看大图) ​​​​                                            ", 2012-8-30 15:45,4,3,赞,微博 weibo.com,yzyKpsTEl
6,"
                                                                                                                                                ", 2012-8-30 15:38,2,评论,4,微博 weibo.com,yzyHGskKc
7,"
                                                                                                    【第一例节水行政处罚案件结案】日前，市水政监察大队依据《北京市节约用水办法》成功查处一起未安装使用循环用水设施案，并进行现场整改。此案是新节水办法实施后查出的第一起未安装使用循环用水设施案违法案件。 ​​​​                                            ", 2012-8-30 14:48,转发,1,赞,微博 weibo.com,yzyni2OrC
8,"
                                                                                                    热爱自然的馈赠                                            ", 2012-8-30 10:58,1,1,赞,微博 weibo.com,yzwRMcP3d
9,"
                                                                                                    【“7•21”灾区均已恢复水源供应】在“7•21”特大自然灾害中，北京因供水设施污染、损坏，影响居民用水，目前超八成供水单位已修复，灾区均已恢复水源供应。经卫生部门监测，房山、丰台、通州等受灾区县水质监测均已达标合格，灾后未发生水源性疾病。 ​​​​                                            ", 2012-8-29 15:31,5,3,赞,微博 weibo.com,yzpe6FORr
10,"
                                                                                                    有创意!                                            ", 2012-8-29 13:47,5,评论,赞,微博 weibo.com,yzoy6wyqb
11,"
                                                                                                    郊游好去处~                                            ", 2012-8-29 13:44,2,评论,赞,微博 weibo.com,yzowH56aF
12,"
                                                                                                    如期开学,好!                                            ", 2012-8-29 13:39,3,评论,赞,微博 weibo.com,yzouUgtG8
13,"
                                                                                                    【如画美景】下午了 看美图放松一下吧！ 作品:蝶恋花 作者:李哲奇 (可点击查看大图) ​​​​                                            ", 2012-8-28 14:47,2,1,赞,微博 weibo.com,yzfvSCx2J
14,"
                                                                                                    本市首座建在地下的污水处理厂,""既隔音又隔臭"",未来2到3年投入使用.                                            ", 2012-8-28 13:28,4,1,赞,微博桌面,yzeZOy5Ab
15,"
                                                                                                    转发微博                                            ", 2012-8-28 11:18,3,1,赞,微博 weibo.com,yze8VtxPF
