序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    玉渊潭公园： 触摸“景观之星”。近日，在玉渊潭公园景观大道上落成的北京市“景观之星”的先进事迹以及他们的手模在吸引了众多游人的同时，也让人们了解到了这些“景观之星”在“十一五”期间为首都公园绿地设计、建设、管理等方面作出的突出贡献。 ​​​​                                            ", 2012-8-31 11:01,4,1,赞,微博 weibo.com,yzGjM8J3L
2,"
                                                                                                    有需要的童鞋关注一下哦                                            ", 2012-8-29 16:31,7,3,赞,微博 weibo.com,yzpCviGKK
3,"
                                                                                                    #民生海淀#海淀苏家坨将建大型中医院。依托西苑医院的医疗资源，海淀将在苏家坨地区开工建设一所三级医院标准的大型公立中医院。目前立项已完成，即将开工，大约两年内建成投入使用，设计床位300余张。医院将以康复、养老等专科医疗服务为主，缓解北部居民就医难。[膜拜了]@首都健康 ​​​​                                            ", 2012-8-29 14:21,19,9,赞,微博 weibo.com,yzoLQ7dnn
4,"
                                                                                                    转发微博。                                            ", 2012-8-29 14:08,转发,1,赞,政府版微博,yzoGuAVuy
5,"
                                                                                                    海淀稳步推进社会保障经办业务下沉工作，截至目前，首批对外办理参保单位社会保险征缴业务的中关村等9街镇社保所已为300多家单位6000多人次办理了社保经办业务及咨询业务，方便、快捷的服务获得了办事群众的认可。附近有需要的童鞋欢迎前往噢！！！                                            ", 2012-8-29 13:38,4,评论,赞,政府版微博,yzouxfttu
6,"
                                                                                                    #民生海淀#近日，紫竹院街道在北洼路、厂洼、车南里、车道沟等7个长河沿岸、养犬人士较多的社区安装了50个宠物粪便收集器。收集器内装有宠物便便袋和小铲子，方便狗狗主人及时清理宠物粪便。希望养狗狗的童鞋像爱护狗狗一样，爱护环境！ ​​​​                                            ", 2012-8-29 08:45,30,10,赞,微博 weibo.com,yzmzjrDlA
7,"
                                                                                                    最好气温34度。。。还是要躲避“秋老虎”，各位童鞋                                            ", 2012-8-29 07:26,10,3,1,微博 weibo.com,yzm3t0buZ
8,"
                                                                                                    转发微博                                            ", 2012-8-28 23:08,3,评论,赞,微博 weibo.com,yziNmCV9Q
9,"
                                                                                                    #海淀游园#恐龙来啦！！！2012“历险恐龙岛”主题嘉年华正在海淀公园举办，大小朋友可以通过大型3D电影《恐龙星球》体验最震撼的“恐龙复活”，回归远古时代；亦可借恐龙大游行走进侏罗纪公园，与恐龙零距离接触。7大乐园主题、40余种游乐项目开启恐龙岛“神秘之旅”。[亲一口] ​​​​                                            ", 2012-8-28 14:15,4,2,赞,微博 weibo.com,yzfiXwypH
10,"
                                                                                                    #海淀新闻#植物园昙花白天盛开。昨日，北京植物园热带展览温室内的一株昙花悄然开放，美丽的花朵吸引了众多游客的目光。植物园的工作人员使用了“颠倒黑白”的养护措施，使得在夜间开放的昙花可以在白天与大家见面。由于昙花的花期较短，植物园的工作人员预计今天将进入这株昙花的末花期。 ​​​​                                            ", 2012-8-28 08:50,22,4,赞,微博 weibo.com,yzdb4nS2N
11,"
                                                                                                    智慧海淀，便民利民                                            ", 2012-8-28 06:33,3,评论,赞,微博 weibo.com,yzchsh4wr
12,"
                                                                                                    童鞋们一起骑车，漫步绿道哇//@海淀区政府网站: 转发微博。                                            ", 2012-8-27 14:23,13,8,赞,微博 weibo.com,yz5VuiOMi
13,"
                                                                                                    #海淀好人#他是40岁的时尚理发师，他是在北京打拼20年的安徽人，他又是海淀首位非京籍居委会主任助理。7年来，他和他的伙计为地区居民免费提供上门服务3000次，每年因为义务理发的投入2万余元，他又是普通人，租房子，过生活、给员工开工资， 他是裴维忠，由他开始，新居民服务新居民的模式正在开启。 ​​​​                                            ", 2012-8-27 14:21,8,1,赞,微博 weibo.com,yz5UFuoGT
