序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #火灾#【俄罗斯蔓延火】据@国家林业局， 4月30日13时，内蒙古大兴安岭北部原始林区乌玛林场发生森林火灾，火线长约2000米，火势较强。国家森防指紧急调派1架M-171直升机实施机降灭火作业，另就近增调4架直升机飞赴火场支援。起火原因为俄罗斯境内火灾烧入，过火面积约10公顷。 ​​​​                                            ", 2014-4-30 22:10,5,3,2,微博 weibo.com,B2aJr02C7
2,"
                                                                                                    转发微博                                            ", 2014-4-30 19:31,4,1,2,三星Galaxy NOTE III,B29H0cxnN
3,"
                                                                                                    【不能这样宣传！】某学院的宣传页要求，“救火时要注意人身安全，必要的时候要有献身精神，以学院的财产为重”。这样宣传是错误的！要转变观念，生命是最宝贵的！我们提倡“全民消防，生命至上”。发生火灾，首先要确保生命安全，第一时间要组织人员疏散，决不能鼓励为财产献身！                                            ", 2014-4-30 18:12,-1,8,10,微博 weibo.com,B29b49tuA
4,"
                                                                                                    【消防员“倒挂金钩”救女工】4月29日上午7时许，福建晋江市陈埭镇晋新路新茂泰厂后面工地，一名女工意外掉入打桩洞里被困，命悬一线，消防官兵“倒挂金钩”刨土救人。20分钟后，消防官兵终于将熊女士从打桩洞中救出，并将其送往医院治疗。O网页链接                                            ", 2014-4-30 17:43,3,2,6,微博搜索,B28ZfkbBl
5,"
                                                                                                    【电车街头自燃 女司机3分钟疏散40余名乘客】4月29日上午7时，湖北武汉一辆2路电车行因电路短路自燃，女司机迅速疏散乘客，并果断拉下电车辫子，拿出灭火器灭火。3名环卫工和多名路人也临时“客串”消防员20分钟后将大火扑灭，避免了人员伤亡。 ​​​​                                            ", 2014-4-30 17:33,8,2,6,360安全浏览器,B28V6dh83
6,"
                                                                                                    【菲律宾一贫民区发生火灾 数十栋房屋被烧毁】当地时间2014年4月29日，菲律宾马尼拉，菲律宾马尼拉一贫民区发生火灾，造成3人死亡，数十栋房屋被烧毁。 ​​​​                                            ", 2014-4-30 17:26,8,2,1,微博桌面,B28SfyPzJ
7,"
                                                                                                    【停车场内违规私卖汽油 瞬间起火连烧五车】4月27日上午11时30分左右，广东番禺市石碁镇旧水坑新城路南六巷旁一个停车场内发生火灾，五辆车被火烧连环。据目击者说：事故是由一辆面包车卖私油导致的。L@八卦南沙 ​​​​¡查看图片                                            ", 2014-4-30 17:19,8,2,4,微博桌面,B28Pwg1co
8,"
                                                                                                    【江西理工大学一电线房着火】4月30日14时12分，江西省赣州是公安消防支队接到报警称，该市红旗大道江西理工大学教学主楼电线房起火，章贡区中队出动4台消防车21人赶到现场，15时20分成功扑灭大火。据悉，火灾发生时，学生们正在上课，接到通知后，学生们均安全疏散，无人员伤亡的报告。 ​​​​                                            ", 2014-4-30 16:42,8,6,1,360安全浏览器,B28AzfkQQ
9,"
                                                                                                    全民消防，生命至上！//@桶子先森没人爱:学校真是屌，呵呵，学院财产为重，出了事然后又是尼玛学校概不负责。                                            ", 2014-4-30 13:30,-1,6,赞,三星Galaxy NOTE III,B27kCdpQj
10,"
                                                                                                    【“抱火哥”获“武汉青年五四奖章”】4月30日，武汉团市委隆重举行纪念“五四”运动95周年表彰大会，授予“抱火哥”皇甫江武“武汉青年五四奖章”。他也是全国消防历史上获得“青年五四奖章”的第一位“合同制消防员”。                                            ", 2014-4-30 11:38,50,8,55,360安全浏览器,B26B8lAeR
