序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    每个人都只是地里的一茬庄稼，既不要觉得自己很卑微，因为你也曾经孕育、生长、成熟；也不要觉得自己很神圣，因为你之前别的种子也曾孕育，同时你旁边的庄稼也曾生长，你之后还会有一茬又一茬的庄稼成熟。此刻的辛劳是为了秋季的收获，我们都需要坚持，坚守！（佳人/文） ​​​​                                            ", 2014-4-30 23:21,51,14,14,微博 weibo.com,B2bcekxpc
2,"
                                                                                                    #铁路资讯微发布#【广铁集团落实“三个出行”常态化措施迎五一】五一小长假运输期间，广铁集团预计发送旅客440万人，将迎来五一史上最大客流。广铁集团坚持落实今年春运中形成的确保旅客 “安全出行、方便出行、温馨出行”常态化措施，努力提高五一小长假运输服务水平。 O网页链接 ​​​​                                            ", 2014-4-30 21:54,33,7,3,微博 weibo.com,B2aDaoACc
3,"
                                                                                                    #铁路一线微聚焦#近日，郑州铁路局郑州供电段充分利用接触网集中修施工时间，对管内接触网设备进行全面检修，确保管内供电设备以良好状态服务五一小长假。图为该段职工正在检修京广线接触网设备。（陈伟/摄） ​​​​                                            ", 2014-4-30 17:52,38,5,3,微博 weibo.com,B292G4P9n
4,"
                                                                                                    #铁路资讯微发布#【温馨提示】铁路部门提示，目前仍有网购车票成功的旅客尚未取票，请通过网络订票和电话订票的旅客朋友尽早就近换取车票。客流高峰期间，请旅客朋友携带车票和与票面信息一致的有效身份证件，提前到车站办理验票进站手续，以免耽误行程。 ​​​​                                            ", 2014-4-30 17:47,32,6,2,微博 weibo.com,B290Yyxc3
5,"
                                                                                                    #铁路资讯微发布#【“五一”小长假铁路旅客运输正式启动】为满足广大旅客出行需求，节日期间预计全国铁路开行旅客列车近2万列。此外，4月26日实行微调图，全国铁路新增旅客列车4对。其中，福州南～深圳北动车组2对、北京～三明北特快1对、北京～包头特快1对。 ​​​​                                            ", 2014-4-30 17:45,27,8,2,微博 weibo.com,B2907n5vY
6,"
                                                                                                    #铁路资讯微发布#【“五一”小长假铁路旅客运输正式启动】为期4天的“五一”小长假铁路旅客运输于4月30日正式启动。4月30日至5月3日，全国铁路预计发送旅客3640万人，同比增加465万人。铁路客流以旅游、探亲和中短途客流为主，主要集中在上海、苏州、杭州、厦门、深圳、桂林、张家界、昆明等方向。 ​​​​                                            ", 2014-4-30 17:44,27,4,3,微博 weibo.com,B28ZFiEvQ
7,"
                                                                                                    #铁路资讯微发布#【郑州铁路局五一小长假运输“巧”布局】增开列车、组织销售复用票和联乘票、强化应急值守……郑州铁路局“巧”布局五一小长假运输，全面兑现“三个出行”承诺。 O网页链接 ​​​​                                            ", 2014-4-30 16:28,28,5,2,微博 weibo.com,B28uPbsFd
8,"
                                                                                                    #铁路一线微聚焦#近日,呼和浩特铁路局乌海车务段以管内新增2对旅客列车为重点，完善旅客组织方案，印发新图宣传单，方便旅客出行。图为客运人员在发放新图宣传单。（李尚霖/摄） ​​​​                                            ", 2014-4-30 15:12,29,7,3,微博 weibo.com,B27ZJ6VEJ
9,"
                                                                                                    #铁路资讯微发布#【铁路部门积极备战五一小长假运输】2014年五一小长假铁路运输自4月30日起至5月3日，为期4天。根据历年规律以及预售票情况，五一小长假客流将比清明小长假更加集中，高峰客流很可能接近甚至突破1000万人。 O网页链接 ​​​​                                            ", 2014-4-30 14:05,33,5,赞,微博 weibo.com,B27yBqVe2
10,"
                                                                                                    #铁路资讯微转播#【温馨提示】目前火车票已实现全国范围内的通取通换，请各位旅客购票后尽量提前几天在附近的火车站或代售点换取纸质车票，避免产生因车站人多导致取票排队时间过长的情况发生。                                            ", 2014-4-30 11:18,39,10,6,微博 weibo.com,B26sNd9K7
11,"
                                                                                                    #铁路一线微聚焦#连日来，呼和浩特铁路局呼和浩特供电段开展集中修施工，充分利用 “天窗”时间对管内供电设备实施全方位、立体化的检修，保证供电设备安全稳定。图为该段职工正在利用梯车进行设备检修。（刘龙飞/摄） ​​​​                                            ", 2014-4-30 11:02,28,5,3,微博 weibo.com,B26mpvv2D
12,"
                                                                                                    #主人，你在哪里？#请广大旅客下车前请提前清点并拿好个人物品，以免遗忘在列车上。                                            ", 2014-4-30 10:57,19,3,赞,微博 weibo.com,B26kms8O6
13,"
                                                                                                    马凯近日在部分地区铁路建设工作会议上强调，要充分认识加快铁路建设的重大意义，认真落实党中央、国务院的决策部署，统一思想，明确任务，落实责任，强化措施，确保全面完成今年铁路建设任务，为更好满足经济社会发展和人民群众出行做出更大贡献。 O网页链接 ​​​​                                            ", 2014-4-30 10:43,318,4,2,微博 weibo.com,B26eEb71V
14,"
                                                                                                    #铁路知识微普及#【列车服务设别设施——座席】为方便旅客，部分车型的座椅还可以水平方向180度自由转动，一方面可以使旅客面对的方向始终与列车运行方向保持一致；另一方面使得前后相邻的座椅面对面，方便旅客商谈、聊天和娱乐。另外，在头车紧邻司机室的区域还设有观光区。 ​​​​                                            ", 2014-4-30 09:49,41,8,3,微博 weibo.com,B25T1dXTw
15,"
                                                                                                    恭喜这三位网友啦~~~欢迎大家都来参与哦~                                            ", 2014-4-30 08:45,21,4,1,微博 weibo.com,B25sGk6PQ
16,"
                                                                                                    #铁路资讯微转播#昆明火车站重点方向余票信息。                                            ", 2014-4-30 08:21,20,4,赞,微博 weibo.com,B25j1pebq
17,"
                                                                                                    很多时候，努力并不是为了得到奖励，而是为了被肯定。早安，正在为梦想努力的你，加油！ ​​​​                                            ", 2014-4-30 08:14,38,7,18,微博 weibo.com,B25gogq0P
18,"
                                                                                                    趁草长莺飞的日子，许一缕思绪飘向远方。奏一曲琵琶给大漠，画一幅水墨给江南。月光照到多远，心路就有多长。铁粉们，晚安！ ​​​​                                            ", 2014-4-29 22:38,31,7,12,微博 weibo.com,B21uABoM2
19,"
                                                                                                    #铁路资讯微发布#【哈尔滨西站制作满意度调查二维码】针对在哈尔滨西站乘坐高铁列车的旅客普遍使用手机、iPad等上网的实际情况，该站尝试引入第三方评价系统，利用微信二维码，开展了哈尔滨西站旅客服务满意度调查活动。 O网页链接 ​​​​                                            ", 2014-4-29 20:38,24,5,8,微博 weibo.com,B20HNCyAv
20,"
                                                                                                    #铁路一线微聚焦#近日，哈尔滨铁路局哈尔滨工务段针对昼夜温差大的实际，加大对线路设备的检查力度，提高养护维修标准。图为该段检测人员在测量道岔设备。（丁军/摄） ​​​​                                            ", 2014-4-29 18:06,29,6,10,微博 weibo.com,B1ZI2lUla
21,"
                                                                                                    #铁路资讯微发布#【铁路系统14个集体58名个人荣获2014年全国五一劳动奖状和奖章】五一国际劳动节即将到来，铁路行业共有14个集体荣获全国五一劳动奖状，58名个人荣获全国五一劳动奖章，72个集体获得全国工人先锋号荣誉称号。 O网页链接 ​​​​                                            ", 2014-4-29 16:31,34,8,3,微博 weibo.com,B1Z5EbfaZ
22,"
                                                                                                    #铁路一线微聚焦#在南昌西站，南昌铁路局管内各系统的50对新人，踩着婚礼进行曲的节拍，伴着鲜花和掌声，走上红地毯，穿过幸福亭，缔结美满姻缘。这是该局为青年职工营造家园氛围，增强青年职工归属感的一项重要举措。图为新人们共同通过南昌西站自动扶梯，接受亲朋好友们的祝福。（鲍赣生/摄） ​​​​                                            ", 2014-4-29 15:11,56,10,18,微博 weibo.com,B1Yz5EYeE
23,"
                                                                                                    #铁路资讯微发布#【海铁联运“五定”班列升级为“天天班”】4月下旬，江西上饶 “无水港”比往日更繁忙，由鹰潭至北仑的81116次快速货运班列每天在这里大批量地装卸集装箱。这趟海铁联运班列由过去的“五定”班列升级为“天天班”，这是南昌铁路局贴近市场促营销的新举措。 O网页链接 ​​​​                                            ", 2014-4-29 14:51,21,5,赞,微博 weibo.com,B1YqJo9Te
24,"
                                                                                                    #铁路一线微聚焦#为确保接触网集中修安全高效，郑州铁路局郑州供电段科学制订预案，积极协调组织，充分利用 “天窗”时间，明确责任分工，严格执行标准化检修，为设备 “强身健体”。图为近日，技术人员在整治接触网病害。（陈伟/摄） ​​​​                                            ", 2014-4-29 10:48,40,6,1,微博 weibo.com,B1WQnB5AJ
25,"
                                                                                                    #铁路知识微普及#【列车服务设别设施——座席】以和谐号CRH380AL型高速动车组为例，商务座车内每排3座，全部为红色的趟座和方向可调式蒙皮软席座椅；一等座车内每排4座，全部为红色的靠背倾角可调式软席座椅；二等座车内每排5座，全部为蓝色的靠背倾角可调式软席座椅。 ​​​​                                            ", 2014-4-29 10:14,93,13,11,微博 weibo.com,B1WCkcAa3
26,"
                                                                                                    #铁路资讯微转播#【温馨提示】“五一”期间出行，购换票请尽早。                                            ", 2014-4-29 09:28,35,8,赞,微博 weibo.com,B1WjYzcXs
27,"
                                                                                                                                                ", 2014-4-29 09:04,24,6,4,政府版微博,B1Wag3htl
28,"
                                                                                                    伸展双臂拥抱春日晨曦中的朝阳，又是新的一天来临，铁粉们，早安！ ​​​​                                            ", 2014-4-29 08:21,24,12,6,微博 weibo.com,B1VSNDJdv
29,"
                                                                                                    怕什么路途遥远。走一步有一步的风景，进一步有一步的欢喜。幸福，在路上。晚安，铁粉们！ ​​​​                                            ", 2014-4-28 22:17,29,6,16,微博 weibo.com,B1RVwb44B
30,"
                                                                                                    #铁路资讯微发布#【上海铁路局五一小长假增开临客59对】为方便旅客出行，上海铁路局除了按照高峰列车运行图开足各趟图定列车外，将增开临客59对，并对沪宁、沪杭等部分动车组进行重联运行。该局还针对可能出现的临时突发客流，提前做好了加开图外临客等各项应急准备工作。 O网页链接 ​​​​                                            ", 2014-4-28 20:50,31,6,1,微博 weibo.com,B1Rm9165F
31,"
                                                                                                    ”五·一“昆铁加开昆明至宣威临客列车。                                            ", 2014-4-28 18:57,22,5,赞,微博 weibo.com,B1QCf9mG0
32,"
                                                                                                    和@南昌铁路 一起走近福州动车段，感受“榜样的力量”。                                            ", 2014-4-28 18:12,40,8,30,360安全浏览器,B1QjTbVtO
33,"
                                                                                                    #铁路一线微聚焦#郑州铁路局南阳车务段采取优化人员配置、严把装载加固、紧盯途中运输等有效措施，确保货车尤其是超限货物列车的运输安全。图为该段南阳西站货检员对装载超限货物的列车进行认真检查。（马鑫/摄） ​​​​                                            ", 2014-4-28 18:06,38,9,5,360安全浏览器,B1Qhxv840
34,"
                                                                                                    #铁路资讯微发布#【铁路部门加强施工组织管理确保运输安全】目前各铁路局施工任务比较多，京广、京哈、兰新、大秦等主要干线集中修正在全面展开，各类涉及和影响既有线的工程施工项目繁多。总公司要求各级施工管理部门要切实履行职责，从源头上加强施工组织管理，确保运输安全。 O网页链接 ​​​​                                            ", 2014-4-28 16:12,31,4,5,微博 weibo.com,B1Pxoy8Ho
35,"
                                                                                                    #铁路一线微聚焦#济南铁路局济南客运段将管内各趟列车沿途停站时间及景点特色、换乘线路制作成便民示意图，为旅客出行提供方便。图为近日，在济南开往长春的G1244次列车上， “高姐”正在向旅客介绍唐山市的旅游景点及乘车线路。（张明华/摄） ​​​​                                            ", 2014-4-28 15:58,36,4,6,微博 weibo.com,B1PrHanrF
36,"
                                                                                                    #铁路资讯微发布#【铁路两专家入选国家“万人计划”第一批科技创新领军人才】中共中央组织部近日公布了国家“万人计划”第一批入选人员名单，经中国铁路总公司推荐，中国铁道科学研究院研究员叶阳升、赵红卫入选“万人计划”第一批科技创新领军人才。O网页链接 ​​​​                                            ", 2014-4-28 14:39,37,5,1,微博 weibo.com,B1OVvoHZN
37,"
                                                                                                    #铁路一线微聚焦#【新乡供电段确保晋煤外运通道安全畅通】近日，新乡供电段组成专业巡视组，24小时不间断对太焦线、侯月线进行巡视检查，确保晋煤外运通道安全畅通。图为该段巡视组成员在巡视检查孔庄至东坡间接触网设备。（高国桥/摄） ​​​​                                            ", 2014-4-28 14:13,29,7,2,微博 weibo.com,B1OKSa9Ni
38,"
                                                                                                    #铁路知识微普及#【动车组车厢席别及座席号编排】为了满足不同旅客的需要，高速动车组内一般都编挂有一等座车和二等座车，部分车型动车组内还编挂有商务座和餐车。动车组旅客列车座席排号类似航空的飞机席位编码方式，从车厢一位端开始按顺序编排，用阿拉伯数字表示，座椅用A-F5个字母表示。 ​​​​                                            ", 2014-4-28 09:30,151,19,7,微博 weibo.com,B1MUduZlt
39,"
                                                                                                    朝阳跳出地平线，缓缓向上升起，揭去了满天的睡意，唤醒了四隅、唤醒了城市里的你我。亲爱的铁粉们，早安！ ​​​​                                            ", 2014-4-28 08:13,39,10,10,微博 weibo.com,B1MoRs8X9
40,"
                                                                                                    #铁路一线微聚焦#【开展春检春鉴保安全】太原铁路局侯马北机务段充分利用春检春鉴有利时机，排查机车质量隐患，为运输生产提供了优质机力保障。O网页链接 ​​​​                                            ", 2014-4-27 17:26,57,11,2,微博 weibo.com,B1GB0kwp2
41,"
                                                                                                    #铁路文化微展示#【借一场火车的旅行启程】和煦的春风总是不甘寂寞，她悄悄地走进人们的生活，轻轻拂过高低起伏的楼宇，春天的到来，开启万物的复苏。天气逐渐地朗润起来，河水开始慢慢地充盈起来，山林也热情地舒展起来。（万寅/文）O网页链接 ​​​​                                            ", 2014-4-27 14:37,289,10,5,微博 weibo.com,B1FugshNo
42,"
                                                                                                    #铁路一线微聚焦#兰州铁路局银川供电段景泰供电车间认真开展接触网集中修工作，保证铁路安全畅通。                                            ", 2014-4-27 10:56,36,4,1,微博 weibo.com,B1E2sdyfq
43,"
                                                                                                    #铁路知识微普及#【高铁车站如何实现“近距离换乘”】实现旅客换乘方便快捷是现代交通枢纽站建设的目标，也是以人为本设计理念的体现。在车站空间布局中，将各种交通空间整合，形成并置、交叠、复合的一体化功能空间，极大地缩短了换乘旅客走行距离。 ​​​​                                            ", 2014-4-27 09:28,333,12,9,微博 weibo.com,B1DsH7iih
44,"
                                                                                                    #铁路资讯微发布#4月份，上海铁路局管内沪昆、宁芜等12条铁路设备大修、维修施工全面启动，上海大型养路机械运用检修段组织130台大型养路机械、1500余名精兵强将到32处施工点进行作业，确保线路设备状态稳定。图为近日，该段大型养路机械在沪昆线作业。（杨军 摄） ​​​​                                            ", 2014-4-26 16:39,60,8,4,微博 weibo.com,B1wRqD4kY
45,"
                                                                                                    铁路青年永结同心，佳缘相伴幸福一生！                                            ", 2014-4-26 15:37,119,12,207,微博 weibo.com,B1wrZ0sKS
46,"
                                                                                                    #铁路文化微展示#【担当】这个术语/是火车司机们口头常常省略掉的语词/位移的车列把每个人的命运连在一起/一声汽笛就是开端，就是承载……（牛树进/问）O网页链接 ​​​​                                            ", 2014-4-26 13:59,50,7,5,微博 weibo.com,B1vObCJFH
47,"
                                                                                                    齐心协力战春雪                                            ", 2014-4-26 11:02,55,6,8,微博 weibo.com,B1uEoDa2p
48,"
                                                                                                    #铁路知识微普及#【旅客安全视频监控装置】旅客安全视频监控装置分布在旅客购票、进站、候车、检票、上车、出站等公共活动场所的每个角落，它们一刻不歇地记录着车站内外的情况。车站工作人员可以在综合控制室内浏览或调阅记录的监控画面。 ​​​​                                            ", 2014-4-26 09:21,64,18,7,微博 weibo.com,B1tZjvNSq
49,"
                                                                                                    流光溢彩华灯初上，恍惚间走进了柔纱般的梦。心，慢慢地浸润在辽远的落幕里。亲爱的铁粉们，晚安！ ​​​​                                            ", 2014-4-25 23:11,18,4,18,微博 weibo.com,B1pZG34Cv
50,"
                                                                                                    #铁路一线微聚焦#【兰武寒夜“蜘蛛人”】4月22日22时，兰州供电段武威南供电车间职工正忙着打理当晚接触网“天窗”作业所需的工具、材料。当晚“天窗”内容为武威南站机车出库线分段绝缘器检修作业。O网页链接 ​​​​                                            ", 2014-4-25 18:09,37,6,3,微博 weibo.com,B1o1udSm6
51,"
                                                                                                    #铁路资讯微发布#【成都局进入全天候防洪状态】自4月15日20时起，成都铁路局进入全天候防洪状态，实行24小时防洪值班值守，不断提高防洪能力。各级党群组织充分发挥政治工作优势，为夺取防洪工作胜利提供坚强的政治保障。O网页链接 ​​​​                                            ", 2014-4-25 16:56,33,2,2,微博 weibo.com,B1nxF2J2F
52,"
                                                                                                    #铁路一线微聚焦#【大同西供电段对设备进行精检细修】大同西供电段充分利用25个“天窗”点，对管内设备进行平推检修，集中消除设备安全隐患，为实现大秦线4.6亿吨运量的目标提供安全保障。图为近日，职工在对设备进行精检细修。（刘越/摄） ​​​​                                            ", 2014-4-25 16:41,42,3,2,微博 weibo.com,B1nrLdkSa
53,"
                                                                                                    猜猜铁路人秘密箱包~                                            ", 2014-4-25 16:37,34,16,7,微博 weibo.com,B1npRA32M
54,"
                                                                                                    #铁路资讯微发布#【阜阳至三峡周末游专线开通】日前，上海铁路国际旅游（集团）有限公司安徽公司以“情系长江 乐游三峡”为主题，开通阜阳至三峡周末游专线，该旅游线填补了皖北地区长江游的空白。O网页链接 ​​​​                                            ", 2014-4-25 14:09,40,8,1,微博 weibo.com,B1mrUjxZX
55,"
                                                                                                    #铁路一线微聚焦#【郑州机务段加大机车检修力度】郑州机务段加大对轴承、电机等关键部位的检修力度，为机车安全上线提供有力保障。图为近日，职工在对机车轴承进行探伤作业。（孙鑫/摄） ​​​​                                            ", 2014-4-25 11:07,52,3,6,微博 weibo.com,B1lfYljKI
56,"
                                                                                                    #铁路知识微普及#【旅客引导综合信息显示系统】旅客引导综合信息显示系统可为进出站旅客提供各种信息，发布列车到发动态信息，引导旅客进站候车、上下车、进出站，根据需要发布政府公告、铁路管理公告、媒体新闻、赛事直播、广告等实时多媒体信息，并能在火灾等非正常情况下发布紧急疏散提示。 ​​​​                                            ", 2014-4-25 09:14,63,4,4,微博 weibo.com,B1kw3xRYc
57,"
                                                                                                    @武汉铁路局 新LOGO亮相！                                            ", 2014-4-25 08:50,41,10,24,微博 weibo.com,B1kmpsJ2B
58,"
                                                                                                    @济南铁路 五一期间开行临客列车公告。                                            ", 2014-4-25 08:39,30,3,3,微博 weibo.com,B1khR3dSw
59,"
                                                                                                    努力向前的人是会发光的。亲爱的铁粉们，早安！ ​​​​                                            ", 2014-4-25 08:29,42,11,23,微博 weibo.com,B1kdLbHdx
60,"
                                                                                                    生活中的每一天是充实而美好的，每一个夜晚则是神秘而美丽的。就让那些流星雨勾勒恬美的梦境吧。亲爱的铁粉们，晚安！ ​​​​                                            ", 2014-4-24 22:27,33,12,13,微博 weibo.com,B1ghuB158
61,"
                                                                                                    #铁路资讯微发布#【济南铁路局完成今年首次超级超限货物运输任务】近日，载有2台国家重点项目哈郑直流输电工程变压器的70006次超级超限货物专列自淄博车务段章丘站正点驶出，开往哈密站。这标志着济南铁路局今年超级超限货物运输任务首战告捷。O网页链接 ​​​​                                            ", 2014-4-24 20:01,43,9,2,微博 weibo.com,B1fknjpMG
62,"
                                                                                                    #铁路一线微聚焦#【广通工电段保证汛期铁路安全畅通】临近汛期，广通工电段对管内成昆铁路线路两侧悬崖上的危岩陡石进行了排查，对影响行车安全的危石第一时间进行拆解破除，保证汛期铁路大动脉安全畅通。图为该段职工在清理危石。（李范轩/摄） ​​​​                                            ", 2014-4-24 17:44,58,12,6,微博 weibo.com,B1eqsAArc
63,"
                                                                                                    #铁路资讯微发布#【北京铁路局增开列车拉动旅游客流】为满足广大旅客出行需求，北京铁路局积极开辟客运新市场，近日增开北京至三明北T91/T92次、北京南至长春G383/G384次列车，为沿途地区旅游经济的发展增添“火车引擎”。O网页链接 ​​​​                                            ", 2014-4-24 16:03,49,7,1,微博 weibo.com,B1dLJ3KSW
64,"
                                                                                                    #铁路一线微聚焦#昆明铁路局昆明机务段自主研制的SS3B固定重联机车网络部件综合试验台通过仿真车运行环境，解决了机车重联网络部件在运行过程中出现的多种故障和技术难题，提高了电力机车零部件的可靠性，大幅降低了机车零部件的检修成本。图为该段职工在试验台上测试电力机车网络部件。 ​​​​                                            ", 2014-4-24 15:15,51,3,5,微博 weibo.com,B1ds80jel
65,"
                                                                                                    #主人，你在哪里？#南宁站失物招领信息。                                            ", 2014-4-24 15:13,32,4,2,微博 weibo.com,B1drnkxuG
66,"
                                                                                                    #铁路资讯微发布#【哈大盘营高铁实行新的夏季运行图】哈大、盘营高铁实行夏季运行图后，G字头和D字头动车组分别按照最高时速300公里和250公里运行，大连北至哈尔滨西最快旅行时间为3小时30分；大连北至北京南最快旅行时间为5小时29分。 O网页链接 ​​​​                                            ", 2014-4-24 14:32,46,6,4,微博 weibo.com,B1daNzOYW
67,"
                                                                                                    #新时期铁路精神宣传画、宣传片征集活动#即日起至2014年6月30日止开展征集，以新时期铁路精神为主题，生动反映“安全优质、兴路强国”的基本内涵，体现铁路厚重的文化积淀，展示铁路职工的良好形象，彰显铁路人的目标追求和责任担当。具体事宜请看大图。 ​​​​                                            ", 2014-4-24 11:10,70,6,3,微博 weibo.com,B1bQxEo9x
68,"
                                                                                                    #铁路一线微聚焦#南昌铁路局福州客运段改变普速列车快餐经营模式，使用透明度高的快餐盒，让旅客能够直接看见餐料，提升了餐车服务质量和经营业绩。图为近日，该段K526次列车工作人员准备为旅客送快餐。 ​​​​                                            ", 2014-4-24 10:25,60,10,9,微博 weibo.com,B1bym5R5a
