序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【五一小长假 消防安全那点事】1、外出旅游前自查自纠家中火灾隐患；2、旅游过程中时刻注意防火；3住宾馆过程中要熟悉逃生通道；当然，防范火灾远不止这三点，只有不断提高防火意识，注意自查自纠火灾隐患，劝导和制止他人的消防违法行为，发现火灾隐患要向消防部门举报，才能确保消防安全。 ​​​​                                            ", 2014-4-30 10:03,16,3,1,微博 weibo.com,B25YxpcK5
2,"
                                                                                                    //@北京消防: 根据我国《消防法》规定，任何单位、个人不得损坏、挪用或者擅自拆除、停用消防设施、器材，不得埋压、圈占、遮挡消火栓。单位违反以上规定的，责令改正，处五千元以上五万元以下罚款；个人违反以上规定的，处警告或者五百元以下罚款。                                            ", 2014-4-30 09:45,2,评论,4,政府版微博,B25RerrLn
3,"
                                                                                                    【五一出行要“体检”】“五一”小长假，高速免费通行，5月1日零时至5月3日24时，自驾的朋友相对会多起来，在此提醒大家安全莫忘。出发前先给爱车做个“体检”。同时也提醒大家要了解一些自救常识，一旦发生意外事故时可以保护自己，将损失降至最低。祝大家旅途平安。 ​​​​                                            ", 2014-4-30 09:35,9,评论,赞,微博 weibo.com,B25Nfn1MJ
4,"
                                                                                                    //@中国消防: 【礼佛烧香注意消防安全】五一期间，许多人选择到寺庙烧香礼佛、祈福求安。请遵守寺庙规定，注意防火安全，集中烧香点烛，别让自己一时的疏忽大意给古刹名寺和他人的安全带来损害！                                            ", 2014-4-29 11:41,27,2,53,微博 weibo.com,B1XbYdw7U
5,"
                                                                                                    【五一注意消防常识--公交车火灾如何逃生？】公交车起火，驾驶员应保持清醒的头脑，根据“先人后车”的原则，及时让乘客逃生。乘客在逃生中，切忌恐慌拥挤，这样不利于逃生，容易发生踩踏事故，造成人员伤亡。在逃生时，要往上风方向跑，切忌返回车内取东西，因为烟雾中有大量毒气，吸入后也可能致命。 ​​​​                                            ", 2014-4-29 11:13,15,1,赞,微博 weibo.com,B1X0sgwYC
6,"
                                                                                                    五一长假将至，友友们出游入住酒店时刻不忘消防安全哦！                                            ", 2014-4-29 09:38,1,1,赞,微博 weibo.com,B1WnU25Xy
7,"
                                                                                                    【出游入住酒店注意消防安全】出游住酒店，遇到火灾该如何自救？1、不慌乱，不轻易打开房门观望。通过触摸感觉房门温度判断火情。2、发生火灾后利用身边消防器材逃生或扑救。3、合理利用酒店的房间避难。如果不是自己的房间起火，一般来讲自己的房间就是最好的避难地。4、楼层较高不要盲目跳楼。 ​​​​                                            ", 2014-4-29 09:37,17,3,赞,微博 weibo.com,B1Wnj6PSR
8,"
                                                                                                    转发微博                                            ", 2014-4-29 09:04,转发,评论,赞,政府版微博,B1WacfdNW
9,"
                                                                                                    【汽车水箱开锅怎样处理】1.找一个安全地方停车，千万不要立即熄火。让发动机保持怠速空转继续散热，同时打开发动机盖提高散热速度。2.等到水温表指针降到适温位置后，关掉引擎。3.用湿毛巾包水箱盖，打开第一道开关，待水蒸气压力释放完，检查水箱内的水，以及风扇皮带是否有异常。 ​​​​                                            ", 2014-4-29 08:55,14,3,1,微博 weibo.com,B1W6h1wWs
10,"
                                                                                                    回复@滇剧传习馆张雄: //@滇剧传习馆张雄:介个习惯、很危险                                            ", 2014-4-28 16:33,2,1,赞,微博 weibo.com,B1PG0wpGg
