序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #晚安心语#心 到,做到,闻到,吃到,听到,人到,手到,说到,做到,得到,日子到,时间到,劳动节马上到,祝盆友们五一快乐 ！晚安~   ​​​​                                            ", 2014-4-30 23:30,3,2,3,皮皮时光机,B2bgfrQ9r
2,"
                                                                                                    #警务新闻#近日，丽江市公安局交警支队城市交警大队执勤民警在三家村红绿灯口下方南口路执勤过程中捡到一个钱包，经当场检查，钱包内有重要证件、银行卡若干。考虑到失主可能是出门的旅客，民警替失主心急如焚，几经周折后，民警成功联系上失主并将钱包还给了失主。@云南丽江警方 ​​​​                                            ", 2014-4-30 17:04,8,7,2,微博 weibo.com,B28Ju6eyN
3,"
                                                                                                    #警务新闻#德宏芒市公安局北城派出所刑侦民警通过深入村寨了解民情、民意，广辟线索来源。近日，在准确掌控吸毒人员踪迹后，刑侦中队全警出动，在辖区西里社区将涉嫌吸毒的梁某、万某、王某、朗某、方某等5人抓获。目前，5名违法人员已被采取强制隔离戒毒。@平安德宏 @平安芒市 ​​​​                                            ", 2014-4-30 16:02,9,6,赞,微博 weibo.com,B28kfshJa
4,"
                                                                                                    【“五一”小长假 昆玉昆武高速公路出行指南】五一劳动节期间，全国收费公路将对7座及以下载客车辆免费通行时间为5月1日0时至5月3日24时。交警友情提示，由于外出游玩车流量增加，加之道路施工，请注意以下特殊路段，合理计划出行路线。小编为您奉上高速公路出行指南，方便您的小长假出行                                            ", 2014-4-30 15:26,7,2,赞,360安全浏览器,B285xCXKM
5,"
                                                                                                    #警察百科#【最早的交通信号灯2】最初有色信号灯是靠皮带转动来换颜色，后来在信号灯的中央放一盏煤气灯，再在前面装上红色和绿色的玻璃。1950年美国发明了一种地面感应信号灯。随着科学技术的发展，现在已经使用“智能”信号灯、电子控制信号灯等。 ​​​​                                            ", 2014-4-30 12:55,6,3,赞,微博 weibo.com,B276vvT4F
6,"
                                                                                                    #警务新闻#阿呷尼体（化名）伙同阿呷有体、杨阿大、罗古约虎到缅甸国果敢老街购买了30块海洛因，四人在永德县购买黄牛20头，并将30块海洛因分藏在5头黄牛肛门内，以运输、贩卖黄牛为掩护，准备将毒品运往四川攀枝花交易。不料被临沧永德县公安局民警查获。目前，4名犯罪嫌已被刑拘，案件深审中。 ​​​​                                            ", 2014-4-30 11:18,17,17,赞,微博 weibo.com,B26t0tqWr
7,"
                                                                                                                                                ", 2014-4-30 11:08,7,6,460,360安全浏览器,B26oKkOQa
8,"
                                                                                                    #警务新闻#近日，玉溪易门县公安局巡逻警察大队民警在大军线K7路段检查时，抓获一名跨区域性贩卖香烟的嫌疑人秦某，当场扣押涉案价值7000余元的“顺红梅”香烟250条、现金33000元以及用于作案的微型车一辆。目前，县公安局巡逻警察大队已将扣押的香烟、现金、车辆以及秦某移交易门县烟草公司处理。 ​​​​                                            ", 2014-4-30 10:41,9,2,2,微博 weibo.com,B26dLd93W
9,"
                                                                                                    #禁毒在行动#近日，普洱墨江县公安局警务站民警在昆磨高速公路墨江县境内进行公开查缉时，在一辆从普洱驶往墨江的轿车驾驶位与副驾驶位中间的储物箱夹层内查获毒品海洛因可疑物，计重210克。并当场将驾乘该车的贵州盘县籍的犯罪嫌疑人刘某某、邓某某、张某某、李某某等四人抓获。@普洱警方 ​​​​                                            ", 2014-4-30 09:45,8,4,1,微博 weibo.com,B25R2zvam
10,"
                                                                                                    #交通提醒#【昆玉高速路施工 五一去澄江尽量绕行】每年五一，澄江都是昆明私家车出游热点，通过昆玉高速到马金铺收费站前往澄江，是市民主选线路。今年由于昆玉高速杜家营立交路段、玉溪北城路段都在施工，请市民尽量从彩云南路、昆石高速绕行。@昆明发布 ​​​​                                            ", 2014-4-30 09:28,7,4,赞,微博桌面,B25KnfOBD
