序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【将女儿扔至公路中间碾死的残忍母亲已被刑拘】据@慈溪公安：昨日(29日)，浙江省慈溪市329国道龙山段发生一起幼女被扔至公路中间遭车碾压致死事件，犯罪嫌疑人将女儿扔到公路中间，致其被一锅炉集装箱车碾压死亡。目前，犯罪嫌疑人胡某已被公安机关刑事拘留，案件正在进一步调查之中。 ​​​​                                            ", 2014-4-30 19:49,171,65,8,中国移动-三星GalaxyNote3,B29Oa3q0R
2,"
                                                                                                    【警方108个电话 没能阻止他把钱汇给骗子】小蒋4月28日收到一份指控他涉及“洗钱案”的传真，所幸传真副本被打印店主拿去给警方鉴定为假冒。何警官给小蒋打了108个电话，并通知辖区内所有银行阻止转账、通知巡警和巡逻队员、社区民警搜寻盘查，还是无法阻止小蒋被骗……O下沙警方整整108个电话 没能阻止他把钱汇给骗子 ​​​​                                            ", 2014-4-30 13:36,202,135,23,中国移动-三星GalaxyNote3,B27mXyVI2
3,"
                                                                                                    如查证必受严惩！//@姑苏公安:怎么这么狠心，是亲妈吗？                                            ", 2014-4-30 13:16,87,68,10,中国移动-三星GalaxyNote3,B27eHtDJ6
4,"
                                                                                                    想当警察的看过来#警院招生季# 中国刑事警察学院2014年本科生招生章程  O网页链接 ​​​​                                            ", 2014-4-30 13:09,44,25,7,中国移动-三星GalaxyNote3,B27c2AgMt
5,"
                                                                                                    【“伪基站”也参加车展 ，两团伙７人被抓】 北京国际车展开幕以来，警方多次接群众报警，有人使用伪基站在新国展周边群发商业广告短信。接报后北京警方立即开展工作，成功打掉藏身车展的2个利用“伪基站”从事违法犯罪的团伙，抓获犯罪嫌疑人7名，起获“伪基站”发送设备2台。说了别凑热闹了！ ​​​​                                            ", 2014-4-30 11:18,20,9,4,中国移动-三星GalaxyNote3,B26sSvMOE
6,"
                                                                                                    【遇到猥亵要勇敢抗拒】 日前，一名男子在上海一公交车上连续对两名女孩进行猥亵，先是用手抚摸身边的一个女孩，遭到女孩白眼后，又借背包做掩护抚摸另一个睡着女孩的胸部，乘客陆先生发现后拍下视频将其抓获并报警，该男子现已被拘留。姑娘们遇到猥亵要勇敢抗拒，可以大声怒斥，不要忍气吞声！ ​​​​                                            ", 2014-4-30 10:58,18,24,8,中国移动-三星GalaxyNote3,B26kZcxqB
7,"
                                                                                                    【明天，这些新规正式实施！看第④点】①看病上学住房遇难题可申请救助，特困人员由国家养 ②""驰名商标""字样将禁止在商品包装和宣传中出现③医患须签协议拒绝红包 ④窃听偷拍设备全面禁止生产和销售 ⑤北京：禁止露天烧烤制售凉菜 ⑥上海：扔垃圾不分类最高罚200元。更多新规戳下图！（央视新闻） ​​​​                                            ", 2014-4-30 08:44,44,19,1,中国移动-三星GalaxyNote3,B25siqMTQ
8,"
                                                                                                    且行且珍惜//@警民直通车-上海:→_→//@警民直通车-松江: 如果有一天你某个“朋友”不再更新朋友圈，有可能不是他不玩微信了，而是被蜀黍抓了                                            ", 2014-4-29 21:43,54,13,9,中国移动-三星GalaxyNote3,B218cpd0J
9,"
                                                                                                    广东省公安厅公开悬赏的头号涉枪通缉逃犯落网！                                            ", 2014-4-29 21:14,23,10,49,iPhone客户端,B20Wtb4E6
10,"
                                                                                                    【人间悲剧：父亲砍死追星女儿】“爱明星比爱父母重要”，砍死追星女儿的李某不停强调女儿的这句话，正是这句话刺激了他，才令他一时冲动。2013年11月8日，在父女俩的争吵中，李某持刀砍向13岁女儿楠楠头面部致其死亡，自己也割腕试图自杀。现李某以故意杀人罪被起诉。这案件让人深觉沉重  ​​​​                                            ", 2014-4-29 20:07,34,33,1,iPhone客户端,B20vhpx8r
11,"
                                                                                                    【一条短信牵出2000万元大案】张女士收到手机短信，提示她银行卡口令卡即将过期，需登陆网银升级，她点击短信中的链接，输入用户名和密码后一分钟，她的卡已被转走了34567.89元。山东烟台警方循线追击查来源，侦破一起特大伪基站生产、销售案，抓获嫌疑人12名，缴获伪基站41部，案值2000余万元。 ​​​​                                            ", 2014-4-29 17:35,34,13,10,微博 weibo.com,B1Zvm4xUW
12,"
                                                                                                    【命案在逃嫌疑人三次自杀未遂】4月26日，一中年男子在湖北石首跳江，被救起后却拒绝说出真实身份。经警方深挖，原来跳江者是一名网上通缉的命案在逃嫌疑人，他在今年4月3日杀死了妇女周某后外逃，在绝望先后两次服安眠药和老鼠药自杀均没成功，这次跳江已是他第三次自杀未遂。早知今日，何必当初？ ​​​​                                            ", 2014-4-29 14:30,75,38,7,微博 weibo.com,B1Yibhsto
13,"
                                                                                                    【习近平喀什视察派出所：平时多流汗战时才能少流血】习近平28日来到喀什市公安局乃则尔巴格派出所，察看视频监控、警用装备，观看反恐防暴演练。他说，我很关心你们的装备和训练，对付暴力恐怖犯罪分子一定要有有效手段。训练一定要按实战化坚持下去。平时多流汗，战时才能少流血。 ​​​​                                            ", 2014-4-29 11:25,21,20,9,微博 weibo.com,B1X5r3xEr
