序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                                                                ", 2014-4-30 21:24,48,21,41,小米手机2,B2aqYytOU
2,"
                                                                                                    【我国每年交通事故死亡人数6.3万人】今年是道路交通安全法实施10周年。你知道吗：①10年，我国年均机动车增1500万辆，驾驶人增2000万人；②近5年交通事故死亡人数保持在6.3万人左右；③年均查处超速行驶4000余万起、客车超员19万起、无证驾驶250万起。道路交通安全，你我共同努力！(人民日报) ​​​​                                            ", 2014-4-30 18:02,120,30,13,微博 weibo.com,B296Q27KW
3,"
                                                                                                    【“富二代”隐瞒家世打工救人 用生命践行诺言】福建的陈福泉是名副其实的""富二代""，但生活朴实、待人谦和。4月20日，在南阳打工的他看到同事落水，毫不犹豫地跳河救人，自己却献出生命，年仅25岁。陈父说：“阿泉是见义勇为去的，他做得很对，我们不会提出任何赔偿要求。”O网页链接 ​​​​                                            ", 2014-4-30 17:06,292,220,520,微博 weibo.com,B28KjwxNt
4,"
                                                                                                    【七旬老太4米臭坑救幼童】不顾年逾七旬、池深4米，不顾粪水恶臭扑鼻、自己不会游泳，面对2岁半幼童落水的危急时刻，她冒着生命危险毅然跳进沉淀池——无论如何得把孩子救上来！当被众人拉上岸后，她已累得瘫倒在地。她叫黄秀真，今年76岁，商丘虞城县田庙乡人。向黄奶奶致敬！O网页链接 ​​​​                                            ", 2014-4-30 16:37,379,120,778,微博 weibo.com,B28yz872X
5,"
                                                                                                    【如厕被偷拍 女子淡定叫朋友围堵色狼】福州某餐厅一男厨师上卫生间时，发现隔壁包间的卫生间进来一名女客，不禁色心大动，用手机偷拍她小便。女客小林马上意识到有人在偷拍，但她没声张，而是走到卫生间外，叫来朋友一起悄悄堵在包间的门口。男厨师因侵犯他人隐私被警方行政拘留。遇色狼，智斗！ ​​​​                                            ", 2014-4-30 15:47,153,44,81,微博 weibo.com,B28e2qEyJ
6,"
                                                                                                    【重要提醒：必须知道应对的四种偷车方式】①后挡风玻璃上贴纸，应对：开出去一段路后再下车撕掉那张纸。②假撞车真偷车，应对：锁好车门；③设置障碍偷车，应对：摇上车窗。④电子干扰器偷车(这种偷车方式神不知鬼不觉，而且入门门槛不高，应该是目前最常见的偷车方式)，应对：拉下车门确认是否锁好。 ​​​​                                            ", 2014-4-30 15:16,671,129,93,微博 weibo.com,B281v0thV
7,"
                                                                                                    【男子持刀追砍母亲 挑衅警察“有本事单挑”】近日，宁波云龙镇， 20多岁年轻小伙王某，疑因母亲劝他多做几份工挣钱而殴打母亲，还找来菜刀追砍她。民警赶来，在劝阻无效后鸣枪示警，不料这“熊儿子”竟嚷道“有本事别用枪，我们单挑！” 现王某因涉嫌故意杀人罪被刑拘，其母仍在医院进一步治疗。 ​​​​                                            ", 2014-4-30 14:49,238,108,23,微博 weibo.com,B27QKnh0P
8,"
                                                                                                    【2014年“五一”假期安全提示】“五一”假期将至，不少小伙伴将投入旅游观光、大型活动、自驾出行的“滚滚人流”。公安部治安管理局发布安全提示，提醒广大游客出行、游玩牢记安全第一，特别是在人多拥挤时正确应对避险，欢享完美假期。（详见长微博） ​​​​                                            ", 2014-4-30 14:33,628,108,22,微博 weibo.com,B27K4nIXb
9,"
                                                                                                    【扩散帮老人完成遗愿！隋传好你在哪？】山东89岁老太荆玉香寻找因神智不清走失的儿子隋传好近一年半时间，行程上万里。1月老人查出结肠癌，但她放弃治疗依旧到处寻人。8日老人离世前留下遗愿：叮嘱孙子隋伟一定要找到他爸爸！请留意街头流浪人员，发现线索请拨打18608027085 O89岁老太万里寻儿未果留遗愿 ​​​​                                            ", 2014-4-30 12:03,394,87,60,微博 weibo.com,B26LcmIKu
10,"
                                                                                                    【五一期间北方降温南方降雨 驴友出行需注意安全】据预报：五一期间，西北地区东部、华北、东北及黄淮等地将有4-8℃降温，局地气温猛跌10℃以上；新疆南疆盆地、内蒙古部分地区将有浮尘或扬沙天气；江南、华南等地出现较强降雨。打算外出的童鞋一定要关注天气变化，注意出行安全。转发周知！ ​​​​                                            ", 2014-4-30 11:35,201,32,16,微博 weibo.com,B26zFiEZe
11,"
                                                                                                    【紧急扩散！开车警惕新式诈骗】26日晚，李某驾车在云南，突然一年轻女子从路边冲出狂奔而来，刹车后，她扑到引擎盖上慢慢滑下。然后，女子朋友出现将她抬走，并说“和你们没关系，走吧”。但之后对方报警，称李某肇事逃逸，女子“怀孕伤重”。所幸监控还原真相。遇此情况请报警！O女子一路狂奔扑向车头　监控视频还司机清白 ​​​​                                            ", 2014-4-30 11:16,1605,359,213,微博 weibo.com,B26rW1hd7
12,"
                                                                                                    【孕妇羊水破裂自驾就医遇堵 交警火速驰援】近日，四川成都已有8个月身孕的龙女士独自在家，不料羊水破裂，叫救护车来不及，于是自驾直奔离家20公里外的医院。羊水破裂不断加剧，道路愈发拥堵，龙女士求助路边执勤的交警，自己坐到后排，交警一屁股坐进羊水湿透的驾驶座将其送至医院...最终母子平安。 ​​​​                                            ", 2014-4-30 11:03,314,162,460,微博 weibo.com,B26mKurrz
13,"
                                                                                                    【黑作坊废水直排入河 老板员工齐被拘】周某在柳市镇开办了一家无证电镀厂进行非法电镀，产生的废水直接排入附近的河道。该电镀厂采用硫酸等物进行电镀排放含铬、锌等有毒物质，严重污染了环境。近日，周某和员工陈某因涉嫌重大环境污染罪被杭州乐清警方抓获！牺牲环境赚钱终受法律制裁！ ​​​​                                            ", 2014-4-30 10:19,180,61,41,微博 weibo.com,B264Oy8gL
