序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【分享 云南之美】丽江，小桥、流水、古街、老巷、旧屋，一米阳光，春暖花开，风清云淡。据@云南旅游必读   ​​​​                                            ", 2014-4-30 22:02,14,2,11,人民微管家,B2aGkjmmk
2,"
                                                                                                    这辈子一定要和恋人去云南做的事                                            ", 2014-4-30 21:56,88,13,64,360安全浏览器,B2aDQlhLM
3,"
                                                                                                    【巧用淘米水】淘米水的妙用你知道吗？来看看吧：1.用淘米水洗浅色衣服易去污，而且颜色鲜亮。2.沉淀后的淘米水再加热水，可以用来浆衣服。3.用淘米水洗手，可用滋润皮肤作用。4.用淘米水漱口，可以治疗口臭或口腔溃疡。5.用淘米水擦洗后的油漆家具，比较明亮。据@常识百科 ​​​​                                            ", 2014-4-30 21:00,21,4,7,人民微管家,B2ah9fcuv
4,"
                                                                                                    【凤尾花开】在春末时。远远的如伞盖似的一蓬绿中，簇拥了顶上的那一片不连续的红，让人感觉有些无言的动人，绚烂又辉煌。红艳的花朵，散落在大理石装砌的石桌上，飘散在幽静的长廊。就是那么小小的花托，五片扇形的花瓣就那么嵌在小小的花托上，就那么包围了紧紧簇拥在一起的花蕊。据@微巧家 ​​​​                                            ", 2014-4-30 20:00,12,5,3,人民微管家,B29SP3v7P
5,"
                                                                                                    //@央视新闻: 【提醒：""白色耳机""可能最招贼！】三星、苹果等高档手机配的几乎都是白色耳机，小偷发现了这规律……北京铁路警方曾通报，小偷最喜欢的就是尾随戴白色耳机的人作案。警方曾抓到一名小偷，其多次作案对象都戴白耳机。提醒大家，假期出游看管好手机！                                            ", 2014-4-30 19:31,16,6,1224,360安全浏览器,B29H8d2Z6
6,"
                                                                                                    假期出游，一起文明“一点”                                            ", 2014-4-30 19:28,7,1,1,360安全浏览器,B29FYnAQG
7,"
                                                                                                    很给人信心啊！                                            ", 2014-4-30 19:27,22,8,69,360安全浏览器,B29FArZID
8,"
                                                                                                    【一次性纸杯内壁遇热软化不宜盛热水】纸杯涂层不是网上所传的蜡，而是常见的“聚乙烯”，但也不宜盛热水。温度升高，接近聚乙烯或者是聚丙烯的熔点以后，这些材料会软化，软化以后有可能通过饮料进入人体，当然这是微量的，只有长期饮用，才有可能对人体造成安全的危害和隐患。据@新浪健康 ​​​​                                            ", 2014-4-30 19:00,6,1,2,人民微管家,B29urj0DS
9,"
                                                                                                    【云南味道 云州马打滚！】马打滚是临沧云县（古称云州）的特色小吃之一。冬季，用如玉似珠的上好糯米磨成米浆，做成腊面。先将腊面用清水搅拌均匀，然后捏成圆状，倒入开水中煮至熟捞出后倒入备好的香料中来回滚动。香料由炒过的黄豆粉拌芝麻、白糖等。其口味香中带甜、温润香糯。据@云南丽江攻略  ​​​​                                            ", 2014-4-30 18:04,12,5,6,人民微管家,B297I629I
10,"
                                                                                                    【云南·白茫雪山】白茫雪山又名白马雪山，海拔5640米，峰顶终年积雪不化。冬季的白茫雪山千里冰封、万里雪飘，游览之人可尽情领略雪域风情。走在海拔3000多米的盘山公路，仰望群山，能近距离触摸雪山，亲吻雪山的脸颊，人生一大幸事！据@硚口发布 ​​​​                                            ", 2014-4-30 17:00,5,评论,4,人民微管家,B28HKxYht
