序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #办理反馈# @西山是我山 向 @昆明12345市长热线 反映环城北路233号城市之光大楼门口窨井冒水问题收悉。现已经由盘龙区建设投资有限公司调查并解决。感谢你对我们工作的信任和支持。 ​​​​                                            ", 2014-4-30 16:27,转发,评论,1,微博 weibo.com,B28ubz5yg
2,"
                                                                                                    #办理反馈# @celiaruby 向 @昆明市长 反映“科光路与昌源中路交叉口红绿灯故障”问题收悉。经昆明市公安局调查，反映情况属实，原因系信号机分控板故障引起。交警支队已安排维修人员对信号机进行了维修，28日17时40分，该路口各方向信号灯已恢复正常。感谢您对我们工作的支持和信任。 ​​​​                                            ", 2014-4-30 15:33,1,2,赞,微博 weibo.com,B288jxDl6
3,"
                                                                                                    #办理反馈# @懒得笨兔子 向 @昆明市长 反映“盘龙江畔的排水管道改造工程噪音扰民”问题收悉。现将五华区环保局调查情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-30 13:11,3,1,赞,微博 weibo.com,B27cK37V8
4,"
                                                                                                    #办理反馈# @kongweite 向 @昆明12345市长热线 反映“云南省财经学校、云师大二附中、云师大文理学院等周边摊贩占道经营”问题收悉。现将五华区政府城管综合执法局调查情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-30 13:03,3,1,4,微博 weibo.com,B279G2zWe
5,"
                                                                                                    #办理反馈# @上好佳佳佳佳佳佳佳 向 @昆明市长 老贵昆路建设进度的问题收悉。现将昆明市建设管理公司调查情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-30 12:59,1,4,2,微博 weibo.com,B277R8fJP
6,"
                                                                                                    #办理反馈# @昆明好市民 向 @昆明12345市长热线 反映春城路祥鹏航空公司门口非机动车道，管沟盖板破损问题，现已经昆明供电局实地查看并更换盖板。 ​​​​                                            ", 2014-4-30 12:55,转发,评论,赞,微博 weibo.com,B2768s8ke
7,"
                                                                                                    #办理反馈# @mayi-Leehom 向 @昆明市长 反映寻甸县先锋化工厂废气污染的问题已经寻甸县政府调查，现将相关情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-30 12:50,4,3,2,微博 weibo.com,B274aq8uy
8,"
                                                                                                    #办理反馈# @Km小熙 向 @昆明12345市长热线 反映珥季路中段大澡堂对面的悦轩海鲜大排档随意排污问题收悉。经官渡区政府调查情况属实，官渡区综合行政行政执法五中队队员已责令其禁止在路边洗碗、在人行道上倾倒污水，并对经营者和员工进行了说服教育和法规宣传。下一步加强监管整治力度。 ​​​​                                            ", 2014-4-29 15:13,转发,1,赞,微博 weibo.com,B1YzOiFC4
9,"
                                                                                                    #办理反馈# 网友 @爱我昆明2013 向 @昆明市长 反映西山区育红小学门口卫生脏乱差的问题已多次向相关部门反映未果的问题收悉。现将西山区城管综合执法局调查情况回复如下，见长微博。 ​​​​                                            ", 2014-4-29 13:57,3,1,1,微博 weibo.com,B1Y4R5ppx
10,"
                                                                                                    #办理反馈# @nonono小姐 向 @昆明市长 反映“昆明动物园正门口停车场存在乱收费现象”的问题收悉。并已由市发改委责成五华区发改局调查处理，现将相关情况反馈如下，见长微博。 ​​​​                                            ", 2014-4-28 15:48,4,8,赞,微博 weibo.com,B1PnsrryY
11,"
                                                                                                    #办理反馈# @生命胡椒 向 @昆明市长 反映“办理地铁卡及公交IC卡充值不方便”的问题收悉。现将市轨道交通公司调查处理情况回复如下。 ​​​​                                            ", 2014-4-28 14:33,4,3,1,微博 weibo.com,B1OSZngav
12,"
                                                                                                    #办理反馈# @Cathy_小雅 向 @昆明12345市长热线 反映“盘龙江边红园路两旁的路灯一直开着”的问题收悉。现将市城管综合执法局调查情况反馈如下。 ​​​​                                            ", 2014-4-28 14:23,2,2,赞,微博 weibo.com,B1OOWus3W
13,"
                                                                                                    27日，“美丽春城·幸福昆明”知名媒体昆明行暨“睿见·城市”新浪名博高峰论坛在昆明举行。来自国内历史、文化、财经等多领域的名人齐聚昆明，与本土专家、学者分享在昆的所观所感，并就如何“以文立市”，促进世界知名旅游城市建设建言献策。 O网页链接  ​​​​                                            ", 2014-4-28 14:14,2,评论,1,百度分享,B1OLqsV4r
14,"
                                                                                                    #办理反馈# @青青俞姐姐 向 @昆明市长 反映“海屯路和科技路交叉口占道经营和噪音扰民”问题收悉。现将五华区政府调查情况反馈如下。见长微博。 ​​​​                                            ", 2014-4-28 11:48,转发,2,1,微博 weibo.com,B1NOj9tc3
15,"
                                                                                                    最近有市民反映，在南屏街等路段有人自称是城管人员，向违章商户索要好处。4月23日，五华区综合行政执法局将1名正在向商户索要好处的“假城管”抓了个现行。昨日，记者从五华公安分局获悉，嫌疑冒充城管行骗的杨某已被警方行政拘留。 O网页链接  ​​​​                                            ", 2014-4-25 16:51,转发,4,2,百度分享,B1nvxy4Qz
16,"
                                                                                                    24日，昆明市公安局经侦支队民警在河岸村的一套出租房里捣毁一个制造假名酒的窝点，抓获2名嫌疑人，当场查获62瓶刚刚包装好的假酒，涉案金额9万余元。 O网页链接  ​​​​                                            ", 2014-4-25 16:48,转发,评论,2,百度分享,B1nuy7p1b
17,"
                                                                                                    昆明市职工医保新增8个门诊“两特病”病种。城镇职工基本医疗保险门诊待遇水平提高，进一步保障了部分“特殊疾病”、“特殊慢性病”门诊医疗费需求，减轻参保人门诊医疗费用负担。 O网页链接  ​​​​                                            ", 2014-4-25 16:46,3,1,赞,百度分享,B1ntvEGID
18,"
                                                                                                    #办理反馈# @小子弟味道云南馆 向 ？@昆明12345市长热线 询问昆明免费向市民开放的图书馆有哪些？具体地址在哪儿的问题收悉。现将昆明市文化广播电视体育局提供的昆明城区内省、市图书馆和县区图书馆信息提供如下。希望给你带来方便。 ​​​​                                            ", 2014-4-25 16:36,6,4,3,微博 weibo.com,B1npHwWRm
19,"
                                                                                                    #办理反馈# @财税学徒 向 @昆明12345市长热线 反映“华夏曦岸小区未通煤气”的问题已收悉。现将昆明市住房和城乡建设局调查情况反馈如下。 ​​​​                                            ", 2014-4-24 14:46,转发,3,1,微博 weibo.com,B1dgx4EJ5
20,"
                                                                                                    刷微信办理港澳个人旅游再次签注业务，满足大家不同需求                                            ", 2014-4-24 11:34,5,1,3,政府版微博,B1c0ywMoX
