序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    盘龙江边的蓝花楹开了！趁着天气晴好，趁着恰逢假期，小伙伴们快去赏花吧！//@中国手机摄影师协会: 转发微博                                            ", 2014-4-30 16:54,转发,评论,3,微博 weibo.com,B28FefmDv
2,"
                                                                                                                                                ", 2014-4-30 15:59,转发,评论,赞,微博 weibo.com,B28iZaFdL
3,"
                                                                                                                                                ", 2014-4-30 15:24,1,评论,赞,微博 weibo.com,B284J4SVd
4,"
                                                                                                                                                ", 2014-4-30 11:35,6,评论,9,微博 weibo.com,B26zMm8O5
5,"
                                                                                                                                                ", 2014-4-30 11:34,4,评论,4,微博 weibo.com,B26zw94gy
6,"
                                                                                                    #昆明新闻#【“五一”交警全员上岗保通 呼吁市民文明出行】 “五一”节假日期间，国家继续执行高速公路对7座以下小客车免费通行政策。随着市民频繁的出行及增多的出行需求，“五一”节假日道路交通又将面临严峻形势，为维护节假期间的道路交通秩序，市交警支队将全员上岗保通。 O网页链接 ​​​​                                            ", 2014-4-30 09:56,2,评论,1,微博 weibo.com,B25Vt6ydj
7,"
                                                                                                    #度假休闲#【""昆虫""不必飞太远 五一可到昆明各县区好吃好玩】 “再不出去，春天就走了！”那么，趁五一小长假，让我们掩门出发，在大自然里徜徉花海、享受阳光、沐浴春风，一解惜春、怨春的愁苦，尽享春的美丽。 ​​​​                                            ", 2014-4-30 09:54,12,4,1,微博 weibo.com,B25UEztDJ
8,"
                                                                                                                                                ", 2014-4-30 09:49,转发,评论,赞,微博 weibo.com,B25SI2EHc
9,"
                                                                                                    @昆明警方 @昆明交警 请关注处理，并回复网友。                                            ", 2014-4-30 09:47,-1,评论,4,微博 weibo.com,B25RQx9n1
10,"
                                                                                                    #昆明新闻#【《云南省城乡居民基本养老保险实施办法》6月1日实施】 无论你是城市居民，还是农村居民，只要符合参保条件，按时缴纳城乡居民基本养老保险，都可以享受到领取养老金和政府补贴的同等待遇。6月1日起，《云南省城乡居民基本养老保险实施办法》将正式实施。 O网页链接 ​​​​                                            ", 2014-4-30 09:45,6,评论,1,微博 weibo.com,B25R6q4wb
