序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【消防员的装备有多重？】你知道消防员的一般装备有多重吗？今天昆明消防就来为你解答。@无线昆明 ​​​​                                            ", 2014-4-30 13:31,1,评论,赞,360安全浏览器,B27kL2DJ4
2,"
                                                                                                    【火灾烟气伤人“三板斧”】大火未至，浓烟先到，这是火灾的特性。火灾烟气有“三性”，即毒害性、减光性、恐怖性。了解它对我们生理、心理造成的强大影响，熟知原理，克服恐惧，关键时刻学以致用！昆明消防今天为你解说“火灾烟气伤人三板斧”。@无线昆明 ​​​​                                            ", 2014-4-30 13:30,1,评论,赞,360安全浏览器,B27kvEkd6
3,"
                                                                                                    【昆明消防提醒广大市民注意五一消防安全】@无线昆明 ​​​​                                            ", 2014-4-30 11:52,3,评论,赞,360安全浏览器,B26GIjDVM
4,"
                                                                                                    转发微博                                            ", 2014-4-29 15:09,转发,评论,赞,360安全浏览器,B1Yyk5GAa
5,"
                                                                                                    【巴黎首次出现消防船】1762年，巴黎首次出现了消防船。当时主要是对付在塞纳河上木桥发生的火灾，和在塞纳河上航行的小船，艇发生的火灾。到了1764年，巴黎共计有8艘消防船。这些船上装有手揿泵浦。它们直到19世纪才退出服役。@无线昆明 ​​​​                                            ", 2014-4-29 15:09,1,评论,赞,360安全浏览器,B1YyaC1YJ
6,"
                                                                                                    【电器失火四大诱因】1、电器短路:由于线路绝缘层损坏，导线短路产生强烈的火花，引起可燃物起火。 2、超负荷:由于同时开启的电器用电量超过导线安全值，导线升温引起火灾。3、漏电:漏电会产生火花，引起火灾。 4、线路接触不良，发生升温或打火，引起火灾。@无线昆明 ​​​​                                            ", 2014-4-29 15:08,转发,评论,赞,360安全浏览器,B1YxOsegk
7,"
                                                                                                    转发微博                                            ", 2014-4-29 15:08,转发,评论,赞,360安全浏览器,B1YxBt8J3
8,"
                                                                                                    转发微博                                            ", 2014-4-28 15:26,转发,评论,赞,360安全浏览器,B1PeGrJII
9,"
                                                                                                    【看不见的安全隐患 消防提醒巧避""夺命""倒车盲区】倒车是日常开车过程中少不了的一个环节，但是由于看不到车后的情况存在盲区，导致儿童意外事故屡屡发生。近期，国内的各大网站上也转载了不少因为倒车不慎造成的儿童意外死亡的令人痛心的消息。@无线昆明 ​​​​                                            ", 2014-4-28 15:23,3,评论,赞,360安全浏览器,B1Pdsf2zF
10,"
                                                                                                    【迎五一旅游高峰 昆明消防发布安全入住""攻略""】@无线昆明 ​​​​                                            ", 2014-4-28 15:23,1,评论,赞,360安全浏览器,B1Pde2bm6
