序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #微警务#近日，治安支队联合刑侦支队在联盟幼儿园开展安全防范知识普及活动。活动中，民警详细讲解了如何防范恐怖袭击和防骗、防拐、防偷常识，同时还展示了防爆安检装备和警用枪械，通过民警的讲解和演示，进一步提高了师生的安全防范能力。【2014.4.30】 ​​​​                                            ", 2014-4-30 16:54,2,4,8,微博 weibo.com,B28FjfzwL
2,"
                                                                                                    昆明地铁1、2号线首期圆满通车。                                            ", 2014-4-30 11:16,4,2,8,微博 weibo.com,B26s5rw8I
3,"
                                                                                                    #微警务#盘龙分局开展“走基层、进社区、办实事、解难题、促和谐、保平安”践行党的群众路线教育实践活动大型宣传活动第一期动员宣传会。                                            ", 2014-4-30 09:30,1,2,1,微博 weibo.com,B25KZBrYl
4,"
                                                                                                    #警用枪械规范管理#一个小时的访谈结束了，非常感谢大家的参与。希望大家继续支持、关心昆明市巡逻防控工作，昆明市公安局将结合昆明实际，以规范巡逻工作为主体，以加强主城建成区巡逻防控为重点，实现“武装巡逻、动中备勤常态化”的要求。谢谢大家！ ​​​​                                            ", 2014-4-29 16:02,9,4,1,360安全浏览器,B1YTP4lhM
5,"
                                                                                                    #警用枪械规范管理#遵守《昆明市公安局巡逻工作实战手册》@云南警方                                            ", 2014-4-29 15:59,转发,评论,赞,微访谈-依法配枪...,B1YSnxCwj
6,"
                                                                                                    #警用枪械规范管理#今后公安机关将加大对配枪民警的训练力度，保证配枪民警每人每年的培训、训练课时数不少于十六学时。@云南警方                                            ", 2014-4-29 15:58,-1,评论,赞,微访谈-依法配枪...,B1YRZl6ry
7,"
                                                                                                    #警用枪械规范管理#人民警察使用警械和武器条例第九条规定的十五种情形，经警告无效的，可以使用武器@云南警方                                            ", 2014-4-29 15:55,1,评论,赞,微访谈-依法配枪...,B1YQSsRdb
8,"
                                                                                                    #警用枪械规范管理#需要取得《持枪证》资格@云南警方                                            ", 2014-4-29 15:53,1,评论,赞,微访谈-依法配枪...,B1YQbkZvN
9,"
                                                                                                    #警用枪械规范管理#没有@云南警方                                            ", 2014-4-29 15:53,-1,评论,赞,微访谈-依法配枪...,B1YPTAUb9
10,"
                                                                                                    #警用枪械规范管理#通过不断的训练来提高民警对枪械的使用能力和水平@云南警方                                            ", 2014-4-29 15:52,转发,评论,赞,微访谈-依法配枪...,B1YPJ0nRc
11,"
                                                                                                    #警用枪械规范管理#有，根据公安部《公安民警违反公务用枪管理行政处罚若干规定》处理，构成犯罪的，依法追究刑事责任。@云南警方                                            ", 2014-4-29 15:50,1,评论,赞,微访谈-依法配枪...,B1YOKoWXL
12,"
                                                                                                    #警用枪械规范管理#有@云南警方                                            ", 2014-4-29 15:46,转发,评论,赞,微访谈-依法配枪...,B1YN73eyO
13,"
                                                                                                    #警用枪械规范管理#多学习多训练@云南警方                                            ", 2014-4-29 15:45,转发,评论,赞,微访谈-依法配枪...,B1YMPBlGk
14,"
                                                                                                    #警用枪械规范管理#友友~民警开枪要根据中华人名共和国《人民警察使用警械和武器条例》第九条的规定，人民警察使用武器的情形有十五种。@云南警方                                            ", 2014-4-29 15:44,转发,评论,赞,微访谈-依法配枪...,B1YMytZz1
15,"
                                                                                                    #警用枪械规范管理#友友~一是加强对配枪民警的法律法规教育：二是加强武器实战技能训练，每位配枪民警都应当熟知《云南省公安机关人民警察使用枪支警械管理规范》，确保每位巡逻民警都能准确使用枪支。@云南警方                                            ", 2014-4-29 15:41,转发,评论,赞,微访谈-依法配枪...,B1YLeBcNw
16,"
                                                                                                    #警用枪械规范管理#一是强化安全管理；二是强化教育训练：三是规范枪支使用。@云南警方                                            ", 2014-4-29 15:37,2,1,赞,微访谈-依法配枪...,B1YJrd3Mg
17,"
                                                                                                    #警用枪械规范管理#友友~按巡逻要求是滴！@云南警方                                            ", 2014-4-29 15:35,转发,评论,赞,微访谈-依法配枪...,B1YIFCX4r
18,"
                                                                                                    #警用枪械规范管理#友友~公安民警执行巡逻任务应当领取携带公务用枪，任何非法枪支弹药禁止在网络上销售，枪械的维修需由专门机构进行在网络上维修也是不允许的。@云南警方                                            ", 2014-4-29 15:34,3,1,赞,微访谈-依法配枪...,B1YIlfxr9
19,"
                                                                                                    #警用枪械规范管理#友友~是从3月中旬按照公安部《全国公安机关开展依法使用武器警械专项训练活动实施方案》要求由各级公安机关配枪部门组织实施训练滴~@云南警方                                            ", 2014-4-29 15:31,转发,评论,赞,微访谈-依法配枪...,B1YGWEBq2
20,"
                                                                                                    #警用枪械规范管理#友友~我们的巡逻有徒步巡逻、车辆巡逻、武装巡逻（武警）、PTU巡逻、群防群治力量的综合使用。只要有持枪证的民警都可以配枪巡逻。@云南警方                                            ", 2014-4-29 15:27,-1,评论,1,微访谈-依法配枪...,B1YFHyiBN
21,"
                                                                                                    #警用枪械规范管理#友友~警察配枪巡逻是一项常态化的工作，这一项工作将持续下去。@云南警方                                            ", 2014-4-29 15:23,-1,评论,2,微访谈-依法配枪...,B1YE1eISl
22,"
                                                                                                    #警用枪械规范管理#不可以，根据危险的情形选择隐蔽、就地取材后者争取支援。@云南警方                                            ", 2014-4-29 15:22,1,1,赞,微访谈-依法配枪...,B1YDnEwvx
23,"
                                                                                                    #警用枪械规范管理#友友~人民警察依法使用枪支的行为是代表国家履行警察职权的行为，是国家赋予人民警察的一项专门权利，请相信公安机关有责任、有能力管住枪、用好枪。@云南警方                                            ", 2014-4-29 15:19,2,2,赞,微访谈-依法配枪...,B1YCp4lbf
24,"
                                                                                                    #警用枪械规范管理#友友~民警配枪需要经过政审、经过专门的训练和考核，取得《中华人名共和国公务用枪持枪证》滴警察@云南警方                                            ", 2014-4-29 15:16,-1,评论,1,微访谈-依法配枪...,B1YB5dgqH
25,"
                                                                                                    #警用枪械规范管理#我们公安机关配备的枪支类型主要有：手枪、冲锋枪、步枪、狙击枪、防暴枪，友友就这些。@云南警方                                            ", 2014-4-29 15:13,转发,1,赞,微访谈-依法配枪...,B1YzTkEgc
26,"
                                                                                                    #警用枪械规范管理#枪支的保养由配枪部门的枪管员负责日常维护保养@云南警方                                            ", 2014-4-29 15:11,2,评论,赞,微访谈-依法配枪...,B1YyVmTeN
27,"
                                                                                                    #警用枪械规范管理#各位网友，大家好！我是明市公安局治安支队一大队教导员许懿品，今天和民警左涛龙、陈芳一起走进云南警方微博访谈直播间，对昆明市公安局民警依法配枪巡逻、规范枪支管理以及取得的实效等情况与大家交流互动。欢迎围观提问： ​​​​                                            ", 2014-4-29 15:09,6,7,2,360安全浏览器,B1Yy4pKVU
28,"
                                                                                                    #警用枪械规范管理#我的微访谈""依法配枪巡逻 规范枪支管理""开始啦！今天我会在微访谈跟大家聊天,访谈时间是15:00-16:00,快来提问吧！访谈地址：O网页链接 ​​​​                                            ", 2014-4-29 15:03,转发,1,3,微访谈-依法配枪...,B1YvzC2iS
29,"
                                                                                                    #昆明警方非常视线#第138期内容：第一部分，安宁警方打防结合保民安；第二部分龟背立交桥旁盗窃物品；第三部分，治安播报（数字电影《生死缉毒线》开机仪式）。播放地址：L昆明警方《非常视线》第138期（网络版） 【2014.4.28】 ​​​​                                            ", 2014-4-28 16:37,1,评论,赞,微博 weibo.com,B1PHp5Bzd
30,"
                                                                                                    //@轨道公安: 回复@Warhawk:帅吧//@Warhawk:@轨道公安 @春城地铁报 @昆明警方                                            ", 2014-4-28 16:15,3,1,2,微博 weibo.com,B1PyvslS1
31,"
                                                                                                    #微警务#把10多元的廉价白酒灌入高档酒瓶内，冒充市价近1600元的国窖1573牟取暴利。4月24日，经侦支队民警在河岸村的一套出租房里捣毁一个制造假名酒的窝点，抓获2名嫌疑人，当场查获62瓶假酒，涉案金额9万余元O昆明警方端一制假名酒黑窝 缴62瓶假酒劣酒。【2014.4.25】 ​​​​                                            ", 2014-4-25 16:14,6,3,2,微博 weibo.com,B1ngs19fm
32,"
                                                                                                    //@都市条形码: //@官渡警方:对于指证犯罪，失主的陈述也是重要证据！应该让蟊贼承担他应负的责任！                                            ", 2014-4-25 16:07,2,1,赞,微博 weibo.com,B1ndXsWoY
33,"
                                                                                                                                                ", 2014-4-25 16:07,转发,1,1,微博 weibo.com,B1ndIFnjs
34,"
                                                                                                    #微警务#近日，盘龙分局组织金星社区的20余名居民开展警营体验活动。活动中居民们检验了巡警的出警速度，零距离接触巡警装备，还观看了巡特警大队的警务技能展示。活动的开展，让群众真切地感受到民警的工作生活，同时也提出许多意见和建议，体现出他们对公安工作的理解和支持。【2014.4.24】 ​​​​                                            ", 2014-4-24 16:37,4,1,5,微博 weibo.com,B1dZkEEIc
35,"
                                                                                                    #微警务#近日，呈贡的刘大爷被一名男子冒充熟人，以有人要出售金元宝，想让刘大爷帮忙先垫付一下，事成之后给刘大爷2万元的感谢费为由，骗走了刘大爷多年来的积蓄9万元。接到报案后，呈贡分局刑侦大队迅速展开调查，抓获犯罪嫌疑人两人。目前两人已被刑事拘留，案件在进一步审理过程中。【2014.4.24】 ​​​​                                            ", 2014-4-24 16:04,4,2,5,微博 weibo.com,B1dLXwoZM
36,"
                                                                                                    //@李明洋Police: 紧急扩散@昆明警方                                            ", 2014-4-24 14:45,48,4,3333,微博 weibo.com,B1dg24DAF
37,"
                                                                                                                                                ", 2014-4-24 14:43,3,3,4,微博 weibo.com,B1dfidMMP
38,"
                                                                                                    #微警务#4月16日，度假区分局捣毁一个制造假冒电缆线窝点，抓获犯罪嫌疑人8名，查获假冒“昆明电缆集团股份有限公司”注册商标的成品电缆线共计一千余卷，涉案金额50余万元。目前，案件正在进一步审理中。【2014.4.23】 ​​​​                                            ", 2014-4-23 16:35,4,4,4,微博 weibo.com,B14yb3tW5
39,"
                                                                                                    #微警务#4月16日凌晨，盘龙分局多部门在盘龙区羊肠新村一别墅内抓获涉赌人员57人，现场查获用于赌博的乒乓球、代金券、游戏单等赌博工具和赌资30余万元。近4个月以来，盘龙警方已捣毁6个赌博窝点，抓获155名涉赌人员，先后共缴获71万余元赌资。【2014.4.23】 ​​​​                                            ", 2014-4-23 14:39,2,3,2,微博 weibo.com,B13N2Bd20
40,"
                                                                                                    #昆明警方·警察故事#今日14时，FM99将播出《昆明警方·警察故事》2014年第五期节目。西山、刑侦、特警民警将为大家讲述 “春城守护者，平安有我”的故事。【2014.4.22】                                            ", 2014-4-22 13:25,2,1,2,三星Galaxy SIII,B0TSADa7P
41,"
                                                                                                    目前，嫌疑人涉嫌非法持有、私藏枪支、弹药罪被已五华警方依法刑事拘留，案件正在进一步审理中。//@滇中巨兽Laughing: @昆明信息港 @昆明警方 @五华警方                                            ", 2014-4-22 09:24,9,5,4,微博 weibo.com,B0SiQ7zlE
42,"
                                                                                                                                                ", 2014-4-22 09:19,转发,评论,2,微博 weibo.com,B0SgF2lQY
43,"
                                                                                                    //@呈贡警方: 最可爱的警察@happy_勇sir 师大安全知识讲座                                            ", 2014-4-22 09:16,2,2,4,微博 weibo.com,B0Sfz6c7G
44,"
                                                                                                    #微警务# 近日，盘龙分局在金星社区办事处召集金星社区代表召开“走基层、进社区、办实事、解难题、促和谐、保民安”活动宣传动员会。分局向社区群众征集他们最关心、最想得到公安机关帮助的问题及对公安机关工作提出意见和建议，并安排专人逐一进行整理后予以现场解答、回复和办理。【2014.4.21】 ​​​​                                            ", 2014-4-21 16:01,1,1,2,微博 weibo.com,B0Ltcnmod
45,"
                                                                                                    #昆明警方非常视线#第136期内容：第一部分，不考试办驾照，女子被骗数万元；第二部分，加强街面巡逻，严打偷盗行为；第三部分，治安播报（昆明出现3D打印机技术）。播放地址：L昆明警方《非常视线》第136期（网络版） 【2014.4.21】 ​​​​                                            ", 2014-4-21 15:37,1,2,赞,微博 weibo.com,B0LjsERUR
46,"
                                                                                                    目前没有接到相关政策要求和信息//@云楼报坊hu: //@云层里的自由之心: @昆明警方                                            ", 2014-4-21 15:09,5,4,赞,微博 weibo.com,B0L8mdsD8
47,"
                                                                                                    #微警务#47岁的赵立红在社区民警岗位上近9年的时间，让她成为社区居民的知心人。帮社区老人代领工资和抚恤金，帮残障群众团购评价米，奔波几个月为老人申请用电......她没有惊心动魄的破案经历，却走街串巷离百姓最近，工作让她心里觉得踏实，同事看来这就是责任心。O代领工资 帮忙买米【2014.4.21】 ​​​​                                            ", 2014-4-21 14:42,3,4,4,微博 weibo.com,B0KXmsTyx
48,"
                                                                                                                                                ", 2014-4-21 13:52,2,评论,4,微博 weibo.com,B0KCS9Kl1
49,"
                                                                                                    #微警务#近日，昆明理工大学130名师生到市戒毒康复管理所参观“和谐家园”戒毒康复社区。通过活动的开展，广大师生深受启发和教育，认识到毒品的危害，以及珍爱生命、拒绝毒品、崇尚健康的生活理念，进一步预防和减少毒品对师生的危害。【2014.4.21】 ​​​​                                            ", 2014-4-21 11:53,2,1,7,微博 weibo.com,B0JQKiHfS
50,"
                                                                                                                                                ", 2014-4-21 10:57,22,评论,2,微博 weibo.com,B0JtX0mxW
51,"
                                                                                                    #微警务#近日，石林消防大队获悉石林县大可乡阿黑村由于连年干旱，全村60多户村民180余人及60多头牲畜饮水困难，眼下正是种植烟苗等种植物的关键时机，如果延误时间，将给村民造成巨大的经济损失。了解情况后，消防官兵立即为村民送水13吨，缓解了群众生活用水困难的问题。【2014.4.21】 ​​​​                                            ", 2014-4-21 10:55,4,2,6,微博 weibo.com,B0Jt9Bxw4
52,"
                                                                                                                                                ", 2014-4-18 17:35,7,3,4,三星Galaxy SIII,B0jNV4zZo
53,"
                                                                                                    【爱心送书之七】李庆彪回访了曾经走访过的马能才老人，老人的儿子儿媳已去世，只剩老人和老伴带着三个孙子生活，他们仍然节衣缩食让三个孩子念书。得知老人的老伴生病需要治疗的情况后，李庆彪表示了慰问，希望孩子们能好好学习，祝愿老人身体尽快康复。 ​​​​                                            ", 2014-4-18 11:39,4,4,2,三星Galaxy SIII,B0htjA4HQ
