序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    #铁路一线微聚焦#【高温“烤”验下的检车场】今年4月，昆明地区异常炎热，云南省气象台连续多天发布高温橙色预警。在昆明东火车站到达场，昆明铁路局昆明北车辆段昆东运用车间到达列检乙班28名检车员头顶烈日、挥洒汗水，12小时坚守高温“烘烤”下的检车场。 ​​​​                                            ", 2014-4-30 14:18,7,2,3,微博 weibo.com,B27E0fv9U
2,"
                                                                                                    列车服务设别设施——座席                                            ", 2014-4-30 10:28,转发,评论,3,政府版微博,B268KCUe7
3,"
                                                                                                    #铁路一线微聚焦#【大山里的：“铁路公交”】6161/6162次列车是往返于昆明与攀枝花之间的“绿皮车”，一路沿成昆铁路穿梭于云贵高原和横断山脉之间。该趟列车全程行驶351公里、9个多小时，全程票价仅为21.5元，途经25个站，其中有1/3的车站不通公路。这趟列车被沿线山区村民亲切地称为 “铁路公交”。 ​​​​                                            ", 2014-4-30 08:40,61,23,13,微博 weibo.com,B25qUomWb
4,"
                                                                                                    #昆明火车站重点方向当日余票信息#昆明至成都、重庆方向卧铺车票紧张，还有部分硬座车票；昆明至大理、丽江方向夜间开行的列车车票紧张，白天开行的列车还有大量车票；昆明至曲靖、蒙自北方向车票宽裕。（信息来源中国铁路客户服务中心） ​​​​                                            ", 2014-4-30 08:20,1,评论,1,微博 weibo.com,B25iR2dba
5,"
                                                                                                    #昆明火车站重点方向当日余票信息#昆明至北京的T62次还有大量卧铺和硬座车票，其余车次车票紧张；昆明至上海、南京方向车票宽裕；昆明至广州、南昌方向车票紧张。（信息来源中国铁路客户服务中心） ​​​​                                            ", 2014-4-30 08:19,23,2,赞,微博 weibo.com,B25ioma3V
6,"
                                                                                                    记得，成功的字典里没有等待，只有前行。早安。                                            ", 2014-4-30 08:06,5,评论,1201,媒体版微博,B25cW1x5S
7,"
                                                                                                    他，打破“中国贫油论”                                            ", 2014-4-29 15:27,2,评论,2435,媒体版微博,B1YFsblOp
8,"
                                                                                                    人民微评：校长与小猪“吻”出诚信                                            ", 2014-4-29 15:26,2,2,8792,媒体版微博,B1YF5qP5l
9,"
                                                                                                    睡眠不足可能会“脑残”                                            ", 2014-4-29 15:25,1,1,899,媒体版微博,B1YEEfvU7
10,"
                                                                                                    这些东西别给小孩子吃                                            ", 2014-4-29 15:23,4,评论,1048,媒体版微博,B1YDP6qsz
