序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ", 2015-9-30 09:04,1,评论,赞,360安全浏览器,CCTvqkrqb
2,"
                                                                                                    住进酒店后必须要做的事1、入住前要查看客房门后的紧急疏散路线图，了解自己所处的位置、疏散通道、疏散楼梯的数量和具体位置。首选最近、最方便且可以直通室外的路线作为逃生路线，同时还要了解其他路线作... °“十一”防火之住进酒店后必须要做的事 ????????                                            ", 2015-9-30 09:04,2,评论,赞,360安全浏览器,CCTviCqoS
3,"
                                                                                                    转发微博                                            ", 2015-9-29 10:05,转发,评论,4,360安全浏览器,CCKtHriOQ
4,"
                                                                                                    各学校要注意切关宿舍安全的小细节，一定要提高消防安全意识，相互监督，确保生命和财产安全。在此，消防提醒广大学生注意宿舍防火六知道：1、不使用热得快、电炉、电炒锅、电茶壶、电热毯等大功率危险电器... °宿舍防火知识 ????????                                            ", 2015-9-29 10:05,转发,评论,赞,360安全浏览器,CCKtBvlgL
5,"
                                                                                                    //@内蒙古消防: 转发微博                                            ", 2015-9-28 12:00,4,评论,19,360安全浏览器,CCBNNkzO7
6,"
                                                                                                    据公安部消防局官方微博@中国消防消息，保证孩子健康成长，一定要在日常生活中教会他们一些能够保护自己的消防安全常识。1.告诉孩子不要玩火，不要玩弄电器设备，不要乱动燃气设施，否则会让自己受到伤害；2... °幼儿消防安全知识 ????????                                            ", 2015-9-28 12:00,1,评论,赞,360安全浏览器,CCBNIyRVG
7,"
                                                                                                    //@宜昌消防: 团圆的日子，回不了家的亲们记得给家里打个电话                                            ", 2015-9-27 10:07,1,评论,240,360安全浏览器,CCrDGjmOM
8,"
                                                                                                    中秋节期间，商业庆典和促销活动多，公共场所人员聚集，火灾风险加大。消防部门提醒广大群众欢度中秋佳节，勿忘消防安全。1、中秋亲友团聚，送祝福莫忘提醒消防安全。教育孩子不要玩火，不要乱扔火种。2、中... °中秋节消防安全提示 ????????                                            ", 2015-9-27 10:07,转发,评论,赞,360安全浏览器,CCrDtifa6
9,"
                                                                                                    转发微博                                            ", 2015-9-26 08:30,转发,评论,3,360安全浏览器,CChzDa8aW
10,"
                                                                                                    手机充电时，请一定要注意以下事项：1、别边充电边接电话，手在潮湿的时候不要操作充电器，不要充电充一夜；2、最好采用直充，不同手机不要混着用充电器；3、不要使用劣质电池或充电器，最好选购原装产品；4... °手机充电注意事项 ????????                                            ", 2015-9-26 08:30,5,评论,赞,360安全浏览器,CChzzCNPq
11,"
                                                                                                    @中国消防:【中秋尽点这类孝心】中秋团圆，请为老人检查一下消防安全隐患，看看厨房煤气软管是否老化、松动，抽油烟机的油垢是否该清理；看看电气线路是否是否老化、超负荷；看看室内、阳台的杂物是否该清理......嘱咐老人冬天烤火注意安全，做饭不要离开厨房，遇到险情及时报警并第一时间逃离险境。                                            ", 2015-9-25 13:49,转发,评论,15,360安全浏览器,CCaeEAtac
12,"
                                                                                                    现很多家庭将不少杂物随意堆放，堆放的位置在楼梯、走道、阳台等狭窄的空间内，如果有明火或者老化电线引发火灾起来将成为助燃物，威胁着整个建筑的安全。因此，应当将杂物进行分类，将可燃、易燃物品进行密封包装后堆放在地下室或者离建筑较远、空旷的地方，确保此类物品不会接触到明火。 ????????                                            ", 2015-9-25 13:48,3,评论,赞,360安全浏览器,CCaerjL3C
13,"
                                                                                                    转发微博                                            ", 2015-9-24 08:53,转发,评论,8,360安全浏览器,CBYRTkPQI
