ID,微博内容
1,【滨海新区人大听取“8·12”事故抢险救援善后处置工作报告 】#政务麦克风#9月24日，滨海新区二届人大常委会举行第十五次会议。区人大常委会主任赵建国主持 会议。会议听取了区长张勇受区人民政府委托所作的《天津港“8·12”火灾爆炸事故抢险救援善后处置工作情况报告》。具体内容见下图↓↓↓ ????????
2,【“8·12”事故现场废水清运完毕，启动市容恢复 】#视觉滨海#经过专业处理，天津港“８·１２”爆炸事故现场废水已全部清运完毕。目前，滨海新区已启动事故区域周边环境市容清整恢复工作，尽快将事故区域周边的市容环境恢复原貌。（新华社） ????????
3,【爆炸事故未影响发展基本面】#滨海在行动#昨天，滨海新区副区长张铁军在中国（天津）自由贸易试验区新闻发布会上通报了天津自贸试验区1-8月经济运行情况。自天津自贸试验区设立以来，三个片区新登记市场主体9813户，同比增长105.5%，注册资本（金）2653.4亿元人民币，同比增长217.7%，呈井喷式增长。 ????????
4,【居民可多渠道领取登记表】#情况通报#居民可登陆滨海新区政务网下载《“8·12”爆炸事故居民非营运机动车辆损失登记表》受损严重的七个小区可到各小区的群众工作组现场领取，其他受损车主可到指定服务点现场领取。指定服务点地址为开发区黄海路与四大街交口中信工业园58号动力驿站。
5,【“8·12”事故现场杂物清理基本完成，周边区域绿化启动】#滨海在行动#今天从滨海新区环境局了解到，新区对爆炸核心区已经启动周边区域绿化建设，预计将于一周内完成工作。目前，现场杂物清理工作已基本完成。图为天津港绿化公司以及建投养管公司在现场植树。 ????????
6,【论坛主持人：We Can！我们做到了！】#“生态城市与可持续发展”现场报道#连续主持了六届的主持人魏建国对本届论坛的成功举办深有感触，他说，34天前会议的举办地发生了爆炸事故，我和很多人担心还能不能召开这次论坛。但经过各界特别是天津和滨海新区的极大付出，成功举办了。谢谢天津，谢谢滨海！ ????????
7,【塘沽烈士陵园安葬首位事故牺牲烈士】#情况通报#“浩然正气，精神永驻”。9月10日上午，天空乌云紧蹙，烈士陵园内庄重肃穆，在“8·12”爆炸事故中牺牲的天津港公安局消防支队五大队消防战斗员贾乃源烈士的骨灰在塘沽烈士陵园安葬。这是爆炸事故发生后，在滨海新区安葬的首位烈士的骨灰。 ????????
8,【塘沽街受损房屋修缮完成】#情况通报·滨海在行动# “8·12”火灾爆炸事故发生后，塘沽街立即启动应急预案，在市政府和滨海新区政府的指导下，第一时间开展受损住房修缮及安全隐患排查工作。截至目前，已完成受损房屋修缮1800余户，修缮工作基本完成。 ????????
9,【救助伤员抢运图纸 保证Z4线建设进度】#情况通报 滨海在行动#天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故中，肩负着滨海新区轨道交通Z4线项目建设任务的天津泰达城市轨道建设开发有限公司受损严重。为了不影响Z4线前期建设的进度，他们仅7天的时间便恢复正常办公，办公楼将在原址重建。 ????????
10,【滨海新区区委召开常委（扩大）会议】#滨海资讯#昨日，滨海新区区委召开常委（扩大）会议，市委常委、滨海新区区委书记宗国英主持并讲话，区委副书记、区长张勇通报天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故经过和处置情况。 ????????
11,【滨海新区党员干部协力修缮：要让大伙住得安心】#情况通报·滨海在行动#“8.12”火灾爆炸事故后，滨海新区塘沽街道党员干部紧急集结，分兵两路，一路直奔救援一线疏散居民安置群众，一路迅速深入辖区内社区，排查房屋险情，前线和后方，都有他们忙碌的身影。O网页链接 ????????
12,【清点物资储备：一直坚持到救援处置结束】#情况通报·滨海在行动# 昨日，在驻区某部队院内，滨海新区慈善协会工作人员吕俊杰和新区民政局的几位工作人员正在冒雨清点物资储备情况。“8·12”火灾爆炸事故发生后，区民政部门接收的捐助物资储备点从泰达二中转移到了驻区部队。 ????????
13,【事故后滨海新区新注册内资企业875家】#情况通报 滨海在行动#天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故发生后，滨海新区行政审批局第一时间启动应急预案。8月13日—8月31日，新区审批局共完成接件1294件，办结1265件，办结率达98%。新设立内资企业875家，注册资本达到125.8亿元。 ????????
14,【居民室内财产损失8个服务点可评估】#情况通报#“8·12”火灾爆炸事故发生后，事故区域附近居民室内财产存在不同程度损失。为加快居民室内财产损失查勘定损，积极做好后续赔偿工作，8月28日起，滨海新区在8个服务点启动居民室内财产损失评估工作。 ????????
15,【受损住宅处置居民积极签约】#情况通报·滨海在行动#滨海新区对因事故严重受损住宅善后处置工作启动以来，截至昨日18:00，已有7135户签约处置协议。滨海新区有关部门对《关于天津港“8·12”特别重大火灾爆炸事故居民严重受损住宅处置方式的说明》进行了清晰、到位、准确的解读，许多居民对政策表示认可 ????????
16,【政府部门全员上阵 核心区清理开始收官】#情况通报#天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故发生后，滨海新区立即启动应急预案，各级政府部门迅速反应、果断处置，快速实现措施到位、人员到位、物资到位，各方力量迅速汇聚一线，全方位组织开展抢险救援工作。 ????????
17,【天津港地区将引进市实验小学】#情况通报#目前“8·12”火灾爆炸事故受影响学生已得到妥善安置，新区各中小学全部如期开学。为了进一步扩大优质教育资源，新区还将计划在天津港地区引进天津市实验小学，满足广大人民群众的需求，促进教育均衡发展。 ????????
18,【滨海志愿者全心服务伤员】##自“8·12”火灾爆炸事故发生以来，滨海新区鹤童老年服务中心的志愿者一直在前线照护伤员，对伤员进行心理抚慰。 ????????
19,【宗国英走访慰问部分受损企业】#情况通报#昨日，市委常委、滨海新区区委书记宗国英深入部分爆炸事故中受损的企业走访慰问，就进一步做好善后处置工作进行指导。 ????????
20,【8月#政务指数#月榜，@滨海发布 为滨海新区加油！】天津港“8.12”爆炸事故发生后@平安天津 @中国消防 @天津消防 @滨海发布 等多个政务账号应对及时表现不俗，名次上涨显著。查看各行业月榜请戳→#天津发布 全国第31名， @滨海发布 位居全国第53。@天津港公安局跃进路派出所 全国第57位
21,【降雨期间污水没有外溢】#情况通报 滨海在行动#从8月31日至9月1日，滨海新区范围内普降大到暴雨，局部为大暴雨。在天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故现场及周边区域，环保系统及相关单位人员启动雨期应急预案。截至昨晚，没有发生垮坝、内涝、外溢等现象。 ????????
22,【宗国英深入部分受损企业单位和小区慰问并指导工作】#情况通报#昨日，市委常委、滨海新区区委书记宗国英深入爆炸事故中受损的部分企业、单位和小区看望慰问，并就做好下一步善后处置工作提出指导意见。 ????????
23,【房屋受损学生分三类转移安置】#情况通报 滨海在行动#滨海新区教体委按照家长诉求，妥善安置在8.12爆炸事故中因家庭居住房屋受损不能在原学校上学的学生。目前，提出安置申请的共有179名学生，分三类转移安置：一是本区内安置74名；二是市内其它区县安置47名；三是外来务工人员子女回外省市的58 名。
24,【天津港地区将引进天津市实验小学】#情况通报 滨海在行动#今日，从滨海新区教育体育委员会获悉，“8.12”爆炸事故受灾学生得到妥善安置，新区各中小学全部如期开学。为了进一步扩大优质教育资源，新区计划在天津港地区引进天津市实验小学，满足广大人民群众的需求，促进教育均衡发展。 ????????
25,【承担Z4重任，泰达城市轨道公司办公楼“利旧重建”】#情况通报·滨海在行动#距离爆炸核心区直线距离不到一公里的天津泰达城市轨道建设开发有限公司办公楼严重受损。经鉴定主体结构基本完好，决定原址重建。同时灾后第七天，临时办公地点实现正常办公，以确保滨海新区轨道交通Z4线项目的开发建设。 ????????
26,【中介门店为受灾居民免费找房】#情况通报 滨海在行动#8月31日，“8·12”火灾爆炸事故发生后，新区范围内的万业源、信嘉、滨海顺驰、屋满多、我爱我家、百冠、永乐汇等7家房屋中介连锁机构积极开展献爱心活动为房屋受损居民提供可租赁房源，同时免收租赁服务费。 ????????
27,【行政审批推应急服务 延长缺证人审批时限】#情况通报#“8·12”火灾爆炸事故发生后，很多受影响的群众身份证、毕业证、职业资格证等证件都遗失了。为了让他们能顺利办理审批事项，日前滨海新区行政审批局第一时间推出应急服务，针对受影响的缺证申请人相应延长审批时限，给予他们补办证件的充裕时间。 ????????
28,【滨海新区300余所中小学今日全部准时开学】#情况通报#新区300余所中小学已全部完成报到注册工作，今日准时开学。区教体委有关负责人介绍，新区共有16所幼儿园和学校因“8·12”火灾爆炸事故受损，主要表现在门窗、玻璃和墙体等，目前修缮工作全部完成。 ????????
29,【更正】①“针对新区制定并发布的《关于天津港8·12特别重大火灾爆炸事故居民严重受损住宅处置方式的说明》”中的“发布”应为“下发”。②“不得随意提高房屋销售售价格”应为“不得随意提高房屋销售价格”。特此更正。
30,【天津港爆炸事故原址将建海港生态公园】#情况通报·滨海在行动#今日从滨海新区规国局了解到，区规国局还组织天津中新生态城管委会和合资公司、市规划设计研究院和天津美术学院等团队，开展了事故点的生态修复和规划设计工作，规划建设海港生态公园，将海港城正在建设的小学、幼儿园打造成高水平。 ????????
31,【滨海新区房屋管理局对“8·12”事故严重受损住宅处置方式作出说明】#情况通报# 天津港8·12特别重大火灾爆炸事故造成居民住宅不同程度受损，给群众正常生活带来困难，为尽快恢复生活秩序，滨海新区房屋管理局今日下发《关于天津港8·12特别重大火灾爆炸事故居民严重受损住宅处置方式的说明》 ????????
32,【采血量近2000个单位 血库充足 请预约献血】#情况通报#从爆炸事故发生到现在，滨海新区塘沽中心血站采血人数达1100余人，采血量近2000个单位。由于爱心人士的鼎力支持，滨海新区塘沽中心血站目前的库存量充足，“上周开始就已实行预约采血了，这样既能保证临床用血，又能科学合理地用血。”负责人说。 ????????
33,【滨海新区企业陆续恢复生产】#情况通报·滨海在行动#自天津港８·１２特别重大火灾爆炸事故发生至今，已经过去十几天，爆炸核心区周边曾一度停工的霍尼韦尔、奥的斯电梯、约翰迪尔等众多企业先后恢复生产，天津港主航道也已恢复双向通航，坚强滨海，一切正努力回归正常。 ????????
34,"【""8.12""事故房屋应急鉴定报告公布】#情况通报 滨海在行动#目前,滨海新区规划和国土资源管理局已将受爆炸事故影响最严重的海港城清水蓝湾1、2、3、4、5、6、8、10号楼,启航嘉园1、2、3号楼,金域蓝湾5号楼的《房屋应急鉴定报告》发布到该局的政务网上市民可点击下载→（O网页链接 ） ????????"
35,截止到目前，受灾最为严重的滨海新区海港城、启航嘉园两个小区已经陆续恢复送电。同时，距离爆炸现场最近受损严重的220千伏鄱泰一二线路更换导线工作也已进入尾声，预计27日导线将全部更换完成重新送电。
36,【第二批房企加盟爱心社会责任行动】#情况通报·滨海在行动#自“8·12”火灾爆炸事故发生后，地产界对滨海新区人民生命财产造成的重大损失感同身受，纷纷表示要和新区人民同舟共济，共克时艰。昨天下午，继首批五家地产企业宣布开展爱心社会责任行动后，又有第二批三家地产企业宣布加盟。 ????????
37,【爆炸原址将建大型公园】#情况通报·滨海在行动#滨海新区规划部门目前正全力对爆炸周边区域进行规划设计，“根据规划部门的初步设计，未来爆炸周边区域将变得非常漂亮。我们将要求相关部门做好土地、水质的监测和处理，不能够留任何隐患给后人”，泰达控股董事长张秉军说，规划建设预计两年内完成。 ????????
38,【8890专线24小时服务受灾群众】#情况通报·滨海在行动#自爆炸事故发生后，滨海新区行政审批局迅速抽调精兵强将，由10多人组成滨海新区8890服务中心工作团队，24小时坚守岗位，接听、回答大量受灾群众问题，目前已受理专线线服务近400件，8890便民服务500余件，及时为受灾群众提供了信息服务。 ????????
39,【事故影响最严重的房屋已开展安全鉴定】#情况通报##新闻通气会#据张洪伟（滨海新区规划和国土资源局副局长）介绍，滨海新区规划和国土资源局已委托天津市房屋安全鉴定检测中心对天津港“8.12”特别重大火灾爆炸事故影响最严重的房屋开展了紧急查勘和安全鉴定。 ????????
40,【“咱们都是一家人”】#情况通报#“8·12”火灾爆炸事故发生次日，全国闻名的热心志愿者李振荣就从北京延庆火速赶往泰达医院。一连九天，她一刻不停歇地出现在医院、安置点、捐赠点以及救灾一线。她说：“大灾面前，咱们都是一家人。”她在新区无私奉献的同时，也感受到了新区人的热情与温暖。 ????????
41,【宗国英深入部分受损小区和企业园区察看】#情况通报#昨日，市委常委、滨海新区区委书记宗国英深入在爆炸事故中受损的部分小区和企业园区察看指导善后处置工作。 ????????
42,"【滨海新区公安开辟""绿色通道""办理户籍证件】#情况通报#天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故发生后,为满足受灾群众急需《户籍证明》,补办补领或使用《居民户口簿》、居民身份证等户籍证件的需求,滨海新区人口服务管理部门及时开通户籍业务""绿色通道""和便民、利民服务措施。@天津发布 ????????"
43,【“免中介费”租房 获受灾群众“点赞”】#情况通报#“我家房子损毁严重，现在租住在紫云园的‘独单’里，找房子过程很顺利，中介都没要中介费。”昨日，启航家园小区的王女士说。经走访了解，“8·12”火灾爆炸事故发生后，新区多家房屋中介提供了免中介费服务，帮助需要租房的受灾市民减少花销。 ????????
44,【查阅数千图纸??泰达图书馆档案馆测算受灾面积】#情况通报#为快速开展救援、评损、理赔等工作，滨海新区规划和国土资源信息中心受新区职能部门委托，急需查询开发区距离爆炸中心3公里范围内40多个住宅（公建）项目档案。目前，泰达图书馆档案馆全面系统及时地提供了相关项目的档案信息。 ????????
45,【让心灵不在发生灾难】#情况通报·滨海在行动#8·12爆炸事故发生后，滨海新区基层民生课堂和天津市法制心理学会在13日就在公安部和天津市、滨海新区等指挥下，成立了近150人的心理救援专家组。目前已有包括消防、民警、遇难者家属在内的近1500人接受心理疏导，有效避免了“心灵灾难”和恐慌焦虑情绪蔓延 ????????
46,【危难时刻显身手，人间有情渡难关】#情况通报#天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故发生后，受灾市民现已陆续恢复了平日的工作和生活。可是灾难突来时，那些伸出援手提供免费住宿、赠送爱心餐饮的爱心企业却一直深深地印在了受助者的心里，将这份爱撒播在新区大地。 ????????
47,【津滨轻轨：争分夺秒抢修“大动脉”】#情况通报#作为市区与滨海新区之间的交通主动脉，津滨轻轨地铁9号线几时能正常载客运营一直牵动着大家的心。今天，位于东海路站附近的津滨轻轨控制中心迎来了爆炸后的第一拨清场“部队”，这意味着排查、抢修工作步入攻坚克难阶段。@天津日报 ????????
48,【危重症伤员目前在滨海新区医院救治】#情况通报##新闻发布会#席修明（首都医科大学附属北京复兴医院院长、国家卫计委爆炸事故医疗救治专家组组长）介绍，目前12名危重症伤员主要在滨海新区的泰达医院、天津市第五中心医院救治。可以说，救治工作取得了初步成果。 ????????
49,【第14场！天津港“8·12”瑞海公司危险品仓库特别重大火灾爆炸事故新闻发布会今天下午4点召开】#情况通报## 新闻发布会#发布会由天津市人民政府新闻办公室举办，将于今天（8月23日）下午4点左右在滨海新区万丽泰达酒店 召开。@滨海发布 将在现场为您带来最新进展。 ????????
