序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    转发微博                                            ", 2016-4-30 09:05,20,3,53,360安全浏览器,Dtk5ocOLG
2,"
                                                                                                    【漫话“杏林”的由来】人们喜欢用“杏林春暖”、“誉满杏林”这类词语来赞美具有高尚医风的苍生大医，那您知道“杏林”一词的由来吗？by上海中医药大学附属龙华医院 ????????                                            ", 2016-4-29 19:10,14,2,13,政务直通車,DteCfkoSX
3,"
                                                                                                    回复@primrose2daffodil:小编诚恳承认错误，第二张是MRI，感谢各位普及知识                                            ", 2016-4-29 17:49,43,15,48,微博 weibo.com,Dte5ABsy4
4,"
                                                                                                    【因病致贫、因病返贫情况全面摸底】国家卫生计生委、国务院扶贫办开展建档立卡贫困人口“因病致贫、因病返贫”调查工作，核实核准患病家庭、人员和病种，建立农村贫困人口“因病致贫、因病返贫”管理数据库，一地一策、一户一档、一人一卡，精确到户、精准到人，让每个贫困人口享有基本的医疗保障。 ????????                                            ", 2016-4-29 16:13,30,21,13,政务直通車,DtdskyESK
5,"
                                                                                                    [放假啦]五一劳动节到啦，热爱劳动的妹子们都知道用人单位应当如何保护女职工的职业健康吗？女职工禁忌劳动范围有哪些？女职工能否从事低温作业？为什么女职工禁忌从事矿山井下作业？快戳图了解↓ ????????                                            ", 2016-4-29 14:58,13,7,3,政务直通車,DtcXVD9Re
6,"
                                                                                                    为姑娘们点赞                                            ", 2016-4-29 12:59,12,11,1949,360安全浏览器,DtcbT6FBI
7,"
                                                                                                    如何远离“嗜血”蜱虫？你的个人防护到位吗？遇到它如何处理？//@北京市疾病预防控制中心: #五一小长假# 蜱也叫狗豆子、草爬子，是媒介生物，可传播多种疾病，常通过叮咬吸血传播病原体使人患病。郊外旅游应注意预防。                                            ", 2016-4-29 11:18,32,2,23,微博 weibo.com,DtbwNDu1D
8,"
                                                                                                    【CT、核磁、B超，你分的清吗？】对于X线、CT、B超、核磁共振这些常用的影像学检查，很多人分不清楚。现在，我们把身体比作食物，告诉你这些检查如何发挥不同的作用，四种方式分别用于何种检查。快来涨姿势 ????????                                            ", 2016-4-29 09:37,246,43,48,政务直通車,DtaRGaWJI
9,"
                                                                                                    【小岛上的马拉松】2016秦皇岛国际马拉松赛将于5月1日举行。比赛当天，全程共设置综合医疗救护站2个，医疗救护站11个，一般医疗救护点10个，共计23个站点。18家医疗单位，21辆救护车，120多人的医务人员将为小伙伴们的安全保驾护航。一支专业的医疗保障队伍已经集结完毕，奔跑吧兄弟！ ????????                                            ", 2016-4-29 09:15,3,6,21,政务直通車,DtaIV2yYO
10,"
                                                                                                    【无偿献血有偿使用？误会了！！！】根据《中华人民共和国献血法》，公民临床用血时只交付用于血液的采集、储存、分离、检验等费用。所谓“有偿”，其实只是血液采集、存储等运行的成本费用，而且无偿献血者及其亲属是有减免政策的哦！ ????????                                            ", 2016-4-29 08:53,43,24,14,政务直通車,DtaA5b5HM
11,"
                                                                                                    很多烟民并非不想戒烟，而是缺乏科学的戒烟方法。他们存在很多认识误区，这使得他们不敢尝试戒烟，或者戒烟不成功。戳图↓看看都有哪些常见的戒烟误区！@健康报 ????????                                            ", 2016-4-28 14:46,35,7,15,政务直通車,Dt3sUn2mE
12,"
                                                                                                    [推荐][推荐]                                            ", 2016-4-28 14:05,16,2,3,微博 weibo.com,Dt3cbeyll
13,"
                                                                                                    劳动节仍在“劳动”的医护，辛苦辛苦                                            ", 2016-4-28 11:32,6,15,2,微博 weibo.com,Dt2c17B1p
14,"
                                                                                                    【提高医务人员待遇，具体怎么做？】在今天召开的深化医改新闻发布会上，国务院医改办专职副主任梁万年表示，围绕着医务人员需求，尽量创造条件，改变现在一些不合理的体制机制。其中提到了薪酬、编制、执业环境、教育培养、公租房等热点问题↓ ????????                                            ", 2016-4-28 10:44,31,36,11,政务直通車,Dt1Stisfh
15,"
                                                                                                    #医患故事#【又一位跪着为患者做手术的医者】一位摄影师到复旦大学附属上海第五人民医院手术室拍摄选题照，偶然看到一位医生席地而跪为患者做术前准备，他随手拍摄了两张图片，并配上文字——“致敬，为生命而跪的白衣天使”，上传到朋友圈，众多网友点赞、评论、转发，表达对白衣天使的敬意。 ????????                                            ", 2016-4-28 10:20,35,46,34,政务直通車,Dt1IHd4RU
16,"
                                                                                                                                                ", 2016-4-28 10:01,12,6,26,微博 weibo.com,Dt1BanrMR
17,"
                                                                                                    【一图读懂2016年深化医改十大任务】2016年是“十三五”的开局之年，是到2017年实现深化医改阶段性目标的攻坚之年，也是到2020年实现人人享有基本医疗卫生服务目标的关键之年。日前，国务院办公厅印发了《深化医药卫生体制改革2016年重点工作任务》，十大重点任务有哪些？健康中国带您一图读懂。 ????????                                            ", 2016-4-28 08:59,34,11,7,政务直通車,Dt1c1AWp3
18,"
                                                                                                                                                ", 2016-4-28 08:53,16,2,89,360安全浏览器,Dt19wcR22
19,"
                                                                                                    【心系天下的范仲淹，也曾有个医学梦】范仲淹写的《岳阳楼记》成为千古名篇，其中“先天下之忧而忧，后天下之乐而乐”的精神，不仅是我们上学时的必背名句，也已成为中华民族的宝贵精神财富。范仲淹还有一句名言：“不为良相，便为良医”，这是对医者职业崇高的定位，也是对其肩负重大使命的希冀。 ????????                                            ", 2016-4-27 19:45,16,11,9,政务直通車,DsVZv6gtQ
20,"
                                                                                                                                                ", 2016-4-27 18:36,16,3,21,微博 weibo.com,DsVxympJ7
21,"
                                                                                                    2016年第一季度#政务指数#发榜啦听说健康中国排在医疗卫生榜第二名，感谢各位真爱粉赶快来瞅瞅榜单O网页链接 ????????                                            ", 2016-4-27 17:32,4,27,7,微博 weibo.com,DsV7ytf2M
22,"
                                                                                                    简直萌翻//@宜昌市第一人民医院: #一医微健康# 我伙呆！！！@宜昌发布 @三峡日报 @三峡商报 @三峡晚报                                            ", 2016-4-27 15:57,10,15,3,微博 weibo.com,DsUvaeSWh
23,"
                                                                                                    为孩子接种疫苗！这是保障儿童健康和远离疾病的最佳方式。                                            ", 2016-4-27 14:26,18,5,73,360安全浏览器,DsTTUDXkm
24,"
                                                                                                    护眼实用贴，关键看行动哦                                            ", 2016-4-27 13:47,8,3,5,微博 weibo.com,DsTE6x8iG
25,"
                                                                                                    #医患故事#【一张纸条，传递爱与力量】“孩子别害怕”、“听话，好孩子”、“好棒！”这是天津医大总医院手术室杜燕专门为听不见声音（勉强能看见一些）的晓梦准备的。晓梦和弟弟都是罕见的塞氏综合征患者，耳聋+眼盲+失语，他们是不幸的；但又是幸运的，在社会和医院的帮助下，感受到世界的爱意。 ????????                                            ", 2016-4-27 11:09,5,6,7,政务直通車,DsSBZwO7Z
26,"
                                                                                                    【“硬骨头”这么啃！－－2016年医改四大看点】国务院办公厅日前印发《深化医药卫生体制改革2016年重点工作任务》。进入深水区和攻坚期的医改，今年将出台哪些“真刀实枪”的措施，解决哪些看病就医难题？国务院医改办有关负责人及专家解说四大看点。 ????????                                            ", 2016-4-27 10:49,23,20,6,政务直通車,DsStS3Bzu
27,"
                                                                                                    【图解：展望“十三五”】“十三五”期间，健康中国怎么建？医改、疾病预防控制、全面两孩等等，你最关心的15个问题都在里面↓ ????????                                            ", 2016-4-27 10:29,23,7,3,政务直通車,DsSlJk1jS
28,"
                                                                                                    【深化医改，今年要干点啥】近日，国务院办公厅印发了《深化医药卫生体制改革2016年重点工作任务》，明确了2016年在深化公立医院改革、推进分级诊疗制度建设、巩固完善全民医保体系等方面的医改重点工作。2016年医改，最权威最详细解读戳此 O网页链接 ????????                                            ", 2016-4-27 09:09,40,16,5,政务直通車,DsRPuDr9R
29,"
                                                                                                    2016年4月25日是“全国儿童预防接种日”。现有的疫苗可以预防多种严重的传染病，这些疾病总称为疫苗可预防疾病，包括脊髓灰质炎（又称“小儿麻痹症”）、百日咳、白喉、破伤风、麻疹、流行性乙型脑炎等，戳图了解↓ ????????                                            ", 2016-4-27 08:50,39,4,4,政务直通車,DsRHB2aQP
