序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【国台办：加强两岸合作 绝不容犯罪分子逍遥法外】4月30日，国台办发言人安峰山表示：目前两岸不法分子在海外从事跨境电信诈骗犯罪活动十分猖獗，严重侵害了大陆民众的人身和财产安全，广大民众对此深恶痛绝，强烈要求加大打击力度，严惩电信诈骗犯罪，绝不容忍犯罪分子逍遥法外。 O网页链接 ????????                                            ", 2016-4-30 22:58,1,1,7,华为Ascend Mate7,DtpxAiWu8
2,"
                                                                                                    【 97名电信诈骗犯罪嫌疑人从马来西亚被押解回国 其中大陆犯罪嫌疑人65名】 4月30日电 4月30日20时许，97名电信诈骗犯罪嫌疑人（大陆65人，台湾32人）乘坐中国民航包机被我公安机关从马来西亚押解回国，涉及国内20余个省区市的100余起特大跨境电信诈骗案成功告破。°97名电信诈骗犯罪嫌疑人从马来西亚被押解回国... ????????                                            ", 2016-4-30 20:58,2,13,6,华为Ascend Mate7,DtoKGyepm
3,"
                                                                                                    【平安行 你我他】高速行车“五要十不”，五要：一要出车准备（制动、胎压、油量、灯光）；二要系安全带；三要保持车距；四要注意警告标志；五要注意提示信息。八不:一不随意并线；二不超速；三不低速；四不走应急车道；五不随意停车；六不疲劳驾驶；七不踩死制动； ????????                                            ", 2016-4-30 09:18,8,2,5,微博 weibo.com,DtkaorYSb
4,"
                                                                                                    【泽熙徐翔、中信证券程博明等人被依法批捕】 新华社青岛4月29日电 记者从青岛市公安机关获悉，泽熙投资管理有限公司法定代表人、总经理徐翔等人涉嫌操纵证券市场、内幕交易犯罪，于近日被依法批准逮捕。 O网页链接 ????????                                            ", 2016-4-29 16:11,5,2,1,华为Ascend Mate7,DtdrFerlg
5,"
                                                                                                    转发微博                                            ", 2016-4-29 14:56,1,评论,赞,微博搜索,DtcXdBQ4z
6,"
                                                                                                    【高速公路交通事故快处】很多朋友在高速公路上发生了符合快处的交通事故，却仍在原地等着交警来处理。如果你提前掌握了交通事故快处的具体内容，不仅会大大提高事故处理效率，也给自身安全多了一道保障。“五一”计划出行的朋友请跟着蜀黍往下看。O【微提醒】高速公路交通事故快处，还不知道你... ????????                                            ", 2016-4-29 14:35,转发,评论,1,360安全浏览器,DtcOODj4d
7,"
                                                                                                    【平安行????你我他】“五一”小长假出行 务必先看这条：O【两公布一提示】“五一”小长假出行 务必先看... ????????                                            ", 2016-4-29 14:29,转发,评论,赞,360安全浏览器,DtcMvkc3P
8,"
                                                                                                    【“醉驾入刑”实施将满五年 酒驾肇事下降18%】“醉驾入刑”自2011年5月1日正式实施以来，迄今为止将满五年，带动中国酒后驾驶问题得到显著改观。五年来，全国因酒驾醉驾导致的交通事故起数、死亡人数与法律实施前五年分别下降18％、18．3％。 ????????                                            ", 2016-4-29 14:17,5,1,3,360安全浏览器,DtcHnp3Lc
9,"
                                                                                                    【平安行 你我他】五一节日期间，高速公路实行小型客车免费通行，交通流量骤增。如遇道路拥堵，请耐心等待，依次排队通行，切莫占用应急车道，以免影响救援车辆通过。 ????????                                            ", 2016-4-29 14:11,10,2,赞,360安全浏览器,DtcEZEcHr
10,"
                                                                                                    【征集全国公安机关改革创新大赛活动标识、主题口号和卡通形象】日前，公安部下发关于在全国公安机关开展改革创新大赛的通知。为扩大活动影响，调动广大民警参加大赛的积极性，大赛领导小组办公室决定，现面向全国征集大赛活动标识、主题口号和卡通形象。详情如下：O网页链接 ????????                                            ", 2016-4-29 14:03,2,1,赞,360安全浏览器,DtcBzvABE
