ID,微博内容
1,【山东疫苗案：17省区市责任人被问责，357人被撤职、降职】今天召开的国务院常务会议上，李克强听取山东非法疫苗案处理情况。会议决定对食药监总局、卫计委、山东等17省区市相关责任人问责，先行对357名公职人员撤职、降职。O网页链接 ????????
2,【国务院：成立山东非法经营疫苗系列案件工作督查组，批准组织部门联合调查组】据新华社，为进一步督促查清案件，严惩不法分子，依法依规追究相关人员责任，并进一步建立健全监管机制、完善法律法规，完善疫苗生产、流通、接种全过程监管制度，国务院批准组织山东济南非法经营疫苗系列案件部门联合调查 ????????...展开全文c
3,【公安部：山东问题疫苗事件已立案69起 抓获嫌疑人130余人】今天下午，公安部、国家卫生计生委、国家食品药品监督管理总局三部委联合召开新闻发布会，通报非法经营疫苗案调查处置进展情况。公安部治安管理局副局长华敬锋介绍，根据山东济南非法疫苗案的线索，公安部部署各地公安机关深入追查，目前已立 ????????...展开全文c
4,【太可恶！有骗子借疫苗事件实施诈骗】近来，山东非法经营疫苗案件引起公众对疫苗的关注。然而，骗子也跟风，甚至编造出“因注射问题疫苗赔偿10万元”的所谓“紧急通知”。请大家擦亮眼睛，勿信！@四川公安 ：蜀黍连女朋友都还没有！为什么诈骗短信都要赠送苹果电脑！ ????????
5,#利剑行动#【问题疫苗波及24省市 主犯三百名上下线名单公布】19日晚山东省食药监局发布《关于庞某等非法经营疫苗案有关线索的通告》，梳理出向庞某等提供疫苗上线线索107条，从庞某等处购进疫苗下线线索193条，及300名买卖疫苗人员名单。线索涉24省市分别是↓↓O山东确认问题疫苗波及24省市，主犯三百名上下... 警方将全力侦办！ ????????
6,#利剑行动#【数亿元疫苗未冷藏流入18省：或致人命！】2010年以来，山东庞某母女非法经营25种儿童、成人用二类疫苗，未经严格冷链存储销往湖北、安徽等18省市，涉案金额5.7亿。庞某母女因涉嫌非法经营罪已被移送检方。济南警方已向20个地级市发出协查函，核实疫苗流向和使用单位。O上亿元疫苗未冷藏流入安徽等18省市 专家:这是... ????????
7,"【李克强：疫苗质量安全是不可触碰的""红线""】“山东济南非法经营疫苗系列案件性质恶劣，教训及其深刻。人民群众的生命健康重于泰山，必须本着对人民、对国家高度负责的态度，严肃彻查处理，绝不姑息！”李克强总理在4月13日的国务院常务会议上说。当天会议听取山东济南非法经营疫苗系列案件调查处理和 ????????...展开全文c"
8,#政务前沿#【国务院成立山东济南非法经营疫苗系列案件工作督查组及批准组织部门联合调查组】山东济南非法经营疫苗系列案件发生后，国务院批准组织山东济南非法经营疫苗系列案件部门联合调查组。即日全面开展案件调查、处理工作，并提出完善疫苗监管工作意见。O网页链接 ????????
9,#政务前沿#【省委、省政府召开会议进一步研究部署我省非法经营疫苗案件处置工作】3月23日下午，山东省委、省政府召开专题会议，传达学习李克强总理等中央领导同志对非法经营疫苗案件作出的重要批示，听取前段有关工作情况汇报，进一步研究贯彻落实意见和工作措施。 ????????
10,#政务前沿#【食药监总局：对河北省卫防生物制品供应中心等9家药品批发企业立即开展调查】经食药监总局对山东济南非法经营疫苗案查扣药品数据分析发现，9家药品批发企业涉嫌虚构疫苗销售渠道，可能是造成涉案疫苗流入非法渠道的主要责任者。存在问题的9家药品批发企业名单如下↓O网页链接 ????????
11,#微公示#【山东省食药监局公布非法经营疫苗案查封疫苗品种名单】3月20日，山东食品药品监管部门经对警方提供的查封疫苗品种清单进行核实，实有疫苗12种、免疫球蛋白2种、治疗性生物制品1种。详细名单↓O网页链接 ????????
12,#泉城关注#【山东疫苗案应急检验情况报告公布：10批疫苗过有效期】截至4月10日已完成12批疫苗、4批免疫球蛋白、1批细菌溶解物的应急检验。其中10批疫苗和3批免疫球蛋白过有效期；但12批疫苗效力检验全部符合标准规定，4批免疫球蛋白中2批符合标准。详情点击：O网页链接 ????????
13,#国务院常务会议#【李克强主持召开国务院常务会议】国务院总理李克强4月13日主持召开国务院常务会议，听取山东济南非法经营疫苗系列案件调查处理情况汇报；通过《国务院关于修改〈疫苗流通和预防接种管理条例〉的决定》；决定阶段性降低企业社保缴费费率和住房公积金缴存比例。
14,#泉城关注# 【国务院成立山东济南非法经营疫苗系列案件工作督查组及批准组织部门联合调查组】
15,#泉城关注#【9家药企涉山东问题疫苗案 一名疑似卖家被控制】国家食药监总局通报，9家药品批发企业涉嫌虚构疫苗销售渠道，可能是造成涉案疫苗流入非法渠道的主要责任者。食药监总局要求立即开展调查，涉及其他企业的也必须追查到底。O网页链接 ????????
16,#泉城关注# 【山东省食药监局公布非法经营疫苗案查封疫苗品种名单】3月20日，山东食品药品监管部门经对警方提供的查封疫苗品种清单进行核实，实有疫苗12种、免疫球蛋白2种、治疗性生物制品1种。
17,【山东省食药监局公布非法经营疫苗案查封疫苗品种名单】
18,国务院成立山东济南非法经营疫苗系列案件工作督查组及批准组织部门联合调查组???? O网页链接 ????????
19,"【李克强：疫苗质量安全是不可触碰的""红线""】“山东济南非法经营疫苗系列案件性质恶劣，教训及其深刻。人民群众的生命健康重于泰山，必须本着对人民、对国家高度负责的态度，严肃彻查处理，绝不姑息！”李克强总理在4月13日的国务院常务会议上说。当天会议听取山东济南非法经营疫苗系列案件调查处理和 ????????...展开全文c"
20,【问责山东疫苗案，严格疫苗流通管理，国务院决定这么做！】4月13日，国务院总理李克强主持召开国务院常务会议，听取山东济南非法经营疫苗系列案件调查处理情况汇报，决定先行对一批责任人实施问责；通过《国务院关于修改〈疫苗流通和预防接种管理条例〉的决定》，强化制度监管。山东疫苗案发生后，国 ????????...展开全文c
21,#国务院常务会议#【李克强主持召开国务院常务会议】国务院总理李克强4月13日主持召开国务院常务会议，听取山东济南非法经营疫苗系列案件调查处理情况汇报，决定先行对一批责任人实施问责；通过《国务院关于修改〈疫苗流通和预防接种管理条例〉的决定》，强化制度监管；决定阶段性降低企业社保缴费费率 ????????...展开全文c
