ID,微博内容
1,【山东疫苗案：17省区市责任人被问责，357人被撤职、降职】今天召开的国务院常务会议上，李克强听取山东非法疫苗案处理情况。会议决定对食药监总局、卫计委、山东等17省区市相关责任人问责，先行对357名公职人员撤职、降职。O网页链接 ????????
2,【注意！“打疫苗有补贴”是骗局】近日，江苏徐先生接到电话。电话中一男子称，他的孩子有一笔1180元的防疫补贴款，需本人带银行卡领取。徐先生按提示在自动取款机上操作。结果不但没领到补贴，卡内3000元存款也不翼而飞。目前，国家没有出台疫苗补贴相关政策，转发提醒！O网页链接 ????????
3,#微博辟谣#【充气蹦床爆炸，满天都是孩子？假的！3月谣言盘点】网传“充气蹦蹦床炸了，满天都是孩子”，谣言！此前临沂一充气城堡被风刮倒，而非爆炸；有人因吃大盘鸡感染禽流感死亡？卫生部门去年就已辟谣；大妈被嘲讽“碰瓷玩具车”：其实是真被玩具车撞骨折了，没碰瓷…O3月谣言盘点：涉“毒疫苗”、“充气蹦床爆炸”等... ????????
4,【国务院：成立山东非法经营疫苗系列案件工作督查组，批准组织部门联合调查组】据新华社，为进一步督促查清案件，严惩不法分子，依法依规追究相关人员责任，并进一步建立健全监管机制、完善法律法规，完善疫苗生产、流通、接种全过程监管制度，国务院批准组织山东济南非法经营疫苗系列案件部门联合调查 ????????...展开全文c
5,【公安部：山东问题疫苗事件已立案69起 抓获嫌疑人130余人】今天下午，公安部、国家卫生计生委、国家食品药品监督管理总局三部委联合召开新闻发布会，通报非法经营疫苗案调查处置进展情况。公安部治安管理局副局长华敬锋介绍，根据山东济南非法疫苗案的线索，公安部部署各地公安机关深入追查，目前已立 ????????...展开全文c
6,【太可恶！有骗子借疫苗事件实施诈骗】近来，山东非法经营疫苗案件引起公众对疫苗的关注。然而，骗子也跟风，甚至编造出“因注射问题疫苗赔偿10万元”的所谓“紧急通知”。请大家擦亮眼睛，勿信！@四川公安 ：蜀黍连女朋友都还没有！为什么诈骗短信都要赠送苹果电脑！ ????????
7,#利剑行动#【问题疫苗波及24省市 主犯三百名上下线名单公布】19日晚山东省食药监局发布《关于庞某等非法经营疫苗案有关线索的通告》，梳理出向庞某等提供疫苗上线线索107条，从庞某等处购进疫苗下线线索193条，及300名买卖疫苗人员名单。线索涉24省市分别是↓↓O山东确认问题疫苗波及24省市，主犯三百名上下... 警方将全力侦办！ ????????
8,【利欲熏心，坚决严惩！】济南警方查获销售疫苗账本26本，物流企业收发货信息1200条；在庞租用仓库内，查扣儿童用脑膜炎、水痘、脊髓灰质炎等疫苗和成人用流感、狂犬病、甲肝等疫苗共计25种，100余箱20000支。该案被公安部、国家食药监总局列为督办案件。视频：L澎湃新闻的秒拍视频
9,#利剑行动#【数亿元疫苗未冷藏流入18省：或致人命！】2010年以来，山东庞某母女非法经营25种儿童、成人用二类疫苗，未经严格冷链存储销往湖北、安徽等18省市，涉案金额5.7亿。庞某母女因涉嫌非法经营罪已被移送检方。济南警方已向20个地级市发出协查函，核实疫苗流向和使用单位。O上亿元疫苗未冷藏流入安徽等18省市 专家:这是... ????????
10,#315曝光台#【警惕！医疗美容等假劣药品多网售 多类典型案例予以警示】摧毁特大非法经营疫苗犯罪网络，开展铬超标胶囊打击行动，组织指挥侦破制售假冒美国BOBO女性用品案…2015年各地按照公安部治安局#利剑行动#统一部署，破获危害药品安全犯罪案件1.1万起。 °2015年食药打假“利剑”行动典型案例药品类(12) ????????
11,为孩子接种疫苗！这是保障儿童健康和远离疾病的最佳方式。
12,2016年4月25日是“全国儿童预防接种日”。现有的疫苗可以预防多种严重的传染病，这些疾病总称为疫苗可预防疾病，包括脊髓灰质炎（又称“小儿麻痹症”）、百日咳、白喉、破伤风、麻疹、流行性乙型脑炎等，戳图了解↓ ????????
13,【疫苗条例修改，三部委负责人答记者问】国务院于日前公布并施行了《国务院关于修改〈疫苗流通和预防接种管理条例〉的决定》。围绕决定的有关热点问题，国务院法制办、食品药品监管总局、国家卫生计生委的负责人回答了记者提问。 ????????
14,#全国儿童预防接种日#【最全疫苗接种Ｑ＆Ａ】免疫接种是传染病预防控制策略中最经济、最有效、最方便的手段。每个小生命都承载着希望的种子，按时接种疫苗，让生命健康成长 ????????
15,#全国儿童预防接种日#接种疫苗，宝宝安康～各位宝爸宝妈，接种疫苗时有哪些注意事项？视频告诉您↓O网页链接 ????????
16,2016年4月25日是“全国儿童预防接种日”。现有的疫苗可以预防多种严重的传染病，这些疾病总称为疫苗可预防疾病，包括脊髓灰质炎（又称“小儿麻痹症”）、百日咳、白喉、破伤风、麻疹、流行性乙型脑炎等，健康中国会陆续给大家一一介绍。戳图↓ ????????
17,2016年4月25日是“全国儿童预防接种日”。家长担心提早接种了某一种疫苗，是否会对孩子身体有伤害？为什么接种疫苗后要留观至少30分钟？两种疫苗是否可以同时接种？戳图↓了解大家最关心的疫苗接种问题（续）。 ????????
18,【妈妈们快收藏！最全“宝宝预防接种表”】担心宝宝漏打疫苗？不知道何时接种何种疫苗？妈妈们别担心，最全的“宝宝预防接种表”来啦~你要知道的都在这里~by中国疾控中心 ????????
19,#信任预防接种，享受健康生活#2016年4月25日是“全国儿童预防接种日”。我们到底需不需要疫苗？婴幼儿及儿童应不应该及时接种？疫苗接种是否安全？戳图↓了解大家最关心的疫苗接种问题。 ????????
20,"【李克强：疫苗质量安全是不可触碰的""红线""】“山东济南非法经营疫苗系列案件性质恶劣，教训及其深刻。人民群众的生命健康重于泰山，必须本着对人民、对国家高度负责的态度，严肃彻查处理，绝不姑息！”李克强总理在4月13日的国务院常务会议上说。当天会议听取山东济南非法经营疫苗系列案件调查处理和 ????????...展开全文c"
21,【建立更加规范的疫苗流通和预防接种管理长效机制】第二类疫苗由省级疾控机构集中采购，建立国家免疫规划疫苗动态调整机制。 ????????
22,预防黄热病，记住这三条①控制传染源：对疑似、临床诊断和确诊病例应采取有效防蚊隔离措施，对来自黄热病疫区人员实施卫生检疫。 ②切断传播途径：防蚊灭蚊是本病的重要防控措施。 ③保护易感人群：前往黄热病流行区人员应在出发前至少10天接种黄热病疫苗，同时采取个人防蚊措施。
23,#健康科普#什么是疫苗温度指示标签？小方块的颜色代表啥意思？小编带您涨知识↓ ????????
24,关于疫苗，世卫组织答记者问
25,【关于疫苗的这十种说法竟是错误的】世界卫生组织近日在其官方网站上以中英文等多种语言发布一篇科普文章，批驳了关于疫苗接种的十大传言。不看不知道，赶快涨知识↓ ????????
26,【网友漫画：该不该打疫苗？】到底要不要给孩子打疫苗？通过@我是肥志 的漫画，一起来了解一下↓ ????????
27,即将进入4月，很多家长心里又开始犯嘀咕，流感刚过，手足口病又要来了....不过今年起，手足口病疫苗终于可以打了！日前，我国自主研制儿童手足口病疫苗进行了全球首次接种，这可是人类彻底战胜儿童手足口病史上的重要里程碑哦除了打疫苗，平时生活中家长们也要注意预防↓ ????????
28,在三部委联合通报非法经营疫苗案发布会上，国家卫生计生委疾控局局长于竞进表示，下一步将切实加强对疾控机构和接种单位第二类疫苗购进、使用管理。疾控机构和接种单位使用的二类疫苗都要在省级公共资源交易平台交易，坚持公开透明，阳光采购，强化配送管理。 ????????
29,【疫苗接种记录可追溯】每一支疫苗上有一个批号，绑定了疫苗的有效期，可以追溯到这个批号的疫苗到底打到哪个孩子的身上。
30,国家卫生计生委副主任王国强回应“疫苗事件”：配合有关部门坚决查处违法违规购进和使用第二类疫苗的行为。 ????????
31,孩子该打哪些疫苗？怎样避免不良反应？打针前后注意什么？//@北京协和医院: 转发微博
32,春节期间，北京市报告流行性感冒患者人数比去年同期增长了近15倍。我们可以通过接种流感疫苗，与流感病毒保持距离，包括减少去人群拥挤、空气浑浊的密闭场所，勤洗手，出现流感样症状要避免接触他人，或佩戴口罩等方法来预防流感。来看看都有哪些不靠谱的网传妙招吧↓↓ ????????
33,#微提醒#【关于孩子接种疫苗的超全知识】
34,#政务前沿#【卫计委、食药监总局：建立更加规范的疫苗流通和预防接种管理长效机制】卫计委、食药监总局新闻发言人昨日表示，两部委正在会同相关部门，按照国务院关于修订《疫苗流通和预防接种管理条例》的决定，研究建立进一步加强疫苗流通和预防接种管理的长效机制。O网页链接 ????????
35,#政务前沿#【国务院成立山东济南非法经营疫苗系列案件工作督查组及批准组织部门联合调查组】山东济南非法经营疫苗系列案件发生后，国务院批准组织山东济南非法经营疫苗系列案件部门联合调查组。即日全面开展案件调查、处理工作，并提出完善疫苗监管工作意见。O网页链接 ????????
36,#微提醒#【关于疫苗的十大传言千万不要信！】疫苗尚有不为人知的若干具有危害性的长期副作用？疫苗会导致新生儿猝死综合征？疫苗会导致自闭症？针对诸如此类的疫苗传言，近日世卫组织发文批驳了关于疫苗接种的十大传言。扩散！传言千万别信！O世卫组织批驳关于疫苗的十大传言 ????????
37,#微公告#【食药监总局发布疫苗科普知识回应社会关切】脱离冷链的疫苗是否安全？我国疫苗管理体系与国际是否相同？针对社会关心的疫苗安全问题，国家食品药品监管总局昨天发布科普知识予以回应。请戳图↓O食药监总局发布疫苗科普知识回应社会关切 ????????
38,#微公告#【世界卫生组织：关于中国疫苗事件中的疑问】世界卫生组织就中国疫苗事件中网民提到的问题进行了收集，并将回复整理如下，戳图↓O网页链接 ????????
39,#政务前沿#【省委、省政府召开会议进一步研究部署我省非法经营疫苗案件处置工作】3月23日下午，山东省委、省政府召开专题会议，传达学习李克强总理等中央领导同志对非法经营疫苗案件作出的重要批示，听取前段有关工作情况汇报，进一步研究贯彻落实意见和工作措施。 ????????
40,#微提醒#【关于疫苗，回应你最关心的那些问题】
41,#政务前沿#【三部门：尽快查清非法疫苗来源去向 核实涉案嫌疑人员身份】食药监总局、公安部、 卫计委日前联合发布通知，要求尽快查清济南非法经营疫苗涉案产品来源去向，严惩违法犯罪行为，根据公布的名单和协查线索，对涉及本地区的嫌疑人尽快核实身份，及时查明疫苗购销情况。O网页链接 ????????
42,#政务前沿#【食药监总局：对河北省卫防生物制品供应中心等9家药品批发企业立即开展调查】经食药监总局对山东济南非法经营疫苗案查扣药品数据分析发现，9家药品批发企业涉嫌虚构疫苗销售渠道，可能是造成涉案疫苗流入非法渠道的主要责任者。存在问题的9家药品批发企业名单如下↓O网页链接 ????????
43,#政务前沿#【国家食药监总局：与疫苗案有交易者本月25日前须主动报告】国家食药监总局20日发布通知要求，凡与已公布的涉案嫌疑人员有过疫苗交易或存在从非法渠道购入疫苗、向个人销售疫苗行为的，应在2016年3月25日前，将疫苗购销流向情况主动向当地县级以上食药监管部门报告。O网页链接 ????????
44,#微公示#【山东省食药监局公布非法经营疫苗案查封疫苗品种名单】3月20日，山东食品药品监管部门经对警方提供的查封疫苗品种清单进行核实，实有疫苗12种、免疫球蛋白2种、治疗性生物制品1种。详细名单↓O网页链接 ????????
45,#政务前沿#【省食药监局公布300条庞氏等非法经营疫苗案线索】根据济南市食药监局在协助公安机关侦破庞某等非法经营疫苗案件中掌握的信息，省食药监局共梳理出300条线索向社会公开。包括向庞某等提供疫苗及生物制品的上线线索107条，从庞某等处购进疫苗及生物制品的下线线索193条。O网页链接 ????????
46,#泉城关注#【山东疫苗案应急检验情况报告公布：10批疫苗过有效期】截至4月10日已完成12批疫苗、4批免疫球蛋白、1批细菌溶解物的应急检验。其中10批疫苗和3批免疫球蛋白过有效期；但12批疫苗效力检验全部符合标准规定，4批免疫球蛋白中2批符合标准。详情点击：O网页链接 ????????
47,#国务院常务会议#【李克强主持召开国务院常务会议】国务院总理李克强4月13日主持召开国务院常务会议，听取山东济南非法经营疫苗系列案件调查处理情况汇报；通过《国务院关于修改〈疫苗流通和预防接种管理条例〉的决定》；决定阶段性降低企业社保缴费费率和住房公积金缴存比例。
48,#泉城关注# 【国务院成立山东济南非法经营疫苗系列案件工作督查组及批准组织部门联合调查组】
49,#泉城关注#【世界卫生组织：关于中国疫苗事件中的疑问】世界卫生组织就中国疫苗事件中网民提到的问题进行了收集，并将回复整理如下，戳图↓O网页链接 ????????
50,#泉城关注# //@中国政府网: 【国家卫计委：未发现疑似预防接种异常反应增多】国家卫生计生委新闻发言人23日回应非法经营疫苗案件时表示，从目前的研判分析看，未发现疑似预防接种异常反应增多的情况。@新华视点????O国家卫计委回应非法经营疫苗案：未发现疑似预...
51,【李克强对非法经营疫苗系列案件作出重要批示】及时回应社会关切，依法严厉打击违法犯罪行为，对相关失职渎职行为严肃问责，绝不姑息。同时，抓紧完善监管制度，落实疫苗生产、流通、接种等各环节监管责任，堵塞漏洞，保障人民群众生命健康。
52,#泉城关注# 【最高检挂牌督办非法经营疫苗系列案 符合逮捕条件的要及时批逮】
53,#泉城关注# 【世卫组织回应中国疫苗事件】@世界卫生组织 ：将等待调查结果，时刻准备为中国卫生部门提供支持。
54,#泉城关注#【9家药企涉山东问题疫苗案 一名疑似卖家被控制】国家食药监总局通报，9家药品批发企业涉嫌虚构疫苗销售渠道，可能是造成涉案疫苗流入非法渠道的主要责任者。食药监总局要求立即开展调查，涉及其他企业的也必须追查到底。O网页链接 ????????
55,#泉城关注# 【山东省食药监局公布非法经营疫苗案查封疫苗品种名单】3月20日，山东食品药品监管部门经对警方提供的查封疫苗品种清单进行核实，实有疫苗12种、免疫球蛋白2种、治疗性生物制品1种。
56,【山东省食药监局公布非法经营疫苗案查封疫苗品种名单】
57,#消费警示#【2015年 检方共公诉20余件制假售假案】济南市人民检察院受理移送提起公诉的案件有20余件，涉及侵犯消费者权益的案件主要包括三类，即销售有毒有害食品、生产销售假药、假冒注册商标，包括私卖疫苗、销售假盐、假避孕药等商品。 ????????
