ID,微博内容
1,【不抛弃不放弃—— 阜宁挺住，盐城特警与你同在！】 23日龙卷风冰雹灾害发生后，盐城公安巡特警支队成立党员先锋突击队，抽调24名同志组成3个武装巡逻车组，开展阜宁县城及受灾乡镇地区不间断武装巡逻，屯警路面、动中备勤，随时应对处置各类突发事件，接受群众报警求助。武装巡逻工作开展以来， ????????...展开全文c
2,#正能量#【那些值得记忆的面孔】6月23日，江苏盐城龙卷风冰雹特别重大灾害发生后，人们纷纷伸出了援手。现场救援、义务献血、免费早餐、爱心车队…这些好心人的面孔值得铭记！L秒拍视频 你愿意为这些平凡而有大爱的人转发点赞吗？ ????????
3,"【关于龙卷风，你知道多少？】4月，佛山遭龙卷风袭击，几十吨钢成""犁田机""；甘肃一小学运动会场地突发龙卷风，一小学生被卷起几米高；近日龙卷风重袭盐城…龙卷风一般只几分钟，却能拔起大树、掀翻车辆、吸走人畜、摧毁建筑…我国哪些地区龙卷风最多？遇到龙卷风，该怎么办？戳↓↓关键时刻能救命！ ????????"
4,【龙卷风灾后救援细节：私人饭店免费供应盒饭】6月24日，江苏省盐城市阜宁县受6·23特大龙卷风袭击，造成重大人员和财产损失。在救援救助过程中，出现了不少感人的镜头，有饭店免费给伤员及家属送盒饭，武警战士为了救灾手指受伤医院急救，企业无偿送来救灾帐篷等等。（视觉中国） ????????
5,【为盐城伤痛的同时，请把这条微博扩散给每一个人！】暴雨中切不可做哪三件事？突降冰雹怎么做能将伤害降到最低？龙卷风来袭该往哪个方向跑才能逃命？天灾面前，生死只在一瞬。为家人、为自救，人人都该知道↓↓愿伤亡不再上升，盐城坚强！（中新网） ????????
6,#江苏盐城龙卷风冰雹#【现场视频：救援人员从废墟下救出一女子】昨天17时许，救援队伍在江苏陈良镇一村庄里发现一名女子被困倒塌房屋下。救援人员清理出女子周边的砖头瓦砾，把她抬出。据了解，事发时女子在浴缸内洗澡，倒下的房梁正好在浴缸处形成安全角。目前女子已送医。L秒拍视频 ????????
7,#江苏盐城龙卷风冰雹#【龙卷风来袭 你该怎么办？】6月23日，江苏省盐城市阜宁出现强雷电、短时强降雨冰雹、局部遭龙卷风，已造成98人遇难，800余人受伤。什么是龙卷风？遇到龙卷风应如何保护自己？视频：L央视新闻的秒拍视频????这些保命知识，一定要知道！转发扩散！@国家应急广播 ????????
8,【江苏警方火速救援 疏散安置 2000 名群众】#江苏盐城龙卷风冰雹#灾情发生后，省公安厅立即组织警力 1000人，并调淮安、连云港、扬州、徐州等周边消防、武警1300 人赶往增援，全力开展人员疏散、现场搜救、道路疏导。其中盐城公安120 名巡特警救出群众 23 人，安全疏散1100 人。°江苏警方火速救援 疏散安置 2000 余名群众 ????????
9,图中这名男子叫王建泰，在这次#江苏盐城龙卷风冰雹#事故中救了两人，头部被砸了8厘米长的伤口，一直还说：“没什么大不了，能救几个救几个。”关键时刻平凡人做出不平凡事！为他点赞！！！ ????????
10,【#盐城遭龙卷风袭击#最新消息汇总】①伤亡人数暂没有变化，仍是78人遇难200人重伤；②厂房坍塌导致的危化品泄露已经得到控制；③盐城气象台今晨解除雷暴橙色预警信号和暴雨黄色预警信号；④红会：灾区最缺帐篷、家庭包(含基本生活用品)和夹克。更多消息：O98人遇难、846人受伤，新浪新闻正直击江苏多... ????????
11,转起来！#江苏盐城龙卷风冰雹#//@平安江苏:
12,【习近平对江苏盐城龙卷风冰雹特别重大灾害作出重要指示 要求全力组织抢救受伤人员 最大限度减少人员伤亡 李克强就抢险救灾和灾害防范工作作出批示】O网页链接
13,#江苏盐城龙卷风冰雹#【搜救现场视频：4万平方米厂房坍塌 存有危化品！】今日下午，江苏盐城市阜宁县遭遇龙卷风冰雹袭击，一座近4万平方米厂房发生坍塌。该厂房内部放置多种危化品！有人员失联，盐城消防派出47组次，367人次分批次进入厂区搜救！O网页链接 转发微博，向逆行的英雄致敬！ ????????
14,【江苏警方全力投入抢险救援】#江苏盐城龙卷风冰雹#灾害发生后，江苏警方迅速启动应急救援，全力抢救伤员；盐城市启动自然灾害救助应急Ⅱ级响应机制和抢险救灾预案，公安机关全警动员，已全面投入到抗灾救灾一线。目前，各项抢险救灾工作正紧张有序地开展。夜深了，战友们，注意安全！ ????????
15,#阜宁强龙卷风# 6月28日，国网盐城供电公司共产党员服务在阜宁北陈村进行灾后用电服务，为居民安装电表，帮助养禽户检查电器设备。@亮报 @国网江苏电力95598 ????????
16,#阜宁强龙卷风# 【受灾停电居民用户全部恢复供电】6月28日0时，经过不间断抢修，江苏盐城6.23特大风雹灾害中与居民供电相关的10千伏，400伏供电设施全部抢修完毕，恢复供电。????????灾害发生后，国网江苏电力立即组织盐城供电公司15支应急抢修队伍、918名抢修人员、356辆应急抢修车辆开展抢修作业。同时 ????????...展开全文c
