序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    因路面结冰，湖北省临时关闭收费站入口的有：G4京港澳高速武汉西至蔡甸段；G50沪渝高速永安至北河段；G55二广高速黄集至十里段；G70福银高速汉口北至十堰东段；G4213麻安高速大洪山西至杨寨段；G4213谷竹高速石花至寺坪段。请大家注意！//@深圳龙岗交警: 你是否也被堵在回乡的路上？                                            ", 2016-1-31 23:54,20,9,118,微博 weibo.com,DfJrjaexp
2,"
                                                                                                    #晚安 深圳# 【为袁庚点一支蜡烛】@深圳天气 提醒预计今晚有小到中雨的，明天早晨最低气温在9℃左右，大家睡前先把明天要穿厚衣服准备好吧~ 。今夜20点，在蛇口区海上世界女娲补天像前几百名群众自发组织了悼念袁庚活动，默哀三分钟后手持蜡烛和鲜花有序地来到袁庚同志遗像前鞠躬致敬。 ????????                                            ", 2016-1-31 23:01,27,26,54,微博 weibo.com,DfJ5TdpRs
3,"
                                                                                                    【深圳市寒冷黄色预警】深圳市气象台于01月31日21时00分在全市发布寒冷黄色预警，预计2月1日我市最低气温将降至10℃以下，信号可能持续2-3天，市民要注意添衣保暖，并留意气象台发布的最新降温信息，市、区两级救助站避寒场所开放，有需要的市民可前往，地址及联系电话可通过12349电话查询。 ????????                                            ", 2016-1-31 21:43,23,5,4,iPhone 6s Plus,DfIA8EGNJ
4,"
                                                                                                    【“e租宝”非法集资案真相调查】一年半内非法吸收资金500多亿元，受害投资人遍布全国31个省市区……1月14日，备受关注的“e租宝”平台的21名涉案人员被北京检察机关批准逮捕。其中，“e租宝”实际控制人丁宁，涉嫌集资诈骗、非法吸收公众存款、非法持有枪支罪及其他犯罪。O“ｅ租宝”非法集资案真相调查 新华网 ????????                                            ", 2016-1-31 21:37,23,7,14,iPhone 6s Plus,DfIy1aOLk
5,"
                                                                                                    【明早又要冷了~】目前全市气温在15-16℃左右，但是随着冷空气的到来，明早气温降至10℃左右，各位还是先把厚衣服找出来吧 ????????                                            ", 2016-1-31 20:40,3,4,9,iPhone 6s Plus,DfIaP22UI
6,"
                                                                                                    #突发#19时30分，振华路华发北路口东往西方向，因施工影响路面塌陷，面积约3平方米，深度40公分，占据最右侧一条车道。@深圳福田交警 民警在现场疏导，并通知区应急办尽快处置。 ????????                                            ", 2016-1-31 20:22,3,1,3,iPhone 6s Plus,DfI3wl1Ox
7,"
                                                                                                    【深圳晒出政府账本】2015年地方级一般公共预算收入2727.1亿元。2016年送到人大代表手中的政府预算草案达4600页，重达5公斤，O网页链接 ????????                                            ", 2016-1-31 20:10,120,66,99,iPhone 6s Plus,DfHYpwkHd
8,"
                                                                                                    【关于龙华新区创业花园有关楼栋倾斜的情况通报】@龙华新区管委会 ：近日，龙华新区民治办事处创业花园发生楼栋倾斜现象。市住建部门、龙华新区高度重视，迅速釆取措施妥善处置，确保安全。据了解，发生楼体倾斜的为创业花园的13和15栋，均为私人建房。 °关于龙华新区创业花园有关楼栋倾斜的情况通报 ????????                                            ", 2016-1-31 19:09,3,7,4,iPhone 6s Plus,DfHzDjWtJ
9,"
                                                                                                    【深圳春运天气提示】明天粤北、粤西和珠江三角洲市县，有中雨到大雨局部暴雨，其余市县有小雨，天气阴冷。贵州中北部、湖南中北部、江西北部、安徽南部、浙江中北部等地的部分地区有大雪，局地暴雪，另外，贵州中部和湖南西南部有冻雨；长江以南有小到中雨，局地有大雨。 ????????                                            ", 2016-1-31 18:11,2,评论,4,iPhone 6s Plus,DfHcdgWT2
10,"
                                                                                                    #2016春运高速路况提示# 【江西北雪中拥堵8公里】G35济广高速赣皖桃墅收费站（江西安徽交界处）因车流增大收费广场较小，江西景德镇往安徽池州方向拥堵已经有8公里拥堵！请前往安徽浙江的车辆选择从赣皖桃墅收费站前一公里处往祁浮高速新安收费站进入安徽，或经公桥收费站下高速经206国道前往安徽。 ????????                                            ", 2016-1-31 17:17,8,6,9,iPhone 6s Plus,DfGQp6nYG
11,"
                                                                                                    【龙华新区创业花园发生楼栋倾斜 空楼清人】龙华新区高度重视，民治办事处连夜采取措施，清空、疏导居住人员，确保居民安全，经查发生楼体倾斜的为创业花园小区13、15栋，均为私人建房。有关部门1月18日对两栋楼体进行沉降和位移检测，倾斜原因需检测报告出来后再确定。°龙华新区已对创业花园“歪楼”采取空楼清人措施... ????????                                            ", 2016-1-31 17:11,4,12,8,iPhone 6s Plus,DfGNYlgna
12,"
                                                                                                    【南方再迎大范围雨雪 春运压力大】@中国气象局: 河南湖北江苏安徽的雪还要下，部分地区有大雪，自驾回家备注干粮，加好油! 由于北方地区下雪，预计今天15时从湖北赤壁站到长沙南、广州南、深圳北的23趟高铁列车有可能晚点。 @广州铁路 提醒请关注12306网站发布广铁信息和广州铁路官方微博微信。 ????????                                            ", 2016-1-31 15:46,2,1,5,iPhone 6s Plus,DfGfjgywM
13,"
                                                                                                    #2016春运高速路况提示# 【出行推荐：北上坦途 平汝高速】截止31日8时，京港澳高速小塘收费站24小时入湘流量已逼近6万，二广高速南风坳收费站逼近5万，而平汝高速呢？才3千，北上返乡哪家强？平汝高速顶呱呱！广东北上返乡的老乡们，瞧一瞧，看一看咯！北上返乡走平汝高速啊！ ????????                                            ", 2016-1-31 14:24,1,6,12,iPhone 6s Plus,DfFIez4FM
