序号,微博内容,发布时间,转发数,评论数,点赞数,设备源,微博ID
1,"
                                                                                                    【流动人口生二孩可在深办理计生证明】在深流动人口生育二孩看过来为落实“全面两孩”政策，切实维护实行计划生育流动人口的合法权益，在广东省卫计委未出台有关二孩登记管理办法之前，深圳市卫计委就流动人口拟在深圳生育二孩办理《深圳市计划生育证明》制定暂行规定。详情请看长微博↓↓ ????????                                            ", 2016-1-29 15:18,3,14,3,iPhone 6,DfncXFlS3
2,"
                                                                                                    【关于深圳市住院医师规范化培训学员集体反映生活补助发放问题的情况说明】2016年1月28日下午，深圳市2014、2015级住院医师（包括全科医师）规范化培训学员100余人到深圳市信访办集体反映问题，提出发放中央财政住院医师规范化培训补助资金等诉求。有关情况说明详见长微博????@深圳微博发布厅 ????????                                            ", 2016-1-28 21:36,89,159,13,iPhone 6,Dfgg870f9
3,"
                                                                                                    【广东药科大学对大鹏疾控中心开展教学基地评估】2016年1月27日，广东药科大学陈思东等一行4人到大鹏新区疾病预防控制中心开展实习生教学基地调研。交流会上，双方就教学运行模式、实习带教质量、人才培养模式进行了沟通与交流，此次调研，加深了双方合作意向，为培养更多优秀人才创建良好平台。 ????????                                            ", 2016-1-28 15:33,转发,4,1,微博 weibo.com,DfdSFynJB
4,"
                                                                                                    【中山大学深圳校区今年招收医科生】今天，深圳代表团分组审议广东省“十三五”规划纲要时，省人大代表、中山大学人才办主任、物理学院院长王雪华建议，将中大深圳校区列入今年省重点项目建设，“2016年中大深圳校区就将开始招收医科生”。O中山大学深圳校区今年招收医科生 ????????                                            ", 2016-1-27 18:16,转发,评论,赞,iPhone 6,Df5w7r2Sw
5,"
                                                                                                    【看，2015年！深圳卫生计生做了这些事】2015年是“十二五”收官之年。这一年，全市卫生计生系统全面深化改革，顺利完成各项工作目标任务，卫生计生事业改革发展迈出新步伐。让我们一起来回顾2015年深圳卫生计生领域的改革发展，历数那些与我们的健康生活息息相关的重要事件。O看，2015年！深圳卫生计生做了这些事 ????????                                            ", 2016-1-27 18:11,转发,2,赞,iPhone 6,Df5u5x52l
6,"
                                                                                                    【东门街道举办家庭发展能力建设讲座】1月26日，东门街道计生科联合妇联在街道会议室举办了《如何从心培养你的孩子》亲子讲座。吸引了辖区居民近200人参加。讲座由李健安老师主讲。李健安是中国第一部育儿圣经——《家长胜经》作者，儿童行为训练专家，擅长催眠治疗、动力取向治疗和家庭治疗。 ????????                                            ", 2016-1-27 16:12,转发,评论,赞,微博 weibo.com,Df4I0lFAp
7,"
                                                                                                    【1月27日至2月2日深圳市流感指数】2016年1月27日至2月2日，深圳市流感指数为Ⅲ级（较易发生），未来一周本市处于流感活跃期，流感活动增强，流感病例增多，具体防护措施请戳大图↓↓@深圳微博发布厅 ????????                                            ", 2016-1-27 10:49,转发,评论,赞,微博 weibo.com,Df2AHeUmO
8,"
                                                                                                    【深圳不到10天54人煤气中毒送急救】据@深圳急救120 统计数据显示，1月17日0点至26日下午4点，深圳“120”共接一氧化碳中毒报警54个，其中有4人院前死亡，原因均是沐浴时煤气中毒。使用燃气热水器洗澡的朋友得警惕“浴室杀手”了 O警惕！深圳不到10天54人煤气中毒送急救 ????????                                            ", 2016-1-26 20:32,13,3,1,iPhone 6,DeWZ1otti
9,"
                                                                                                    【东门街道开展元旦春节人口计生集中宣传活动】昨日下午，东门街道计生科联合区计生中心、区苔花绎站、东门社康在东门天虹门口开展“家庭健康文明，促和谐社会发展”为主题的“双节”人口计生集中宣传。免费派发各类计生、健康资料1200多份，咨询服务150多人次，避孕药具400多盒，计生环保袋500个。 ????????                                            ", 2016-1-26 15:19,转发,评论,赞,微博 weibo.com,DeUVU12om
10,"
                                                                                                    【深圳患者竟然在手术台上弹起了吉他】超震撼！深圳市第二人民医院，全国首例""脑深部电刺激术""， 患者边做手术边弹吉他。O超震撼！深圳患者竟然在手术台上弹起了吉他 ????????                                            ", 2016-1-26 10:40,转发,2,赞,微博 weibo.com,DeT6vDU6A
11,"
                                                                                                    【看过来！2015年深圳医生做的高难度手术在这里！】日前，市卫生计生委召开一年一度的深圳市医学重点学科建设绩效评估会。目前，我市有国家级临床重点专项建设项目（含中医类）9个，省级临床重点专科43个，市级医学重点学科88个。O看过来！2015年深圳医生做的高难度手术在这里！ ????????                                            ", 2016-1-25 19:07,4,3,2,iPhone 6,DeN03gljv
12,"
                                                                                                    【2016卫生专业技术资格考试5月开考！深圳安排详解】考生们，注意啦2016年度卫生专业技术资格考试于2016年5月14、15、21、22日举行。深圳考试安排详见O2016卫生专业技术资格考试5月开考！深圳安排... ????????                                            ", 2016-1-22 19:01,1,评论,赞,iPhone 6,DekGeenrl
13,"
                                                                                                    【谣言粉碎机】又来了，“心脏病急救法”又刷屏朋友圈！！so，健康卫士必须再次出击！粉粹谣言！O【谣言粉碎机】又来了，“心脏病急救法”又刷屏... ????????                                            ", 2016-1-22 18:58,10,2,2,iPhone 6,DekEO8b0O
14,"
                                                                                                    【坚守一线，全力以赴】光明新区滑坡事故发生后，全市各区疾控部门通力合作，迅速投入到防病救灾工作的第一线。截至2016年1月17日，疾控中心在核心挖掘区累计出动小组192个，参加人数2453人次，出动消杀器械1149台次，使用消毒药液33849公斤，使用个人防护用品1794套……O坚守一线，全力以赴| 深圳疾控人在救援现场…… ????????                                            ", 2016-1-21 17:07,转发,评论,2,微博 weibo.com,DeavptXdF
15,"
                                                                                                    【深圳疾病应急救助基金启动1年】《深圳市疾病应急救助基金管理办法》2015年1月1日正式实施，让在突发意外事件中因身份不明、无能力支付医疗急救费用的患者不会因没钱而得不到及时有效治疗。据统计，截至2015年底该基金已经对1937名病患实施了救助，共计金额1149万元。O深圳疾病应急救助基金启动1年 | 1937名病患获... ????????                                            ", 2016-1-21 16:57,转发,评论,1,微博 weibo.com,Dearky3mE
16,"
                                                                                                    #计生动态#20日上午，罗湖区卫计局局长一行到东门街道开展“五关爱”慰问活动。郑局了解计生困难家庭生活中的困难和问题，为有需要帮助的家庭出谋划策，并做好安排指示，发放慰问金。同时介绍了罗湖区针对特殊家庭扶助工作提出的“苔花计划”项目的服务内容。街道党工委书记、计生分管领导参加了活动。 ????????                                            ", 2016-1-21 16:15,转发,1,2,微博 weibo.com,Deaa6DAv8
17,"
                                                                                                    【预防流感，减少与活禽接触】H5N6是流感病毒的一种亚型，病毒的来源是禽类。减少人与活禽密切接触的机会，可有效预防人感染H5N6流感。日常生活中，尽量做到不直接接触和处理活禽，不食用病死禽，不购买来源不明的禽鸟类产品。如出现发热、咳嗽、头痛等症状，要及时就医，并主动告知医生禽类接触信息。 ????????                                            ", 2016-1-21 15:22,1,评论,赞,微博 weibo.com,De9OyqSYX
18,"
                                                                                                    【深圳新增1例H5N6病例】市卫计委1月21日通报，深圳市再报告1例H5N6流感病例。为入冬以来深圳市报告的第3例H5N6病例。患者王某，女，31岁，现住福田区。1月8日发病，14日起在指定医院住院，病情危重。目前，我委正组织专家指导全力抢救，病情暂时稳定。市疾控中心专业人员已进行流行病学的初步调查。 ????????                                            ", 2016-1-21 14:44,转发,1,赞,微博 weibo.com,De9z68v5G
19,"
                                                                                                    【多筹并举，大鹏卫监开展呼吸道传染病防控监督工作】为进一步做好人感染H5N6病毒、甲流等呼吸道传染病的防控监督工作，大鹏卫监对辖区民营医疗机构的呼吸道传染病应急防控工作进行了重点监督检查，加强医疗机构专业培训，并多方式加强对呼吸道传染病防治知识宣传，提高公众的防控意识，维护社会稳定。 ????????                                            ", 2016-1-21 11:35,转发,评论,1,微博 weibo.com,De8knCdjd
20,"
                                                                                                    【急救医生“累觉不爱”？深圳拟立法出台倾斜政策】在深圳，有一群人，他们承担着各种危重病人的院前急救转运、突发事件的应急救援、大型活动的医疗保障工作。他们怀着对生命的敬畏，与时间赛跑，与死神斗争......O急救医生“累觉不爱”？深圳拟立法出台倾斜政策 ????????                                            ", 2016-1-21 11:13,1,评论,1,微博 weibo.com,De8bIo9s3
21,"
                                                                                                    【2016广东省卫生高级专业技术资格考试4月开考！深圳安排详解】根据《关于做好2016年度卫生系列高级专业技术资格实践能力考试工作的通知》要求，2016年度广东省卫生系列高级专业技术资格实践能力考试定于4月16日举行，现将我市考试工作有关事项通知如下：O2016广东省卫生高级专业技术资格考试4月开考... ????????                                            ", 2016-1-21 10:59,1,评论,赞,微博 weibo.com,De860ETPe
22,"
                                                                                                    【深圳12月份预约挂号情况】十二月份，我市40家政府办医院（二三级）总放号量达274万（人次）比上月增加6%，总预约量达128万（人次）比上月增加1%。其中北大医院、儿童医院、港大医院、三院、市妇幼、康宁医院、眼科医院、市中医院、宝安妇幼、宝安中心医院10家医院预约率超过50%O网页链接 ????????                                            ", 2016-1-20 16:51,转发,评论,赞,微博 weibo.com,De0YuyTRs
23,"
                                                                                                    【大鹏卫监开展春节前传染病防控监督检查】春节将至，为有效防控传染病和防止突发公共卫生事件，近日，大鹏卫监对辖区中小学、公立医院、民营医疗机构等22家单位进行了传染病卫生监督检查，重点检查防控传染病相关制度的建立及措施的落实，有效保障广大人民群众切实利益。 ????????                                            ", 2016-1-20 11:03,转发,评论,赞,微博 weibo.com,DdYGViCl2
24,"
                                                                                                    【大鹏卫监加强医疗机构依法执业监管】近期，第一现场等媒体集中报道我市部分医疗机构存在违规开展诊疗活动等行为，为规范医疗执业行为，维护医疗行业正常秩序，大鹏卫监组织辖区医疗机构医务人员学习法律法规,加强日常监督巡查，重视群众投诉举报，依法打击违法违规行为，提高执法针对性、有效性。 ????????                                            ", 2016-1-20 11:01,转发,评论,赞,微博 weibo.com,DdYG21Qu8
25,"
                                                                                                    【2016年1月20日至1月26日深圳市流感指数】2016年1月20日至1月26日，深圳市流感指数为Ⅱ级（易发生），未来一周本市将处于流感流行期，流感流行强度较高，流感病例明显增多，提醒市民，在流感指数III级预防建议的基础上：1.避免前往人群密集的公共场所；2.如有流感病征，应戴上口罩并尽早就诊。 ????????                                            ", 2016-1-20 10:06,转发,评论,赞,微博 weibo.com,DdYjVyz8u
26,"
                                                                                                    【2016年护士执业资格考试5月开考】各位考生注意啦！根据《国家卫生计生委人才交流服务中心关于2016年护士执业资格考试考务工作安排的通知》和《关于做好2016年护士执业资格考试工作的通知》要求，深圳市2016年护士执业资格考试工作安排如下（附有深圳各区现场确认联系方式）O2016年护士执业资格考试5月开考！深圳各区现... ????????                                            ", 2016-1-19 18:58,转发,4,赞,iPhone 6,DdSncvvEy
27,"
                                                                                                    【市妇幼保健院福强院区二期住院大楼动工】 为满足国家“二孩”政策实施后大批高龄妇女优生优育服务需求，为市民提供更高水平的医疗保健服务，2016年1月18日，深圳市妇幼保健院福强院区二期住院大楼破土动工，以满足业务发展和服务需求的迫切需要，为广大市民带来福音。O为“二孩”助力| 市妇幼保健院福强院区二期住院... ????????                                            ", 2016-1-19 18:52,1,评论,赞,iPhone 6,DdSkS1b27
28,"
                                                                                                    谁来拯救急救医生？                                            ", 2016-1-19 15:52,转发,评论,赞,iPhone 6,DdR9P0e1W
29,"
                                                                                                    【贫困儿童4类先心病手术可来福田免费做】今后，贫困儿童患4类先心病，可在福田人民医院接受免费手术治疗！1月14日上午，广东省第1家、全国第5家公立医院发起命名的公益基金会“深圳市福医公益基金会”在福田人民医院挂牌成立。O贫困儿童4类先心病手术可来福田免费做！ ????????                                            ", 2016-1-18 19:10,转发,评论,赞,iPhone 6,DdJ1CkHxU
30,"
                                                                                                    【2015年度深圳市119家医院医疗质量评价与监测结果出炉】2016年1月18日，深圳市卫生计生委召开2015年度医疗质量评价与监测结果通报会，通报了全市119家医院医疗质量评价与监测结果。30家医院获通报表彰、23家医院获通报表扬，11家医院被提醒注意、5家医院被黄牌警告。O2015年度深圳市119家医院医疗质量评价与监测... ????????                                            ", 2016-1-18 17:31,5,2,1,微博 weibo.com,DdInr20it
